"player","fullNames","firstNames","givenNames","lastNames","birthNames","birthDates","birthPlaces","deathDates","deathPlaces","weightA","heightA","weightB","heightB","positions","wikidataId"
"http://dbpedia.org/resource/Shaun_Raubenheimer","Shaun Raubenheimer","","","","","1983-11-10","http://dbpedia.org/resource/George,_Western_Cape; http://dbpedia.org/resource/South_Africa","","",,,"94.0","180.0","","http://www.wikidata.org/entity/Q16222404"
"http://dbpedia.org/resource/Shaun_Renwick","Shawn Renwick","","","","Shawn Renwick","1979-08-31","","","",,,"110.0","190.5","http://dbpedia.org/resource/Flanker_(rugby_union)","http://www.wikidata.org/entity/Q105461318"
"http://dbpedia.org/resource/Shaun_Reynolds_(rugby_union)","Shaun Reynolds","","","","","1995-06-15","http://dbpedia.org/resource/Bloemfontein; http://dbpedia.org/resource/South_Africa","","",,,,"187.0","","http://www.wikidata.org/entity/Q27443203"
"http://dbpedia.org/resource/Shaun_Ruwers","Shaun Ruwers","","","","","1982-10-12","","","",,,"118.0","188.0","","http://www.wikidata.org/entity/Q7490962"
"http://dbpedia.org/resource/Shaun_Sowerby","","","","","Richard Shaun Sowerby","1978-07-01","http://dbpedia.org/resource/Vereeniging","","",,,"107.9568","193.04","No. 8","http://www.wikidata.org/entity/Q3481582"
"http://dbpedia.org/resource/Shaun_Spence__Shaun_Spence__1","Shaun Spence","","","","","","","","",,,"106.0","189.0","",
"http://dbpedia.org/resource/Shaun_Squires","Shaun Squires","","","","","1990-03-20","","","",,,"95.2543977","190.5","","http://www.wikidata.org/entity/Q27049061"
"http://dbpedia.org/resource/Shaun_Stevenson","Shaun Stevenson; Shaun Tualaulelei Stevenson","","","","","1996-11-14","Auckland, New Zealand","","",,,"90.0","190.0","","http://www.wikidata.org/entity/Q21622963"
"http://dbpedia.org/resource/Shaun_Timmins","Shaun Timmins","","","","","1976-08-06","Kiama, New South Wales, Australia","","",,,"103.0","184.0","","http://www.wikidata.org/entity/Q7490985"
"http://dbpedia.org/resource/Shaun_Treeby","Shaun Treeby","","","","","1989-01-26","New Plymouth, New Zealand","","",,,"90.0","176.0","http://dbpedia.org/resource/Centre_(rugby_union)","http://www.wikidata.org/entity/Q7490986"
"http://dbpedia.org/resource/Shaun_Valentine","Shaun Valentine","","","","","1976-04-13","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Brisbane,_Queensland","","",,,"101.0","185.0","","http://www.wikidata.org/entity/Q84756873"
"http://dbpedia.org/resource/Shaun_Venter","Shaun Harold Venter; Shaun Venter","","","","","1987-03-16","Witbank, South Africa","","",,,,"185.0","","http://www.wikidata.org/entity/Q7490990"
"http://dbpedia.org/resource/Shaun_Wane","Shaun David Wane; Shaun Wane","","","","","1964-09-14","http://dbpedia.org/resource/Lancashire,_England; http://dbpedia.org/resource/Wigan","","",,,"95.2543977","182.88","","http://www.wikidata.org/entity/Q7490997"
"http://dbpedia.org/resource/Shaun_Webb","","","","","","1981-12-30","http://dbpedia.org/resource/Blenheim,_New_Zealand","","",,"181.0","90.0","181.0","http://dbpedia.org/resource/Fly-half_(rugby_union); http://dbpedia.org/resource/Fullback_(rugby_union)","http://www.wikidata.org/entity/Q7490999"
"http://dbpedia.org/resource/Shaun_Wessell","Shaun Wessell","","","","","1981-05-17","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/New_South_Wales; http://dbpedia.org/resource/Sydney","","",,,,,"","http://www.wikidata.org/entity/Q105317245"
"http://dbpedia.org/resource/Shaun_Williams_(rugby_union)","","","","","","1998-04-13","http://dbpedia.org/resource/Rustenburg","","","78.0","174.0","78.0","174.0","Scrum half","http://www.wikidata.org/entity/Q113540739"
"http://dbpedia.org/resource/Shaun_Wyvill","Shaun Wyvill","","","","","","","","",,,,,"","http://www.wikidata.org/entity/Q7491010"
"http://dbpedia.org/resource/Shaun_du_Preez","Shaun Vernon du Preez; Shaun du Preez","","","","","1987-07-22","http://dbpedia.org/resource/Karasburg; http://dbpedia.org/resource/South-West_Africa","","",,,"110.0","187.0","","http://www.wikidata.org/entity/Q26705325"
"http://dbpedia.org/resource/Shaunagh_Brown","Shaunagh Brown","","","","Shaunagh Brown","1990-03-15","London, England","","","95.0","1.78 m","95.0","178.0","http://dbpedia.org/resource/Rugby_union_positions","http://www.wikidata.org/entity/Q84435031"
