origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1906–1907,Bristol,/wiki/Bristol_Rugby,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1909–1910,Charters Towers,,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1911,Manly,/wiki/Manly_RUFC,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1913,Toulouse,/wiki/Stade_Toulousain,,
Q432329,Paul Sackey,Paul_Sackey,Youth career,1997–1998,Wasps Academy,/wiki/Wasps_RFC,,
Q433324,Lee Mears,Lee_Mears,Youth career,Torquay Athletic,,,,
Q433539,Nick Easter,Nick_Easter,Youth career,–,Old Alleynian,/wiki/Old_Alleynian_Football_Club,,
Q433539,Nick Easter,Nick_Easter,Youth career,–,Villagers Club,,,
Q433546,Steve Borthwick,Steve_Borthwick,Youth career,Preston Grasshoppers,,,,
Q433643,Simon Shaw,Simon_Shaw,Youth career,Cranleigh RFC,,,,
Q433791,Mark Cueto,Mark_Cueto,Amateur team(s),1996-1997,Crewe & Nantwich RUFC,,,
Q433791,Mark Cueto,Mark_Cueto,Amateur team(s),1997–1998,Sandbach RUFC,/wiki/Sandbach_RUFC,,
Q433791,Mark Cueto,Mark_Cueto,Amateur team(s),1998–2001,Altrincham Kersal,/wiki/Altrincham_Kersal,,
Q434398,Jerry Flannery,Jerry_Flannery,Amateur team(s),–,Shannon,/wiki/Shannon_RFC,,
Q434427,David Wallace,David_Wallace_(rugby_union),Amateur team(s),,Garryowen,/wiki/Garryowen_Football_Club,,
Q439015,Riki Flutey,Riki_Flutey,Youth career,Petone Rugby Club,,,,
Q439025,Donncha O'Callaghan,Donncha_O%27Callaghan,Amateur team(s),1998–2015,Cork ConstitutionHighfield R.F.C.,/wiki/Cork_Constitution,,
Q439402,Tommy Bowe,Tommy_Bowe,Amateur team(s),,Queen's University,/wiki/Queen%27s_University_RFC,,
Q439402,Tommy Bowe,Tommy_Bowe,Amateur team(s),–,Belfast Harlequins,/wiki/Belfast_Harlequins#Rugby,,
Q439402,Tommy Bowe,Tommy_Bowe,Youth career,Monaghan RFC,,,,
Q439453,Keith Earls,Keith_Earls,Amateur team(s),,Thomond,/wiki/Thomond_RFC,,
Q439453,Keith Earls,Keith_Earls,Amateur team(s),,Garryowen,/wiki/Garryowen_Football_Club,,
Q439453,Keith Earls,Keith_Earls,Amateur team(s),,Young Munster,/wiki/Young_Munster,,
Q439487,Tomás O'Leary,Tom%C3%A1s_O%27Leary,Amateur team(s),,Dolphin,/wiki/Dolphin_RFC,,
Q440131,Jamie Heaslip,Jamie_Heaslip,Amateur team(s),,Naas,/wiki/Naas_RFC,,
Q440131,Jamie Heaslip,Jamie_Heaslip,Amateur team(s),–,Dublin University,/wiki/Dublin_University_Football_Club,,
Q440625,Martin Corry,Martin_Corry_(rugby_union),Amateur team(s),–1993,Tunbridge Wells,/wiki/Tunbridge_Wells_RFC,,
Q441286,Tom Croft,Tom_Croft,Youth career,Newbury RFC,,,,
Q443117,Tim Payne,Tim_Payne_(rugby_union),Youth career,Painswick RFC,,,,
Q447949,Bryn Meredith,Bryn_Meredith,Amateur team(s),,Devonport Services R.F.C.,/wiki/Devonport_Services_R.F.C.,,
Q447949,Bryn Meredith,Bryn_Meredith,Amateur team(s),–,London Welsh RFC,/wiki/London_Welsh_RFC,,
Q447949,Bryn Meredith,Bryn_Meredith,Amateur team(s),–,Newport RFC,/wiki/Newport_RFC,,
Q447949,Bryn Meredith,Bryn_Meredith,Amateur team(s),–,Barbarian F.C.,/wiki/Barbarian_F.C.,,
Q448009,Jim Telfer,Jim_Telfer,Amateur team(s),19??-1974,Melrose RFC,/wiki/Melrose_RFC,,
Q448172,Syd Millar,Syd_Millar,Amateur team(s),1950–1972,Ballymena,/wiki/Ballymena_RFC,,
Q448172,Syd Millar,Syd_Millar,Amateur team(s),"1957–65, 1967–71",Ulster,/wiki/Ulster_Rugby,,
Q448172,Syd Millar,Syd_Millar,Amateur team(s),1959–1971,Barbarians F.C.,/wiki/Barbarians_F.C.,,
Q448212,Bobby Windsor,Bobby_Windsor,Amateur team(s),,Brynglas,,,
Q448212,Bobby Windsor,Bobby_Windsor,Amateur team(s),1970-1971,Cardiff RFC,,4,6
Q448212,Bobby Windsor,Bobby_Windsor,Amateur team(s),–,Cross Keys,/wiki/Cross_Keys_RFC,,
Q448212,Bobby Windsor,Bobby_Windsor,Amateur team(s),1973-?,Pontypool,/wiki/Pontypool_RFC,325,348
Q448212,Bobby Windsor,Bobby_Windsor,Amateur team(s),1973-1974,Barbarians,/w/index.php?title=Barbarians_RFC&action=edit&redlink=1,5,4
Q448441,Tony O'Reilly,Tony_O%27Reilly,Youth career,,Home Farm,/wiki/Home_Farm_F.C.,,
Q448515,David Nash,David_Nash_(rugby_union),Amateur team(s),,Cardiff Athletic,,,
Q448515,David Nash,David_Nash_(rugby_union),Amateur team(s),–,Crumlin RFC,/wiki/Crumlin_RFC,,
Q448515,David Nash,David_Nash_(rugby_union),Amateur team(s),–,Ebbw Vale RFC,/wiki/Ebbw_Vale_RFC,,
