"X","origWdId","origName","wiki_name","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored"
21,"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","amateur","2003-05","glasgow hutchesons aloysians","/wiki/Glasgow_Hutchesons_Aloysians_RFC",0,0
22,"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","amateur","2005-06","glasgow hawks","/wiki/Glasgow_Hawks_RFC",0,0
23,"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","amateur","2006","glasgow hutchesons aloysians","/wiki/Glasgow_Hutchesons_Aloysians_RFC",0,0
24,"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","senior_club","2005-06","glasgow warriors","/wiki/Glasgow_Warriors",1,0
25,"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","international","-","scotland u19","/wiki/Scotland_national_under-19_rugby_union_team",0,0
26,"Q27663354","Iain Kennedy","Iain Kennedy","Iain_Kennedy_(rugby_union)","international","-","scotland u21","/wiki/Scotland_national_under-21_rugby_union_team",0,0
27,"Q27663415","Steven Duffy","Steven Duffy","Steven_Duffy","amateur","-","glasgow hawks","/wiki/Glasgow_Hawks_RFC",0,0
28,"Q27663415","Steven Duffy","Steven Duffy","Steven_Duffy","senior_club","2004-06","glasgow warriors","/wiki/Glasgow_Warriors",0,0
29,"Q27663415","Steven Duffy","Steven Duffy","Steven_Duffy","international","2006","scotland club xv","/wiki/Scotland_Club_XV",0,0
30,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011-2013","leicester tigers","/wiki/Leicester_Tigers",0,0
31,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011","→nottingham","/wiki/Nottingham_Rugby",4,0
32,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011-2012","→loughborough students","/wiki/Loughborough_Students_RUFC",1,0
33,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2012-2013","→jersey","/wiki/Jersey_Reds",9,5
34,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2013-2016","bedford blues","/wiki/Bedford_Blues",88,15
35,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2016-2018","northampton saints","/wiki/Northampton_Saints",21,5
36,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2018-2019","bedford blues","/wiki/Bedford_Blues",14,25
37,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2019-","leicester tigers","/wiki/Leicester_Tigers",119,85
38,"Q27663664","Charlie Clare","Charlie Clare","Charlie_Clare","senior_club","2011-","total",NA,256,135
39,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2016-2019","sale sharks","/wiki/Sale_Sharks",29,35
40,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2017","→sale fc(loan)",NA,24,100
41,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2017","→rotherham(loan)",NA,1,0
42,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2019-2022","wasps","/wiki/Wasps_RFC",42,80
43,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2022-2023","stade français","/wiki/Stade_Fran%C3%A7ais",12,5
44,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","senior_club","2023−","benetton","/wiki/Benetton_Rugby",5,5
45,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","international","2015","england u18","/wiki/England_national_under-18_rugby_union_team",2,10
46,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","international","2016-2017","england u20","/wiki/England_national_under-20_rugby_union_team",5,0
47,"Q27671041","Paolo Odogwu","Paolo Odogwu","Paolo_Odogwu","international","2023-","italy","/wiki/Italy_national_rugby_union_team",6,10
48,"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","senior_club","2015","whanganui","/wiki/Whanganui",7,47
49,"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","senior_club","2016-","taranaki","/wiki/Taranaki_(National_Provincial_Championship)",65,342
50,"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","senior_club","2017-","blues","/wiki/Blues_(Super_Rugby)",67,357
51,"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","international","2015","heartland xv","/wiki/New_Zealand_Heartland_XV",3,58
52,"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","international","2016-2017","new zealand u20","/wiki/New_Zealand_national_under-20_rugby_union_team",8,18
53,"Q27671047","Stephen Perofeta","Stephen Perofeta","Stephen_Perofeta","international","2022-","new zealand","/wiki/New_Zealand_national_under-20_rugby_union_team",6,0
54,"Q107501490","Dave Lindsay","Dave Lindsay","David_Lindsay_(rugby_union)","senior_club","1927-1930","otago","/wiki/University_of_Otago",11,0
55,"Q107501490","Dave Lindsay","Dave Lindsay","David_Lindsay_(rugby_union)","international","1927","new zealand universities",NA,0,0
56,"Q107501490","Dave Lindsay","Dave Lindsay","David_Lindsay_(rugby_union)","international","1928","new zealand","/wiki/New_Zealand_national_rugby_union_team",3,3
57,"Q27671164","Giorgi Koshadze","Giorgi Koshadze","Giorgi_Koshadze","senior_club","2015-","rustavi kharebi","/wiki/RC_Rustavi_Kharebi",23,30
58,"Q27671164","Giorgi Koshadze","Giorgi Koshadze","Giorgi_Koshadze","international","2014-2016","georgia u20","/wiki/Georgia_national_under-20_rugby_union_team",11,5
59,"Q27671164","Giorgi Koshadze","Giorgi Koshadze","Giorgi_Koshadze","international","2016-","georgia","/wiki/Georgia_(country)",11,22
60,"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","amateur","2015","maties","/wiki/Stellenbosch_University#Sport",6,5
61,"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","amateur","2016","ukzn impi","/wiki/University_of_KwaZulu-Natal",5,5
62,"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2016-2019","sharks xv","/wiki/Sharks_(Currie_Cup)#Sharks_XV",13,5
63,"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2016-2021","sharks (currie cup)","/wiki/Sharks_(Currie_Cup)",27,10
64,"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2017-2021","sharks","/wiki/Sharks_(Currie_Cup)",28,0
65,"Q27671295","John-Hubert Meyer","John-Hubert Meyer","John-Hubert_Meyer","senior_club","2021-","béziers","/wiki/AS_B%C3%A9ziers_H%C3%A9rault",0,0
66,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","amateur","2016","ukzn impi","/wiki/University_of_KwaZulu-Natal",7,5
67,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2015-2018","sharks xv","/wiki/Sharks_(Currie_Cup)#Sharks_XV",14,0
68,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2016-2017","sharks (currie cup)","/wiki/Sharks_(Currie_Cup)",14,0
69,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2017-2018","sharks","/wiki/Sharks_(Currie_Cup)",3,0
70,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2018-2019","kubota spears","/wiki/Kubota_Spears",1,0
71,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2019","blue bulls xv","/wiki/Blue_Bulls",2,0
72,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2019","blue bulls","/wiki/Blue_Bulls",3,0
73,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2020","nec green rockets","/wiki/Green_Rockets_Tokatsu",1,0
74,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2021","free state cheetahs","/wiki/Free_State_Cheetahs",7,0
75,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2022","munakata sanix blues","/wiki/Munakata_Sanix_Blues",6,5
76,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2022-","cheetahs","/wiki/Cheetahs_(rugby_union)",0,0
77,"Q27671359","Jean Droste","Jean Droste","Jean_Droste","senior_club","2023-","free state cheetahs","/wiki/Free_State_Cheetahs",0,0
78,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","amateur","2016","ukzn impi","/wiki/University_of_KwaZulu-Natal",6,15
79,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2016-2017","sharks xv","/wiki/Sharks_(Currie_Cup)#Sharks_XV",6,0
80,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2017-2022","sharks","/wiki/Sharks_(Currie_Cup)",49,50
81,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2017-2022","sharks (currie cup)","/wiki/Sharks_(Currie_Cup)",21,70
82,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2022-2023","bulls","/wiki/Bulls_(rugby_union)",5,10
83,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","senior_club","2024-","cheetahs/free state cheetahs","/wiki/Cheetahs_(rugby_union)",1,5
84,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","international","2016","south africa under-20","/wiki/South_Africa_national_under-20_rugby_union_team",3,0
85,"Q27671475","S'busiso Nkosi","S'busiso Nkosi","Sbu_Nkosi","international","2018-2022","south africa","/wiki/South_Africa",16,45
86,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","amateur","2016","nwu pukke","/wiki/North-West_University",9,34
87,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2016","leopards","/wiki/Leopards_(rugby_union)",10,32
88,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017","sharks xv","/wiki/Sharks_(Currie_Cup)#Sharks_XV",7,19
89,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017","sharks","/wiki/Sharks_(Currie_Cup)",3,2
90,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017","sharks (currie cup)","/wiki/Sharks_(Currie_Cup)",5,2
91,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2017-2018","→southern kings","/wiki/Southern_Kings",5,4
92,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2018","free state xv","/wiki/Free_State_Cheetahs#Other_teams",10,34
93,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2018-2020","free state cheetahs","/wiki/Free_State_Cheetahs",10,27
94,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2018-2020","cheetahs","/wiki/Free_State_Cheetahs",34,35
95,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2021","nec green rockets","/wiki/NEC_Green_Rockets",1,5
96,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2021-2023","london irish","/wiki/London_Irish",53,77
97,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","senior_club","2023-present","bristol bears","/wiki/Bristol_Bears",31,31
98,"Q27671510","Benhard Janse van Rensburg","Benhard Janse van Rensburg","Benhard_Janse_van_Rensburg","international","2016","south africa under-20","/wiki/South_Africa_national_under-20_rugby_union_team",1,0
99,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2014","wellington","/wiki/Wellington_Rugby_Football_Union",1,0
100,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2016-","north harbour","/wiki/North_Harbour_Rugby_Union",41,15
101,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2017-2018","blues","/wiki/Blues_(Super_Rugby)",19,5
102,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2019","glendale raptors","/wiki/Glendale_Raptors",7,0
103,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2020-2021","hurricanes","/wiki/Hurricanes_(rugby_union)",0,0
104,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","senior_club","2021-","shimizu blue sharks","/wiki/Shimizu_Koto_Blue_Sharks",0,0
105,"Q27681077","Murphy Taramai","Murphy Taramai","Murphy_Taramai","international","2024-","samoa","/wiki/Samoa_national_rugby_union_team",3,0
106,"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","amateur","1998-2008","shannon","/wiki/Shannon_RFC",0,0
107,"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","amateur","2009-2012","shannon","/wiki/Shannon_RFC",0,0
108,"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","amateur","2012-2015","ul bohemians","/wiki/UL_Bohemians_R.F.C.",0,0
109,"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","senior_club","2001-2008","munster","/wiki/Munster_Rugby",67,94
110,"Q27733755","Mossy Lawler","Mossy Lawler","Mossy_Lawler","senior_club","2008","london wasps","/wiki/Wasps_RFC",3,0
111,"Q27734237","Rod Seib","Rod Seib","Rod_Seib","amateur","1996-2000","sunnybank","/wiki/Sunnybank_Rugby",0,0
112,"Q27734237","Rod Seib","Rod Seib","Rod_Seib","amateur","2001-2011","aberdeen gsfp","/wiki/Aberdeen_GSFP_RFC",0,0
113,"Q27734237","Rod Seib","Rod Seib","Rod_Seib","senior_club","2002-2004","glasgow warriors","/wiki/Glasgow_Warriors",0,0
114,"Q27734237","Rod Seib","Rod Seib","Rod_Seib","senior_club","1999-2000","queensland","/wiki/Queensland_Reds",3,0
115,"Q27734276","Gordon Sykes","Gordon Sykes","Gordon_Sykes","senior_club","2001-04","glasgow warriors","/wiki/Glasgow_Warriors",0,0
116,"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","amateur","1998","glasgow southern","/wiki/Glasgow_Southern_RFC",0,0
117,"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","amateur","1999-2008","glasgow hawks","/wiki/Glasgow_Hawks_RFC",0,0
118,"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","amateur","2008","glasgow academicals","/wiki/Glasgow_Academicals_RFC",0,0
119,"Q27734980","Richard McKnight","Richard McKnight","Richard_McKnight","senior_club","2003-05","glasgow warriors","/wiki/Glasgow_Warriors",0,0
120,"Q27735049","Simon Hammersley","Simon Hammersley","Simon_Hammersley","senior_club","2013-2019","newcastle falcons","/wiki/Newcastle_Falcons",103,45
121,"Q27735049","Simon Hammersley","Simon Hammersley","Simon_Hammersley","senior_club","2019-2022","sale sharks","/wiki/Sale_Sharks",59,55
122,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2015-2016","waikato","/wiki/University_of_Waikato",11,82
123,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2017-2018","blues","/wiki/Blues_(Super_Rugby)",2,0
124,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2017-2022","auckland","/wiki/Auckland",41,62
125,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2022","la giltinis","/wiki/LA_Giltinis",13,15
126,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2023","new orleans gold","/wiki/New_Orleans_Gold",10,16
127,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","senior_club","2023-","northland","/wiki/Northland_(National_Provincial_Championship)",12,20
128,"Q27735059","Jordan Trainor","Jordan Trainor","Jordan_Trainor","international","2016","new zealand u20","/wiki/New_Zealand_national_under-20_rugby_union_team",1,0
129,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2013-2017","north harbour","/wiki/North_Harbour_(National_Provincial_Championship)",40,5
130,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2017","blues","/wiki/Blues_(Super_Rugby)",0,0
131,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2017-2018","stade français","/wiki/Stade_Fran%C3%A7ais_Paris",5,0
132,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2018-2020","dragons","/wiki/Dragons_RFC",17,0
133,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2020-2021","brive","/wiki/CA_Brive",5,0
134,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","senior_club","2021-","northampton saints","/wiki/Northampton_Saints",0,0
135,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","international","2011","new zealand schoolboys","/wiki/New_Zealand_national_schoolboy_rugby_union_team",0,0
136,"Q27735068","Brandon Nansen","Brandon Nansen","Brandon_Nansen","international","2017","samoa","/wiki/Samoa_national_rugby_union_team",3,0
137,"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2016-18","taranaki","/wiki/Taranaki_Rugby_Football_Union",21,35
138,"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2017-2021","crusaders","/wiki/Crusaders_(rugby_union)",32,85
139,"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2020-","canterbury","/wiki/Canterbury_Rugby_Football_Union",27,60
140,"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2022-2024","western force","/wiki/Western_Force",24,40
141,"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","senior_club","2025","chiefs","/wiki/Chiefs_(rugby_union)",1,0
142,"Q27735073","Manasa Mataele","Manasa Mataele","Manasa_Mataele","international","2022","fiji","/wiki/Fiji_national_rugby_union_team",4,0
143,"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","senior_club","2016-","waikato","/wiki/Waikato_(National_Provincial_Championship)",11,5
144,"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","senior_club","2017-","chiefs","/wiki/Chiefs_(Super_Rugby)",0,0
145,"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","senior_club","2019-","kobelco steelers","/wiki/Kobelco_Steelers",0,0
146,"Q27735074","Sefo Kautai","Sefo Kautai","Sefo_Kautai","international","2016","new zealand under-20","/wiki/New_Zealand_national_under-20_rugby_union_team",5,0
147,"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","senior_club","2016-","bop","/wiki/Bay_of_Plenty_(National_Provincial_Championship)",15,5
148,"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","senior_club","2017-","chiefs","/wiki/Chiefs_(Super_Rugby)",22,10
149,"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","international","2015","new zealand u20","/wiki/New_Zealand_national_under-20_rugby_union_team",8,0
150,"Q27735078","Liam Polwart","Liam Polwart","Liam_Polwart","international","2017","māori all blacks","/wiki/M%C4%81ori_All_Blacks",2,0
151,"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2016-","tasman","/wiki/Tasman_(National_Provincial_Championship)",61,50
152,"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2017","chiefs","/wiki/Chiefs_(rugby_union)",9,0
153,"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2018-2019","hurricanes","/wiki/Hurricanes_(rugby_union)",14,5
154,"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","senior_club","2020-","blues","/wiki/Blues_(Super_Rugby)",64,80
155,"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","international","2021-2024","new zealand","/wiki/New_Zealand_national_rugby_union_team",23,5
156,"Q27735110","Finlay Christie","Finlay Christie","Finlay_Christie","international","2024-","all blacks xv","/wiki/All_Blacks_XV",2,5
157,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2015","counties manukau","/wiki/Counties_Manukau_(National_Provincial_Championship)",9,0
158,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2016-2017","taranaki","/wiki/Taranaki_(National_Provincial_Championship)",16,15
159,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2017-2018","chiefs","/wiki/Chiefs_(Super_Rugby)",16,15
160,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2018-2022","toshiba brave lupus","/wiki/Toshiba_Brave_Lupus",11,5
161,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2022-2024","shizuoka blue revs","/wiki/Shizuoka_Blue_Revs",0,0
162,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","senior_club","2024-","mie honda heat","/wiki/Mie_Honda_Heat",0,0
163,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","international","2013","new zealand schools","/wiki/New_Zealand_national_schoolboy_rugby_union_team",0,0
164,"Q27735127","Johnny Fa'auli","Johnny Fa'auli","Johnny_Fa%27auli","international","2015","new zealand u20","/wiki/New_Zealand_national_under-20_rugby_union_team",1,0
165,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2016-2017","northland","/wiki/Northland_Rugby_Union",21,30
166,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2017-2020","chiefs","/wiki/Chiefs_(rugby_union)",47,95
167,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2018","tasman","/wiki/Tasman_Rugby_Union",9,20
168,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2019-2020","waikato","/wiki/Waikato_Rugby_Union",5,15
169,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2021-2022","highlanders","/wiki/Highlanders_(rugby_union)",2,0
170,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2021-2022","southland","/wiki/Rugby_Southland",13,20
171,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2023","canterbury","/wiki/Canterbury_Rugby_Union",9,15
172,"Q27735169","Solomon Alaimalo","Solomon Alaimalo","Solomon_Alaimalo","senior_club","2025-","moana pasifika","/wiki/Moana_Pasifika",0,0
173,"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","senior_club","2016-","tasman","/wiki/Tasman_(National_Provincial_Championship)",75,45
174,"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","senior_club","2017-","crusaders","/wiki/Crusaders_(rugby_union)",72,25
175,"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","international","2016","new zealand u20","/wiki/New_Zealand_national_under-20_rugby_union_team",7,15
176,"Q27735730","Quinten Strange","Quinten Strange","Quinten_Strange","international","2023-","all blacks xv","/wiki/All_Blacks_XV",2,0
177,"Q107504076","John Selwyn Moll","John Selwyn Moll","John_Selwyn_Moll","senior_club","1932-1938","lloyds bank","/wiki/Lloyds_Bank_RFC",0,0
178,"Q107504076","John Selwyn Moll","John Selwyn Moll","John_Selwyn_Moll","senior_club","1938-1940","blackheath","/wiki/Blackheath_F.C.",0,0
179,"Q107504076","John Selwyn Moll","John Selwyn Moll","John_Selwyn_Moll","senior_club","1938","kent","/wiki/Kent_Rugby_Football_Union",0,0
180,"Q107504076","John Selwyn Moll","John Selwyn Moll","John_Selwyn_Moll","international","1936","british lions","/wiki/British_and_Irish_Lions",2,0
181,"Q107504076","John Selwyn Moll","John Selwyn Moll","John_Selwyn_Moll","international","1939","barbarians","/wiki/Barbarian_F.C.",1,0
