"origWdId","origName","frName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q46396","Benoît Paillaugue","Benoît Paillaugue","Beno%C3%AEt_Paillaugue","Senior","2008-2008","FC Auch","Football_Club_Auch_Gers","12","62","2008","2008"
"Q46396","Benoît Paillaugue","Benoît Paillaugue","Beno%C3%AEt_Paillaugue","Senior","2009-2022","Montpellier HR","Montpellier_H%C3%A9rault_Rugby","275","1354","2009","2022"
"Q46396","Benoît Paillaugue","Benoît Paillaugue","Beno%C3%AEt_Paillaugue","Senior","2022-2023","RC Toulon","Rugby_club_toulonnais","27","79","2022","2023"
"Q56812","Thomas Combezou","Thomas Combezou","Thomas_Combezou","Youth","2022-2023","US Ussel","Union_sportive_usselloise",NA,NA,"2022","2023"
"Q56812","Thomas Combezou","Thomas Combezou","Thomas_Combezou","Youth","2004-2006","ASM Clermont","ASM_Clermont_Auvergne",NA,NA,"2004","2006"
"Q56812","Thomas Combezou","Thomas Combezou","Thomas_Combezou","Senior","2006-2009","ASM Clermont","ASM_Clermont_Auvergne","15","10","2006","2009"
"Q56812","Thomas Combezou","Thomas Combezou","Thomas_Combezou","Senior","2009-2011","Stade rochelais","Stade_rochelais","52","65","2009","2011"
"Q56812","Thomas Combezou","Thomas Combezou","Thomas_Combezou","Senior","2011-2014","Montpellier HR","Montpellier_H%C3%A9rault_Rugby","76","40","2011","2014"
"Q56812","Thomas Combezou","Thomas Combezou","Thomas_Combezou","Senior","2014-2023","Castres olympique","Castres_olympique","213","230","2014","2023"
"Q56822","Gerhard Vosloo","Gerhard Vosloo","Gerhard_Vosloo","Senior","2004-2006","Lions","Lions_(rugby_%C3%A0_XV)","15","10","2004","2006"
"Q56822","Gerhard Vosloo","Gerhard Vosloo","Gerhard_Vosloo","Senior","2005-2005","Golden Lions","Golden_Lions","11","10","2005","2005"
"Q56822","Gerhard Vosloo","Gerhard Vosloo","Gerhard_Vosloo","Senior","2006-2008","Castres olympique","Castres_olympique","43","20","2006","2008"
"Q56822","Gerhard Vosloo","Gerhard Vosloo","Gerhard_Vosloo","Senior","2008-2011","CA Brive","Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin","67","45","2008","2011"
"Q56822","Gerhard Vosloo","Gerhard Vosloo","Gerhard_Vosloo","Senior","2011-2014","ASM Clermont","ASM_Clermont_Auvergne","61","65","2011","2014"
"Q56822","Gerhard Vosloo","Gerhard Vosloo","Gerhard_Vosloo","Senior","2014-2015","RC Toulon","Rugby_club_toulonnais","14","5","2014","2015"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Youth","1989-2000","USA Mirande",NA,NA,NA,"1989","2000"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Youth","2000-2001","CS Lannemezan","Cercle_amical_lannemezanais",NA,NA,"2000","2001"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Youth","2001-2002","Lannemezan Tarbes","Stado_Tarbes_Pyr%C3%A9n%C3%A9es_rugby",NA,NA,"2001","2002"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Youth","2002-2003","Section paloise","Section_paloise_(rugby_%C3%A0_XV)",NA,NA,"2002","2003"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Senior","2003-2007","Section paloise","Section_paloise_(rugby_%C3%A0_XV)","61","26","2003","2007"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Senior","2007-2010","Biarritz olympique","Biarritz_olympique_Pays_basque","30","28","2007","2010"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Senior","2010-2012","RC Toulon","Rugby_club_toulonnais","17","19","2010","2012"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Senior","2012-2013","Lyon OU","Lyon_olympique_universitaire_rugby","25","20","2012","2013"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Senior","2013-2017","Oyonnax Rugby","Oyonnax_Rugby","38","15","2013","2017"
"Q56824","Fabien Cibray","Fabien Cibray","Fabien_Cibray","Senior","2017-2018","Provence Rugby","Provence_Rugby","18","10","2017","2018"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","Senior","2009-2020","Leicester Tigers","Leicester_Tigers","128","205","2009","2020"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","Senior","2020-2024","Sale Sharks","Sale_Sharks","38","15","2020","2024"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","Senior","2024-NA","Aviron bayonnais","Aviron_bayonnais_rugby_pro","3","0","2024",NA
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","International","2011-NA","Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","60","100","2011",NA
