"wpName","fusName","rugbyscopeId","teamWP"
"Llangennech RFC","Llangennech RFC; Bois y Llan; Llangennech Rugby Football Club","1460",NA
"Barcelona UC","FC Barcelona Rugby; Futbol Club Barcelona; FC Barcelona Rugbi; FCB rugbi; Futbol Club Barcelona rugbi; Fútbol Club Barcelona (rugby); Barcelona; Futbol Club Barcelona Rugby; blaugrana; FCバルセロナ","71",NA
"US Mugron","Union sportive mugronnaise; USM; US Mugron","2929",NA
"Ormskirk RUFC","Ormskirk RFC","4300",NA
"West Park RFC","West Park St Helens; West Park RFC; West Park  RFC","1964",NA
"US Argelès","US Argelès","4520",NA
"RC Uzès","Rugby Club Uzès; Rugby Club uzétien","3103",NA
"AS Layrac","AS Layrac","4453",NA
"R.C. Carcassonne","US Carcassonne; USC; AS Carcassonne; Union sportive carcassonnaise; 卡爾卡松十五人制體育會; カルカソンヌ; USカルカソンヌ","718",NA
"FC Toulousain","Football Club de Toulouse; FC Toulouse; FCT; Football Club toulousain","3130",NA
"Valence Sportif","Valence Sportif; VS","726",NA
"Aviron gruissanais","Aviron Gruissanais Rugby; Aviron gruissanais","3126",NA
"Oldham","Oldham RFC","4162",NA
"Ravenscourt Park","Ravenscourt Park Football Club; Ravenscourt Park","1740",NA
"Crumlin RFC","Crumlin RFC; Crumlin Rugby Football Club","1149",NA
"Alberton Rugby Club","Alberton","6533",NA
"FC Toac Toec Rugby","Football club TOAC TOEC rugby; FCTT; FCTT Rugby; Football Club TOAC TOEC; TOEC TOAC FCT","699",NA
"Bishop's Stortford RFC","Bishop's Stortford RFC; Bishops Stortford RFC; Bishops Stortford Rugby; Bishop's Stortford; Bishop's Stortford Rugby Football Club; ビショップズ・ストートフォード","982",NA
"Old Georgians RC","Old Georgians RC; Old Georgians RFC","4408",NA
"Durham City","Durham City RFC; Durham City; Durham City Rugby Football Club","2765",NA
"The Titans RFC","Rotherham R.U.F.C.; Rotherham rugby union team; Rotherham Titans R.F.C; Rotherham Titans RFC; Rotherham Titans Rugby; Rotherham Titans Rugby Club; Rotherham Titans Rugby Football Club; Rotherham Titans Rugby Football Team; Rotherham Titans Rugby Team; Rotherham Titans Rugby Union Football Team; Rotherham Rugby Union Football Club; Rotherham Titans; Roth; The Titans; ロザラム; ロザラム・ティタンズ","114",NA
"PS Tartas","Pédale et Stade tarusate; PST; PS Tartas","3140",NA
"RC Dijon","Rugby Club dijonnais; RCD; RC Dijon; Union sportive des cheminots dijonnais; USC Dijon","631",NA
"Union Barbezieux Jonzac","Union Barbezieux Jonzac; UBJ","3125",NA
"RC Puilboreau","RC Puilboreau","4544",NA
"Ruggers Tarvisium","Ruggers Tarvisium; A. S. Tarvisium ruggers 69; A.S. Rugby Tarvisium; A.S. Tarvisium ruggers 69; Associazione Sportiva Ruggers Tarvisium; Rugby Tarvisium","793",NA
"RC Montauban","US Montauban; USM; MTG XV; Union sportive montalbanaise; USモントーバン; モントーバン","324",NA
"A.S.R.V. Ascrum","ASRV Ascrum; A.S.R.V. Ascrum; Amsterdam Student Rugby Association Ascrum; Ascrum; Amsterdamse Studenten Rugby Vereniging Ascrum","354",NA
"Felinfoel RFC","Felinfoel RFC; Felinfoel Rugby Football Club","1235",NA
"Kilmarnock RFC","Kilmarnock RFC; Kilmarnock Rugby Football Club","1411",NA
"Suva","Suva","4451",NA
"Queen's University RFC","Queen's University RFC; Queen's University Belfast RFC; Queen's University Belfast Rugby Football Club","1693",NA
"Wrexham RFC","Wrexham RFC; Wrexham Rugby Football Club","1991",NA
"Abergavenny RFC","Abergavenny Rugby Football Club; Abergavenny RFC","896",NA
"Langholm RFC","Langholm RFC; Langholm Rugby Football Club","1429",NA
"Gowerton RFC","Gowerton RFC; The Starch; Gowerton Rugby Football Club","1277",NA
"SC Nègrepelisse","SC Nègrepelisse","4629",NA
"Diggers RFC","Diggers","6535",NA
"Piacenza RC","Piacenza Rugby Club; rugby piacenza","831",NA
"Sandal RFC","Sandal RUFC; Sandal; Sandal Rugby Union Football Club","2324",NA
"Glyncoch RFC","Glyncoch RFC","6151",NA
"Tatami Rugby Club","Tatami Rugby Club; タタミ","6954",NA
"US Mouguerre","Mouguerre Union; USM; US Mouguerre","2597",NA
"Hernani CRE","Hernani Club Rugby Elkartea; HCRE; Hernani CRE; Hernani","561",NA
"RC naborien","RC Naborien","4929",NA
"University of Galway RFC","University College Galway R.F.C.; NUI Galway RFC; University of Galway RFC; UG; University of Galway Rugby Club; University of Galway Rugby Football Club","1922",NA
"RO Castelnaudary","Rugby Olympique Castelnaudary; RO Castelnaudary","3123",NA
"RC Les Mureaux","Rugby Club Les Mureaux","5290",NA
"Politehnica Iași","CS Politehnica Iași (rugby); CS Politehnica Iași (rugby union); Politehnica Iași; CS Politehnica Unirea Iași","2540",NA
"Berwick RFC","Berwick RFC; Berwick Rugby Club; Berwick Rugby Football Club","969",NA
"Levézou Ségala Aveyron XV","Lévézou Ségala Aveyron XV","4468",NA
"CS Annonay","Club sportif annonéen; CS Annonay; Club sportif d'Annonay; Club sportif Annonay rugby; Club sportif d'Annonay rugby; CSA, CS Annonay","3043",NA
"James Bay AA","James Bay Athletic Association; James Bay AA; ジェームズベイAA","2347",NA
"St. Davids","St. Davids RFC; Saints; St. Davids Rugby Football Club","1830",NA
"Cardiff Harlequins","Cardiff Quins RFC; Cardiff Harlequins; Cardiff Quins Rugby Football Club","1061",NA
"Treherbert RFC","Treherbert RFC; The Devils; Treherbert Rugby Football Club","2325",NA
"Aberdare RFC","Aberdare RFC; Aberdare RUFC; The Snakes; Aberdare Rugby Union Football Club","893",NA
"Rhigos RFC","Rhigos RFC; Rhigos Rugby Football Club","1748",NA
"UBC Old Boys Ravens","UBC Old Boys Ravens; UBCOB Ravens; UBC Old Boys Ravens Rugby Football Club","2333",NA
"SC Surgères","SC Surgères","4491",NA
"Nuneaton RFC","Nuneaton RFC; Nuneaton Rugby; Nuneaton R.F.C.; Nuneaton; Nuns; Nuneaton Rugby Football Club","1596",NA
"High School Old Boys RFC","High School Old Boys RFC; Old Boys (unofficial); ハイスクール・オールドボーイズRFC; ハイスクールオールドボーイズ","1322",NA
"Meraloma RFC","Meraloma Rugby; the Lomas; Meraloma Club; Meraloma Athletic Club","2310",NA
"Beauvais RC","Beauvais Rugby Club; Beauvais RC","3119",NA
"US Mourillon","US Mourillon","4617",NA
"Rugby Livorno","Rugby Livorno 1931; Rugby Livorno; Rugby Livourne; リヴォルノ; ラグビーリヴォルノ1931","847",NA
"AS Asasp-Arros","AS Asasp Arros","4979",NA
"NNK","NNK","6802",NA
"RC Arpajon-Veinazès","RC Arpajon Veinazès","4474",NA
"Vincennes","RC Vincennes","4566",NA
"Tredegar RFC","Tredegar RFC; Tredegar Rugby Football Club","1895",NA
"Dunbar RFC","Dunbar RFC","1189",NA
"Haddington RFC","Haddington RFC; Haddington Rugby Football Club","1290",NA
"Winnington Park","Winnington Park","1984",NA
"Ferndale RFC","Ferndale RFC; The Barrells; Ferndale Rugby Football Club","1236",NA
"Penygraig RFC","Penygraig RFC; Penygraig Rugby Football Club","1647",NA
"Mountain Ash","Mountain Ash RFC; the Old Firm; Mountain Ash Rugby Football Club","1534",NA
"Percy Park","Percy Park RFC; Percy Park; Percy Park Rugby Union Football Club","2317",NA
"Melville","Melville RC","6046",NA
"US Portsmouth","Portsmouth Rugby Football Club; Portsmouth R.F.C","1675",NA
"Newbury","Newbury R.F.C.; Newbury; Newbury Rugby Football Club; ニューベリー","1567",NA
"CAS Gerzatois","CAS Gerzatois","4633",NA
"Monkstown FC","Monkstown Football Club; Monkstown FC","1522",NA
"RC Teillois","RC teillois","4607",NA
"Western Suburbs","Western Suburbs","6240",NA
"SO Ugine-Albertville","Stade Olympique Ugine Albertville Rugby; SOUA; SOUAR; SO Ugine Albertville; SO Ugine Albertville rugby; SOU Albertville rugby","3131",NA
"RC motterain","RC Motterain","4651",NA
"Côte Vermeille","Union sportive Côte Vermeille","2847",NA
"Jockey Club Cordoba","Jockey Club Córdoba; Jockey Club Cordoba","2009",NA
"Riom","RC Riom","4477",NA
"US Meyzieu","Union Sportive de Meyzieu Rugby; US Meyzieu; Union sportive de Meyzieu; US Meyzieu rugby","3124",NA
"UA Vicoise","UA Vicoise","4802",NA
"AS saint-martinoise","Association sportive saint-martinoise; ASSM; AS Saint-Martin-de-Seignanx","3182",NA
"Marsilly RC","Marsilly Rugby Club","4997",NA
"Rugby Reggio Calabria","Società Sportiva Rugby Reggio Calabria; Caronte Reggio Calabria; Caronte Rugby Reggio; Rugby Reggio Calabria; S.S. Rugby Reggio; Società Sportiva Rugby Reggio","853",NA
"Burton","Burton RFC; Burton; Crofters; Burton Rugby Football Club","1034",NA
"Wiveliscombe RFC","Wiveliscombe RFC","4148",NA
"Machen RFC","Machen RFC; The Shirefolk; Machen Rugby Football Club","1482",NA
"Washington RFC","Washington Rugby Football Club; Washington RFC; Washington Rugby; WRFC","732",NA
"Belmont Shore RFC","Belmont Shore RFC; Belmont Shore; Belmont Shore Rugby Club","965",NA
"Hartlepool Rovers","Hartlepool Rovers; Rovers; Hartlepool Rovers Football Club","1306",NA
"RC Sablais","RC sablais","4545",NA
"R.C. Trèbes","RC Trèbes","4622",NA
"Northern Sharks","Northern Sharks; シャークス","1589",NA
"Llanharan RFC","Llanharan RFC; Black and Blues; Dairymen; Llanharan Rugby Football Club","2299",NA
"Ynysybwl","Ynysybwl RFC; Bwl; Ynysybwl Rugby Football Club","1994",NA
"Rockwell College","Rockwell College RFC","5440",NA
"Urú Curé RC","Urú Curé Rugby Club; Urú Curé","2708",NA
"Mumbles RFC","Mumbles RFC; Mumbles Rugby Football Club","1538",NA
"RC Compiègne","RC Compiègne","4506",NA
"RC Beauvais","Beauvais Rugby Club; Beauvais RC","3119",NA
"RC Issoudun","RC Issoudun","4539",NA
"Rugby Segni","Rugby Segni ASD","5571",NA
"Asti Rugby","Asti Rugby","794",NA
"US Izeaux","US Izeaux","4895",NA
"RC Draguignan","Rugby Club Draguignan","3143",NA
"RC Blois","RC Blois","4573",NA
"Derry","Edenderry RFC; Derry; Edenderry; Edenderry Rugby Football Club","1207",NA
"Marista RC","Marista Rugby Club; Cura; Marista","1497",NA
"ES Lembeye","ES Lembeye","4747",NA
"FC Tournon-Tain","FC Tournon Tain","4604",NA
"Stade navarrais","Stade Navarrais","4487",NA
"FC Moulins","Football club moulinois rugby; FC Moulins; FC Moulins rugby","512",NA
"CM Floirac","CM Floirac rugby; CMF; CM Floirac","3012",NA
"SC L'Honor-de-Cos","SC L'honor de Cos","5386",NA
"Oakdale RFC","Oakdale RFC; The Dale; Oakdale Rugby Football Club","1597",NA
"Trinant RFC","Trinant RFC; Trinant Rugby Football Club","1898",NA
"Chūō University RFC","Chuo University Rugby Football Club; 中央大学; 中央大学法学部; 中央大学法学部法律学科","2054",NA
"Jordanhill RFC","Jordanhill RFC; Jordanhill Rugby Football Club","2568",NA
"World Fighting Bull","World Fighting Bull; Fighting Bull; ワールド ファイティングブル; ワールド; ワールドファイティングブル","1989",NA
"Llandaff RFC","Llandaff RFC; Llandaff Chiefs Walking Rugby; Llandaff Rugby Football Club","1454",NA
"ASB Labatut","Association sportive des bleuets labatutois; ASBL; ASB Labatut","2933",NA
"Pakuranga United","Pakūranga United Rugby Club; Pakuranga United Rugby Club","1633",NA
"Bicester RC","Bicester Rugby Club; Bicester Rugby Union Club; Foxes","974",NA
"Slavia Prague","RC Slavia Prague; Ragbyový Klub Slavia Praha; RC Slavia Praga; Rugby Club Slavia Praha; Hvězdy (Stars) - A-team; Nosorožci (Rhinos) - B-team; Rugby Club Slavia Prague; Hvězdy  - A-team; Nosorožci  - B-team","727",NA
"RC Říčany","RC Říčany; Rugby Club Říčany","688",NA
"RC Havirov","RC Havířov; Rugby Club Havířov","1708",NA
"Regatas Bella Vista","Club de Regatas Bella Vista; Regatas Bella Vista; Regatas; レガータス","465",NA
"SA Monein","Sport athlétique de Monein; SAM; SA Monein","3056",NA
"Riwaka RFC","Riwaka Rugby Club","6023",NA
"US Pouillon","Union sportive pouillonnaise; USP; US Pouillon","2932",NA
"S.C. Tarare","SC Tarare","4601",NA
"C.A. Villeneuve","RC Villeneuve","4524",NA
"RC Rillieux","RC Rillieux","4459",NA
"Penicuik RFC","Penicuik RFC; ; Penicuik Rugby Football Club","1644",NA
"Los Tilos","Club de Rugby Los Tilos; Club Los Tilos; Los Tilos; ロス・ティロス","1128",NA
"Oriental Rongotai","Oriental-Rongotai FC","6083",NA
"East Rugby Club","Canada East; Canada East (rugby union); East","186",NA
"Bradford PA","Bradford (Park Avenue) A.F.C.; Bradford; BPA; The Avenue; BPAAFC; Bradford (Park Avenue); Bradford (Park Avenue) AFC; Bradford (Park Avenue) Association Football Club; Bradford FC; Bradford PA; Bradford Park Avenue; Bradford Park Avenue AFC; Bradford Park Avenue Association Football Club; Bradford Association Football Club; Bradford Park Avenue A.F.C.; Bradford Park Avenue F.C.; ブラッドフォード・パーク・アベニューFC; Bradford Park Avenue FC; Бредфорд (футбольний клуб); Бредфорд Парк Авеню; 布拉德福德公園大街足球會","159",NA
"Whitecraigs RFC","Whitecraigs RFC; Whitecraigs; Whitecraigs Rugby Football Club","2235",NA
"Auch Gers","FC Auch Gers; FCA; FC Auch; Football Club auscitain; Football Vélo Club auscitain; Union vélocipédique du Gers; FCオーシュ; RCオーシュ; Auch; Football Club Auch Gers; FCオーシュ・ジェール; オーシュ; FCオーシュジェール","129",NA
"Newport Breakers","Newport Breakers Rugby Club","3954",NA
"Warringah","Warringah RC; Warringah Rugby Club; The Rats; Ratties; Warringah; ワーリンガー; ワリンガウ; ワリンガーRC","731",NA
"Huirapuca","Huirapuca Social Club; Club Huirapuca SC; Huirapuca; Huirapuca Sociedad Civil","2346",NA
"Los Matreros","Rugby Club los Matreros; Los Matreros RC; Los Matreros Rugby Club; Los Matreros","1473",NA
"FC Béziers","AS Béziers Hérault; AS Beziers; AS Béziers; ASB; Association Sportive de Béziers Hérault; AS Beziers Herault; Association Sportive de Beziers Herault; ASBH; Association sportive Béziers Hérault; Association sportive biterroise; Beziers Rugby; Béziers Rugby; Béziers; ASベジエ・エロー; ベジエ; ASベジエ","309",NA
"US Genlis","US Genlis","4586",NA
"CS Nuits-Saint-Georges","Club Sportif Nuiton; Club sportif de Nuits-Saint-Georges; CS Nuits; CS Nuits-Saint-Georges; CS nuiton","3121",NA
"Echirolles","Amicale Laique Echirolles","4846",NA
"RC Tala","Tala Rugby Club; Tala","1867",NA
"Meythet RC","Meythet RC","4643",NA
"AC Labastide Beauvoir","AC Labastide Beauvoir","5026",NA
"ESC BAC ASP","ESC BAC ASP; Entente des Avens; ESC-BAC; SCAR-ESC-BAC; Entente Baixas Espira de l'Agly Peyrestortes","2878",NA
"RC Vairas","Regbio klubas Vairas; Vairas","2280",NA
"Penygroes RFC","Penygroes RFC","6145",NA
"RC Rudar Zenica","RC Rudar Zenica; RC Rudar; Rugby Club Rudar; Rugby Club Rudar Zenica","2138",NA
"Cardigan RFC","Cardigan RFC; Cardis; Cardigan Rugby Football Club","1063",NA
"Rugby Benevento","U.S. Rugby Benevento; Rugby Benevento","859",NA
"False Bay RC","False Bay","6212",NA
"RC Cherbourg-Hague","RC Cherbourg Hague","4973",NA
"AS Pont-Long","AS Pont-Long","4486",NA
"AS Mont-Saint-Aignan","Rugby Club Mont Saint Aignan","4736",NA
"Uddingston RFC","Uddingston RFC","2327",NA
"Hautapu","Hautapu RC","6045",NA
"Pennes Mirabeau Cadeneaux rugby","Pennes Mirabeau Cadeneaux Rugby","4821",NA
"Westoe RFC","South Shields Westoe RFC; Westoe RFC; South Shields Westoe","1971",NA
"Pucará","Club Pucará; Club Pucara; Pucará; Rojo; プカラ","1118",NA
"Griviţa Roşie","RC Grivița Bucharest; Grivița Roșie; Grivita Bucarest; Grivita Rosie; RC Grivița București; RC Grivița Roșie; Rugby Club Grivița București; Rugby Club Grivița Roșie; Rugby Club Griviţa București; RC  Grivița; RC Grivița - UNEFS București","2113",NA
"Devonport Services","Devonport Services R.F.C.; The Sporting Blues. Given in 1909 by the sports writer of the Western Evening Herald.; Devonport Services Rugby Football Club","2278",NA
"RC La Baule","RC La Baule","4543",NA
"SC royannais","Sporting Club Royannais","3299",NA
"C.O. Creusot","Club Olympique Creusot Bourgogne; Club olympique creusotin; CO Creusot; COCB; Le Creusot","471",NA
"CUS Genova","Amatori Rugby Genova","5574",NA
"Universitario de La Plata","Club Universitario de La Plata; Universitario de La Plata; Universitario (LP)","1126",NA
"Sparta Prague","RC Sparta Prague; Rugby Club Sparta Praha; RC Sparta Praga; Rugby Club Sparta Prague","681",NA
"Star RC","Star Rugby Club; Star RFC; Star Rugby Football Club","1841",NA
"RC Versailles","RC Versailles","4500",NA
"RC Matheysin","RC Matheysin","4649",NA
"Biscarrosse olympique","Biscarrosse olympique rugby; BO; Biscarrosse olympique","2930",NA
"Syston","Syston RFC; Syston Rugby Football Club","1860",NA
"Stade pontellois","Stade Pontellois","4576",NA
"Saint-Savin Sportif","Saint-Savin sportif","4600",NA
"De La Salle Palmerston","De La Salle Palmerston; Salmo (formerly Palmo); De La Salle Palmerston Football Club; Salmo","485",NA
"Salisbury RFC","Salisbury RFC; Salisbury Rugby Club; Green and white; Salisbury","2610",NA
"Melksham RFC","Melksham RFC","4132",NA
"Denver Barbarians","Denver Barbarians RFC; Barbos; Denver Barbarians; Denver Barbarians Rugby Football Club","1174",NA
"Bracknell","Bracknell RFC; Bracknell; Bracknell Rugby Football Club","2169",NA
"Ricany","RC Říčany; Rugby Club Říčany","688",NA
"Taupiri RFC","Taupiri RC","6050",NA
"Aubagne","RC Aubagne","4463",NA
"Moray RFC","Moray RFC; Moray Rugby Football Club","2494",NA
"Highland RFC","Highland RFC; Highland Rugby","1323",NA
"Western Crusaders","Western Crusaders","1968",NA
"Havant RFC","Havant RFC; Hav; Havant Rugby Football Club","1309",NA
"Bournemouth RC","Bournemouth Rugby Club; Bournemouth; Bournemouth Rugby Football Club","995",NA
"Old Alleynians","Old Alleynian Football Club; Old Alleynian F.C.; OAs; Old Alleynians","2164",NA
"Gorey RFC","Gorey RFC; Gorey; none; Gorey Rugby Football Club","1271",NA
"Capilano RFC","Capilano RFC; Capilano Rugby Football Club","2258",NA
"Draguignan","Rugby Club Draguignan","3143",NA
"Stade Blayais","Stade Blayais","4525",NA
"Nord Béarn XV","Nord Béarn XV","5321",NA
"Toulouse AC","Toulouse Rugby Club","5394",NA
"Gorseinon RFC","Gorseinon RFC; Gorseinon Rugby Football Club","1272",NA
"US Valloire-Galaure","US Valloire Galaure","5182",NA
"JS Villeneuve-de-Marsan","Jeunesse sportive villeneuvoise rugby; JSV; JS Villeneuve-de-Marsan","3155",NA
"RC Trignac","RC Trignac","4489",NA
"Bidart","Bidart Union Club","4742",NA
"Stade Piscenois","Stade Piscénois Rugby; Stade de Pézénas; Stade piscénois","3045",NA
"Stade piscénois","Stade Piscénois Rugby; Stade de Pézénas; Stade piscénois","3045",NA
"Dunvant","Dunvant RFC; Dunvant Rugby Football Club","1194",NA
"Carmarthen RFC","Carmarthen Quins RFC; Carmarthen RFC; Quins; Carmarthen Quins Rugby Football Club; カーマーゼン・クインズ; カーマーゼンクインズ; カーマーゼン・クインズRFC","200",NA
"Stade Marseillais UC","Stade Marseillais UC; Stade Marseillais Université Club; SMUC","4616",NA
"Balma ORC","Balma Olympique Rugby Club; Balma ORC","3042",NA
"Wests Lions","Wests Lions; Lions; 20","1974",NA
"Haverfordwest RFC","Haverfordwest RFC; Blues; Haverfordwest Rugby Football Club","1311",NA
"FC Tournon Tain","FC Tournon Tain","4604",NA
"RC Aubagne","RC Aubagne","4463",NA
"RC Serignan","Rugby Club de Sérignan; RC Sérignan","3122",NA
"RC Sérignan","Rugby Club de Sérignan; RC Sérignan","3122",NA
