"rugbyscopeId","altNames","teamWP","fusionName"
"324","Montauban; US Montauban; Montauban TGXV; Montauban TG XV","Union_sportive_montalbanaise","US Montauban"
"126","Stade rochelais; Atlantique Stade rochelais; La Rochelle; Atlantique stade rochelais","Stade_rochelais","Stade Rochelais"
"252","Stade français; Stade français Paris; Stade Francais; Stade français CASG; Stade Français; Stade français Paris CASG; Stade Français Paris","Stade_fran%C3%A7ais_Paris_rugby","Stade Français Rugby"
"129","FC Auch; FC Auch Gers; F.C. Auch","Football_Club_Auch_Gers","FC Auch Gers"
"2892","US Ussel; US Usselloise","Union_sportive_usselloise","Union sportive usselloise"
"27","ASM Clermont; AS Montferrand; ASM Clermont Auvergne; Clermont; Clermont Auvergne; AS Monferrand; A.S. Montferrand","ASM_Clermont_Auvergne","ASM Clermont Auvergne"
"241","Lions; Cats; Lions du Transvaal","Lions_(rugby_%C3%A0_XV)","Lions"
"278","Golden Lions; Transvaal; Gauteng Lions; Golden Lions U20; Transvaal / Golden Lions; MTM Lions; Xerox Golden Lions","Golden_Lions","Golden Lions"
"197","CA Brive; Brive; C.A. Brive; CA Brive Corrèze; CA Brives","Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin","CA Brive"
"7395","USA Mirande",NA,"USA Mirande"
"460","CS Lannemezan; CA Lannemezan; C.A. Lannemezanais","Cercle_amical_lannemezanais","CA Lannemezan"
"89","Lannemezan Tarbes; Tarbes Pyrénées; Tarbes PR; Stadoceste tarbais; Tarbes Pyrénées rugby; Stado Tarbes Pyrénées; Stadoceste Tarbais; Lannemezan-Tarbes; Stado Tarbes PR; Lannemezan Tarbes 65; Tarbes; Tarbes-Lannemezan HP; Lannemezan-Tarbes HP; Stade Tarbes PR; Stado Tarbes; Stadoceste tarbais rés.","Stado_Tarbes_Pyr%C3%A9n%C3%A9es_rugby","Tarbes Pyrénées Rugby"
"1","Lyon OU; LOU Rugby; LOU; LOU rugby; Lyon O.U.","Lyon_olympique_universitaire_rugby","Lyon OU"
"181","Provence Rugby; RC Pays d'Aix; Pays d'Aix rugby club; Pays d'Aix RC; Provence rugby; Pays D’Aix Rugby; Aix RC; Pays d'Aix; Paix d'Aix RC; Pays d'Aix R.C.","Provence_Rugby","Provence Rugby"
"204","Leicester Tigers; Leicester","Leicester_Tigers","Leicester Tigers"
"164","Sale Sharks; Sale; Sale RFC; Sale FC","Sale_Sharks","Sale Sharks"
"39","Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","England national rugby union team"
"118","Lions; Lions britanniques","%C3%89quipe_des_Lions_britanniques_et_irlandais_de_rugby_%C3%A0_XV","British & Irish Lions"
"7374","Université de Dschang",NA,"Université de Dschang"
"125","Stade aurillacois; Stade Aurillacois; Aurillac","Stade_aurillacois_Cantal_Auvergne","Stade Aurillacois Cantal Auvergne"
"242","UA Gaillac","Union_athl%C3%A9tique_gaillacoise","UA Gaillac"
"266","USA Perpignan; Perpignan; U.S.A. Perpignan; AC Perpignan; USAP","Union_sportive_Arlequins_perpignanais","USA Perpignan"
"555","Cameroun","%C3%89quipe_du_Cameroun_de_rugby_%C3%A0_XV","Cameroon national rugby union team"
"160","Newcastle Falcons; Newcastle; Newcastle Academy","Newcastle_Falcons","Newcastle Falcons"
"148","DSV 1878 Hanovre",NA,"DSV 78 Hannover"
"199","CS Bourgoin-Jallieu; Bourgoin-Jallieu; CS Bourgoin-Jailleu; CS Bourgoin; Bourgoin; CS Bourgoin Jallieu; Bourgoin Jallieu; C.S. Bergusien","Club_sportif_Bourgoin-Jallieu_rugby","CS Bourgoin-Jallieu"
"546","Bugue AC; Le Bugue","Bugue_Athletic_Club","Bugue Athletic Club"
"116","Allemagne","%C3%89quipe_d%27Allemagne_de_rugby_%C3%A0_XV","Germany national rugby union team"
"232","Blues; Auckland Blues; Blues_(rugby_%C3%A0_XV)","Blues_(rugby_%C3%A0_XV)","Blues"
"2913","Taranaki; Taranaki RU; Taranaki RFU; Taranaki Rugby","Taranaki_Rugby_Football_Union","Taranaki Rugby Union Team"
"239","Northampton Saints; Northampton","Northampton_Saints","Northampton Saints"
"224","Samoa","%C3%89quipe_des_Samoa_de_rugby_%C3%A0_XV","Samoa national rugby union team"
"149","SC Neuenheim","SC_Neuenheim","SC Neuenheim"
