"rugbyscopeId","altNames","teamWP"
"6888","ブリストル; ブリストル・ラグビー; ブリストル・ベアーズ; →ブリストル","%E3%83%96%E3%83%AA%E3%82%B9%E3%83%88%E3%83%AB%E3%83%BB%E3%83%99%E3%82%A2%E3%83%BC%E3%82%BA"
"278","トランスヴァール; ゴールデン・ライオンズ; ゴールデン・ライオンズXV","%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA"
"6889","サラセンズ","%E3%82%B5%E3%83%A9%E3%82%BB%E3%83%B3%E3%82%BA"
"6890","モンペリエ; モンペリエ・エロー・ラグビー","%E3%83%A2%E3%83%B3%E3%83%9A%E3%83%AA%E3%82%A8%E3%83%BB%E3%82%A8%E3%83%AD%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"6891","トレヴィーゾ; Treviso; ベネットン; ベネトン・ラグビー; →ベネットン; ベネットン・ラグビー","%E3%83%99%E3%83%8D%E3%83%83%E3%83%88%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"6892","スタッド・フランセ; スタッド・フランセ・パリ; スタッドフランセ; CASGパリ","%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BB%E3%83%BB%E3%83%91%E3%83%AA"
"9","イタリア; イタリアA代表; イタリア代表","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8"
"309","ASベジエ・エロー; ベジエ; ASベジエ","AS%E3%83%99%E3%82%B8%E3%82%A8%E3%83%BB%E3%82%A8%E3%83%AD%E3%83%BC"
"58","フランス; フランスu; フランス (セブンズ)","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E4%BB%A3%E8%A1%A8"
"6893","グラスゴー・ウォリアーズ; グラスゴー; →グラスゴー・ウォリアーズ","%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%B4%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA"
"189","カストル・オランピック; カストル","%E3%82%AB%E3%82%B9%E3%83%88%E3%83%AB%E3%83%BB%E3%82%AA%E3%83%A9%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF"
"44","トゥールーズ; スタッド・トゥールーザン; トゥールーザン","%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%E3%83%BC%E3%82%B6%E3%83%B3"
"6894","トヨタV; トヨタ自動車; トヨタヴェルブリッツ; トヨタ自工; トヨタ; ヴェルブリッツ","%E3%83%88%E3%83%A8%E3%82%BF%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%96%E3%83%AA%E3%83%83%E3%83%84"
"1789","U20スコットランド","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
"176","スコットランド; スコットランドA","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
"6895","スバ・ハイランダーズ",NA
"6896","フィジー・ウォリアーズ",NA
"201","ロンドン・ウェルシュRFC","%E3%83%AD%E3%83%B3%E3%83%89%E3%83%B3%E3%83%BB%E3%82%A6%E3%82%A7%E3%83%AB%E3%82%B7%E3%83%A5RFC"
"6897","ナルボンヌ",NA
"6898","ASマロン",NA
