"origWdId","origName","jaName","wpPage","stepType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q72185","Manu Tuilagi","マヌ・トゥイランギ","%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE","International","2013-2013","B&Iライオンズ","/wiki/%E3%83%96%E3%83%AA%E3%83%86%E3%82%A3%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA","1","0","2013","2013"
"Q113526","Adriaan Strauss","アドリアン・ストラウス","%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9","Senior",NA,"ブルー・ブルズ","/wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%83%BB%E3%83%96%E3%83%AB%E3%82%BA",NA,NA,NA,NA
"Q113526","Adriaan Strauss","アドリアン・ストラウス","%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9","Senior",NA,"フリーステイト・チーターズ","/wiki/%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A4%E3%83%88%E3%83%BB%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA",NA,NA,NA,NA
"Q113526","Adriaan Strauss","アドリアン・ストラウス","%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9","Senior","2006-2006","ブルズ","/wiki/%E3%83%96%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","12","11","2006","2006"
"Q113526","Adriaan Strauss","アドリアン・ストラウス","%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9","Senior","2015-2018","ブルズ","/wiki/%E3%83%96%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","47","44","2015","2018"
"Q113526","Adriaan Strauss","アドリアン・ストラウス","%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9","Senior","2007-2014","チーターズ","/wiki/%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","74","40","2007","2014"
"Q113526","Adriaan Strauss","アドリアン・ストラウス","%E3%82%A2%E3%83%89%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9","International","2008-","南アフリカ","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8","66","30","2008",NA
"Q127613","Patrick Lambie","パトリック・ランビー","%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC","Senior",NA,"シャークス","/wiki/%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9_(%E3%82%AB%E3%83%AA%E3%83%BC%E3%82%AB%E3%83%83%E3%83%97)",NA,NA,NA,NA
"Q127613","Patrick Lambie","パトリック・ランビー","%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC","Senior",NA,"ラシン92","/wiki/%E3%83%A9%E3%82%B7%E3%83%B392",NA,NA,NA,NA
"Q127613","Patrick Lambie","パトリック・ランビー","%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC","Senior","2010-2017","シャークス","/wiki/%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","71","757","2010","2017"
"Q127613","Patrick Lambie","パトリック・ランビー","%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%93%E3%83%BC","International","2008-2016","南アフリカ共和国","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8","56","153","2008","2016"
"Q138722","Stephen Donald","スティーブン・ドナルド","%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%96%E3%83%B3%E3%83%BB%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89","Amateur",NA,"ワイカト大学","/wiki/%E3%83%AF%E3%82%A4%E3%82%AB%E3%83%88%E5%A4%A7%E5%AD%A6",NA,NA,NA,NA
"Q138722","Stephen Donald","スティーブン・ドナルド","%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%96%E3%83%B3%E3%83%BB%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89","Senior",NA,"バース","/wiki/%E3%83%90%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC",NA,NA,NA,NA
"Q138722","Stephen Donald","スティーブン・ドナルド","%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%96%E3%83%B3%E3%83%BB%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89","Senior",NA,"三菱重工相模原","/wiki/%E4%B8%89%E8%8F%B1%E9%87%8D%E5%B7%A5%E7%9B%B8%E6%A8%A1%E5%8E%9F%E3%83%80%E3%82%A4%E3%83%8A%E3%83%9C%E3%82%A2%E3%83%BC%E3%82%BA",NA,NA,NA,NA
"Q138722","Stephen Donald","スティーブン・ドナルド","%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%96%E3%83%B3%E3%83%BB%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89","Senior",NA,"サントリー","/wiki/%E3%82%B5%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%E3%82%B5%E3%83%B3%E3%82%B4%E3%83%AA%E3%82%A2%E3%82%B9",NA,NA,NA,NA
