"PointsScored","Count"
"1264",1
"1266",1
"1269",2
"1270",1
"1272",1
"1281",2
"1282",1
"1283",1
"1285",1
"1301",1
"1305",1
"1310",1
"1312",1
"1314",1
"1320",1
"1322",1
"1329",1
"1332",1
"1334",1
"1337",1
"1351",1
"1352",1
"1357",1
"1361",2
"1366",1
"1367",2
"1381",1
"1384",2
"1386",1
"1387",1
"1388",1
"1389",1
"1397",1
"1408",1
"1413",1
"1416",1
"1434",1
"1438",1
"1442",2
"1444",2
"1445",1
"1449",1
"1452",1
"1453",1
"1460",1
"1468",2
"1472",1
"1475",1
"1478",1
"1483",1
"1486",1
"1488",1
"1491",1
"1494",1
"1495",1
"1506",1
"1509",1
"1514",1
"1515",1
"1516",1
"1523",2
"1524",1
"1525",1
"1528",1
"1534",1
"1536",1
"1541",1
"1542",1
"1543",1
"1547",2
"1553",1
"1559",1
"1564",1
"1575",1
"1595",2
"1599",1
"1604",1
"1605",2
"1618",1
"1628",1
"1632",1
"1633",1
"1636",1
"1637",1
"1641",1
"1648",1
"1652",1
"1654",1
"1658",1
"1665",1
"1677",2
"1678",1
"1683",1
"1684",1
"1692",1
"1694",1
"1707",1
"1710",1
"1721",1
"1723",2
"1728",1
"1743",1
"1752",1
"1767",1
"1772",1
"1773",1
"1778",1
"1798",1
"1799",1
"1804",1
"1810",1
"1820",1
"1826",1
"1829",1
"1831",1
"1834",1
"1842",1
"1843",2
"1864",1
"1878",2
"1882",1
"1889",1
"1893",1
"1897",1
"1909",1
"1936",1
"1938",1
"1942",2
"1948",1
"1952",1
"1954",1
"1965",1
"1969",1
"1987",1
"1990",1
"1991",1
"2002",1
"2010",1
"2012",1
"2029",1
"2031",1
"2035",1
"2037",1
"2039",1
"2043",1
"2047",1
"2056",1
"2076",1
"2081",1
"2102",1
"2106",1
"2121",2
"2123",1
"2126",2
"2149",1
"2167",1
"2173",1
"2194",1
"2204",1
"2211",1
"2214",1
"2253",1
"2267",1
"2279",1
"2283",1
"2291",1
"2304",1
"2313",1
"2330",1
"2337",1
"2349",1
"2352",1
"2354",1
"2362",1
"2374",1
"2376",1
"2385",1
"2412",1
"2425",1
"2438",1
"2439",1
"2448",1
"2451",1
"2466",1
"2495",1
"2513",1
"2518",1
"2527",1
"2565",1
"2587",1
"2604",1
"2611",1
"2622",1
"2652",1
"2687",1
"2699",1
"2727",1
"2728",1
"2750",1
"2766",1
"2783",1
"2793",1
"2797",1
"2810",1
"2824",1
"2850",1
"2890",1
"2926",1
"2975",1
"2979",1
"2981",1
"2984",1
"3051",1
"3059",1
"3085",1
"3103",1
"3111",1
"3145",1
"3175",1
"3178",1
"3181",1
"3184",1
"3186",1
"3207",1
"3225",1
"3252",1
"3280",1
"3289",1
"3291",1
"3391",1
"3430",1
"3431",1
"3433",1
"3454",1
"3462",1
"3469",1
"3569",1
"3631",1
"3750",1
"3808",1
"3818",1
"4066",1
"4086",1
"4095",1
"4188",1
"4219",1
"4237",1
"4238",1
"4368",1
"4476",1
"4554",1
"4974",1
"5179",1
"5701",1
"5768",1
"6413",1
NA,0
