"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"39","Q378628","England national rugby union team","national rugby union team","1871-03-27",NA,"selección de rugbi d'Inglaterra; selección inglesa de rugbi; selección masculina de rugbi d'Inglaterra; seleición de rugbi d'Inglaterra; seleición inglesa de rugbi; Anglaterra rugby; rugbi Anglaterra; England national rugby team; England Rugby; England rugby team; England rugby union team; Seleccion de rugby de Inglaterra; XV de la Rose; nazionale inglese di rugby; ru eng; RU England; The Roses; Engels rugbyteam (mannen); ทีมรักบี้อังกฤษ",NA,"United Kingdom",NA,NA,"Twickenham Stadium","82000",NA,NA,NA,"England_national_rugby_union_team","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"41","Q389007","CRC Pozuelo","rugby union team","1963-01-01",NA,"Canoe RC Madrid; Rugby Atlético de Madrid; Canoe Rugby; Canoe Rugby Club Noroeste; UCM Madrid; Club de Rugby CRC Pozuelo","Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Campo de rugby Valle de las Cañas","500","Pozuelo de Alarcón",NA,NA,"CRC_Pozuelo","CRC_Pozuelo","Canoe_Rugby_Club_Pozuelo_Madrid","CRC_Pozuelo",NA,"http://dbpedia.org/resource/CRC_Pozuelo"
"43","Q427312","Greece national rugby union team","national rugby union team","2005-10-22",NA,NA,NA,"Greece",NA,NA,NA,NA,NA,NA,NA,"Greece_national_rugby_union_team","%C3%89quipe_de_Gr%C3%A8ce_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Grecia",NA,NA,NA
"45","Q431717","Bulgaria national rugby union team","national rugby union team","1963-05-20",NA,"nazionale bulgara di rugby; ru bgr; ru bul",NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"Bulgaria_national_rugby_union_team","%C3%89quipe_de_Bulgarie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bulgaria",NA,NA,NA
"47","Q472632","RC Innsbruck","rugby union club",NA,NA,"Rugby Club Innsbruck",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Innsbruck",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Innsbruck"
"48","Q473372","Andorra national rugby union team","national rugby union team",NA,NA,"seleccion de rugby de Andorra",NA,"Andorra",NA,NA,NA,NA,NA,NA,NA,"Andorra_national_rugby_union_team","%C3%89quipe_d%27Andorre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Andorra","Selecci%C3%B3n_de_rugby_de_Andorra",NA,NA
"50","Q479194","SC 1880 Frankfurt","rugby union club","1880-01-01",NA,"SC Frankfurt 1880; Sport-Club Frankfurt 1880 e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Frankfurt",NA,NA,"SC_1880_Frankfurt","SC_1880_Frankfurt",NA,NA,NA,"http://dbpedia.org/resource/SC_1880_Frankfurt"
"51","Q484649","South Korea national rugby union team","national rugby union team","1969-03-16",NA,"équipe de Corée de rugby à XV; Nazionale di rugby XV della Corea; Nazionale di rugby XV della Corea del Sud; ru kor; ラグビー韓国代表; 대한민국 럭비 국가대표팀",NA,"South Korea",NA,NA,NA,NA,NA,NA,NA,"South_Korea_national_rugby_union_team","%C3%89quipe_de_Cor%C3%A9e_du_Sud_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Corea_del_Sud","Selecci%C3%B3n_de_rugby_de_Corea_del_Sur","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%A4%A7%E9%9F%93%E6%B0%91%E5%9B%BD%E4%BB%A3%E8%A1%A8",NA
"52","Q498478","South Africa national rugby union team","national rugby union team","1891-07-30",NA,"South Africa Gazelles; Suid-Afrika nasionale rugbyspan; Suid-Afrika se nasionale rugbyspan; Suid-Afrika se rugbyspan; Suid-Afrikaanse nasionale rugbyspan; Suid-Afrikaanse rugbyspan; AmaBokoboko; Bokke; Springbokke; Südafrikanische Rugbynationalmannschaft; SA national rugby union team; SA rugby team; SA rugby union team; South Africa national rugby union; South Africa rugby union team; Seleccion de rugby de Sudafrica; Seleccion de rugby de Sudáfrica; Selección de rugby de Sudafrica; Seleccion nacional de rugby de Sudafrica; Seleccion nacional de rugby de Sudáfrica; Selección nacional de rugby de Sudafrica; Selección nacional de rugby de Sudáfrica; Hego Afrikako errugbi selekzioa; équipe d'Afrique du Sud de rugby a XV; équipe sud-africaine de rugby; Sgioba naiseanta rugbaidh Afraga-a-Deas; Sgioba nàiseanta rugbaidh Afraga-a-Deas; Nazionale di rugby a 15 del Sudafrica Under 23; Nazionale di rugby XV del Sudafrica; ru zaf; スプリングボクス; ラグビー南アフリカ代表; სამხრეთ აფრიკის ეროვნული რაგბის ნაკრები; 스프링복스; Zuid-Afrikaans rugbyteam (mannen); Reprezentacja Republiki Południowej Afryki w rugby mężczyzn; Seleção Sul-Africana de Râguebi; Selecção Sul-Africana de Râguebi; Springbocks; Echipa naţională de rugby a africii de sud; Сборная Южной Африки по регби; Спрингбокс; Збірна ПАР з регбі; Спрінгбокс; 남아공 럭비 유니온 국가 대표팀",NA,"South Africa",NA,NA,NA,NA,NA,"south-africa",NA,"South_Africa_national_rugby_union_team","%C3%89quipe_d%27Afrique_du_Sud_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8",NA
"53","Q501864","Uruguay national under-20 rugby union team","rugby union team",NA,NA,"Los Teritos; Seleccion de rugby juvenil de Uruguay; Selección de rugby juvenil de Uruguay; Seleccion juvenil de rugby de Uruguay; Teritos",NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Uruguay_national_under-20_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Uruguay","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_under-20_rugby_union_team"
"54","Q511912","Sri Lanka national rugby union team","national rugby union team",NA,NA,NA,NA,"Sri Lanka",NA,NA,NA,NA,NA,NA,NA,"Sri_Lanka_national_rugby_union_team","%C3%89quipe_du_Sri_Lanka_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dello_Sri_Lanka","Selecci%C3%B3n_de_rugby_de_Sri_Lanka",NA,NA
"57","Q517805","Real Oviedo Rugby","rugby union team","1983-01-01",NA,"el XV del OSO; Oviedo RC; Oviedo Rugby Club",NA,"Spain","División de Honor B de Rugby",NA,"Campo de Rugby El Naranco",NA,"Oviedo",NA,NA,"Oviedo_RC","Real_Oviedo_Rugby",NA,"Real_Oviedo_Rugby",NA,"http://dbpedia.org/resource/Oviedo_RC"
