"name","tier","division","country","wikidataId","homonyms"
"Wamakers",8,"Boland Rugby Union","South Africa","",""
"Wellington",8,"Boland Rugby Union","South Africa","","Q104856093"
"Wolseley",8,"Boland Rugby Union","South Africa","",""
"Worcester Perseverance",8,"Boland Rugby Union","South Africa","",""
"Young Black Arrows",8,"Boland Rugby Union","South Africa","",""
"Young Blues",8,"Boland Rugby Union","South Africa","",""
"Young Diggers",8,"Boland Rugby Union","South Africa","",""
"Young Eagles",8,"Boland Rugby Union","South Africa","",""
"Young Eagles Robertson",8,"Boland Rugby Union","South Africa","",""
"Young Good Hopes",8,"Boland Rugby Union","South Africa","",""
"Young Hamiltons",8,"Boland Rugby Union","South Africa","",""
"Young Hearts",8,"Boland Rugby Union","South Africa","",""
"Young Proteas",8,"Boland Rugby Union","South Africa","",""
"Young Stars",8,"Boland Rugby Union","South Africa","",""
"Young Tigers",8,"Boland Rugby Union","South Africa","",""
"Young Turbos",8,"Boland Rugby Union","South Africa","",""
"Young Westlyans",8,"Boland Rugby Union","South Africa","",""
"Zebras",8,"Boland Rugby Union","South Africa","",""
"Africans",8,"Border Rugby Football Union","South Africa","",""
"Berlin Tigers",8,"Border Rugby Football Union","South Africa","",""
"Black Eagles",8,"Border Rugby Football Union","South Africa","",""
"Breakers",8,"Border Rugby Football Union","South Africa","",""
"Buffalo",8,"Border Rugby Football Union","South Africa","","Q6749968"
"Busy Boys",8,"Border Rugby Football Union","South Africa","",""
"Cambridge",8,"Border Rugby Football Union","South Africa","",""
"Evergreen",8,"Border Rugby Football Union","South Africa","",""
"Moonlight",8,"Border Rugby Football Union","South Africa","",""
"Ncerha Leopards",8,"Border Rugby Football Union","South Africa","",""
"Ngculu Zebras",8,"Border Rugby Football Union","South Africa","",""
"Ntlaza Lions",8,"Border Rugby Football Union","South Africa","",""
"Ocean Sweepers",8,"Border Rugby Football Union","South Africa","",""
"Old Collegians",8,"Border Rugby Football Union","South Africa","",""
"Ready Blues",8,"Border Rugby Football Union","South Africa","",""
"Shining Stars",8,"Border Rugby Football Union","South Africa","",""
"United Brothers",8,"Border Rugby Football Union","South Africa","",""
"Wallabies",8,"Border Rugby Football Union","South Africa","","Q622443"
"Winter Rose",8,"Border Rugby Football Union","South Africa","",""
"WSU Eagles",8,"Border Rugby Football Union","South Africa","",""
"Young Leopards",8,"Border Rugby Football Union","South Africa","",""
"Aberdeen",8,"Eastern Province Rugby Union","South Africa","",""
"Adelaide Rangers",8,"Eastern Province Rugby Union","South Africa","",""
"Alderonians",8,"Eastern Province Rugby Union","South Africa","",""
"Algoa Park RC",8,"Eastern Province Rugby Union","South Africa","",""
"All Blacks",8,"Eastern Province Rugby Union","South Africa","","Q55801"
"Auckland Tigers",8,"Eastern Province Rugby Union","South Africa","",""
"Black Lions",8,"Eastern Province Rugby Union","South Africa","",""
"Born Fighters",8,"Eastern Province Rugby Union","South Africa","",""
"Central",8,"Eastern Province Rugby Union","South Africa","",""
"Coldstream Crusaders",8,"Eastern Province Rugby Union","South Africa","",""
"Colesberg Wanderers",8,"Eastern Province Rugby Union","South Africa","",""
"Cookhouse United",8,"Eastern Province Rugby Union","South Africa","",""
"DB Blues",8,"Eastern Province Rugby Union","South Africa","",""
"Despatch Oostelikes",8,"Eastern Province Rugby Union","South Africa","",""
"Easterns",8,"Eastern Province Rugby Union","South Africa","",""
"Evergreens Cradock",8,"Eastern Province Rugby Union","South Africa","",""
"Evergreens Krakeel",8,"Eastern Province Rugby Union","South Africa","",""
"Excelsior",8,"Eastern Province Rugby Union","South Africa","",""
"Gardens",8,"Eastern Province Rugby Union","South Africa","",""
"Gelvan Wallabies",8,"Eastern Province Rugby Union","South Africa","","Q622443"
"Gladiators",8,"Eastern Province Rugby Union","South Africa","",""
"Glen Roses",8,"Eastern Province Rugby Union","South Africa","",""
"Grahamstown Brumbies",8,"Eastern Province Rugby Union","South Africa","",""
"Grootfontein",8,"Eastern Province Rugby Union","South Africa","",""
"Hamilton",8,"Eastern Province Rugby Union","South Africa","","Q282354; Q17054465"
"Hampshire",8,"Eastern Province Rugby Union","South Africa","",""
"Hankey Villagers",8,"Eastern Province Rugby Union","South Africa","",""
"Harlequins",8,"Eastern Province Rugby Union","South Africa","","Q1149835; Q5211339; Q6392577"
"Hilltop Eagles",8,"Eastern Province Rugby Union","South Africa","",""
"Humansdorp RC",8,"Eastern Province Rugby Union","South Africa","",""
"Humansdorp United",8,"Eastern Province Rugby Union","South Africa","",""
"Jansenville",8,"Eastern Province Rugby Union","South Africa","",""
"Karoo Springbokke",8,"Eastern Province Rugby Union","South Africa","",""
"Khyelitsha United",8,"Eastern Province Rugby Union","South Africa","",""
"Kirkwood",8,"Eastern Province Rugby Union","South Africa","",""
"Klipfontein UT",8,"Eastern Province Rugby Union","South Africa","",""
"Kliplaat",8,"Eastern Province Rugby Union","South Africa","",""
"Kowie",8,"Eastern Province Rugby Union","South Africa","",""
"Kruisfontein",8,"Eastern Province Rugby Union","South Africa","",""
"Kuya",8,"Eastern Province Rugby Union","South Africa","",""
"Kuyga",8,"Eastern Province Rugby Union","South Africa","",""
"Kwaru",8,"Eastern Province Rugby Union","South Africa","",""
"Lily White",8,"Eastern Province Rugby Union","South Africa","",""
"Loerie Blues",8,"Eastern Province Rugby Union","South Africa","",""
"Middleberg Eagles",8,"Eastern Province Rugby Union","South Africa","",""
"Mighty Blues",8,"Eastern Province Rugby Union","South Africa","",""
