"","nation","name","url"
"13174","South Africa","Peewee Howe","Bennett_Howe"
"13272","South Africa","Gert Muller","Gert_Muller_(rugby_union,_born_1948)"
"13291","South Africa","Peter Cronjé","Peter_Cronj%C3%A9"
"13311","South Africa","Gerald Bosch","Gerald_Bosch"
"13324","South Africa","Ian Robertson","Ian_Robertson_(rugby_union,_born_1950)"
"13365","South Africa","Johan Heunis","Johan_Heunis"
"13379","South Africa","Schalk Burger","Schalk_Burger_(rugby_union,_born_1955)"
"14125","Tonga","Fifita Faletau","Fifita_Faletau"
"14372","Tonga","Daniel Morath","Daniel_Morath"
"14615","United States","Fred Khasigian","Fred_Khasigian"
"14670","United States","Tim O'Brien","Tim_O%27Brien_(rugby_union)"
"14700","United States","Kevin Higgins","Kevin_Higgins_(rugby_union)"
"14715","United States","Mike Saunders","Mike_Saunders_(rugby_union)"
"14717","United States","Tony Ridnell","Tony_Ridnell"
"14732","United States","Mike Siano","Mike_Siano"
"14857","United States","John Buchholz","John_Buchholz_(rugby_union)"
"14913","United States","Scott Lawrence","Scott_Lawrence_(rugby_union)"
"14917","United States","Adam Russell","Adam_H._Russell"
"14999","United States","Kyle Sumsion","Kyle_Sumsion"
"15099","United States","Jason Damm","Jason_Damm"
"15249","Uruguay","Roberto Canessa","Roberto_Canessa"
"15277","Uruguay","Antonio Vizintin","Antonio_Vizintin"
"15334","Uruguay","Eduardo Favaro","Eduardo_Favaro"
"15437","Uruguay","Alfredo Delgado","Alfredo_Delgado"
"15530","Uruguay","Alejo Corral","Alejo_Corral"
"15662","Uruguay","Ignacio Facciolo","Ignacio_Facciolo"
"15663","Uruguay","Diego Ardao","Diego_Ardao"
"15701","Wales","Fred Andrews","Fred_Andrews_(rugby_union)"
"15730","Wales","Albert Hybart","Albert_Hybart"
"15733","Wales","Sawdust Hughes","Hugh_Hughes_(rugby_union)"
"15740","Wales","John Meredith","John_Meredith_(rugby_union)"
"15743","Wales","T. Williams","T._Williams"
"15754","Wales","Teddy Bishop","Edward_Bishop_(rugby_union)"
"15762","Wales","Evan James","Evan_James_(rugby)"
"15767","Wales","Hugh Ingledew","Hugh_Ingledew"
"15799","Wales","Tom Jackson","Tom_Jackson_(rugby_union)"
"15826","Wales","Pussy Jones","Pussy_Jones"
"15841","Wales","Bala Jones","Bala_Jones"
"15875","Wales","Dai Westacott","Dai_Westacott"
"15895","Wales","Jake Blackmore","Jake_Blackmore"
"15912","Wales","Ewan Davies","Ewan_Davies"
"15921","Wales","Frank Hawkins","Frank_Hawkins_(rugby_union)"
"15959","Wales","Tom Parker","Tom_Parker_(rugby_union)"
"15975","Wales","Dick Huxtable","Dick_Huxtable"
"15979","Wales","Dai Edwards","Dai_Edwards"
"15981","Wales","Codger Johnson","Tom_Johnson_(rugby_union,_born_1893)"
"15992","Wales","Ambrose Baker","Ambrose_Baker"
"16009","Wales","Gethin Thomas","Gethin_Thomas"
"16061","Wales","Bernard Turnbull","Bernard_Turnbull"
"16088","Wales","Tal Harris","Tal_Harris"
"16103","Wales","Harry Bowcott","Harry_Bowcott"
"16105","Wales","Frank Williams","Frank_Williams_(rugby_union,_born_1910)"
"16120","Wales","Tom Day","Tom_Day_(rugby_union)"
"16179","Wales","Fred Morgan","Fred_Morgan_(rugby_union)"
"16221","Wales","Frank Trott","Frank_Trott"
"16246","Wales","W. A. 'Billy' Williams","Billy_Williams_(rugby_union,_born_1921)"
"16263","Wales","Denzil Thomas","Denzil_Thomas"
"16269","Wales","Gordon Wells","Gordon_Wells"
"16281","Wales","Robin Davies","Robin_Davies_(rugby_union)"
"16286","Wales","Graham Powell","Graham_Powell"
"16326","Wales","Gordon Britton","Gordon_Britton"
"16391","Wales","Ian Jones","Ian_Jones_(rugby_union,_born_1940)"
"16454","Wales","Rhodri Lewis","Rhodri_Lewis"
"16459","Wales","Gerald Williams","Gerald_Williams_(rugby_union)"
"16480","Wales","Howell Davies","Howell_Davies_(rugby_union,_born_1959)"
"16486","Wales","Phil Lewis","Phil_Lewis_(rugby_union)"
"16514","Wales","Phil May","Phil_May_(rugby_union)"
"16528","Wales","Richard Wintle","Richard_Wintle"
"16536","Wales","Phil Pugh","Phil_Pugh"
"16537","Wales","Andy Allen","Andy_Allen_(rugby_union)"
"16545","Wales","Paul Knight","Paul_Knight"
"16552","Wales","Alun Carter","Alun_Carter"
"16553","Wales","Glen George","Glen_George"
"16556","Wales","John Davies","John_Davies_(rugby_union,_born_1971)"
"16594","Wales","Gareth Jones","Gareth_Jones_(rugby_union,_born_1975)"
"16625","Wales","John Funnell","John_Funnell"
"16636","Wales","Matthew Robinson","Matthew_Robinson_(sportsman,_born_1973)"
"16871","Wales","Eddie James","Eddie_James"
