"nation","name","url"
"Argentina","Fernando Argerich",NA
"Argentina","Andres Courreges",NA
"Argentina","Miguel Glastra",NA
"Argentina","Armando Memoli",NA
"Argentina","Andrés Nicholson",NA
"Argentina","Guillermo Paz",NA
"Argentina","Carlos Ramallo",NA
"Argentina","Carlos Sainz Trapaga",NA
"Argentina","Guillermo Sanguinetti",NA
"Argentina","Martín García Laborde",NA
"Argentina","Carlos Jacobi",NA
"Argentina","Mario Negri",NA
"Argentina","Alejandro Puccio","https://en.wikipedia.org/wiki/Alejandro_Puccio"
"Argentina","Jaime Sartori",NA
"Argentina","Marcelo Dip",NA
"Argentina","Fernando Morel","https://en.wikipedia.org/wiki/Fernando_Morel"
"Argentina","Daniel Baetti",NA
"Argentina","Juan Pablo Piccardo",NA
"Argentina","Jorge Allen","https://en.wikipedia.org/wiki/Jorge_Allen"
"Argentina","José Palma",NA
"Argentina","Pablo Devoto",NA
"Argentina","Javier Miguens",NA
"Argentina","Gustavo Milano","https://en.wikipedia.org/wiki/Gustavo_Milano"
"Argentina","Guillermo Varone",NA
"Argentina","Serafín Dengra","https://en.wikipedia.org/wiki/Seraf%C3%ADn_Dengra"
"Argentina","Ricardo de Vedia",NA
"Argentina","Bernardo Miguens",NA
"Argentina","Juan Aguilar",NA
"Argentina","Ricardo Annichini",NA
"Argentina","Eduardo Basile",NA
"Argentina","Diego Cuesta Silva","https://en.wikipedia.org/wiki/Diego_Cuesta_Silva"
"Argentina","Sebastian Dassen",NA
"Argentina","Lucio de Chazal",NA
"Argentina","Gonzalo Gasso",NA
"Argentina","Pedro Lanza","https://en.wikipedia.org/wiki/Pedro_Lanza"
"Argentina","Alejandro Schiavio","https://en.wikipedia.org/wiki/Alejandro_Schiavio"
"Argentina","Alejandro Scolni",NA
"Argentina","Marcos Baeck",NA
"Argentina","Marcelo Carrique",NA
"Argentina","Carlos Cordeiro",NA
"Argentina","José Carlos Galvalisi",NA
"Argentina","Ricardo Sauze",NA
"Argentina","Eduardo Torello",NA
"Argentina","Diego Cash","https://en.wikipedia.org/wiki/Diego_Cash"
"Argentina","Juan Lanza","https://en.wikipedia.org/wiki/Juan_Lanza"
"Argentina","Fabián Turnes","https://en.wikipedia.org/wiki/Fabi%C3%A1n_Turnes"
"Argentina","Fabio Gómez","https://en.wikipedia.org/wiki/Fabio_G%C3%B3mez"
"Argentina","Rodrigo de la Arena",NA
"Argentina","Pedro Merlo",NA
"Argentina","Luis Molina","https://en.wikipedia.org/wiki/Luis_Molina_(rugby_union)"
"Argentina","Daniel Sanes",NA
"Argentina","José Luis Visca",NA
"Argentina","Guillermo Holmgren",NA
"Argentina","Sergio Carossio","https://en.wikipedia.org/wiki/Sergio_Carossio"
"Argentina","Eduardo Valesani",NA
"Argentina","Joaquín Uriarte",NA
"Argentina","José Mostany","https://en.wikipedia.org/wiki/Jos%C3%A9_Mostany"
"Argentina","Sebastián Salvat","https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Salvat"
"Argentina","Martín Yangüela","https://en.wikipedia.org/wiki/Mart%C3%ADn_Yang%C3%BCela"
"Argentina","Guillermo Angaut","https://en.wikipedia.org/wiki/Guillermo_Angaut"
"Argentina","Pablo Garretón","https://en.wikipedia.org/wiki/Pablo_Garret%C3%B3n"
"Argentina","Marcelo Ricci",NA
"Argentina","Juan José Angelillo",NA
"Argentina","Javier Caminotti",NA
"Argentina","Roberto Cobelo","https://en.wikipedia.org/wiki/Roberto_Cobelo"
"Argentina","Julio Coria",NA
"Argentina","Pablo Franchi",NA
"Argentina","Mario Gerosa","https://en.wikipedia.org/wiki/Mario_Gerosa"
"Argentina","Cristian Mendy",NA
"Argentina","Mario Carreras","https://en.wikipedia.org/wiki/Mario_Carreras"
"Argentina","Julio Clement","https://en.wikipedia.org/wiki/Julio_Clement"
"Argentina","Dardo González",NA
"Argentina","Santiago Mesón","https://en.wikipedia.org/wiki/Santiago_Mes%C3%B3n"
"Argentina","Hernan Vidou",NA
"Argentina","Gabriel Teran Nougues",NA
"Argentina","Fernando Conti",NA
"Argentina","Federico Silvestre",NA
"Argentina","Miguel Bertranou",NA
"Argentina","Marcelo Valesani",NA
"Argentina","Juan Soler Valls","https://en.wikipedia.org/wiki/Juan_Soler"
"Argentina","Pablo Buabse","https://en.wikipedia.org/wiki/Pablo_Buabse"
"Argentina","Pablo di Nisio",NA
"Argentina","Marcelo Righentini",NA
"Argentina","Pablo Camerlinckx",NA
"Argentina","Diego Halle",NA
"Argentina","Gustavo Jorge","https://en.wikipedia.org/wiki/Gustavo_Jorge"
"Argentina","Federico Schacht",NA
"Argentina","José Simes",NA
"Argentina","Juan Coppola",NA
