"playerId"  , "playerName"                    , "teamWdId"  , "teamRsId", "teamName"                                       , "startYear", "endYear", "matchesPlayed", "pointsScored", "dataSource"
"Q376378"   , "David Humphreys"               , "Q1548720"  , "282"     , "Ulster Rugby"                                   , "1998"     , "2008"   , "105"          , "1026"        , "itWP; frWP; esWP; enWP"
"Q376378"   , "David Humphreys"               , "Q807749"   , "136"     , "Barbarian FC"                                   , "2003"     , "2005"   , "6"            , "33"          , "WD"
"Q513355"   , "Gert Smal"                     , "Q1777760"  , "308"     , "Leopards"                                       , "1980"     , "1983"   , NA             , NA            , "itWP; enWP"
"Q513355"   , "Gert Smal"                     , "Q794910"   , "135"     , "Stormers"                                       , "1983"     , "1985"   , NA             , NA            , "itWP; enWP"
"Q513355"   , "Gert Smal"                     , "Q3873494"  , "822"     , "Emerging Springboks"                            , "1984"     , "1984"   , NA             , NA            , "enWP"
"Q513355"   , "Gert Smal"                     , NA          , "6186"    , "Stellenbosch University"                        , "1984"     , "1985"   , NA             , NA            , "enWP"
"Q513355"   , "Gert Smal"                     , "Q794910"   , "135"     , "Stormers"                                       , "1985"     , "1987"   , NA             , NA            , "itWP; enWP"
"Q513355"   , "Gert Smal"                     , "Q979797"   , "194"     , "Rugby Rovigo"                                   , "1987"     , "1990"   , NA             , NA            , "enWP; itWP"
"Q513355"   , "Gert Smal"                     , "Q3873494"  , "822"     , "Emerging Springboks"                            , "1986"     , "1986"   , NA             , NA            , "enWP"
"Q513355"   , "Gert Smal"                     , NA          , "7507"    , "South African Defence Force"                    , "1986"     , "1987"   , NA             , NA            , "enWP"
"Q513355"   , "Gert Smal"                     , "Q498478"   , "52"      , "South Africa national rugby union team"         , "1986"     , "1989"   , "6"            , "4"           , "WD; itWP; enWP"
"Q513355"   , "Gert Smal"                     , "Q794910"   , "135"     , "Stormers"                                       , "1990"     , "1994"   , NA             , NA            , "itWP"
"Q614928"   , "Cliff Morgan"                  , "Q842510"   , "151"     , "Cardiff RFC"                                    , "1949"     , "1958"   , "202"          , "120"         , "WD; frWP; itWP; esWP; enWP"
"Q614928"   , "Cliff Morgan"                  , "Q807749"   , "136"     , "Barbarian FC"                                   , "1950"     , "1958"   , "17"           , "12"          , "enWP; WD; frWP"
"Q614928"   , "Cliff Morgan"                  , "Q822877"   , "143"     , "Wales national rugby union team"                , "1951"     , "1958"   , "29"           , "9"           , "WD; frWP; itWP; esWP; enWP"
"Q614928"   , "Cliff Morgan"                  , "Q2893513"  , "429"     , "Bective Rangers"                                , "1955"     , "1955"   , NA             , NA            , "itWP"
"Q614928"   , "Cliff Morgan"                  , "Q733600"   , "118"     , "British & Irish Lions"                          , "1955"     , "1955"   , "4"            , "3"           , "WD; frWP; itWP; enWP"
"Q614928"   , "Cliff Morgan"                  , "Q2893513"  , "429"     , "Bective Rangers"                                , "1955"     , "1956"   , NA             , NA            , "WD; frWP; esWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q1368281"  , "253"     , "Queensland Reds"                                , "2002"     , "2006"   , "38"           , "20"          , "frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q622443"   , "86"      , "Australia national rugby union team"            , "2005"     , "2009"   , "5"            , "0"           , "frWP"
"Q639770"   , "Josh Valentine"                , "Q534417"   , "61"      , "New South Wales Waratahs"                       , "2006"     , "2008"   , "13"           , "5"           , "WD; frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q622443"   , "86"      , "Australia national rugby union team"            , "2006"     , "2009"   , "6"            , "0"           , "WD; enWP"
"Q639770"   , "Josh Valentine"                , "Q3506818"  , "689"     , "Sydney Stars"                                   , "2007"     , "2008"   , "1"            , "0"           , "enWP; frWP"
"Q639770"   , "Josh Valentine"                , "Q915507"   , "161"     , "Western Force"                                  , "2008"     , "2009"   , "12"           , "0"           , "frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q605245"   , "80"      , "ACT Brumbies"                                   , "2009"     , "2011"   , "25"           , "20"          , "frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q1115439"  , "208"     , "RC Narbonne"                                    , "2011"     , "2024"   , "88"           , "33"          , "frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q1781643"  , "309"     , "AS Béziers Hérault"                             , "2014"     , "2018"   , "99"           , "35"          , "frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q3550526"  , "718"     , "US Carcassonne"                                 , "2018"     , "2020"   , "38"           , "5"           , "frWP; enWP"
"Q639770"   , "Josh Valentine"                , "Q1781643"  , "309"     , "AS Béziers Hérault"                             , "2021"     , "2023"   , "33"           , "5"           , "frWP"
"Q639770"   , "Josh Valentine"                , "Q1115439"  , "208"     , "RC Narbonne"                                    , "2023"     , "2024"   , "23"           , "0"           , "frWP"
"Q639770"   , "Josh Valentine"                , "Q4823557"  , "931"     , "Australia A national rugby union team"          , NA         , NA       , NA             , NA            , "WD"
"Q639770"   , "Josh Valentine"                , NA          , "7676"    , "Singleton Rugby Club"                           , NA         , NA       , NA             , NA            , "enWP"
"Q646952"   , "Gillian Galan"                 , "Q2002695"  , "324"     , "US Montauban"                                   , "1999"     , "2007"   , NA             , NA            , "frWP"
"Q646952"   , "Gillian Galan"                 , "Q431412"   , "44"      , "Stade Toulousain"                               , "2007"     , "2011"   , NA             , NA            , "frWP"
"Q646952"   , "Gillian Galan"                 , "Q5478456"  , "1249"    , "France national under-20 rugby union team"      , "2011"     , "2011"   , "8"            , "0"           , "WD; frWP; enWP"
"Q646952"   , "Gillian Galan"                 , "Q431412"   , "44"      , "Stade Toulousain"                               , "2011"     , "2020"   , "166"          , "110"         , "WD; frWP; enWP"
"Q646952"   , "Gillian Galan"                 , "Q4075"     , "1"       , "Lyon OU"                                        , "2020"     , "2021"   , NA             , NA            , "frWP; enWP"
