"playerId","playerName","teamWdId","teamRsId","teamName","startYear","endYear","matchesPlayed","pointsScored","dataSource"
"Q8001748","Wilfred Bolton","Q378628",39,"England national rugby union team",1882,1887,11,34,"WD; enWP"
"Q8001810","Wilfred Hodder","Q822877",143,"Wales national rugby union team",1921,1921,NA,3,"WD"
"Q8001810","Wilfred Hodder","Q1127974",215,"Pontypool RFC",NA,NA,NA,NA,"WD"
"Q8001889","Wilfred Trenery","Q498478",52,"South Africa national rugby union team",1891,1891,1,0,"WD; enWP"
"Q8002314","Wilhelm Steenkamp","Q885646",156,"Bulls",2005,2010,66,25,"enWP"
"Q8002314","Wilhelm Steenkamp","Q885646",156,"Bulls",2007,2009,18,0,"enWP"
"Q8002314","Wilhelm Steenkamp","Q744636",121,"Sharks",2010,2010,5,0,"enWP"
"Q8002314","Wilhelm Steenkamp","Q266149",22,"Cheetahs",2011,2011,13,5,"enWP; enWP"
"Q8002314","Wilhelm Steenkamp","Q885646",156,"Bulls",2012,2013,22,0,"enWP; enWP"
"Q8002314","Wilhelm Steenkamp","Q915507",161,"Western Force",2014,NA,21,0,"WD; enWP"
"Q8002314","Wilhelm Steenkamp","Q1022912",197,"CA Brive",2016,2017,29,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q794910",135,"Stormers",2009,2012,NA,NA,"enWP"
"Q8002355","Wilhelm van der Sluys","Q794910",135,"Stormers",2012,2015,25,0,"enWP"
"Q8002355","Wilhelm van der Sluys",NA,6186,"Stellenbosch University",2013,2016,29,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q657211",105,"London Scottish F.C.",2016,2016,3,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q686057",114,"Rotherham R.U.F.C.",2016,2016,2,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q2094512",332,"Worcester Warriors",2016,2017,1,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q949807",179,"Southern Kings",2017,2017,11,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q675305",111,"Exeter Chiefs",2017,2019,12,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q1210146",241,"Lions",2019,2019,2,0,"enWP"
"Q8002355","Wilhelm van der Sluys","Q1210146",241,"Lions",2019,2021,15,0,"enWP; enWP"
"Q8002663","Will Addison","Q928517",164,"Sale Sharks",2010,2018,114,158,"WD; frWP; enWP"
"Q8002663","Will Addison","Q6722935",1481,"Macclesfield R.U.F.C.",2011,2011,2,0,"enWP"
"Q8002663","Will Addison","Q920928",163,"England national under-20 rugby union team",2012,2012,4,0,"WD; frWP; enWP"
"Q8002663","Will Addison","Q599903",77,"Ireland national rugby union team",2018,2020,5,2,"enWP"
"Q8002663","Will Addison","Q599903",77,"Ireland rugby union team",2018,2021,5,2,"frWP"
"Q8002663","Will Addison","Q1548720",282,"Ulster Rugby",2018,2024,44,58,"frWP; enWP"
"Q8002663","Will Addison","Q928517",164,"Sale Sharks",2024,2025,11,10,"frWP; enWP"
"Q8002712","Will Bowley","Q2094512",332,"Worcester Warriors",2002,NA,39,5,"WD; enWP"
"Q8002712","Will Bowley","Q6395476",1404,"Kettering Rugby Football Club",NA,NA,NA,NA,"enWP"
"Q8002743","Will Chambers","Q1368281",253,"Queensland Reds",2010,2011,26,25,"WD; jaWP; frWP"
"Q8002743","Will Chambers","Q1140373",225,"Munster Rugby",2011,2012,8,5,"WD; frWP"
"Q8002743","Will Chambers","Q7059701",1591,"Norths Devils",NA,NA,NA,NA,"WD"
"Q8002743","Will Chambers","Q3503997",685,"Tokyo Suntory Sungoliath",NA,NA,NA,NA,"jaWP"
"Q8002746","Will Chudley","Q639082",98,"Bedford Blues",2007,2011,68,25,"enWP"
"Q8002746","Will Chudley","Q910657",160,"Newcastle Red Bulls",2011,2012,14,5,"enWP"
"Q8002746","Will Chudley","Q675305",111,"Exeter Chiefs",2012,2018,140,75,"WD; enWP"
"Q8002746","Will Chudley","Q810786",138,"Bath Rugby",2018,2021,55,30,"enWP"
"Q8002746","Will Chudley","Q2094512",332,"Worcester Warriors",2021,2022,28,30,"enWP"
"Q8002746","Will Chudley","Q1138074",223,"Coventry R.F.C.",2022,NA,0,0,"enWP"
"Q8002755","Will Cliff","Q928517",164,"Sale Sharks",2006,2015,113,25,"WD; enWP"
"Q8002755","Will Cliff","Q374981",37,"Glasgow Warriors",2010,2010,0,0,"enWP"
"Q8002755","Will Cliff","Q1360196",251,"Leeds Tykes",2011,2012,13,0,"enWP"
"Q8002755","Will Cliff","Q917973",162,"Bristol Bears",2015,2017,45,40,"enWP"
"Q8002755","Will Cliff","Q928517",164,"Sale Sharks",2017,2023,121,114,"enWP"
"Q8002755","Will Cliff","Q6722935",1481,"Macclesfield R.U.F.C.",NA,NA,NA,NA,"enWP"
"Q8002755","Will Cliff","Q7416005",1782,"Sandbach RUFC",NA,NA,NA,NA,"enWP"
"Q8002780","Will Davies","Q841966",150,"Swansea RFC",1928,NA,0,0,"enWP"
"Q8002780","Will Davies","Q822877",143,"Wales national rugby union team",1931,1932,4,3,"WD; enWP"
"Q8002831","Will Graulich","Q1134198",220,"Cornish Pirates",2013,NA,0,0,"enWP"
"Q8002831","Will Graulich","Q745758",122,"Gloucester Rugby",NA,NA,NA,NA,"WD"
"Q8002851","Will Harries","Q1201283",239,"Northampton Saints",2006,2009,6,5,"WD; enWP"
"Q8002851","Will Harries","Q639082",98,"Bedford Blues",2008,2009,24,60,"enWP"
"Q8002851","Will Harries","Q82216",7,"Dragons",2009,2014,97,105,"WD; enWP"
"Q8002851","Will Harries","Q822877",143,"Wales national rugby union team",2010,2012,3,0,"WD; enWP"
"Q8002851","Will Harries","Q5325488",1197,"Ealing Rugby Club",2014,2019,56,115,"enWP"
"Q8002851","Will Harries","Q6686175",1476,"Loughborough Students RUFC",NA,NA,NA,NA,"WD"
"Q8002889","Will Hurrell","Q1071691",204,"Leicester Tigers",2009,2011,4,5,"WD; enWP"
"Q8002889","Will Hurrell","Q1048688",201,"London Welsh RFC",2011,2012,17,10,"WD; enWP"
"Q8002889","Will Hurrell","Q917973",162,"Bristol Bears",2015,2016,28,35,"enWP"
"Q8002889","Will Hurrell","Q639082",98,"Bedford Blues",NA,NA,NA,NA,"WD"
"Q8002889","Will Hurrell","Q3036238",490,"Doncaster R.F.C.",NA,NA,NA,NA,"WD"
"Q8002915","Will Kay","Q910657",160,"Newcastle Red Bulls",2003,2003,0,0,"enWP"
"Q8002959","Will Matthews","Q745758",122,"Gloucester Rugby",2003,2005,2,0,"WD; enWP"
"Q8002959","Will Matthews","Q2904530",434,"Birmingham & Solihull R.F.C.",2005,2008,61,30,"WD; enWP"
"Q8002959","Will Matthews","Q2481690",365,"Blackheath F.C.",2008,2009,15,10,"enWP"
"Q8002959","Will Matthews","Q1150127",231,"Wasps RFC",2009,NA,9,0,"enWP"
"Q8002998","Will Osborne","Q822877",143,"Wales national rugby union team",1902,1903,6,3,"WD; enWP"
"Q8002998","Will Osborne","Q5566543",1264,"Glamorgan Police RFC",NA,NA,NA,NA,"WD"
"Q8002998","Will Osborne","Q6924868",1534,"Mountain Ash RFC",NA,NA,0,0,"enWP"
"Q8003009","Will Parker","Q841966",150,"Swansea RFC",1893,NA,0,0,"WD; enWP"
"Q8003009","Will Parker","Q822877",143,"Wales national rugby union team",1899,1899,2,0,"WD; enWP"
"Q8003032","Will Radburn","Q2094512",332,"Worcester Warriors",2010,2012,0,0,"enWP"
"Q8003032","Will Radburn","Q2904530",434,"Birmingham & Solihull R.F.C.",2011,2012,9,0,"enWP"
"Q8003032","Will Radburn","Q2904530",434,"Birmingham & Solihull R.F.C.",2012,NA,0,0,"WD; enWP"
"Q8003141","Will Taylor","Q7961834",1950,"Wales national under-20 rugby union team",2009,2011,14,0,"WD; enWP"
"Q8003141","Will Taylor","Q1518257",273,"Ospreys",2009,2012,3,0,"WD; enWP"
"Q8003141","Will Taylor","Q841966",150,"Swansea RFC",2010,2011,18,0,"enWP"
"Q8003141","Will Taylor","Q319305",30,"Aberavon RFC",2011,2012,23,0,"enWP"
"Q8003141","Will Taylor","Q1150127",231,"Wasps RFC",2012,2015,39,5,"WD; enWP"
"Q8003141","Will Taylor","Q1043501",200,"Carmarthen Quins RFC",2015,2016,10,0,"enWP"
"Q8003141","Will Taylor","Q538747",64,"Scarlets",2015,NA,5,0,"enWP"
"Q8003141","Will Taylor","Q1517603",272,"Llanelli RFC",2016,NA,3,0,"enWP"
"Q8003160","Will Tupou","Q915507",161,"Western Force",2012,2013,13,5,"WD; jaWP; frWP"
"Q8003160","Will Tupou","Q21019421",2478,"Hino Red Dolphins",2014,2016,15,5,"WD; jaWP; frWP"
"Q8003160","Will Tupou","Q2981203",478,"Coca Cola West Red Sparks",2016,2021,33,60,"WD; jaWP; frWP"
"Q8003160","Will Tupou","Q19840257",2433,"Sunwolves",2017,2018,14,24,"WD; frWP"
"Q8003160","Will Tupou","Q1122433",210,"Japan national rugby union team",2017,2019,12,5,"WD; jaWP; frWP"
"Q8003160","Will Tupou","Q19840257",2433,"Sunwolves",2017,2019,14,24,"jaWP"
"Q8003160","Will Tupou","Q6374828",1398,"Toyota Verblitz",2021,NA,NA,NA,"WD; jaWP"
"Q8003160","Will Tupou","Q6374828",1398,"Toyota Verblitz",2022,NA,32,15,"frWP"
