"rugbyscopeId","fullName","countries","before","after"
7608,"Vaimoso Rugby Club","Samoa","Amateur","Amateur"
7609,"Vaiala Ulalei Sports Club","Samoa","Amateur","Amateur"
7610,"Vaheloto Rugby","Samoa","Amateur","Amateur"
37,"Glasgow Warriors","Scotland","Amateur","Senior"
84,"Gala RFC","Scotland","Amateur","Amateur"
165,"Hawick RFC","Scotland","Amateur","Amateur"
195,"Melrose RFC","Scotland","Amateur","Amateur"
229,"Currie RFC","Scotland","Amateur","Amateur"
357,"Jed-Forest RFC","Scotland","Amateur","Amateur"
522,"Glasgow High Kelvinside","Scotland","Amateur","Amateur"
734,"Watsonian FC","Scotland","Amateur","Amateur"
2592,"Scottish Exiles","Scotland","Amateur","Amateur"
22,"Cheetahs","South Africa","Regional","Senior"
103,"Border Bulldogs","South Africa","Amateur","Amateur"
121,"Sharks","South Africa","Regional","Senior"
135,"Stormers","South Africa","Regional","Senior"
156,"Bulls","South Africa","Regional","Senior"
233,"Pumas","South Africa","Amateur","Amateur"
234,"Griquas","South Africa","Amateur","Amateur"
235,"Boland Cavaliers","South Africa","Amateur","Amateur"
241,"Lions","South Africa","Regional","Senior"
495,"Eastern Province Kings","South Africa","Amateur","Amateur"
6216,"Old Georgians","South Africa","Amateur","Amateur"
41,"CRC Pozuelo","Spain","Amateur","Amateur"
57,"Real Oviedo Rugby","Spain","Amateur","Amateur"
388,"CR El Salvador","Spain","Amateur","Amateur"
470,"CR Liceo Francés","Spain","Amateur","Amateur"
520,"Getxo Rugby Taldea","Spain","Amateur","Amateur"
539,"UE Santboia"Amateur","Amateur"","Spain","Amateur","Amateur"
2037,"Barcelo"Amateur","Amateur" Universitari Club","Spain","Amateur","Amateur"
7341,"Toa ko Ma'afu Rugby Club","Tonga","Amateur","Amateur"
7411,"Vuaki Rugby Club","Tonga","Amateur","Amateur"
7632,"Toloa Old Boys","Tonga","Amateur","Amateur"
7794,"Kolofo'ou Rugby Club","Tonga","Amateur","Amateur"
7834,"Fasi Ma'ufanga Rugby Club","Tuvalu","Amateur","Amateur"
438,"Boston Irish Wolfhounds","U.S.A.","Amateur","Amateur"
