"url","country"
"Miles_Normandale","England"
"Clive_Stuart-Smith","England"
"Martin_Roberts_(rugby_union,_born_1968)","England"
"Ollie_Lindsay-Hague","England"
"Tom_Mitchell_(rugby_union,_born_1989)","England"
"Dan_Bibby","England"
"Calvin_Wellington","Wales"
"Harry_Davies_(rugby_union,_born_1994)","Wales"
"Gerry_Lowe_(rugby_league,_born_1927)","England"
"Billy_Williams_(sportsman)","England"
"Jay_Baker_(rugby_union)","Wales"
"Murray_Douglas","Scotland"
"Dicky_Goddard","England"
"Scott_Riddell","Scotland"
"William_Albert_Robertson","Scotland"
"Stuart_Redfern","England"
"James_Fish","England"
"Gordon_Wilson_(footballer,_born_1944)","Scotland"
"Alex_Karonias","England"
"Waller_Hobson","Ireland"
"Levi_Douglas","England"
"Ed_Holmes","England"
"Billy_Keast","England"
"Tom_Cruse","England"
"Zack_Henry","England"
"Miles_Reid_(rugby_union)","England"
"Matty_Rea","Ireland"
"Henry_Joynt","England"
"Billy_Searle","England"
"William_Stafford_(British_Army_officer)","England"
"Albert_Kemp_(rugby)","England"
"Jack_Scroby","England"
"Trevor_Glover","England"
"Alec_Coombes","Scotland"
"Noel_Howe-Browne","South Africa"
"Wally_Holmes_(rugby_union)","England"
"Fred_McLeod_(rugby_union)","Scotland"
"Jimmy_McNeil","Scotland"
"Rae_Tod","Scotland"
"Harry_Fry_(rugby_union)","Wales"
"Toby_Freeman","England"
"Billy_Price_(actor)","England"
"David_Edwards_(rugby_union,_born_1930)","Scotland"
"George_Pattullo_(rugby_union)","Scotland"
"John_Selwyn_Moll","England"
"Will_Wand","England"
"Peter_Colston_(rugby_union)","England"
"Tom_Carr-Smith","England"
"Michael_Dykes","England"
"Rhys_Litterick","England"
"John_Meadows_(rugby_union)","Australia"
"Martin_Green_(rugby_union_coach)","England"
"Jonathan_Kpoku","England"
"Harry_Wilson_(rugby_union,_born_1997)","England"
"Ethan_Caine","England"
"Peter_Thomas_(businessman)","Wales"
