"rugbyscopeId","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
11,"Q145281","Aironi","Club","2010-01-01","2012-01-01","Aironi Rugby; アイロニ; アイロニー","Italian Rugby Federation","Italy","Pro12",1,"Luigi Zaffanella Stadium","6000","Viadana",NA,NA,"Aironi","Aironi_Rugby","Aironi_Rugby","Aironi_Rugby",NA,"http://dbpedia.org/resource/Aironi",""
12,"Q163288","1. Oberösterreichischer Rugby Sport Club","Club","2000-01-01",NA,"Rugby Club Linz; RC Linz; 1",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"1._Ober%C3%B6sterreichischer_Rugby_Sport_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/1._Oberösterreichischer_Rugby_Sport_Club",""
13,"Q165586","Nottingham R.F.C.","Club","1871-01-01",NA,"Nottingham; Nottingham RFC; Nottingham RFU; Nottingham Rugby; Nottingham Rugby Club; Nottingham Rugby Football Club; Nottingham Rugby Team; Nottingham rugby union team; ノッティンガム; ノッティンガムRFC; ノッティンハム",NA,"England","RFU Championship",2,"Meadow Lane",NA,NA,NA,NA,"Nottingham_R.F.C.","Nottingham_Rugby_Football_Club","Nottingham_Rugby_Football_Club",NA,"%E3%83%8E%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%A0RFC","http://dbpedia.org/resource/Nottingham_R.F.C.",""
14,"Q169941","Cardiff Rugby","Club","2003-01-01",NA,"Blue and Blacks; Cardiff Blues; Cardiff Blues A; Cardiff Blues U-18; Cardiff Rugby Academy; Gleision; Gleision Caerdydd; カーディフ; カーディフ・ブルーズ; カーディフ・ラグビー","Welsh Rugby Union","Wales","United Rugby Championship",1,"Cardiff Arms Park","12125","Cardiff",NA,NA,"Cardiff_Rugby","Cardiff_Rugby","Cardiff_Rugby","Cardiff_Rugby","%E3%82%AB%E3%83%BC%E3%83%87%E3%82%A3%E3%83%95%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Cardiff_Rugby",""
15,"Q195734","United Arab Emirates national rugby union team","National senior team","2011-04-23",NA,NA,NA,"United Arab Emirates",NA,1,NA,NA,NA,NA,NA,"United_Arab_Emirates_national_rugby_union_team","%C3%89quipe_des_%C3%89mirats_arabes_unis_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_degli_Emirati_Arabi_Uniti","Selecci%C3%B3n_de_rugby_de_Emiratos_%C3%81rabes_Unidos",NA,NA,""
16,"Q211985","RC Mainz","Club","1999-01-01",NA,"Rugby Club Mainz; Rugby Club Mainz e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"RC_Mainz","RC_Mainz",NA,NA,NA,"http://dbpedia.org/resource/RC_Mainz",""
17,"Q247246","Pacific Islanders rugby union team","Combined team","2004-01-01",NA,"Equipe des Pacific Islanders de rugby a XV; Pacific Islanders; Pacific Islanders rugby team; Tour dei Pacific Islanders 2008; パシフィック・アイランダーズ",NA,NA,NA,1,NA,NA,NA,NA,NA,"Pacific_Islanders_rugby_union_team","%C3%89quipe_des_Pacific_Islanders_de_rugby_%C3%A0_XV","Pacific_Islanders","Pacific_Islanders","%E3%83%91%E3%82%B7%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Pacific_Islanders_rugby_union_team",""
18,"Q250778","Portugal national rugby union team","National senior team","1935-04-13",NA,"Echipa naţională de rugby a Portugaliei; Nazionale di rugby XV del Portogallo; Portogallo; Portugal; Portugal nasionale rugbyspan; Portugal se nasionale rugbyspan; Portugees rugbyteam; Reprezentacja Portugalii w rugby mężczyzn; ru prt; Seleção Portuguesa de Râguebi; Seleção Portuguesa de Rugby Masculino; Seleção Portuguesa de Rugby Union; Selecção Portuguesa de Râguebi; Selecção Portuguesa de Râguebi Masculino; Selecção Portuguesa de Rugby; Selecção Portuguesa de Rugby Masculino; Seleccion de rugby de Portugal; Tim rygbi'r undeb cenedlaethol Portiwgal; tim rygbi Portiwgal; tîm rygbi Portiwgal; ポルトガル",NA,"Portugal",NA,1,"Estádio Universitário de Lisboa","8000",NA,NA,NA,"Portugal_national_rugby_union_team","%C3%89quipe_du_Portugal_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Portogallo","Selecci%C3%B3n_de_rugby_de_Portugal","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%9D%E3%83%AB%E3%83%88%E3%82%AC%E3%83%AB%E4%BB%A3%E8%A1%A8",NA,""
19,"Q250783","Spain national rugby union team","National senior team","1929-05-20",NA,"el XV del León; Espagne; España; Los Leones; Nazionale di rugby XV della Spagna; Reprezentacja Hiszpanii w rugby mężczyzn; ru esp; Seleção Espanhola de Râguebi; Selecció espanyola de rugbi; Selecció nacional de rugbi d'Espanya; selección de rugbi d'España; Seleccion de rugby de Espana; Selección de rugby de Espana; Seleccion de rugby de España; selección española de rugbi; Seleccion espanola de rugby; Selección espanola de rugby; Seleccion española de rugby; Selección española de rugby; selección masculina de rugbi d'España; Seleccion nacional de rugby de Espana; Selección nacional de rugby de Espana; Seleccion nacional de rugby de España; Selección nacional de rugby de España; seleición de rugbi d'España; seleición española de rugbi; Spaans rugbyteam; Spagna; Spain; Spanje nasionale rugbyspan; Spanje se nasionale rugbyspan; tîm rygbi'r undeb cenedlaethol Sbaen; Tîm rygbi cenedlaethol Sbaen; tîm rygbi Sbaen; XV del leon; XV del león; XV del Lleó; スペイン",NA,"Spain",NA,1,"Estadio Nacional Complutense","12000",NA,NA,NA,"Spain_national_rugby_union_team","%C3%89quipe_d%27Espagne_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Spagna","Selecci%C3%B3n_de_rugby_de_Espa%C3%B1a","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Spain_national_rugby_union_team",""
20,"Q254209","FC Lourdes","Club","1911-01-01",NA,"F.C. Lourdes; FC Lourdais; FC Lourdes XV; Football club lourdais Hautes-Pyrénées; Football Club Lourdais XV; Football club lourdais XV Hautes-Pyrénées; Lourdes; 卢尔德橄榄球俱乐部","French Rugby Federation","France","Fédérale 2 - Poule 5",6,"Stade Antoine-Béguère","6500","Lourdes",NA,NA,"FC_Lourdes","Football_club_lourdais_XV_Hautes-Pyr%C3%A9n%C3%A9es","Football_Club_Lourdais_XV","FC_Lourdes","FC%E3%83%AB%E3%83%AB%E3%83%89","http://dbpedia.org/resource/FC_Lourdes",""
21,"Q255027","Älvsjö AIK","Club","1915-05-23",NA,"エルブシェAIK FF",NA,"Sweden",NA,NA,"Älvsjö IP",NA,"Älvsjö",NA,NA,"%C3%84lvsj%C3%B6_AIK",NA,NA,NA,NA,NA,""
22,"Q266149","Cheetahs","Club","1895-01-01",NA,"Central Cheetahs; Cheetahs Rugby Union; Cheetahs XV; Cheetahs/Free State Cheetahs; Emerging Cheetahs; F.S. Cheetahs; Free State; Free State Cheetahs; Free State Cheetahs Academy; Free State Cheetahs U19; Free State U19; Free State U21; Free State XV; Fs Cheetahs; FS Cheetahs; FSチーターズ; Griquas / Cheetahs; Orange Free State; エマージング・チーターズ; オレンジ・フリーステイト; チーターズ; フリーステイト・チーターズ; フリーステイトXV; フリーステート; フリーステート・チーターズ; フリーステートXV; フリーステートチーターズ","South African Rugby Union","South Africa","United Rugby Championship; Pro14; Currie Cup",2,"Free State Stadium","48000","Bloemfontein",NA,NA,"Cheetahs_(rugby_union)","Cheetahs","Central_Cheetahs","Cheetahs","%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/Cheetahs_(rugby_union)","Merged with Q1053725"
23,"Q276760","Uruguay national rugby union team","National senior team","1951-09-09",NA,"los Teros; nazionale di rugby XV dell’Uruguay; ru ury; Seleção Uruguaia de Râguebi; Seleção uruguaia rugby; Selecção Uruguaia de Rugby; Seleccion de rugby de Uruguay; Selección de rugby de Uruguay; Seleccion nacional de rugby de Uruguay; Tîm rygbi'r undeb cenedlaethol Uruguay; tîm rygbi'r undeb cenedlaethol Wrwgwái; tîm rygbi Uruguay; tîm rygbi Wrwgwái; Uruguay; Uruguay nasionale rugbyspan; Uruguay rugby team; Uruguay se nasionale rugbyspan; Uruguayaans rugbyteam; Uruguayse nasionale rugbyspan; ウルグアイ",NA,"Uruguay",NA,1,"Estadio Charrúa","14000",NA,NA,NA,"Uruguay_national_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Uruguay","Selecci%C3%B3n_de_rugby_de_Uruguay","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_rugby_union_team",""
24,"Q281694","Berliner RC","Club","1928-01-01",NA,"Berlin RC; Berliner Rugby Club; Berliner Rugby Club e.V. 1926",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Berlin",NA,NA,"Berliner_RC","Berliner_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Berliner_RC",""
25,"Q282354","Hamilton RFC","Club","1927-01-01",NA,"Hamilton; Hamilton Rugby Club; Hamiltons RC; The Bulls",NA,"Scotland","Scottish Premiership Division Two; Scottish National League Division Three",5,NA,NA,NA,NA,NA,"Hamilton_RFC","Hamilton_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Hamilton_RFC",""
26,"Q289030","Birmingham Moseley Rugby Club","Club","1873-01-01",NA,"Billesley Boys; Birmingham-Moseley; Birmingham Moseley; Birmingham Moseley RFC; Birmingham Moseley Rugby; Mose; Moseley; Moseley Boys; Moseley Colts; Moseley R.F.C.; Moseley RFC; Moseley Rugby; Moseley Rugby Club; Moseley Rugby Football Club; MoseleyRugbyFC; Мозли Рагби Футбол Клаб; バーミンガム・モーズリー・ラグビー・クラブ; バーミンガム・モーズリーRC; モーズリー; モーズリーRFC; モズリー","Rugby Football Union","England","National League 1",3,"Billesley Common","5000",NA,NA,NA,"Birmingham_Moseley_Rugby","Birmingham_Moseley_Rugby_Football_Club","Birmingham_Moseley_Rugby_Club",NA,"%E3%83%90%E3%83%BC%E3%83%9F%E3%83%B3%E3%82%AC%E3%83%A0%E3%83%BB%E3%83%A2%E3%83%BC%E3%82%BA%E3%83%AA%E3%83%BCRC","http://dbpedia.org/resource/Birmingham_Moseley_Rugby_Club",""
27,"Q297901","ASM Clermont Auvergne","Club","1911-10-11",NA,"A.S. Montferrand; AS Monferrand; AS Montferrand; AS Montferrandaise; Asm Clermont; ASM Clermont; Asm Clermont Academy; ASM Clermont Academy; Asm Clermont Auvergne; ASMCA; ASMクレルモン; ASMクレルモン・オーヴェルニュ; Association sportive montferrandaise; Association Sportive Montferrandaise Clermont Auvergne; ASモンフェラン; Clermond FA; Clermont; Clermont-Ferrand; Clermont Auvergne; Clermont Montferrand; Clermont rugby; Les Jaunards; Les Jaunes; Montferrand; The Arverni; The Vulcans; Yellow Army; спортивный клуб; クレルモン; クレルモン・オーヴェルニュ; モンフェラン","French Rugby Federation","France","Top 14",1,"Parc des Sports Marcel Michelin","19357","Clermont-Ferrand","clermont",NA,"ASM_Clermont_Auvergne","ASM_Clermont_Auvergne","Association_sportive_montferrandaise_Clermont_Auvergne","ASM_Clermont_Auvergne","ASM%E3%82%AF%E3%83%AC%E3%83%AB%E3%83%A2%E3%83%B3%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%8B%E3%83%A5","http://dbpedia.org/resource/ASM_Clermont_Auvergne",""
28,"Q298137","ASV Köln","Club","1929-01-01",NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"ASV_K%C3%B6ln",NA,NA,NA,NA,NA,""
29,"Q304142","Austria national rugby union team","National senior team",NA,NA,"Austria national rugby team; Austria rugby team; Austria rugby union team; Austrian national rugby team; Equipe d'Autriche de rugby a XV; Nazionale di rugby XV dell'Austria",NA,"Austria",NA,1,NA,NA,NA,NA,NA,"Austria_national_rugby_union_team","%C3%89quipe_d%27Autriche_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Austria",NA,NA,NA,""
30,"Q319305","Aberavon RFC","Club","1876-01-01",NA,"Aberavon; Aberavon Rugby Football Club; Aberavon RFC; The Wizards; Welsh Wizards; アベラ－ヴォン; アベラーヴォン; アベラヴォン; アベレイブンズ",NA,"Wales","Welsh Premiership",2,"Talbot Athletic Ground",NA,"Port Talbot",NA,NA,"Aberavon_RFC","Aberavon_Rugby_Football_Club","Aberavon_Rugby_Football_Club",NA,NA,"http://dbpedia.org/resource/Aberavon_RFC",""
31,"Q325466","Heidelberger RK","Club","1872-01-01",NA,"Heidelberg RK; Heidelberger RK - Rugby; Heidelberger Rkusc Rugby; Heidelberger Ruderklub 1872; Heidelberger Ruderklub 1872 e. V.; Heidelberger Ruderklub 1872 e.V.; HRK; ハイデルベルガーRK",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Heidelberg",NA,NA,"Heidelberger_RK","Heidelberger_Ruderklub_1872_e.V.","Heidelberger_Ruderklub_1872",NA,NA,"http://dbpedia.org/resource/Heidelberger_RK",""
32,"Q334657","Chile national rugby union team","National senior team","1936-09-18",NA,"Chile; Chili; Los Condores; Nazionale di rugby cilena; Nazionale di rugby XV del Cile; ru chl; Seleção Chilena de Râguebi; Seleccion de rugby de Chile; Selección de rugby de Chile; Seleccion nacional de rugby de Chile; Selección nacional de rugby de Chile; チリ",NA,"Chile",NA,1,NA,NA,NA,NA,NA,"Chile_national_rugby_union_team","%C3%89quipe_du_Chili_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Cile","Selecci%C3%B3n_de_rugby_de_Chile","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E4%BB%A3%E8%A1%A8",NA,""
33,"Q335062","Belgium national rugby union team","National senior team","1930-07-01",NA,"België nasionale rugbyspan; Belgio; Belgique; Belgisch rugbyteam; Belgium; les Diables noirs; Nazionale di rugby XV del Belgio; Reprezentacja Belgii w rugby mężczyzn; ru bel; Seleccion de rugby de Belgica; ベルギー",NA,"Belgium",NA,1,NA,NA,NA,NA,NA,"Belgium_national_rugby_union_team","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Belgio","Selecci%C3%B3n_de_rugby_de_B%C3%A9lgica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC%E4%BB%A3%E8%A1%A8",NA,""
34,"Q367722","Denmark national rugby union team","National senior team","1949-01-01",NA,"Danimarca; DRB",NA,"Denmark",NA,1,NA,NA,NA,NA,NA,"Denmark_national_rugby_union_team","%C3%89quipe_du_Danemark_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Danimarca","Selecci%C3%B3n_de_rugby_de_Dinamarca",NA,NA,""
35,"Q373704","Niue national rugby union team","National senior team","1983-01-01",NA,"nazionale niueana di rugby; Niue; Seleccion de rugby de Niue",NA,"Niue",NA,1,NA,NA,NA,NA,NA,"Niue_national_rugby_union_team","%C3%89quipe_de_Niue_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Niue","Selecci%C3%B3n_de_rugby_de_Niue",NA,NA,""
36,"Q374255","Bosnia and Herzegovina national rugby union team","National senior team","1992-01-01",NA,"Bosnie-Herzégovine; Nazionale di rugby a 15 della Bosnia",NA,"Bosnia and Herzegovina",NA,1,NA,NA,NA,NA,NA,"Bosnia_and_Herzegovina_national_rugby_union_team","%C3%89quipe_de_Bosnie-Herz%C3%A9govine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bosnia_ed_Erzegovina","Selecci%C3%B3n_de_rugby_de_Bosnia_y_Herzegovina",NA,NA,""
37,"Q374981","Glasgow Warriors","Club","1996-01-01",NA,"Glasgow; Glasgow Caledonian; Glasgow Caledonians; Glasgow Rugby; Glasgow Thistles; Glasgow Warriors A; Glaswgow Warriors; グラスゴー; グラスゴー・ウォリアーズ","Scottish Rugby Union","Scotland","United Rugby Championship",1,"Scotstoun Stadium","4765","Glasgow","glasgow",NA,"Glasgow_Warriors","Glasgow_Warriors","Glasgow_Warriors","Glasgow_Warriors","%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%B4%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Glasgow_Warriors",""
38,"Q377914","Connemara RFC","Club","1974-01-01",NA,"Connemara; Connemara Rugby Football Club; The Blacks",NA,"Ireland","Connacht Senior Cup",7,NA,NA,NA,NA,NA,"Connemara_RFC","Connemara_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Connemara_RFC",""
39,"Q378628","England national rugby union team","National senior team","1871-03-27",NA,"Anglaterra rugby; Angleterre; Engels rugbyteam; England; England national rugby team; England Rugby; England rugby team; England rugby union team; Inghilterra; Inglaterra; nazionale inglese di rugby; ru eng; RU England; rugbi Anglaterra; selección de rugbi d'Inglaterra; Seleccion de rugby de Inglaterra; Selección de rugby de Inglaterra; selección inglesa de rugbi; selección masculina de rugbi d'Inglaterra; seleición de rugbi d'Inglaterra; seleición inglesa de rugbi; The Roses; XV de la Rose; イングランド; イングランド代表; ทีมรักบี้อังกฤษ",NA,"United Kingdom",NA,1,"Twickenham Stadium","82000",NA,NA,NA,"England_national_rugby_union_team","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA,""
