"PointsScored","Count"
"1811",2
"1812",2
"1821",1
"1822",1
"1889",1
"1920",1
"1934",1
"1961",1
"1968",1
"1990",1
"2002",1
"2008",1
"2026",1
"2027",1
"2030",1
"2070",1
"2099",1
"2118",1
"2178",1
"2184",1
"2191",1
"2198",1
"2208",1
"2226",1
"2229",1
"2254",1
"2260",1
"2281",1
"2302",1
"2347",1
"2356",1
"2395",1
"2396",1
"2491",1
"2512",1
"2618",1
"2645",1
"2678",1
"2742",1
"2810",1
"2824",1
"2840",1
"2968",1
"3047",1
"3050",1
"3090",1
"3230",2
"3237",1
"3255",1
"3262",1
"3394",1
"3436",1
"3445",1
"3564",1
"3574",1
"3576",1
"3608",1
"3627",1
"3659",1
"3769",1
"3884",1
"3957",1
"4108",1
"4145",1
"4187",1
"4257",1
"4276",1
"4308",1
"4315",1
"4329",1
"4340",1
"4685",1
"4782",1
"4804",1
"4824",1
"4864",1
"4970",1
"5038",1
"5064",1
"5080",1
"5142",1
"5182",1
"5187",1
"5408",2
"5476",1
"5488",1
"5631",1
"5666",1
"5809",1
"5815",1
"6324",1
"6509",1
"6513",1
"6531",1
"6649",1
"6711",1
"6797",1
"6935",1
"7181",1
"7225",1
"7382",1
"7406",1
"7622",1
"7669",1
"7756",1
"7975",1
"8119",1
"8168",1
"8217",1
"8630",1
"8770",1
"8862",1
"9039",1
"9105",1
"9107",1
"9120",1
"9247",1
"9271",1
"9712",1
"9980",1
"10251",1
"10814",1
"10981",1
"11029",1
"11129",1
"11209",1
"11280",1
"11303",1
"11423",1
"11471",1
"11507",1
"11599",1
"11666",1
"11682",1
"11782",1
"11809",1
"11876",1
"12020",1
"12048",1
"12177",1
"12229",1
"12550",1
"12613",1
"12696",1
"12848",1
"13310",1
"13489",1
"13568",1
"13570",1
"13629",1
"13731",1
"13732",1
"13791",1
"13796",1
"13952",1
"14091",1
"14148",1
"14239",1
"14442",1
"14815",1
"14906",1
"14992",1
"14994",1
"15128",1
"15204",1
"15350",1
"15632",1
"15696",1
"15768",1
"15797",1
"16000",1
"16116",1
"16135",1
"16320",1
"16494",1
"17406",1
"18153",1
"18265",1
"18324",1
"18467",1
"19099",1
"19204",1
"19792",1
"19867",1
"20197",1
"20410",1
"20575",1
"20926",1
"20972",1
"21431",1
"21476",1
"22626",1
"23110",1
"23722",1
"24222",1
"26809",1
"30578",1
"37906",1
"48812",1
NA,0
