"rubyscopeId","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
11,"Q145281","Aironi","defunct rugby union club","2010-01-01",NA,"2012-01-01","Italian Rugby Federation","Italy","Pro12",1,"Luigi Zaffanella Stadium","6000","Viadana",NA,NA,"Aironi","Aironi_Rugby","Aironi_Rugby","Aironi_Rugby",NA,"http://dbpedia.org/resource/Aironi"
12,"Q163288","1. Oberösterreichischer Rugby Sport Club","rugby union club","2000-01-01","1",NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"1._Ober%C3%B6sterreichischer_Rugby_Sport_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/1._Oberösterreichischer_Rugby_Sport_Club"
13,"Q165586","Nottingham R.F.C.","rugby union club","1871-01-01","Nottingham Rugby Club",NA,NA,"England","RFU Championship",2,"Meadow Lane",NA,NA,NA,NA,"Nottingham_R.F.C.","Nottingham_Rugby_Football_Club","Nottingham_Rugby_Football_Club",NA,"%E3%83%8E%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%A0RFC","http://dbpedia.org/resource/Nottingham_R.F.C."
14,"Q169941","Cardiff Rugby","rugby union club","2003-01-01",NA,NA,"Welsh Rugby Union","Wales","United Rugby Championship",1,"Cardiff Arms Park","12125","Cardiff",NA,NA,"Cardiff_Rugby","Cardiff_Rugby","Cardiff_Rugby","Cardiff_Rugby","%E3%82%AB%E3%83%BC%E3%83%87%E3%82%A3%E3%83%95%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Cardiff_Rugby"
15,"Q195734","United Arab Emirates national rugby union team","national rugby union team","2011-04-23",NA,NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,"United_Arab_Emirates_national_rugby_union_team","%C3%89quipe_des_%C3%89mirats_arabes_unis_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_degli_Emirati_Arabi_Uniti","Selecci%C3%B3n_de_rugby_de_Emiratos_%C3%81rabes_Unidos",NA,NA
16,"Q211985","RC Mainz","rugby union club","1999-01-01","Rugby Club Mainz; Rugby Club Mainz e.V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"RC_Mainz","RC_Mainz",NA,NA,NA,"http://dbpedia.org/resource/RC_Mainz"
17,"Q247246","Pacific Islanders rugby union team","rugby union team","2004-01-01","Pacific Islanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific_Islanders_rugby_union_team","%C3%89quipe_des_Pacific_Islanders_de_rugby_%C3%A0_XV","Pacific_Islanders","Pacific_Islanders","%E3%83%91%E3%82%B7%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Pacific_Islanders_rugby_union_team"
18,"Q250778","Portugal national rugby union team","national rugby union team","1935-04-13",NA,NA,NA,"Portugal",NA,NA,"Estádio Universitário de Lisboa","8000",NA,NA,NA,"Portugal_national_rugby_union_team","%C3%89quipe_du_Portugal_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Portogallo","Selecci%C3%B3n_de_rugby_de_Portugal","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%9D%E3%83%AB%E3%83%88%E3%82%AC%E3%83%AB%E4%BB%A3%E8%A1%A8",NA
19,"Q250783","Spain national rugby union team","national rugby union team","1929-05-20",NA,NA,NA,"Spain",NA,NA,"Estadio Nacional Complutense","12000",NA,NA,NA,"Spain_national_rugby_union_team","%C3%89quipe_d%27Espagne_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Spagna","Selecci%C3%B3n_de_rugby_de_Espa%C3%B1a","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Spain_national_rugby_union_team"
20,"Q254209","FC Lourdes","rugby union team","1911-01-01","FC Lourdais; Football Club Lourdais XV Hautes-Pyrénées",NA,"French Rugby Federation","France","Fédérale 2 - Poule 5",6,"Stade Antoine-Béguère","6500","Lourdes",NA,NA,"FC_Lourdes","Football_club_lourdais_XV_Hautes-Pyr%C3%A9n%C3%A9es","Football_Club_Lourdais_XV","FC_Lourdes","FC%E3%83%AB%E3%83%AB%E3%83%89","http://dbpedia.org/resource/FC_Lourdes"
21,"Q255027","Älvsjö AIK","rugby union club","1915-05-23",NA,NA,NA,"Sweden",NA,NA,"Älvsjö IP",NA,"Älvsjö",NA,NA,"%C3%84lvsj%C3%B6_AIK",NA,NA,NA,NA,NA
22,"Q266149","Free State Cheetahs","rugby union club","1895-01-01",NA,NA,"South African Rugby Union","South Africa","Currie Cup",2,"Free State Stadium","48000",NA,NA,NA,"Free_State_Cheetahs","Free_State_Cheetahs","Free_State_Cheetahs","Free_State_Cheetahs","%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A4%E3%83%88%E3%83%BB%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Free_State_Cheetahs"
23,"Q276760","Uruguay national rugby union team","national rugby union team","1951-09-09",NA,NA,NA,"Uruguay",NA,NA,"Estadio Charrúa","14000",NA,NA,NA,"Uruguay_national_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Uruguay","Selecci%C3%B3n_de_rugby_de_Uruguay","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_rugby_union_team"
24,"Q281694","Berliner RC","rugby union club","1928-01-01","Berliner Rugby Club e.V. 1926",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Berlin",NA,NA,"Berliner_RC","Berliner_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Berliner_RC"
25,"Q282354","Hamilton RFC","rugby union team","1927-01-01","Hamilton; Hamilton Rugby Club",NA,NA,"Scotland","Scottish Premiership Division Two; Scottish National League Division Three",5,NA,NA,NA,NA,NA,"Hamilton_RFC","Hamilton_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Hamilton_RFC"
26,"Q289030","Birmingham Moseley Rugby Club","rugby union club","1873-01-01","Birmingham Moseley",NA,"Rugby Football Union","England","National League 1",3,"Billesley Common","5000",NA,NA,NA,"Birmingham_Moseley_Rugby","Birmingham_Moseley_Rugby_Football_Club","Birmingham_Moseley_Rugby_Club",NA,"%E3%83%90%E3%83%BC%E3%83%9F%E3%83%B3%E3%82%AC%E3%83%A0%E3%83%BB%E3%83%A2%E3%83%BC%E3%82%BA%E3%83%AA%E3%83%BCRC","http://dbpedia.org/resource/Birmingham_Moseley_Rugby_Club"
27,"Q297901","ASM Clermont Auvergne","rugby union club","1911-10-11","Association Sportive Montferrandaise Clermont Auvergne",NA,"French Rugby Federation","France","Top 14",1,"Parc des Sports Marcel Michelin","19357","Clermont-Ferrand","clermont",NA,"ASM_Clermont_Auvergne","ASM_Clermont_Auvergne","Association_sportive_montferrandaise_Clermont_Auvergne","ASM_Clermont_Auvergne","ASM%E3%82%AF%E3%83%AC%E3%83%AB%E3%83%A2%E3%83%B3%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%8B%E3%83%A5","http://dbpedia.org/resource/ASM_Clermont_Auvergne"
28,"Q298137","ASV Köln","rugby union club","1929-01-01",NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"ASV_K%C3%B6ln",NA,NA,NA,NA,NA
29,"Q304142","Austria national rugby union team","national rugby union team",NA,NA,NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"Austria_national_rugby_union_team","%C3%89quipe_d%27Autriche_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Austria",NA,NA,NA
30,"Q319305","Aberavon RFC","rugby union club","1876-01-01","Aberavon Rugby Football Club",NA,NA,"Wales","Welsh Premiership",2,"Talbot Athletic Ground",NA,"Port Talbot",NA,NA,"Aberavon_RFC","Aberavon_Rugby_Football_Club","Aberavon_Rugby_Football_Club",NA,NA,"http://dbpedia.org/resource/Aberavon_RFC"
31,"Q325466","Heidelberger RK","rugby union team","1872-01-01","Heidelberger RK - Rugby; Heidelberger Ruderklub 1872 e.V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Heidelberg",NA,NA,"Heidelberger_RK","Heidelberger_Ruderklub_1872_e.V.","Heidelberger_Ruderklub_1872",NA,NA,"http://dbpedia.org/resource/Heidelberger_RK"
32,"Q334657","Chile national rugby union team","national rugby union team","1936-09-18",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,NA,"Chile_national_rugby_union_team","%C3%89quipe_du_Chili_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Cile","Selecci%C3%B3n_de_rugby_de_Chile","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E4%BB%A3%E8%A1%A8",NA
33,"Q335062","Belgium national rugby union team","national rugby union team","1930-07-01",NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Belgium_national_rugby_union_team","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Belgio","Selecci%C3%B3n_de_rugby_de_B%C3%A9lgica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC%E4%BB%A3%E8%A1%A8",NA
34,"Q367722","Denmark national rugby union team","national rugby union team","1949-01-01",NA,NA,NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,"Denmark_national_rugby_union_team","%C3%89quipe_du_Danemark_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Danimarca","Selecci%C3%B3n_de_rugby_de_Dinamarca",NA,NA
35,"Q373704","Niue national rugby union team","national rugby union team","1983-01-01",NA,NA,NA,"Niue",NA,NA,NA,NA,NA,NA,NA,"Niue_national_rugby_union_team","%C3%89quipe_de_Niue_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Niue","Selecci%C3%B3n_de_rugby_de_Niue",NA,NA
36,"Q374255","Bosnia and Herzegovina national rugby union team","national rugby union team","1992-01-01",NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,"Bosnia_and_Herzegovina_national_rugby_union_team","%C3%89quipe_de_Bosnie-Herz%C3%A9govine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bosnia_ed_Erzegovina","Selecci%C3%B3n_de_rugby_de_Bosnia_y_Herzegovina",NA,NA
37,"Q374981","Glasgow Warriors","rugby union club","1996-01-01",NA,NA,"Scottish Rugby Union","Scotland","United Rugby Championship",1,"Scotstoun Stadium","4765","Glasgow","glasgow",NA,"Glasgow_Warriors","Glasgow_Warriors","Glasgow_Warriors","Glasgow_Warriors","%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%B4%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Glasgow_Warriors"
38,"Q377914","Connemara RFC","rugby union team","1974-01-01","Connemara Rugby Football Club",NA,NA,"Ireland","Connacht Senior Cup",7,NA,NA,NA,NA,NA,"Connemara_RFC","Connemara_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Connemara_RFC"
39,"Q378628","England national rugby union team","national rugby union team","1871-03-27",NA,NA,NA,"United Kingdom",NA,NA,"Twickenham Stadium","82000",NA,NA,NA,"England_national_rugby_union_team","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
40,"Q388269","Rugby Calvisano","rugby union club","1970-01-01",NA,NA,"Italian Rugby Federation","Italy","Serie A Élite; Serie A",3,"San Michele Stadium","5000","Calvisano",NA,NA,"Rugby_Calvisano","Rugby_Calvisano","Rugby_Calvisano","Rugby_Calvisano","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%BB%E3%82%AB%E3%83%AB%E3%83%B4%E3%82%A3%E3%82%B6%E3%83%BC%E3%83%8E","http://dbpedia.org/resource/Rugby_Calvisano"
41,"Q389007","CRC Pozuelo","rugby union team","1963-01-01","Club de Rugby CRC Pozuelo",NA,"Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Campo de rugby Valle de las Cañas","500","Pozuelo de Alarcón",NA,NA,"CRC_Pozuelo","CRC_Pozuelo","Canoe_Rugby_Club_Pozuelo_Madrid","CRC_Pozuelo",NA,"http://dbpedia.org/resource/CRC_Pozuelo"
42,"Q425906","Canberra Vikings","rugby union club","1994-01-01",NA,NA,NA,"Australia","National Rugby Championship",2,"Manuka Oval",NA,NA,NA,NA,"Canberra_Vikings","Canberra_Vikings",NA,"Canberra_Vikings",NA,"http://dbpedia.org/resource/Canberra_Vikings"
43,"Q427312","Greece national rugby union team","national rugby union team","2005-10-22",NA,NA,NA,"Greece",NA,NA,NA,NA,NA,NA,NA,"Greece_national_rugby_union_team","%C3%89quipe_de_Gr%C3%A8ce_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Grecia",NA,NA,NA
44,"Q431412","Stade Toulousain","rugby union club","1907-01-01","Les Rouge et Noir (TheRedandBlacks)",NA,"French Rugby Federation","France","Top 14",1,"Stade Ernest-Wallon","19500","Toulouse","toulouse",NA,"Stade_Toulousain","Stade_toulousain","Stade_Toulousain","Stade_Toulousain","%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%E3%83%BC%E3%82%B6%E3%83%B3","http://dbpedia.org/resource/Stade_Toulousain"
45,"Q431717","Bulgaria national rugby union team","national rugby union team","1963-05-20",NA,NA,NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"Bulgaria_national_rugby_union_team","%C3%89quipe_de_Bulgarie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bulgaria",NA,NA,NA
46,"Q455793","Amatori Catania","rugby union club","1963-01-01","Amatori Catania Rugby",NA,"Italian Rugby Federation","Italy","Serie B",4,"Stadio Santa Maria Goretti","6000",NA,NA,NA,"Amatori_Catania","Amatori_Catane","Amatori_Catania_Rugby",NA,NA,"http://dbpedia.org/resource/Amatori_Catania"
47,"Q472632","RC Innsbruck","rugby union club",NA,"Rugby Club Innsbruck",NA,NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Innsbruck",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Innsbruck"
48,"Q473372","Andorra national rugby union team","national rugby union team",NA,NA,NA,NA,"Andorra",NA,NA,NA,NA,NA,NA,NA,"Andorra_national_rugby_union_team","%C3%89quipe_d%27Andorre_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Andorra","Selecci%C3%B3n_de_rugby_de_Andorra",NA,NA
49,"Q474910","Unione Rugby Capitolina","rugby union team","1996-01-01","La Legione Romana (The Roman Legion)",NA,"Italian Rugby Federation","Italy","Serie A; Serie B",3,NA,NA,NA,NA,NA,"Unione_Rugby_Capitolina","Unione_Rugby_Capitolina","Unione_Rugby_Capitolina",NA,NA,"http://dbpedia.org/resource/Unione_Rugby_Capitolina"
50,"Q479194","SC 1880 Frankfurt","rugby union club","1880-01-01","Sport-Club Frankfurt 1880 e.V.",NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Frankfurt",NA,NA,"SC_1880_Frankfurt","SC_1880_Frankfurt",NA,NA,NA,"http://dbpedia.org/resource/SC_1880_Frankfurt"
51,"Q484649","South Korea national rugby union team","national rugby union team","1969-03-16",NA,NA,NA,"South Korea",NA,NA,NA,NA,NA,NA,NA,"South_Korea_national_rugby_union_team","%C3%89quipe_de_Cor%C3%A9e_du_Sud_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Corea_del_Sud","Selecci%C3%B3n_de_rugby_de_Corea_del_Sur","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%A4%A7%E9%9F%93%E6%B0%91%E5%9B%BD%E4%BB%A3%E8%A1%A8",NA
52,"Q498478","South Africa national rugby union team","national rugby union team","1891-07-30",NA,NA,NA,"South Africa",NA,NA,NA,NA,NA,"south-africa",NA,"South_Africa_national_rugby_union_team","%C3%89quipe_d%27Afrique_du_Sud_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8",NA
53,"Q501864","Uruguay national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Uruguay_national_under-20_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Uruguay","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_under-20_rugby_union_team"
54,"Q511912","Sri Lanka national rugby union team","national rugby union team",NA,NA,NA,NA,"Sri Lanka",NA,NA,NA,NA,NA,NA,NA,"Sri_Lanka_national_rugby_union_team","%C3%89quipe_du_Sri_Lanka_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dello_Sri_Lanka","Selecci%C3%B3n_de_rugby_de_Sri_Lanka",NA,NA
55,"Q513257","Central Coast Rays","rugby union team","2007-01-01","Sydney (NRC team)",NA,NA,"Australia","National Rugby Championship",2,NA,NA,NA,NA,NA,"Sydney_(NRC_team)","Sydney_Rays",NA,"Sydney_(rugby)",NA,"http://dbpedia.org/resource/Sydney_(NRC_team)"
56,"Q516893","Football Club Sportif Rumilly","rugby union team","1911-01-01","Rugby Club Savoie Rumilly",NA,NA,"France","Nationale 2",4,NA,NA,"Rumilly",NA,NA,"Rugby_Club_Savoie_Rumilly","Rugby_club_Savoie_Rumilly",NA,NA,NA,"http://dbpedia.org/resource/Rugby_Club_Savoie_Rumilly"
57,"Q517805","Real Oviedo Rugby","rugby union team","1983-01-01","Oviedo RC; Oviedo Rugby Club",NA,NA,"Spain","División de Honor B de Rugby",NA,"Campo de Rugby El Naranco",NA,"Oviedo",NA,NA,"Oviedo_RC","Real_Oviedo_Rugby",NA,"Real_Oviedo_Rugby",NA,"http://dbpedia.org/resource/Oviedo_RC"
58,"Q518116","France national rugby union team","national rugby union team","1906-01-01",NA,NA,NA,"France",NA,NA,"Parc des Princes; Yves du Manoir Stadium; Stade de France","NA; 80698",NA,"france",NA,"France_national_rugby_union_team","%C3%89quipe_de_France_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Francia","Selecci%C3%B3n_de_rugby_de_Francia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E4%BB%A3%E8%A1%A8",NA
59,"Q521129","Benetton Rugby Treviso","rugby union club","1932-01-01","Benetton Rugby",NA,"Italian Rugby Federation","Italy","United Rugby Championship",1,"Stadio di Monigo","5000","Treviso",NA,NA,"Benetton_Rugby","Benetton_Rugby_Tr%C3%A9vise","Benetton_Rugby_Treviso","Benetton_Rugby_Treviso","%E3%83%99%E3%83%8D%E3%83%83%E3%83%88%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC","http://dbpedia.org/resource/Benetton_Rugby"
60,"Q528969","Glasgow Hawks","rugby union club","1997-01-01","Glasgow Hawks RFC",NA,NA,"Scotland","Scottish Premiership",2,NA,NA,NA,NA,NA,"Glasgow_Hawks_RFC","Glasgow_Hawks_Rugby_Football_Club","Glasgow_Hawks_Rugby_Football_Club","Glasgow_Hawks",NA,"http://dbpedia.org/resource/Glasgow_Hawks_RFC"
61,"Q534417","New South Wales Waratahs","rugby union franchise","1882-01-01","Waratahs",NA,NA,"Australia","Super Rugby",1,"Sydney Football Stadium",NA,"Sydney Olympic Park",NA,NA,"New_South_Wales_Waratahs","Waratahs","New_South_Wales_Waratahs","New_South_Wales_Waratahs","%E3%83%AF%E3%83%A9%E3%82%BF%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/New_South_Wales_Waratahs"
62,"Q535106","Gernika RT","rugby union team","1973-01-01","Bizkaia Gernika; Gernika Rugby Taldea",NA,"Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,NA,NA,NA,NA,NA,"Gernika_RT","Gernika_Rugby_Taldea","Gernika_Rugby_Taldea","Gernika_Rugby_Taldea","%E3%82%B2%E3%83%AB%E3%83%8B%E3%82%ABRT","http://dbpedia.org/resource/Gernika_RT"
63,"Q535408","Fiamme Oro Rugby","rugby union club","1955-01-01","G.S. Fiamme Oro Rugby","1978-01-01","Italian Rugby Federation","Italy","Serie A Élite",2,NA,NA,NA,NA,NA,"Fiamme_Oro_Rugby","Fiamme_Oro_Rugby","Fiamme_Oro_Rugby","Fiamme_Oro_Rugby","%E3%83%95%E3%82%A3%E3%82%A2%E3%83%B3%E3%83%A1%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%AD%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC","http://dbpedia.org/resource/Fiamme_Oro_Rugby"
