"","player","playerLabel","club","clubLabel","startYear","endYear","played","points"
"29","Q16233847","David Heffernan","Q1126167","Connacht Rugby",NA,NA,NA,NA
"30","Q16234044","Martin Moore","Q1150127","Wasps RFC","2016","2018",NA,NA
"31","Q16234044","Martin Moore","Q1548720","Ulster Rugby","2018",NA,NA,NA
"32","Q16234758","James Lowe","Q586617","Chiefs","2014","2017",NA,NA
"33","Q16235697","Stuart Olding","Q1548720","Ulster Rugby",NA,NA,NA,NA
"34","Q1645731","Alain Rolland","Q289030","Birmingham Moseley Rugby Club",NA,NA,NA,NA
"35","Q16845274","Jean Kleyn","Q794910","Stormers","2014","2016",NA,NA
"36","Q1727793","Stephen Ferris","Q1548720","Ulster Rugby","2005",NA,NA,NA
"37","Q18097233","Niyi Adeolokun","Q1126167","Connacht Rugby",NA,NA,NA,NA
"38","Q18637720","Stuart McCloskey","Q1548720","Ulster Rugby",NA,NA,NA,NA
"39","Q18808571","Ultan Dillane","Q1126167","Connacht Rugby",NA,NA,NA,NA
"40","Q1896655","Rory Best","Q1548720","Ulster Rugby","2004",NA,NA,NA
"41","Q19517709","Finlay Bealham","Q1126167","Connacht Rugby","2014",NA,NA,NA
"42","Q2038034","Paul O'Connell","Q1857064","RC Toulonnais","2015",NA,NA,NA
"43","Q20715436","Robert Burgess","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"44","Q21620887","Caolin Blade","Q1126167","Connacht Rugby",NA,NA,NA,NA
"45","Q23008218","Sean Reidy","Q1548720","Ulster Rugby",NA,NA,NA,NA
"46","Q2378740","Robin Roe","Q807749","Barbarian FC",NA,NA,NA,NA
"47","Q2378740","Robin Roe","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"48","Q2378740","Robin Roe","Q1193020","London Irish RFC","1955","1955",NA,NA
"49","Q24039454","Kieran Treadwell","Q1149835","Harlequin F.C.",NA,NA,NA,NA
"50","Q24039454","Kieran Treadwell","Q657211","London Scottish F.C.",NA,NA,NA,NA
"51","Q24039454","Kieran Treadwell","Q1548720","Ulster Rugby",NA,NA,NA,NA
"52","Q2849150","Andy Mulligan","Q1193020","London Irish RFC",NA,NA,NA,NA
"53","Q2849186","Andy Ward","Q1548720","Ulster Rugby","1997","2005",NA,NA
"54","Q2898098","Bernard Jackman","Q1126167","Connacht Rugby","1998","1999",NA,NA
"55","Q2898098","Bernard Jackman","Q928517","Sale Sharks","2001","2003",NA,NA
"56","Q2898098","Bernard Jackman","Q1126167","Connacht Rugby","2003","2005",NA,NA
"57","Q2907612","Bob Casey","Q1193020","London Irish RFC","2002","2002",NA,NA
"58","Q2918762","Paddy Mayne","Q1548720","Ulster Rugby",NA,NA,NA,NA
"59","Q2924991","Brian Robinson","Q2881428","Ballymena RFC",NA,NA,NA,NA
"60","Q2925008","Brian Smith","Q1071691","Leicester Tigers","1990","1991",NA,NA
"61","Q2927183","Bryan Young","Q1548720","Ulster Rugby",NA,NA,NA,NA
"62","Q2972218","Ciaran Fitzgerald","Q1126167","Connacht Rugby",NA,NA,NA,NA
"63","Q2982645","Colin Patterson","Q1548720","Ulster Rugby",NA,NA,NA,NA
"64","Q29865939","Rory O'Loughlin","Q675305","Exeter Chiefs",NA,NA,NA,NA
"65","Q2993556","Conor O'Shea","Q1193020","London Irish RFC","1995","2000",NA,NA
"66","Q3012857","Damien Varley","Q1150127","Wasps RFC","2008","2009",NA,NA
"67","Q3018063","David Hewitt","Q1126167","Connacht Rugby",NA,NA,NA,NA
"68","Q3018134","David Irwin","Q1548720","Ulster Rugby",NA,NA,NA,NA
"69","Q3018651","David Quinlan","Q1201283","Northampton Saints",NA,NA,NA,NA
"70","Q3022828","Denis McBride","Q1548720","Ulster Rugby",NA,NA,NA,NA
"71","Q3028719","Dion O'Cuinneagain","Q928517","Sale Sharks",NA,NA,NA,NA
"72","Q3028719","Dion O'Cuinneagain","Q1548720","Ulster Rugby",NA,NA,NA,NA
"73","Q30502098","Nick Timoney","Q1548720","Ulster Rugby","2017",NA,"104","105"
"74","Q3056258","Eric Elwood","Q807749","Barbarian FC",NA,NA,NA,NA
"75","Q3056258","Eric Elwood","Q1126167","Connacht Rugby",NA,NA,NA,NA
"76","Q3056350","Eric Miller","Q807749","Barbarian FC",NA,NA,NA,NA
"77","Q3056350","Eric Miller","Q1071691","Leicester Tigers",NA,NA,NA,NA
"78","Q3056350","Eric Miller","Q1548720","Ulster Rugby",NA,NA,NA,NA
"79","Q3121764","Guy Easterby","Q686057","Rotherham R.U.F.C.",NA,NA,NA,NA
"80","Q3127856","Harry Lindsay","Q1548720","Ulster Rugby",NA,NA,NA,NA
"81","Q3154733","Isaac Boss","Q1548720","Ulster Rugby",NA,NA,NA,NA
"82","Q3161232","James Lytle","Q1548720","Ulster Rugby",NA,NA,NA,NA
"83","Q3161398","Jim Sealy","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"84","Q3161451","James Topping","Q807749","Barbarian FC",NA,NA,NA,NA
"85","Q3161451","James Topping","Q1548720","Ulster Rugby",NA,NA,NA,NA
"86","Q3161451","James Topping","Q2881428","Ballymena RFC",NA,NA,NA,NA
"87","Q3177306","Jeremy Davidson","Q1548720","Ulster Rugby",NA,NA,NA,NA
"88","Q3177306","Jeremy Davidson","Q1193020","London Irish RFC",NA,NA,NA,NA
"89","Q3177350","Jeremy Staunton","Q1149835","Harlequin F.C.","2004","2005",NA,NA
"90","Q3177350","Jeremy Staunton","Q1150127","Wasps RFC","2005","2007",NA,NA
"91","Q3177350","Jeremy Staunton","Q1193020","London Irish RFC","2007","2008",NA,NA
"92","Q3177350","Jeremy Staunton","Q1150127","Wasps RFC","2008","2009",NA,NA
"93","Q3177350","Jeremy Staunton","Q1071691","Leicester Tigers","2009",NA,NA,NA
"94","Q3178949","Jim Staples","Q1193020","London Irish RFC",NA,NA,NA,NA
"95","Q3178949","Jim Staples","Q1126167","Connacht Rugby",NA,NA,NA,NA
"96","Q3178949","Jim Staples","Q1149835","Harlequin F.C.",NA,NA,NA,NA
"97","Q3181321","John Daly","Q807749","Barbarian FC",NA,NA,NA,NA
"98","Q3181321","John Daly","Q1193020","London Irish RFC",NA,NA,NA,NA
"99","Q3181964","John Lytle","Q1548720","Ulster Rugby",NA,NA,NA,NA
"100","Q3182200","John O'Driscoll","Q1193020","London Irish RFC",NA,NA,NA,NA
"101","Q3182200","John O'Driscoll","Q1126167","Connacht Rugby",NA,NA,NA,NA
"102","Q3183609","Johnny O'Connor","Q1150127","Wasps RFC",NA,NA,NA,NA
"103","Q3183609","Johnny O'Connor","Q1126167","Connacht Rugby",NA,NA,NA,NA
"104","Q3190412","Justin Bishop","Q1193020","London Irish RFC",NA,NA,NA,NA
"105","Q3190437","Justin Fitzpatrick","Q1193020","London Irish RFC",NA,NA,NA,NA
"106","Q3190437","Justin Fitzpatrick","Q1548720","Ulster Rugby",NA,NA,NA,NA
"107","Q3195748","Kevin Maggs","Q917973","Bristol Bears",NA,NA,NA,NA
"108","Q3195748","Kevin Maggs","Q807749","Barbarian FC",NA,NA,NA,NA
"109","Q3195748","Kevin Maggs","Q686057","Rotherham R.U.F.C.",NA,NA,NA,NA
"110","Q3195748","Kevin Maggs","Q289030","Birmingham Moseley Rugby Club",NA,NA,NA,NA
"111","Q3195748","Kevin Maggs","Q810786","Bath Rugby",NA,NA,NA,NA
"112","Q3195748","Kevin Maggs","Q1548720","Ulster Rugby",NA,NA,NA,NA
"113","Q3196468","Kieron Dawson","Q807749","Barbarian FC",NA,NA,NA,NA
"114","Q3196468","Kieron Dawson","Q1193020","London Irish RFC",NA,NA,NA,NA
"115","Q3196468","Kieron Dawson","Q1548720","Ulster Rugby",NA,NA,NA,NA
"116","Q3219885","Lawrence Bulger","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"117","Q3219885","Lawrence Bulger","Q1193020","London Irish RFC",NA,NA,NA,NA
"118","Q3219885","Lawrence Bulger","Q807749","Barbarian FC","1896","1896",NA,NA
"119","Q3229550","Leo Cullen","Q1071691","Leicester Tigers","2005","2007",NA,NA
"120","Q3262584","Louis Magee","Q1193020","London Irish RFC",NA,NA,NA,NA
"121","Q3294161","Mark McCall","Q1193020","London Irish RFC",NA,NA,NA,NA
"122","Q3294170","Mark McHugh","Q596985","San Martín",NA,NA,NA,NA
"123","Q3294170","Mark McHugh","Q1126167","Connacht Rugby",NA,NA,NA,NA
"124","Q3299529","Matt McCullough","Q1548720","Ulster Rugby",NA,NA,NA,NA
"125","Q3299535","Matt Mostyn","Q1126167","Connacht Rugby",NA,NA,NA,NA
"126","Q3308051","Michael Bradley","Q1126167","Connacht Rugby",NA,NA,NA,NA
"127","Q3308215","Michael Gibson","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"128","Q3308215","Michael Gibson","Q1193020","London Irish RFC","1985","1991",NA,NA
"129","Q3311741","Mick O'Driscoll","Q1471265","USA Perpignan","2003","2005",NA,NA
"130","Q3311741","Mick O'Driscoll","Q807749","Barbarian FC","2012","2012",NA,NA
"131","Q3313472","Mike Mullins","Q807749","Barbarian FC",NA,NA,NA,NA
"132","Q3313522","Mike Ross","Q1149835","Harlequin F.C.","2006","2009",NA,NA
"133","Q3337803","Neil Best","Q1548720","Ulster Rugby",NA,NA,NA,NA
"134","Q3337803","Neil Best","Q1201283","Northampton Saints",NA,NA,NA,NA
"135","Q3337816","Neil Francis","Q1193020","London Irish RFC",NA,NA,NA,NA
"136","Q3339789","Nick Popplewell","Q910657","Newcastle Falcons",NA,NA,NA,NA
"137","Q3345864","Noel Murphy","Q807749","Barbarian FC",NA,NA,NA,NA
"138","Q3360340","Paddy Johns","Q1548720","Ulster Rugby",NA,NA,NA,NA
"139","Q3360340","Paddy Johns","Q9641","Saracens F.C.",NA,NA,NA,NA
"140","Q3360349","Paddy Wallace","Q1548720","Ulster Rugby","2001","2014",NA,NA
"141","Q3370769","Paul Burke","Q917973","Bristol Bears",NA,NA,NA,NA
"142","Q3370769","Paul Burke","Q1071691","Leicester Tigers",NA,NA,NA,NA
"143","Q3370769","Paul Burke","Q1193020","London Irish RFC",NA,NA,NA,NA
"144","Q3370769","Paul Burke","Q1149835","Harlequin F.C.",NA,NA,NA,NA
"145","Q3372399","Paul Wallace","Q9641","Saracens F.C.",NA,NA,NA,NA
"146","Q3376472","Peter Bracken","Q1126167","Connacht Rugby",NA,NA,NA,NA
"147","Q3376472","Peter Bracken","Q1150127","Wasps RFC",NA,NA,NA,NA
"148","Q3376472","Peter Bracken","Q917973","Bristol Bears",NA,NA,NA,NA
"149","Q3376472","Peter Bracken","Q82216","Dragons",NA,NA,NA,NA
"150","Q3376472","Peter Bracken","Q807749","Barbarian FC",NA,NA,NA,NA
"151","Q3381083","Phillip Matthews","Q807749","Barbarian FC",NA,NA,NA,NA
"152","Q3420542","Ray McLoughlin","Q1193020","London Irish RFC",NA,NA,NA,NA
"153","Q3420542","Ray McLoughlin","Q1126167","Connacht Rugby",NA,NA,NA,NA
"154","Q3420542","Ray McLoughlin","Q807749","Barbarian FC",NA,NA,NA,NA
"155","Q3431310","Richard Wallace","Q9641","Saracens F.C.","1997","1998",NA,NA
"156","Q3434180","Rob Henderson","Q1193020","London Irish RFC",NA,NA,NA,NA
"157","Q3434180","Rob Henderson","Q1857064","RC Toulonnais",NA,NA,NA,NA
"158","Q3434180","Rob Henderson","Q1150127","Wasps RFC",NA,NA,NA,NA
"159","Q3437134","Robin Thompson","Q1548720","Ulster Rugby",NA,NA,NA,NA
"160","Q3437134","Robin Thompson","Q1193020","London Irish RFC",NA,NA,NA,NA
"161","Q3437134","Robin Thompson","Q807749","Barbarian FC",NA,NA,NA,NA
"162","Q3439575","Roger Wilson","Q1548720","Ulster Rugby","2003","2008",NA,NA
"163","Q3439575","Roger Wilson","Q1201283","Northampton Saints","2008","2012",NA,NA
"164","Q3439575","Roger Wilson","Q1548720","Ulster Rugby","2012",NA,NA,NA
"165","Q3441784","Ronnie Dawson","Q807749","Barbarian FC",NA,NA,NA,NA
"166","Q3476709","Sean Cronin","Q1126167","Connacht Rugby","2008","2011",NA,NA
"167","Q3481354","Shane Byrne","Q807749","Barbarian FC",NA,NA,NA,NA
"168","Q3481354","Shane Byrne","Q9641","Saracens F.C.","2005","2007",NA,NA
"169","Q3481368","Shane Jennings","Q807749","Barbarian FC",NA,NA,NA,NA
"170","Q3481368","Shane Jennings","Q1071691","Leicester Tigers","2005","2007",NA,NA
"171","Q3484266","Simon Easterby","Q1360196","Leeds Tykes","1998","1999",NA,NA
"172","Q3530696","Tom Court","Q1548720","Ulster Rugby","2006",NA,NA,NA
"173","Q3530701","Thomas Crean","Q3431476","Richmond Rugby Club",NA,NA,NA,NA
"174","Q3530903","Tom Tierney","Q1071691","Leicester Tigers","2002","2004",NA,NA
"175","Q3530903","Tom Tierney","Q1126167","Connacht Rugby","2004","2006",NA,NA
"176","Q3531703","Tony Buckley","Q1126167","Connacht Rugby","2004","2005",NA,NA
"177","Q3531929","Tony Ward","Q807749","Barbarian FC",NA,NA,NA,NA
"178","Q3538563","Trevor Brennan","Q431412","Stade Toulousain","2002","2007",NA,NA
"179","Q3538604","Trevor Ringland","Q1548720","Ulster Rugby",NA,NA,NA,NA
"180","Q3546366","Tyrone Howe","Q1548720","Ulster Rugby","1992","2006",NA,NA
"181","Q3557237","Victor Costello","Q1126167","Connacht Rugby",NA,NA,NA,NA
"182","Q356460","Dick Spring","Q1193020","London Irish RFC",NA,NA,NA,NA
"183","Q3569062","Willie Anderson","Q1548720","Ulster Rugby",NA,NA,NA,NA
"184","Q373384","Noel Purcell","Q807749","Barbarian FC",NA,NA,NA,NA
"185","Q376378","David Humphreys","Q1548720","Ulster Rugby","1992","2008","163","1585"
"186","Q376378","David Humphreys","Q2881428","Ballymena RFC","1994","1995",NA,NA
"187","Q376378","David Humphreys","Q1193020","London Irish RFC","1997","1998","56","277"
"188","Q376378","David Humphreys","Q807749","Barbarian FC","2003","2005","6","33"
"189","Q4120947","Craig Gilroy","Q1548720","Ulster Rugby","2010",NA,NA,NA
"190","Q434398","Jerry Flannery","Q1126167","Connacht Rugby","2001","2003",NA,NA
"191","Q439025","Donncha O'Callaghan","Q807749","Barbarian FC",NA,NA,NA,NA
"192","Q439402","Tommy Bowe","Q1548720","Ulster Rugby","2004","2008",NA,NA
"193","Q439402","Tommy Bowe","Q1518257","Ospreys","2008","2012",NA,NA
"194","Q439402","Tommy Bowe","Q1548720","Ulster Rugby","2012",NA,NA,NA
"195","Q439487","Tomás O'Leary","Q1193020","London Irish RFC","2012",NA,NA,NA
"196","Q447937","Jack Kyle","Q807749","Barbarian FC",NA,NA,NA,NA
"197","Q447937","Jack Kyle","Q1548720","Ulster Rugby",NA,NA,NA,NA
"198","Q448172","Syd Millar","Q1548720","Ulster Rugby",NA,NA,NA,NA
"199","Q448312","Willie John McBride","Q2881428","Ballymena RFC",NA,NA,NA,NA
"200","Q448312","Willie John McBride","Q1548720","Ulster Rugby",NA,NA,NA,NA
"201","Q448441","Tony O'Reilly","Q1071691","Leicester Tigers",NA,NA,NA,NA
"202","Q448441","Tony O'Reilly","Q807749","Barbarian FC",NA,NA,NA,NA
"203","Q448441","Tony O'Reilly","Q1193020","London Irish RFC",NA,NA,NA,NA
"204","Q47390306","Mack Hansen","Q425906","Canberra Vikings","2017","2019",NA,NA
"205","Q47390306","Mack Hansen","Q1126167","Connacht Rugby","2021",NA,NA,NA
"206","Q4864037","Barry Bresnihan","Q1193020","London Irish RFC",NA,NA,NA,NA
"207","Q4997511","Bundee Aki","Q1126167","Connacht Rugby",NA,NA,NA,NA
"208","Q5055971","Cecil Boyd","Q807749","Barbarian FC",NA,NA,NA,NA
"209","Q508105","Andrew Trimble","Q1548720","Ulster Rugby","2005",NA,NA,NA
"210","Q5106860","Chris Henry","Q1548720","Ulster Rugby","2006",NA,NA,NA
"211","Q5214513","Dan Tuohy","Q745758","Gloucester Rugby","2007","2008",NA,NA
"212","Q5214513","Dan Tuohy","Q675305","Exeter Chiefs","2008","2009",NA,NA
"213","Q5214513","Dan Tuohy","Q1548720","Ulster Rugby","2009",NA,NA,NA
"214","Q5214513","Dan Tuohy","Q807749","Barbarian FC","2016","2016",NA,NA
"215","Q5224236","Darragh O'Mahony","Q807749","Barbarian FC",NA,NA,NA,NA
"216","Q5224236","Darragh O'Mahony","Q9641","Saracens F.C.",NA,NA,NA,NA
"217","Q5224236","Darragh O'Mahony","Q289030","Birmingham Moseley Rugby Club",NA,NA,NA,NA
"218","Q5224836","Darren Cave","Q1548720","Ulster Rugby",NA,NA,NA,NA
"219","Q5234961","David Hewitt","Q1548720","Ulster Rugby",NA,NA,NA,NA
"220","Q5242225","Davy Tweed","Q2881428","Ballymena RFC",NA,NA,NA,NA
"221","Q5242225","Davy Tweed","Q1548720","Ulster Rugby",NA,NA,NA,NA
"222","Q5249340","Declan Fitzpatrick","Q1548720","Ulster Rugby","2005",NA,NA,NA
"223","Q5318756","Dylan O'Grady","Q928517","Sale Sharks",NA,NA,NA,NA
"224","Q5394440","Ernie Crawford","Q807749","Barbarian FC",NA,NA,NA,NA
"225","Q543795","Simon Best","Q1548720","Ulster Rugby",NA,NA,NA,NA
"226","Q544142","Eoin Reddan","Q1126167","Connacht Rugby",NA,"2003",NA,NA
"227","Q544142","Eoin Reddan","Q1150127","Wasps RFC","2005","2009",NA,NA
"228","Q5525482","Gary Longwell","Q1548720","Ulster Rugby",NA,NA,NA,NA
"229","Q5536821","George Beamish","Q807749","Barbarian FC",NA,NA,NA,NA
"230","Q5536821","George Beamish","Q1071691","Leicester Tigers",NA,NA,NA,NA
"231","Q5536821","George Beamish","Q1193020","London Irish RFC",NA,NA,NA,NA
"232","Q5585242","Gordon Hamilton","Q1548720","Ulster Rugby",NA,NA,NA,NA
"233","Q57586448","Caelan Doris","Q2905584","Blackrock College RFC","2011","2017",NA,NA
"234","Q5980469","Iain Henderson","Q1548720","Ulster Rugby","2012",NA,NA,NA
"235","Q5981945","Ian Keatley","Q1126167","Connacht Rugby","2009","2011","57","486"
"236","Q5981945","Ian Keatley","Q521129","Benetton Rugby Treviso","2019",NA,"16","98"
"237","Q5983259","Ian Whitten","Q1548720","Ulster Rugby",NA,NA,NA,NA
"238","Q6132811","James Downey","Q1201283","Northampton Saints",NA,NA,NA,NA
"239","Q6132811","James Downey","Q374981","Glasgow Warriors",NA,NA,NA,NA
"240","Q6132811","James Downey","Q1150127","Wasps RFC",NA,NA,NA,NA
"241","Q6132811","James Downey","Q1126167","Connacht Rugby",NA,NA,NA,NA
"242","Q6147865","Jamison Gibson-Park","Q2393896","Taranaki Rugby Football Union","2012","2014",NA,NA
"243","Q6160072","Jared Payne","Q1548720","Ulster Rugby",NA,NA,NA,NA
"244","Q6233535","John Fogarty","Q1126167","Connacht Rugby","2003","2008",NA,NA
"245","Q6249732","John Muldoon","Q807749","Barbarian FC",NA,NA,NA,NA
"246","Q6249732","John Muldoon","Q1126167","Connacht Rugby",NA,NA,NA,NA
"247","Q62655690","Eric O'Sullivan","Q1548720","Ulster Rugby","2018",NA,NA,NA
"248","Q62664755","Tom O'Toole","Q1548720","Ulster Rugby","2018",NA,NA,NA
"249","Q63350023","James Hume","Q1548720","Ulster Rugby",NA,NA,NA,NA
"250","Q6390218","Kenneth Houston","Q1193020","London Irish RFC",NA,NA,NA,NA
"251","Q6397141","Kevin O'Flanagan","Q1193020","London Irish RFC",NA,NA,NA,NA
"252","Q6405344","Kieran Campbell","Q1548720","Ulster Rugby",NA,NA,NA,NA
"253","Q6405344","Kieran Campbell","Q1193020","London Irish RFC",NA,NA,NA,NA
"254","Q6405344","Kieran Campbell","Q1126167","Connacht Rugby",NA,NA,NA,NA
"255","Q6405414","Kieran Marmion","Q1126167","Connacht Rugby",NA,NA,NA,NA
"256","Q64746908","Ryan Baird","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"257","Q6702129","Luke Marshall","Q1548720","Ulster Rugby","2010",NA,NA,NA
"258","Q6788781","Matt Healy","Q1126167","Connacht Rugby",NA,NA,NA,NA
"259","Q6831726","Michael Joseph Bulger","Q1193020","London Irish RFC",NA,NA,NA,NA
"260","Q6847877","Mike McCarthy","Q1126167","Connacht Rugby",NA,NA,NA,NA
"261","Q7023971","Niall Woods","Q1193020","London Irish RFC",NA,NA,NA,NA
"262","Q7047091","Noel Mannion","Q1126167","Connacht Rugby",NA,NA,NA,NA
"263","Q7143404","Pat Duignan","Q1126167","Connacht Rugby",NA,NA,NA,NA
"264","Q7146830","Patrick Jackson","Q1548720","Ulster Rugby","2011",NA,NA,NA
"265","Q7152224","Paul Marshall","Q1548720","Ulster Rugby",NA,NA,NA,NA
"266","Q7153578","Paul Shields","Q1548720","Ulster Rugby",NA,NA,NA,NA
"267","Q7153578","Paul Shields","Q1201283","Northampton Saints",NA,NA,NA,NA
"268","Q7340198","Rob Henshaw","Q1126167","Connacht Rugby",NA,NA,NA,NA
"269","Q7340879","Robbie Diack","Q1548720","Ulster Rugby",NA,NA,NA,NA
"270","Q7341423","Robert Alexander","Q807749","Barbarian FC",NA,NA,NA,NA
"271","Q7341423","Robert Alexander","Q1548720","Ulster Rugby",NA,NA,NA,NA
"272","Q7356835","Rodney Ah You","Q1126167","Connacht Rugby",NA,NA,NA,NA
"273","Q7365469","Ronan Loughney","Q1126167","Connacht Rugby",NA,NA,NA,NA
"274","Q7369544","Ross Nesdale","Q910657","Newcastle Falcons",NA,NA,NA,NA
"275","Q7408290","Sam Walker","Q807749","Barbarian FC",NA,NA,NA,NA
"276","Q747292","Gavin Duffy","Q1126167","Connacht Rugby","2001","2003",NA,NA
"277","Q747292","Gavin Duffy","Q1149835","Harlequin F.C.","2003","2007",NA,NA
"278","Q747292","Gavin Duffy","Q1126167","Connacht Rugby","2007",NA,NA,NA
"279","Q7609958","Stephen McIvor","Q1126167","Connacht Rugby",NA,NA,NA,NA
"280","Q7613961","Steve Smith","Q1548720","Ulster Rugby",NA,NA,NA,NA
"281","Q7615883","Stewart McKinney","Q1193020","London Irish RFC",NA,NA,NA,NA
"282","Q774079","Simon Geoghegan","Q810786","Bath Rugby",NA,NA,NA,NA
"283","Q774079","Simon Geoghegan","Q1126167","Connacht Rugby",NA,NA,NA,NA
"284","Q774079","Simon Geoghegan","Q1193020","London Irish RFC",NA,NA,NA,NA
"285","Q7801091","Tiernan O'Halloran","Q1126167","Connacht Rugby",NA,NA,NA,NA
"286","Q7819868","Tommy Smyth","Q807749","Barbarian FC",NA,NA,NA,NA
"287","Q7926241","Victor Pike","Q807749","Barbarian FC",NA,NA,NA,NA
"288","Q912889","Brian O'Driscoll","Q807749","Barbarian FC",NA,NA,NA,NA
"289","Q921935","Ryan Caldwell","Q810786","Bath Rugby",NA,NA,NA,NA
"290","Q921935","Ryan Caldwell","Q675305","Exeter Chiefs",NA,NA,NA,NA
"291","Q921935","Ryan Caldwell","Q1548720","Ulster Rugby",NA,NA,NA,NA
"292","Q938814","Geordan Murphy","Q807749","Barbarian FC",NA,NA,NA,NA
"293","Q938814","Geordan Murphy","Q1071691","Leicester Tigers","1999","2013",NA,NA
"294","Q947144","Mike Gibson","Q1548720","Ulster Rugby",NA,NA,NA,NA
"295","Q947144","Mike Gibson","Q807749","Barbarian FC",NA,NA,NA,NA
"296","Q947144","Mike Gibson","Q1193020","London Irish RFC",NA,NA,NA,NA
