player,playerLabel,firstnameLabels,lastnameLabels,sexLabel,dobMax,dobFormat,pobLabels,dodMax,dodFormat,podLabels,citizenshipLabels,sportCountryLabels,positionLabels,careerStartYears,careerEndYears,masses,heights,ESPNscrumIDs,AllRugbyIDs,GoogleKnowlIDs,ItsRugbyIDs,RugbyDatabaseIDs
http://www.wikidata.org/entity/Q3199130,Kosuke Endo,Kōsuke,Endō,male,1980-11-11T00:00:00Z,1980-11-11,Hokkaido,,,,Japan,,winger,,,,,14589,,,4007,2559
http://www.wikidata.org/entity/Q3199720,Kris Chesney,Kris,Chesney,male,1974-03-02T00:00:00Z,1974-3-2,London,,,,United Kingdom,,lock,,,,,27771,,,1179,
http://www.wikidata.org/entity/Q3199721,Kristopher Burton,Kris,Burton,male,1980-08-04T00:00:00Z,1980-8-4,Brisbane,,,,Australia,,fly-half,,,90,176,15630,kris-burton,,6737,15184
http://www.wikidata.org/entity/Q3199745,Krisnan Inu,,,male,1987-03-17T00:00:00Z,1987-3-17,Auckland,,,,New Zealand,,,,,,,238507,krisnan-inu,,11121,
http://www.wikidata.org/entity/Q3200598,Kurt Morath,Kurt,Morath,male,1984-11-13T00:00:00Z,1984-11-13,North Shore,,,,New Zealand,,fly-half,2006,,,,106985,kurt-morath,,6137,3210
http://www.wikidata.org/entity/Q3200916,Kyle Eastmond,Kyle,Eastmond,male,1989-07-17T00:00:00Z,1989-7-17,Oldham,,,,United Kingdom,,centre,,,,,156773,kyle-eastmond,,10822,
http://www.wikidata.org/entity/Q3200986,Kyran Bracken,,Bracken,male,1971-11-22T00:00:00Z,1971-11-22,Dublin,,,,"Ireland, United Kingdom",,scrum-half,,2006,82,180,11678,,,,
http://www.wikidata.org/entity/Q3201099,Kélian Galletier,Kélian,Galletier,male,1992-03-18T00:00:00Z,1992-3-18,Montpellier,,,,France,,"number 8, flanker",,,,,147771,kelian-galletier,/g/119x75pt2,22797,10661
http://www.wikidata.org/entity/Q3201146,Kévin Burgaud,Kévin,Burgaud,male,1987-11-27T00:00:00Z,1987-11-27,France,,,,France,,winger,,,,,,kevin-burgaud,/g/121yn608,12561,
http://www.wikidata.org/entity/Q3201159,Kévin Kervarec,Kévin,Kervarec,male,1988-07-11T00:00:00Z,1988-7-11,France,,,,France,,prop,,,,,103805,,/g/121dcv9m,13662,
http://www.wikidata.org/entity/Q32095370,Simone Ferrari,"Simone, Pietro",Ferrari,male,1994-03-28T00:00:00Z,1994-3-28,Cernusco sul Naviglio,,,,Italy,,prop,,,124,185,176654,simone-ferrari,/g/11f15b0c8q,27856,
http://www.wikidata.org/entity/Q3215813,Lachlan MacKay,Lachlan,MacKay,male,1982-11-30T00:00:00Z,1982-11-30,Sydney,,,,Australia,,fly-half,,,,,15013,,/g/121vfc32,2064,
http://www.wikidata.org/entity/Q3218300,Lasha Malaghuradze,Lasha,,male,1986-01-02T00:00:00Z,1986-1-2,Tbilisi,,,,Georgia,,fly-half,,,,,15808,lasha-malaguradze,,5477,
http://www.wikidata.org/entity/Q3218923,Laurence Ovens,Laurence,Ovens,male,1985-09-06T00:00:00Z,1985-9-6,Bath,,,,United Kingdom,,prop,,,,,,,,1456,
http://www.wikidata.org/entity/Q3218996,Laurent Arbo,Laurent,,male,1973-02-23T00:00:00Z,1973-2-23,Béziers,,,,France,,winger,,,,,,,/g/122wtgx2,269,
http://www.wikidata.org/entity/Q3219000,Laurent Armand,Laurent,Armand,male,1970-07-23T00:00:00Z,1970-7-23,France,,,,France,,hooker,,,,,,,/g/121g6qz0,340,
http://www.wikidata.org/entity/Q3219019,Laurent Baluc-Rittener,Laurent,,male,1981-11-24T00:00:00Z,1981-11-24,Narbonne,,,,France,,flanker,,,,,,laurent-baluc-rittener,/g/122_9gpc,427,
http://www.wikidata.org/entity/Q3219039,Laurent Bidart,Laurent,Bidart,male,1930-01-11T00:00:00Z,1930-1-11,Boucau,2000-06-04T00:00:00Z,2000-6-4,Sainte-Soulle,France,,fly-half,,,,,5683,,/g/1225dm6q,,
http://www.wikidata.org/entity/Q3219050,Laurent Bonventre,Laurent,,male,1969-08-09T00:00:00Z,1969-8-9,Le Creusot,,,,France,,lock,,,,,,,/g/120t9svk,,
http://www.wikidata.org/entity/Q3219055,Laurent Bouchet,Laurent,Bouchet,male,1988-08-23T00:00:00Z,1988-8-23,France,,,,France,,hooker,,,,,,laurent-bouchet,/g/11x7vnnpj,22545,
http://www.wikidata.org/entity/Q3219077,Laurent Buchet,Laurent,Buchet,male,1982-09-06T00:00:00Z,1982-9-6,Nice,,,,France,,winger,,,,,,,/g/120t4lv0,2569,
http://www.wikidata.org/entity/Q3219082,Laurent Burg,Laurent,Burg,male,1967-08-10T00:00:00Z,1967-8-10,Brive-la-Gaillarde,,,,France,,"winger, centre",,,,,,,/g/12283xcz,,
http://www.wikidata.org/entity/Q3219087,Laurent Cabarry,Laurent,,male,1985-01-18T00:00:00Z,1985-1-18,,,,,France,,prop,,,,,,laurent-cabarry,/g/121l0t9d,3178,
http://www.wikidata.org/entity/Q3219089,Laurent Cabannes,Laurent,Cabannes,male,1964-02-06T00:00:00Z,1964-2-6,Reims,,,,France,,flanker,,1999,90,191,10930,,,,
http://www.wikidata.org/entity/Q3219097,Laurent Capdevielle,Laurent,Capdevielle,male,1981-01-14T00:00:00Z,1981-1-14,Oloron-Sainte-Marie,,,,France,,number 8,,,,,,,/g/122hcv1v,7708,
http://www.wikidata.org/entity/Q3219112,Laurent Cettolo,Laurent,,male,1974-03-06T00:00:00Z,1974-3-6,Toulouse,,,,France,,prop,,,112,1.8,,,/g/1229cwnw,,
http://www.wikidata.org/entity/Q3219167,Laurent Delboulbès,Laurent,,male,1986-11-17T00:00:00Z,1986-11-17,Montauban,,,,France,,prop,,,,,,laurent-delboulbes,/g/12215qvx,6188,19368
http://www.wikidata.org/entity/Q3219177,Laurent Desnoyer,Laurent,,male,1948-05-19T00:00:00Z,1948-5-19,Brive-la-Gaillarde,,,,France,,winger,,,,,8260,,/g/1228lk0t,,
http://www.wikidata.org/entity/Q3219182,Laurent Diaz,Laurent,Diaz,male,1980-11-08T00:00:00Z,1980-11-8,Arles,,,,France,,"fly-half, scrum-half",,,,,27506,,/g/1227jzq6,3059,
http://www.wikidata.org/entity/Q3219214,Laurent Ferrères,Laurent,Ferrères,male,1980-08-30T00:00:00Z,1980-8-30,Lézignan-Corbières,,,,France,,fullback,,,,,,laurent-ferreres,/g/1218czd1,248,
http://www.wikidata.org/entity/Q3219254,Laurent Gomez,Laurent,Gomez,male,1970-08-15T00:00:00Z,1970-8-15,Vénissieux,,,,France,,prop,,,,,,,/g/11r7q1lv6,12651,
http://www.wikidata.org/entity/Q3219274,Laurent Hairabetian,Laurent,,male,1970-01-02T00:00:00Z,1970-1-2,Enghien-les-Bains,,,,France,,number 8,,,,,,,/g/1234hh7q,7817,
http://www.wikidata.org/entity/Q3219286,Laurent Husson,Laurent,,male,1959-02-23T00:00:00Z,1959-2-23,Toulouse,,,,France,,winger,,,,,,,/g/120x6klx,,
http://www.wikidata.org/entity/Q3219313,Laurent Labit,Laurent,Labit,male,1968-05-08T00:00:00Z,1968-5-8,Revel,,,,France,,fullback,,,,,,,/g/120jfcbb,15881,
http://www.wikidata.org/entity/Q3219344,Laurent Leflamand,Laurent,,male,1968-04-04T00:00:00Z,1968-4-4,Cherbourg,,,,France,,winger,,,,,12415,,/g/122cnthw,13408,
http://www.wikidata.org/entity/Q3219359,Laurent Magnaval,Laurent,,male,1991-03-24T00:00:00Z,1991-3-24,Rosny-sous-Bois,,,,France,,scrum-half,,,,,,laurent-magnaval,,21225,
http://www.wikidata.org/entity/Q3219372,Laurent Marticorena,Laurent,,male,1978-04-12T00:00:00Z,1978-4-12,Bayonne,,,,France,,centre,,,,,27504,laurent-marticorena,/g/122dldrd,376,
http://www.wikidata.org/entity/Q3219383,Laurent Mazas,Laurent,Mazas,male,1970-12-19T00:00:00Z,1970-12-19,Villefranche-de-Lauragais,,,,France,,fly-half,,,,,11367,,/g/121v84y9,,
http://www.wikidata.org/entity/Q3219422,Laurent Pakihivatau,Laurent,Pakihivatau,male,1973-11-09T00:00:00Z,1973-11-9,France,,,,France,,prop,,,,,,,/g/122nbw5r,172,
http://www.wikidata.org/entity/Q3219425,Laurent Pardo,Laurent,,male,1958-02-19T00:00:00Z,1958-2-19,Bayonne,,,,France,,winger,,,,,9028,,/g/120vz8fw,,
http://www.wikidata.org/entity/Q3219488,Laurent Rodriguez,Laurent,Rodriguez,male,1960-06-25T00:00:00Z,1960-6-25,Poitiers,,,,France,,flanker,1978,1996,108,191,9351,,,8847,13173
http://www.wikidata.org/entity/Q3219517,Laurent Seigne,Laurent,,male,1960-08-12T00:00:00Z,1960-8-12,Tulle,,,,France,,prop,,,,,10647,,/g/1225qcp0,,
http://www.wikidata.org/entity/Q3219519,Laurent Sempéré,Laurent,Sempéré,male,1985-07-09T00:00:00Z,1985-7-9,Perpignan,,,,France,,hooker,,,,,,laurent-sempere,,791,
http://www.wikidata.org/entity/Q3219522,Laurent Simutoga,Laurent,,male,1987-12-08T00:00:00Z,1987-12-8,Noumea,,,,France,,prop,,,,,,,,11766,
http://www.wikidata.org/entity/Q3219538,Laurent Thuéry,Laurent,,male,1988-12-15T00:00:00Z,1988-12-15,Agen,,,,France,,flanker,,,,,,,/g/15dptdb9,8521,
http://www.wikidata.org/entity/Q3219549,Laurent Tranier,Laurent,,male,1989-07-16T00:00:00Z,1989-7-16,Toulouse,,,,France,,fly-half,,,,,,laurent-tranier,/g/122fjmjr,13878,
http://www.wikidata.org/entity/Q3219550,Laurent Travers,Laurent,Travers,male,1968-10-21T00:00:00Z,1968-10-21,Sarlat-la-Canéda,,,,France,,hooker,,,,,,,/g/12314ckr,,
http://www.wikidata.org/entity/Q3219555,Laurent Travini,Laurent,,male,1972-11-24T00:00:00Z,1972-11-24,Gap,,,,France,,lock,,,105,191,13186,,,3175,
http://www.wikidata.org/entity/Q3219885,Lawrence Bulger,Lawrence,Bulger,male,1870-07-05T00:00:00Z,1870-7-5,County Clare,1928-03-17T00:00:00Z,1928-3-17,Twickenham,Ireland,,winger,,,,,1187,,,,
http://www.wikidata.org/entity/Q3219921,Lawrence Sephaka,Lawrence,,male,1978-08-08T00:00:00Z,1978-8-8,Johannesburg,,,,South Africa,,prop,,2010,108,178,13837,,,1986,
http://www.wikidata.org/entity/Q3228892,Lee Jarvis,Lee,Jarvis,male,1976-09-30T00:00:00Z,1976-9-30,Pontypridd,,,,United Kingdom,Wales,fly-half,,2009,92,178,12610,,,4777,15091
http://www.wikidata.org/entity/Q3228933,Lee Smith,Lee,Smith,male,1986-08-08T00:00:00Z,1986-8-8,Leeds,,,,United Kingdom,,,,,,,,lee-smith,,10497,
http://www.wikidata.org/entity/Q3228937,Lee Stensness,Lee,,male,1970-12-24T00:00:00Z,1970-12-24,Auckland,,,,New Zealand,,centre,,,,,11544,,,8341,1091
http://www.wikidata.org/entity/Q3228944,Lee Thomas,Lee,Thomas,male,1984-06-02T00:00:00Z,1984-6-2,Cardiff,,,,United Kingdom,Wales,fly-half,,,,,,,,889,
http://www.wikidata.org/entity/Q3229077,Legi Matiu,,,male,1969-01-17T00:00:00Z,1969-1-17,Auckland,,,,"France, New Zealand",,lock,,,,,13279,,,258,
http://www.wikidata.org/entity/Q3229136,Lei Tomiki,,,male,1983-07-22T00:00:00Z,1983-7-22,Tongatapu,,,,Tonga,,flanker,,,,,27474,lei-tomiki,/g/1211r7x1,2552,6213
http://www.wikidata.org/entity/Q3229550,Leo Cullen,Leo,Cullen,male,1978-01-09T00:00:00Z,1978-1-9,Wicklow,,,,Ireland,,lock,,2014,111,198,13985,leo-cullen,,1051,12716
http://www.wikidata.org/entity/Q3229569,Leo Lafaiali'i,Leo,,male,1974-01-30T00:00:00Z,1974-1-30,Auckland,,,,New Zealand,,lock,,,,,13647,,,1897,1031
http://www.wikidata.org/entity/Q3229646,Leon Lloyd,Leon,Lloyd,male,1977-09-22T00:00:00Z,1977-9-22,Coventry,,,,United Kingdom,,centre,,,,,13446,,,1280,
http://www.wikidata.org/entity/Q3229715,Leonardo Ghiraldini,Leonardo,Ghiraldini,male,1984-12-26T00:00:00Z,1984-12-26,Padua,,,,Italy,,hooker,2004,2021,103,184,15285,leonardo-ghiraldini,,3490,
http://www.wikidata.org/entity/Q3229737,Leonardo Senatore,Leonardo,Senatore,male,1985-03-15T00:00:00Z,1985-3-15,Rosario,,,,Argentina,,number 8,2003,,106,191,15886,leonardo-senatore,,19209,
http://www.wikidata.org/entity/Q3229756,Leone Nakarawa,Leone,,male,1988-02-04T00:00:00Z,1988-2-4,Tavua,,,,Fiji,,lock,2013,,109,1.98,98270,leone-nakarawa,,17616,2443
http://www.wikidata.org/entity/Q3230260,Leroy Houston,Leroy,Houston,male,1986-11-10T00:00:00Z,1986-11-10,Palmerston North,,,,New Zealand,,number 8,,,117,191,16019,leroy-houston,,3598,
http://www.wikidata.org/entity/Q323192,Saïmoni Vaka,,Vaka,male,1987-06-02T00:00:00Z,1987-6-2,Suva,,,,France,,winger,,,,,,saimoni-vaka,,9304,
http://www.wikidata.org/entity/Q3236679,Lesley Vainikolo,Lesley,Vainikolo,male,1979-05-04T00:00:00Z,1979-5-4,Nukuʻalofa,,,,"New Zealand, Tonga",,winger,,,,,15812,,,9295,
http://www.wikidata.org/entity/Q3237167,Levan Ghvaberidze,,,male,1982-01-01T00:00:00Z,1982-1-1,Tbilisi,,,,Georgia,,hooker,,,,,14376,,,,
http://www.wikidata.org/entity/Q3237647,Liam Messam,Liam,Messam,male,1984-03-25T00:00:00Z,1984-3-25,Blenheim,,,,New Zealand,,number 8,2003,,109,190,15240,liam-messam,,3975,278
http://www.wikidata.org/entity/Q3238397,Lifeimi Mafi,,,male,1982-08-15T00:00:00Z,1982-8-15,Tonga,,,,Tonga,,centre,,,,,27698,lifeimi-mafi,,1931,1691
http://www.wikidata.org/entity/Q3240809,Lilian Majesté,Lilian,,male,1981-04-01T00:00:00Z,1981-4-1,,,,,France,,centre,,,76,1.73,,,/g/122brtv6,6556,
http://www.wikidata.org/entity/Q3241827,Lionel Campergue,Lionel,,male,1987-11-24T00:00:00Z,1987-11-24,Mourenx,,,,France,,hooker,,,,,110534,lionel-campergue,/g/155q5p07,12767,
http://www.wikidata.org/entity/Q3241828,Lionel Camisuli,Lionel,,male,1980-06-21T00:00:00Z,1980-6-21,Marignane,,,,France,,lock,,,,,,,/g/12221t2x,13,
http://www.wikidata.org/entity/Q3241851,Lionel Dargier,Lionel,Dargier,male,1988-04-24T00:00:00Z,1988-4-24,France,,,,France,,lock,,,,,,lionel-dargier,/g/121w1hmm,15215,
http://www.wikidata.org/entity/Q3241871,Lionel Faure,Lionel,Faure,male,1977-11-26T00:00:00Z,1977-11-26,Montauban,,,,France,,prop,,,,,15815,,,147,
http://www.wikidata.org/entity/Q3241902,Lionel Mallier,Lionel,,male,1974-03-06T00:00:00Z,1974-3-6,Grenoble,,,,France,,flanker,,2010,98,183,13156,,/g/122qyv7x,224,
http://www.wikidata.org/entity/Q3241906,Lionel Mazars,Lionel,,male,1984-06-26T00:00:00Z,1984-6-26,Toulouse,,,,France,,centre,,,,,15678,lionel-mazars,,1405,
http://www.wikidata.org/entity/Q3242574,Lisiate Fa'aoso,,,male,1983-03-18T00:00:00Z,1983-3-18,Tonga,,,,Tonga,,lock,,,,,14510,lisiate-fa-aoso,,2355,3364
http://www.wikidata.org/entity/Q325033,Jannie du Plessis,Jannie,du Plessis,male,1982-11-16T00:00:00Z,1982-11-16,Bethlehem,,,,South Africa,,prop,2003,,121,188,15729,jannie-du-plessis,,2329,10571
http://www.wikidata.org/entity/Q3257547,Lloyd Williams,Lloyd,Williams,male,1989-11-30T00:00:00Z,1989-11-30,Cardiff,,,,United Kingdom,Wales,scrum-half,,,,,112291,lloyd-williams,,17387,11113
http://www.wikidata.org/entity/Q3258722,Loki Crichton,Loki,,male,1976-03-14T00:00:00Z,1976-3-14,Upolu,,,,New Zealand,,fullback,,,,,15326,,,2074,821
http://www.wikidata.org/entity/Q325881,Hugh Llewellyn Glyn Hughes,Hugh,Hughes,male,1892-07-25T00:00:00Z,1892-7-25,Swansea,1973-11-24T00:00:00Z,1973-11-24,Edinburgh,United Kingdom,Wales,,,,,,,,,,
