"","player","playerLabel","firstnameLabels","lastnameLabels","sexLabel","dobFormat","pobLabels","dodFormat","podLabels","citizenshipLabels","sportCountryLabels","positionLabels","careerStart","careerEnd","mass","height","ESPNscrumID","AllRugbyID","GoogleKnowlID","ItsRugbyID","RugbyDatabaseID"
"11","Q4885475","Ben Cronin","Ben, Benjamin, Michael","Cronin","male","1968-7-13",NA,NA,NA,"Ireland","Ireland","number 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Q2924436","Brendan Mullin","Brendan","Mullin","male","1963-10-30","Jerusalem",NA,NA,"Ireland, United States of America",NA,"centre","1983-01-01","1995-01-01","85","186","9821",NA,NA,"4703","12763"
"13","Q7153578","Paul Shields","Paul","Shields","male","1978-9-25","Belfast",NA,NA,"United Kingdom",NA,"hooker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Q3423419","Reggie Corrigan","Reggie","Corrigan","male","1970-11-19","Dublin",NA,NA,"Ireland",NA,"prop",NA,"2007-01-01","112","188","12701",NA,NA,"524","12736"
"15","Q7356835","Rodney Ah You","Rodney",NA,"male","1988-10-27","Wellington",NA,NA,"New Zealand",NA,"prop",NA,NA,NA,NA,"124172","rodney-ah-you",NA,"8473","2555"
"16","Q7023956","Niall Ronan","Niall","Ronan","male","1982-9-14",NA,NA,NA,"Ireland",NA,"flanker",NA,NA,NA,NA,"78662",NA,NA,NA,NA
"17","Q3313522","Mike Ross","Mike","Ross","male","1979-12-21","Cork",NA,NA,"Ireland",NA,"prop","2005-01-01",NA,"127","188","15999","mike-ross",NA,"4774","9963"
"18","Q5106860","Chris Henry","Chris","Henry","male","1984-10-17","Belfast",NA,NA,"United Kingdom","Ireland","number 8","2006-01-01","2018-01-01","107","188","89751","chris-henry",NA,"5747","9979"
"19","Q3154733","Isaac Boss","Isaac","Boss","male","1980-4-9","Tokoroa",NA,NA,"New Zealand",NA,"scrum-half","1999-01-01",NA,"88","178","15262","isaac-boss",NA,"2115","807"
"20","Q3530696","Tom Court","Tom",NA,"male","1980-11-6","Brisbane",NA,NA,"Australia",NA,"prop",NA,"2017-01-01","117","191","15196","tom-court",NA,"4656","3408"
"21","Q16105002","Jerry Walsh","Jerry","Walsh","male","1938-11-3",NA,NA,NA,"Ireland",NA,"centre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Q3181964","John Lytle","John",NA,"male","1869-7-1",NA,"1904-8-1",NA,"United Kingdom of Great Britain and Ireland",NA,NA,NA,NA,NA,NA,"836",NA,"122y06vb",NA,NA
"23","Q3742780","Fergus Aherne","Fergus","Aherne","male","1963-3-16","Cork",NA,NA,"Ireland","Ireland","scrum-half",NA,"1996-01-01",NA,NA,"10335",NA,NA,NA,NA
"24","Q11182959","Thomas Ranken Lyle","Thomas","Lyle","male","1860-8-26","Coleraine","1944-3-31","South Yarra","United Kingdom of Great Britain and Ireland",NA,NA,NA,NA,NA,NA,"721",NA,NA,NA,NA
"25","Q6195143","Jim Ganly","Jim","Ganly","male","1904-3-7",NA,"1976-7-22",NA,"Ireland",NA,"winger",NA,NA,NA,NA,"3386",NA,NA,NA,NA
"26","Q281871","Tom Kiernan","Tom","Kiernan","male","1939-1-7","Cork","2022-2-3",NA,"Ireland",NA,"fullback","1957-01-01",NA,NA,NA,"6483",NA,NA,NA,NA
"27","Q3110940","Gordon Wood","Gordon","Wood","male","1931-6-20","Limerick","1982-5-18","Ireland","Ireland",NA,"prop",NA,NA,NA,NA,"5772",NA,NA,NA,NA
"28","Q2993556","Conor O'Shea","Conor","O'Shea","male","1970-10-21","Limerick",NA,NA,"Ireland",NA,"fullback","1990-01-01","2001-01-01","101","188","11668",NA,NA,"16653","12744"
"29","Q4910281","Bill Mulcahy","William, Bill","Mulcahy","male","1935-1-7","Rathkeale",NA,NA,"Ireland","Ireland","lock",NA,NA,NA,NA,"6216",NA,NA,NA,NA
"30","Q3341344","Nigel Carr","Nigel","Carr","male","1959-7-27","Belfast",NA,NA,"United Kingdom",NA,"flanker",NA,NA,NA,NA,"9840",NA,NA,NA,NA
"31","Q774079","Simon Geoghegan","Simon","Geoghegan","male","1968-9-1","Knebworth",NA,NA,"Ireland",NA,"winger","1987-01-01","1997-01-01","83","183","10959",NA,NA,NA,"12764"
"32","Q3569062","Willie Anderson","Willie","Anderson","male","1955-4-3","County Tyrone",NA,NA,"Ireland",NA,"lock",NA,NA,NA,NA,"9817",NA,NA,NA,"12866"
"33","Q5273699","Dickie Lloyd","Dickie","Lloyd","male","1891-8-4",NA,"1950-12-23",NA,"United Kingdom, United Kingdom of Great Britain and Ireland",NA,"fly-half",NA,NA,NA,NA,"2089",NA,NA,NA,NA
"34","Q7608598","Stephen Archer","Stephen","Archer","male","1988-1-29","Cork",NA,NA,"Ireland",NA,"prop",NA,NA,NA,NA,"104487","stephen-archer",NA,"13682","13722"
"35","Q3193431","Karl Mullen","Karl","Mullen","male","1926-11-26",NA,"2009-4-27",NA,"Ireland",NA,"hooker",NA,NA,NA,NA,"4810",NA,NA,NA,NA
"36","Q3194730","Keith Crossan","Keith","Crossan","male","1959-12-29","Belfast",NA,NA,"Ireland",NA,"winger","1979-01-01",NA,NA,NA,"9419",NA,NA,"8909","12844"
"37","Q3431047","Richard Milliken","Richard","Milliken","male","1950-9-2",NA,NA,NA,"United Kingdom",NA,"centre",NA,NA,NA,NA,"7737",NA,NA,NA,NA
"38","Q6702129","Luke Marshall","Luke","Marshall","male","1991-3-3","Ballymoney",NA,NA,"United Kingdom",NA,"centre",NA,NA,NA,NA,"125887","luke-marshall",NA,"22152","9952"
"39","Q2938984","Carl Reid","Carl","Reid","male","1877-2-23","Derry","1957-5-16","Wimbledon","United Kingdom of Great Britain and Ireland, United Kingdom",NA,"centre",NA,NA,NA,NA,"1335",NA,"1211jjs6",NA,NA
"40","Q434427","David Wallace","David","Wallace","male","1976-7-8","Limerick",NA,NA,"Ireland",NA,"number 8",NA,"2012-01-01","105","188","12554",NA,NA,"641","12721"
"41","Q3012857","Damien Varley","Damien","Varley","male","1983-10-29","Limerick",NA,NA,"Ireland",NA,"hooker",NA,NA,"110","180","79294","damien-varley",NA,"5273","13716"
"42","Q3370998","Paul Dean","Paul","Dean","male","1960-6-28","Dublin",NA,NA,"Ireland",NA,"fly-half",NA,NA,NA,NA,"9328",NA,NA,"9500","12863"
"43","Q7346160","Robert Johnston","Robert","Johnston","male","1872-8-13","County Donegal","1950-3-24","Kilkenny","South Africa",NA,NA,NA,NA,NA,NA,"1073",NA,NA,NA,NA
"44","Q56434188","Gavin Coombes","Gavin","Coombes","male","1997-12-11","Skibbereen",NA,NA,"Ireland","Ireland","lock, number 8, flanker",NA,NA,NA,NA,"294649","gavin-coombes","11gr6w11ln","39237","9905"
"45","Q517871","Frederick Maurice Watson Harvey","Maurice, Frederick, Watson","Harvey","male","1888-9-1","Athboy","1980-8-24","Fort Macleod","Ireland",NA,"fly-half",NA,NA,NA,NA,"1885",NA,NA,NA,NA
"46","Q5392958","Ernest Deane","Ernest","Deane","male","1887-5-4","Limerick","1915-9-25","Neuve-Chapelle","United Kingdom of Great Britain and Ireland",NA,"winger",NA,NA,NA,NA,"2027",NA,NA,NA,NA
"47","Q5394440","Ernie Crawford","Ernie","Crawford","male","1891-11-17","Belfast","1959-1-12","Belfast","United Kingdom, United Kingdom of Great Britain and Ireland",NA,"fullback",NA,NA,NA,NA,"2629",NA,NA,NA,NA
"48","Q18619478","Rory Scannell","Rory","Scannell","male","1993-12-22","Cork",NA,NA,"Ireland",NA,"centre",NA,NA,NA,NA,"176307","rory-scannell",NA,"27834","9954"
"49","Q4120957","Simon Zebo","Simon",NA,"male","1990-3-16","Cork",NA,NA,"Ireland",NA,"winger",NA,NA,"94","188","114227","simon-zebo",NA,"18843","9947"
"50","Q3538604","Trevor Ringland","Trevor",NA,"male","1959-11-13","Belfast",NA,NA,"United Kingdom",NA,"winger","1979-01-01",NA,NA,NA,"9390",NA,NA,NA,"12861"
"51","Q7365904","Ronnie Lamont","Ronnie","Lamont","male","1941-11-18",NA,"2022-12-22",NA,"Ireland",NA,"number 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Q3481368","Shane Jennings","Shane","Jennings","male","1981-7-8","Dublin",NA,NA,"Ireland",NA,"flanker",NA,NA,"105","185","15207","shane-jennings",NA,"1053","12710"
"53","Q104840021","Dan Sheehan","Dan","Sheehan","male","1998-9-17","Dublin",NA,NA,"Ireland",NA,"hooker",NA,NA,"110","191","299294","dan-sheehan","11lg3fsjjd","43325","8513"
"54","Q3339789","Nick Popplewell","Nick","Popplewell","male","1964-4-6","Dublin",NA,NA,"Ireland",NA,"prop","1983-01-01","2001-01-01","111","178","10607",NA,NA,NA,"12772"
"55","Q5235997","David Kilcoyne","David","Kilcoyne","male","1988-12-12","Limerick",NA,NA,"Ireland",NA,"prop",NA,NA,"111","183","104760","dave-kilcoyne",NA,"25156","8516"
"56","Q2984063","Colm Tucker","Colm","Tucker","male","1952-9-22","Limerick","2012-1-11","Dublin","Ireland",NA,"flanker",NA,NA,NA,NA,"8918",NA,NA,NA,"19143"
"57","Q2378740","Robin Roe","Robin","Roe","male","1928-10-11","Borris-in-Ossory","2010-7-15","Guildford","Ireland",NA,"hooker",NA,NA,NA,NA,"5538",NA,NA,NA,NA
"58","Q3056258","Eric Elwood","Eric","Elwood","male","1969-2-26","Galway",NA,NA,"Ireland",NA,"fly-half","1988-01-01","2005-01-01","92","180","11412",NA,NA,"4272","12755"
"59","Q16995269","Jack Conan","Jack","Conan","male","1992-7-29","Dublin",NA,NA,"Ireland",NA,"number 8",NA,NA,"114","193","158698","jack-conan",NA,"25329","8519"
"60","Q3147254","Ian Dowling","Ian","Dowling","male","1982-10-5","Kilkenny",NA,NA,"Ireland",NA,"winger",NA,NA,NA,NA,"27701",NA,NA,"3460","13738"
"61","Q4997511","Bundee Aki",NA,"Aki","male","1990-4-7","Ōtāhuhu",NA,NA,"New Zealand",NA,"centre",NA,NA,"102","178","145340","bundee-aki",NA,"24091","561"
"62","Q5267522","Devin Toner","Devin","Toner","male","1986-6-29","County Meath",NA,NA,"Ireland","Ireland","lock",NA,NA,"124","208","27723","devin-toner",NA,"4546","9926"
"63","Q16729986","Henry Hurley","Henry","Hurley","male","1965-12-28","Doncaster",NA,NA,"Ireland",NA,"prop",NA,"1999-01-01","112","178","12135",NA,NA,NA,NA
"64","Q24196932","Tom Ahearne","Tom",NA,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11cn3vh99x",NA,NA
"65","Q373384","Noel Purcell","Noel","Purcell","male","1891-11-15","Dublin","1962-1-31","Dún Laoghaire","Ireland",NA,"number 8",NA,NA,NA,NA,"2762",NA,NA,NA,NA
"66","Q3381083","Phillip Matthews","Phillip","Matthews","male","1960-1-21","Gloucester",NA,NA,"United Kingdom",NA,"flanker",NA,NA,NA,NA,"9820",NA,NA,"8905","12849"
"67","Q3161451","James Topping","James","Topping","male","1974-12-18","Belfast",NA,NA,"United Kingdom","Ireland","winger",NA,"2006-01-01","95","180","12393",NA,NA,"3443","12758"
"68","Q5249340","Declan Fitzpatrick","Declan","Fitzpatrick","male","1983-7-12","Bromsgrove",NA,NA,"United Kingdom",NA,"prop",NA,NA,NA,NA,"15199","declan-fitzpatrick",NA,"3448","13721"
"69","Q3196468","Kieron Dawson","Kieron","Dawson","male","1975-1-29","Bangor",NA,NA,"United Kingdom",NA,"flanker",NA,"2009-01-01","99","185","12538",NA,NA,NA,"12759"
"70","Q8013610","William John Cullen","William","Cullen","male","1894-1-1",NA,"1960-6-28",NA,NA,NA,"centre",NA,NA,NA,NA,"2631",NA,NA,NA,NA
"71","Q5525482","Gary Longwell","Gary","Longwell","male","1971-7-30","Belfast",NA,NA,"United Kingdom",NA,"lock",NA,"2005-01-01","117","201","13518",NA,NA,NA,NA
"72","Q23008218","Sean Reidy","Sean","Reidy","male","1989-5-10","Auckland",NA,NA,"New Zealand",NA,"flanker",NA,NA,NA,NA,"194463","sean-reidy","11clwn6jxg","30041",NA
"73","Q16233222","Rob Herring","Robert","Herring","male","1990-4-27","Cape Town",NA,NA,"South Africa",NA,"hooker",NA,NA,"105","185","115159","rob-herring",NA,"19376","8515"
"74","Q7146214","Patrick Casey","Patrick","Casey","male","1941-8-4","Dublin",NA,NA,"Ireland",NA,"winger",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Q2849186","Andy Ward","Andy","Ward","male","1970-9-8","Whangārei",NA,NA,"New Zealand",NA,"flanker",NA,"2005-01-01","103","191","12752",NA,NA,"857","12748"
"76","Q963878","Shane Horgan","Shane, Patrick","Horgan","male","1978-7-18","Drogheda",NA,NA,"Ireland",NA,"winger","1998-01-01","2012-01-01","104","193","13311",NA,NA,"511","12728"
"77","Q964302","John Hayes","John","Hayes","male","1973-11-2","Dromsally",NA,NA,"Ireland",NA,"prop","1998-01-01","2011-01-01","125","193","13310",NA,NA,"522","12723"
"78","Q6146965","Jamie Hagan","Jamie","Hagan","male","1987-4-5","Dublin",NA,NA,"Ireland",NA,"prop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Q23956667","Jimmy Nelson","Jimmy","Nelson","male","1921-9-16","Belfast","2014-6-13","Lisburn",NA,NA,"lock",NA,NA,NA,NA,"5013",NA,"11cn3v6b_6",NA,NA
"80","Q3178879","Joseph Magee","Joseph, Jim","Magee","male","1870-3-25","Dublin","1924-5-18",NA,"Ireland, United Kingdom of Great Britain and Ireland",NA,"winger",NA,NA,NA,NA,"1150",NA,NA,NA,NA
"81","Q7801091","Tiernan O'Halloran",NA,"O'Halloran","male","1991-2-26","Clifden",NA,NA,"Ireland",NA,"fullback",NA,NA,NA,NA,"103879","tiernan-o-halloran",NA,"18019","9953"
"82","Q3265879","Lucius Gwynn","Henry, Lucius","Gwynn","male","1873-5-5","County Donegal","1904-1-1","Davos","Ireland",NA,"winger, centre",NA,NA,NA,NA,"1084",NA,NA,NA,NA
"83","Q2852878","Anthony Horgan","Anthony","Horgan","male","1976-11-15","Cork",NA,NA,"Ireland",NA,"winger",NA,"2009-01-01","96","180","14249",NA,NA,"527","12743"
"84","Q7298874","Raymond Hunter","Raymond","Hunter","male","1938-4-3","Belfast","2020-12-9",NA,"United Kingdom",NA,"centre",NA,NA,NA,NA,"6665",NA,NA,NA,NA
"85","Q3436532","Robert Warren","Robert","Warren","male","1865-9-4","County Meath","1940-11-19","Bray","Ireland",NA,"fly-half, scrum-half",NA,NA,NA,NA,"725",NA,"122dlqsd",NA,NA
"86","Q3101931","George Stephenson","George","Stephenson","male","1901-12-22","Dromore","1970-8-6","London","United Kingdom, United Kingdom of Great Britain and Ireland",NA,"centre",NA,NA,NA,NA,"2666",NA,"122_gnjb",NA,NA
"87","Q4764198","Angus McKeen","Angus","McKeen","male","1969-2-13","Drogheda",NA,NA,"Ireland",NA,"prop",NA,"2000-01-01","106","180","13263",NA,NA,NA,NA
"88","Q3183609","Johnny O'Connor","Johnny","O'Connor","male","1980-2-9","Galway",NA,NA,"Ireland",NA,"flanker",NA,NA,"100","178","84933",NA,NA,"1070","13747"
"89","Q3437134","Robin Thompson","Robin","Thompson","male","1931-5-5","Northern Ireland","2003-8-14","Belfast","United Kingdom",NA,"lock",NA,NA,NA,NA,"5492",NA,NA,NA,NA
"90","Q7819756","Tommy O'Donnell","Tommy","O'Donnell","male","1987-6-21","Cahir",NA,NA,"Ireland","Ireland","flanker",NA,NA,NA,NA,"92340","tommy-o-donnell",NA,"4836","9936"
"91","Q2827775","Aidan McCullen","Aidan","McCullen","male","1977-1-5","Drogheda",NA,NA,"Ireland","Ireland","flanker",NA,NA,NA,NA,"14250",NA,NA,"1052","14578"
"92","Q2898098","Bernard Jackman","Bernard","Jackman","male","1976-5-5","Tullow",NA,NA,"Ireland","Ireland","hooker",NA,NA,NA,NA,"14903",NA,NA,"1712","13741"
"93","Q4799123","Arthur Horan","Arthur","Horan","male","1886-10-13",NA,"1970-1-15",NA,NA,NA,"scrum-half",NA,NA,NA,NA,"2635",NA,NA,NA,NA
"94","Q16010895","Charles Beamish","Charles","Beamish","male","1908-6-23","Cork","1984-5-18","Templemore","United Kingdom",NA,"prop",NA,NA,NA,NA,"4094",NA,NA,NA,NA
"95","Q16235697","Stuart Olding","Stuart","Olding","male","1993-3-11","Belfast",NA,NA,"United Kingdom",NA,"centre",NA,NA,NA,NA,"156533","stuart-olding",NA,"25158","9965"
"96","Q3178949","Jim Staples","Jim","Staples","male","1965-10-20","London",NA,NA,"United Kingdom",NA,"fullback","1984-01-01","1998-01-01","87","188","10964",NA,NA,"4705","12761"
"97","Q30611867","James Ryan","James","Ryan","male","1996-7-24","Blackrock",NA,NA,"Ireland",NA,"lock",NA,NA,"108","203","285691","james-ryan","11dflx216h","36586","8510"
"98","Q8019611","William Tyrrell","William",NA,"male","1885-11-20","Belfast","1968-4-29",NA,"United Kingdom, United Kingdom of Great Britain and Ireland",NA,NA,NA,NA,NA,NA,"2117",NA,NA,NA,NA
"99","Q6829709","Michael Dargan","Michael","Dargan","male","1928-10-9",NA,"2023-6-17",NA,"Ireland",NA,"flanker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Q62942455","Ronan Kelleher","Rónán","Kelleher","male","1998-1-1","Dublin",NA,NA,"Ireland",NA,"hooker",NA,NA,"110","183","294733","ronan-kelleher","11h6m83w7l","40386","8665"
"101","Q7615883","Stewart McKinney","Stewart","McKinney","male","1946-11-20",NA,NA,NA,"United Kingdom",NA,"flanker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Q3441784","Ronnie Dawson","Ronnie","Dawson","male","1932-6-5","Dublin","2024-10-11",NA,"Ireland",NA,"hooker","1950-01-01",NA,NA,NA,"6210",NA,NA,NA,NA
"103","Q6396961","Kevin McLaughlin","Kevin","McLaughlin","male","1984-9-20","Dublin",NA,NA,"Ireland",NA,"flanker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Q6111700","Jack Clarke","Jack","Clarke","male","1968-9-2",NA,NA,NA,"Ireland","Ireland","winger",NA,NA,NA,NA,"10965",NA,NA,NA,NA
"105","Q472853","Alan Quinlan","Alan","Quinlan","male","1974-7-13","Tipperary",NA,NA,"Ireland",NA,"number 8",NA,"2011-01-01","105","191","13264",NA,NA,"963","12739"
"106","Q6390218","Kenneth Houston","Kenneth","Houston","male","1941-7-20",NA,NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Q19818622","Josh van der Flier","Josh","van der Flier","male","1993-4-25","Dublin",NA,NA,"Ireland",NA,"flanker",NA,NA,"105","183","165575","josh-van-der-flier",NA,"26252","8508"
"108","Q18637720","Stuart McCloskey","Stuart","McCloskey","male","1992-8-6","Bangor",NA,NA,"United Kingdom",NA,"centre",NA,NA,NA,NA,"216409","stuart-mccloskey",NA,"31431","8504"
"109","Q3018651","David Quinlan","David","Quinlan","male","1978-1-4","Dublin",NA,NA,"Ireland",NA,"centre",NA,NA,NA,NA,"14909",NA,NA,"1778","13750"
"110","Q3051471","Charles Elliot Allen","Charles","Allen","male","1880-10-14","Gibraltar","1966-1-15","Winnipeg","United Kingdom, United Kingdom of Great Britain and Ireland",NA,NA,NA,NA,NA,NA,"1419",NA,NA,NA,NA
"111","Q3369596","Pat Lavery","Patrick","Lavery","male","1949-4-29","Cheltenham",NA,NA,"Ireland",NA,"winger, centre",NA,NA,NA,NA,"8200",NA,"121bw028",NA,NA
"112","Q2959303","Charles Hallaran","Charles","Hallaran","male","1897-6-10","Ireland","1941-3-21","Worcester","Ireland",NA,"lock",NA,NA,NA,NA,"2759",NA,"121srb4_",NA,NA
"113","Q3345828","Noël Henderson","Noël","Henderson","male","1928-8-10","Drumahoe","1997-8-27","Belfast","Ireland",NA,"centre",NA,NA,NA,NA,"5156",NA,"120t9sy0",NA,NA
"114","Q7369544","Ross Nesdale","Ross, Patrick",NA,"male","1969-7-30","Feilding",NA,NA,"Ireland, New Zealand","Ireland","hooker",NA,"2001-01-01","103","177","12434",NA,NA,NA,NA
"115","Q3569069","Willie Duggan","Willie","Duggan","male","1950-3-12","Kilkenny","2017-8-28","Leinster","Ireland",NA,"number 8",NA,NA,NA,NA,"8340",NA,NA,NA,NA
"116","Q3181974","John Macauley","John","Macauley","male","1866-7-1","Limerick","1957-8-17","Listowel","Ireland",NA,NA,NA,NA,NA,NA,"783",NA,"122g8r2r",NA,NA
"117","Q63350023","James Hume","James","Hume","male","1998-9-7","Belfast",NA,NA,"United Kingdom","Ireland","centre",NA,NA,NA,NA,"298872","james-hume","11h6gwfj2t","16927","9893"
"118","Q47035437","Jordan Larmour","Jordan","Larmour","male","1997-10-6","Dublin",NA,NA,"Ireland","Ireland","winger, fullback","2017-01-01",NA,"87","178","294481","jordan-larmour","11hbg9bchr","39234","9908"
"119","Q16008751","George J. Morgan","George","Morgan","male","1912-3-24","Dublin","1979-4-18","Dublin","Ireland",NA,"scrum-half",NA,NA,NA,NA,"4171",NA,NA,NA,NA
"120","Q3439575","Roger Wilson","Roger","Wilson","male","1981-9-21","Belfast",NA,NA,"United Kingdom",NA,"number 8",NA,"2017-01-01","106","191","14916","roger-wilson",NA,"897","12197"
"121","Q5119154","Ciaran Scally","Ciaran","Scally","male",NA,NA,NA,NA,"Ireland",NA,"scrum-half",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Q540060","Ken Kennedy","Ken","Kennedy","male","1941-5-10","Rochester","2022-7-16",NA,"United Kingdom",NA,"hooker",NA,"1980-01-01","81","182","6973",NA,NA,NA,NA
"123","Q768874","Sean O'Brien","Sean","O'Brien","male","1987-2-14","Dublin",NA,NA,"Ireland",NA,"flanker","2008-01-01",NA,"105","188","27724","sean-o-brien",NA,"5350","9932"
"124","Q3127856","Harry Lindsay","Harry","Lindsay","male","1871-7-1","Armagh","1908-7-17","Ballymoney",NA,NA,NA,NA,NA,NA,NA,"1074",NA,"122bg153",NA,NA
"125","Q3048473","Edward Fitzhardinge Campbell","Edward","Campbell","male","1880-1-17",NA,"1957-12-13","Daventry","Irish Free State, United Kingdom of Great Britain and Ireland",NA,"winger",NA,NA,NA,NA,"1331",NA,NA,NA,NA
"126","Q3308491","Michael Ryan","Michael","Ryan","male","1871-7-1",NA,"1947-8-19",NA,NA,NA,NA,NA,NA,NA,NA,"1261",NA,"155sqwf5",NA,NA
"127","Q3337816","Neil Francis","Neil","Francis","male","1964-3-17","Dublin",NA,NA,"Ireland",NA,"number 8",NA,"1997-01-01","119","198","10263",NA,NA,NA,"12768"
"128","Q3299529","Matt McCullough","Matt","McCullough","male","1981-9-9",NA,NA,NA,"Ireland",NA,"lock",NA,NA,NA,NA,"14904",NA,NA,"855","13748"
"129","Q4723505","Alfred Tedford","Alfred","Tedford","male","1877-1-7",NA,"1942-1-6",NA,"United Kingdom, United Kingdom of Great Britain and Ireland",NA,NA,NA,NA,NA,NA,"1512",NA,NA,NA,NA
"130","Q7341423","Robert Alexander","Robert","Alexander","male","1910-9-24","Belfast","1943-7-19","Simeto","United Kingdom",NA,"flanker",NA,NA,NA,NA,"4331",NA,NA,NA,NA
"131","Q16995292","James Tracy","James","Tracy","male","1991-4-2","Dublin",NA,NA,"Ireland",NA,"hooker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Q16233503","Noel Reid","Noel","Reid","male","1990-5-22","Dublin",NA,NA,"Ireland",NA,"centre",NA,NA,NA,NA,"116760","noel-reid",NA,"16886","13717"
"133","Q3557237","Victor Costello","Victor","Costello","male","1970-10-23","Dublin",NA,NA,"Ireland",NA,"flanker",NA,"2005-01-01","122","196","12146",NA,NA,NA,"12735"
"134","Q6407626","Killian Keane","Killian","Keane","male","1971-8-1",NA,NA,NA,"Ireland",NA,"centre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Q770412","Tom McGown","Tom","McGown","male","1876-2-22","Belfast","1956-7-15","High Wycombe","Ireland",NA,NA,NA,NA,NA,NA,"1329",NA,NA,NA,NA
"136","Q3161585","Jammie Clinch","Jamie","Clinch","male","1901-9-28","Clondalkin","1981-5-1","Dublin","Ireland",NA,"flanker",NA,NA,NA,NA,"2978",NA,"121gppfc",NA,NA
"137","Q2886805","Basil Maclear","Basil",NA,"male","1881-4-7","Portsmouth","1915-5-26","Ypres","United Kingdom of Great Britain and Ireland",NA,"centre","1904-01-01",NA,NA,NA,"1699",NA,NA,NA,NA
"138","Q29865939","Rory O'Loughlin","Rory","O'Loughlin","male","1994-1-21","Dublin",NA,NA,"Ireland","Ireland","winger, centre",NA,NA,NA,NA,"293293","rory-o-loughlin","11ddzyjs19","36472","9955"
"139","Q6115159","Jack Siggins","Jack","Siggins","male","1909-6-28","Belfast","1995-12-24","Belfast","United Kingdom, United Kingdom of Great Britain and Ireland",NA,"number 8",NA,NA,NA,NA,"3831",NA,NA,NA,NA
"140","Q439453","Keith Earls","Keith","Earls","male","1987-10-2","Limerick",NA,NA,"Ireland",NA,"fullback","2007-01-01",NA,"90","178","15966","keith-earls",NA,"4843","9907"
"141","Q3022790","Denis Leamy","Denis","Leamy","male","1981-11-27","Cashel",NA,NA,"Ireland",NA,"flanker",NA,"2012-01-01","108","188","14667",NA,NA,"953","12714"
"142","Q19517709","Finlay Bealham","Finlay",NA,"male","1991-10-9","Canberra",NA,NA,"Ireland, Australia","Ireland","prop",NA,NA,"118","188","134572","finlay-bealham",NA,"22370","8512"
