"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","23",NA
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","2002","2003","Counties Manukau RU",NA,NA,NA
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","2004","2011","Waikato RU",NA,NA,NA
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","2005","2011","Chiefs","Chiefs_(rugby)",NA,NA
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","2012","2013","Bath Rugby","Bath_Rugby",NA,NA
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","2013",NA,"Mitsubishi Dynaboars",NA,NA,NA
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","153","35"
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","2008","2023","Canterbury","Canterbury_(rugby)",NA,NA
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","2010","2023","Crusaders",NA,NA,NA
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","2020",NA,"Panasonic Wild Knights","Saitama_Wild_Knights",NA,NA
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","2023","2024","Section Paloise",NA,NA,NA
"Q151572","Victor Vito","Victor Vito","Victor_Vito",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","33","20"
"Q151572","Victor Vito","Victor Vito","Victor_Vito","2006","2015","Wellington","Wellington_Lions",NA,NA
"Q151572","Victor Vito","Victor Vito","Victor_Vito","2009","2016","Hurricanes","Hurricanes_(rugby)",NA,NA
"Q151572","Victor Vito","Victor Vito","Victor_Vito","2016","2022","Stade Rochelais","Stade_Rochelais",NA,NA
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","31","25"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","2003","2007","Griquas","Griquas",NA,NA
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","2008","2012","Bulls","Bulls_(rugby)",NA,NA
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","2013",NA,"Leinster Rugby","Leinster_Rugby",NA,NA
"Q168675","Francois Pienaar","François Pienaar","Francois_Pienaar",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","29",NA
"Q168675","Francois Pienaar","François Pienaar","Francois_Pienaar","1989","1996","Golden Lions","Golden_Lions",NA,NA
"Q168675","Francois Pienaar","François Pienaar","Francois_Pienaar","1996","2000","Saracens","Saracens",NA,NA
"Q169368","Jean Monribot","Jean Monribot","Jean_Monribot","2006","2013","SU Agen","Sporting_Union_Agen_Lot-et-Garonne",NA,NA
"Q169368","Jean Monribot","Jean Monribot","Jean_Monribot","2013","2017","Aviron Bayonnais","Aviron_Bayonnais",NA,NA
"Q169368","Jean Monribot","Jean Monribot","Jean_Monribot","2017","2019","RC Toulon","Rugby_Club_Toulonnais",NA,NA
"Q169368","Jean Monribot","Jean Monribot","Jean_Monribot","2019",NA,"Aviron Bayonnais","Aviron_Bayonnais",NA,NA
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","1963",NA,"Gales","Selecci%C3%B3n_de_rugby_de_Gales","14","3"
"Q176596","Clive Rowlands","Clive Rowlands","Clive_Rowlands","1958","1962","Abercrave RFC",NA,NA,NA
