name,number,opponent,date_of_debut,caps,url
William Herdman Hall,430,England,10/02/1923,6,https://en.wikipedia.org//w/index.php?title=William_Herdman_Hall&action=edit&redlink=1
James Gardiner,431,England,10/02/1923,13,https://en.wikipedia.org//w/index.php?title=James_Gardiner_(rugby_union)&action=edit&redlink=1
Richard Collopy,432,England,10/02/1923,13,https://en.wikipedia.org//w/index.php?title=Richard_Collopy&action=edit&redlink=1
Dunlop Cunningham,433,England,10/02/1923,6,https://en.wikipedia.org//wiki/Dunlop_McCosh_Cunningham
Jack Mahony,434,England,10/02/1923,1,https://en.wikipedia.org//w/index.php?title=Jack_Mahony_(rugby_union)&action=edit&redlink=1
Robert Gray,435,England,10/02/1923,4,https://en.wikipedia.org//w/index.php?title=Robert_Gray_(rugby_union)&action=edit&redlink=1
Peter Dunn,436,Scotland,24/02/1923,1,https://en.wikipedia.org//w/index.php?title=Peter_Dunn_(Irish_rugby_union)&action=edit&redlink=1
Jammie Clinch,437,Wales,10/03/1923,30,https://en.wikipedia.org//wiki/Jammie_Clinch
Arthur Douglas,438,France,14/04/1923,5,https://en.wikipedia.org//wiki/Arthur_Douglas_(sportsman)
Alfred Atkins,439,France,26/01/1924,1,https://en.wikipedia.org//w/index.php?title=Alfred_Atkins&action=edit&redlink=1
John McDowell,440,France,26/01/1924,2,https://en.wikipedia.org//w/index.php?title=John_McDowell_(rugby_union)&action=edit&redlink=1
Jim McVicker,441,France,26/01/1924,20,https://en.wikipedia.org//wiki/Jim_McVicker
William Collis,442,France,26/01/1924,7,https://en.wikipedia.org//w/index.php?title=William_Collis&action=edit&redlink=1
I. M. B. Stuart,443,England,09/02/1924,2,https://en.wikipedia.org//wiki/I._M._B._Stuart
Tom Hewitt,444,Wales,08/03/1924,9,https://en.wikipedia.org//w/index.php?title=Tom_Hewitt_(rugby_union)&action=edit&redlink=1
Frank Hewitt,445,Wales,08/03/1924,9,https://en.wikipedia.org//w/index.php?title=Frank_Hewitt_(rugby_union)&action=edit&redlink=1
Alex Spain,446,New Zealand,01/11/1924,1,https://en.wikipedia.org//w/index.php?title=Alex_Spain_(rugby_union)&action=edit&redlink=1
Norman Brand,447,New Zealand,01/11/1924,1,https://en.wikipedia.org//w/index.php?title=Norman_Brand_(rugby_union)&action=edit&redlink=1
Mark Sugden,448,France,01/01/1925,28,https://en.wikipedia.org//wiki/Mark_Sugden
William F. Browne,449,England,28/02/1925,12,https://en.wikipedia.org//wiki/Horsey_Browne
George Beamish,450,England,28/02/1925,25,https://en.wikipedia.org//wiki/George_Beamish
Terence Millin,451,Wales,14/03/1925,1,https://en.wikipedia.org//wiki/Terence_Millin
Eugene Davy,452,Wales,14/03/1925,34,https://en.wikipedia.org//wiki/Eugene_Davy
Standish Cagney,453,Wales,14/03/1925,13,https://en.wikipedia.org//wiki/Standish_Cagney
Robert Flood,454,Wales,14/03/1925,1,https://en.wikipedia.org//w/index.php?title=Robert_Flood_(rugby_union)&action=edit&redlink=1
Rex Hamilton,455,France,23/01/1926,1,https://en.wikipedia.org//w/index.php?title=Rex_Hamilton_(rugby_union)&action=edit&redlink=1
Joseph Neill,456,France,23/01/1926,1,https://en.wikipedia.org//w/index.php?title=Joseph_Neill&action=edit&redlink=1
Jimmy Farrell,457,France,23/01/1926,29,https://en.wikipedia.org//wiki/Jimmy_Farrell
Allan Buchanan,458,England,13/02/1926,6,https://en.wikipedia.org//w/index.php?title=Allan_Buchanan_(rugby_union)&action=edit&redlink=1
Charles Payne,459,England,13/02/1926,16,https://en.wikipedia.org//w/index.php?title=Charles_Payne_(rugby_union)&action=edit&redlink=1
Jack Gage,460[3],Scotland,27/02/1926,4,https://en.wikipedia.org//w/index.php?title=Jack_Gage_(rugby_union)&action=edit&redlink=1
Charles Hanrahan,461,Scotland,27/02/1926,20,https://en.wikipedia.org//w/index.php?title=Charles_Hanrahan&action=edit&redlink=1
Maurice Atkinson,462,France,01/01/1927,2,https://en.wikipedia.org//w/index.php?title=Maurice_Atkinson&action=edit&redlink=1
Jim Ganly,463,France,01/01/1927,12,https://en.wikipedia.org//wiki/Jim_Ganly
Paul Murray,464,France,01/01/1927,19,https://en.wikipedia.org//wiki/Paul_Murray_(rugby_union)
Norman Ross,465,France,01/01/1927,2,https://en.wikipedia.org//w/index.php?title=Norman_Ross_(rugby_union)&action=edit&redlink=1
Hugh McVicker,466,England’,12/02/1927,5,https://en.wikipedia.org//w/index.php?title=Hugh_McVicker&action=edit&redlink=1
Theodore Pike,467,England,12/02/1927,8,https://en.wikipedia.org//wiki/Theodore_Pike
Reginald Odbert,468,France,28/01/1928,1,https://en.wikipedia.org//w/index.php?title=Reginald_Odbert&action=edit&redlink=1
Jack Arigho,469,France,28/01/1928,16,https://en.wikipedia.org//wiki/Jack_Arigho
Thomas Bramwell,470,France,28/01/1928,1,https://en.wikipedia.org//w/index.php?title=Thomas_Bramwell_(rugby_union)&action=edit&redlink=1
Rowland Byers,471,Scotland,25/02/1928,5,https://en.wikipedia.org//w/index.php?title=Rowland_Byers&action=edit&redlink=1
Jerry Mullane,472,Wales,01/03/1928,2,https://en.wikipedia.org//w/index.php?title=Jerry_Mullane&action=edit&redlink=1
Mike Joseph Dunne,473,France,31/12/1928,16,https://en.wikipedia.org//w/index.php?title=Mike_Joseph_Dunne&action=edit&redlink=1
Hugh Browne,474,England,09/02/1929,3,https://en.wikipedia.org//w/index.php?title=Hugh_Browne_(rugby_union)&action=edit&redlink=1
John Synge,475,Scotland,23/02/1929,1,https://en.wikipedia.org//w/index.php?title=John_Synge_(rugby_union)&action=edit&redlink=1
Morgan Crowe,476,Wales,09/03/1929,13,https://en.wikipedia.org//wiki/Morgan_Crowe
Mark Deering,477,Wales,09/02/1929,1,https://en.wikipedia.org//wiki/Mark_Deering
Edward De Vere Hunt,478,France,25/01/1930,5,https://en.wikipedia.org//w/index.php?title=Edward_De_Vere_Hunt&action=edit&redlink=1
Claude Carroll,479,France,25/01/1930,1,https://en.wikipedia.org//w/index.php?title=Claude_Carroll&action=edit&redlink=1
Frederick Williamson,480,England,08/02/1930,3,https://en.wikipedia.org//w/index.php?title=Frederick_Williamson_(rugby_union)&action=edit&redlink=1
Henry O'Hara O'Neill,481,England,08/02/1930,6,https://en.wikipedia.org//w/index.php?title=Henry_O%27Hara_O%27Neill&action=edit&redlink=1
Noel F. Murphy,482,England,08/02/1930,11,"https://en.wikipedia.org//wiki/Noel_Murphy_(rugby_union,_born_1904)"
William McCormick,483,England,08/02/1930,1,https://en.wikipedia.org//w/index.php?title=William_McCormick_(rugby_union)&action=edit&redlink=1
James Christopher Casey,484,Scotland,22/02/1930,2,https://en.wikipedia.org//w/index.php?title=James_Christopher_Casey&action=edit&redlink=1
James T Egan,485,France,01/01/1931,3,https://en.wikipedia.org//w/index.php?title=James_T_Egan&action=edit&redlink=1
Edward Lightfoot,486,France,01/01/1931,11,https://en.wikipedia.org//w/index.php?title=Edward_Lightfoot&action=edit&redlink=1
Hal Withers,487,France,01/01/1931,5,https://en.wikipedia.org//w/index.php?title=Hal_Withers&action=edit&redlink=1
Jack Siggins,488,France,01/01/1931,24,https://en.wikipedia.org//wiki/Jack_Siggins
John (Jack) Russell,489,France,01/01/1931,19,https://en.wikipedia.org//w/index.php?title=John_(Jack)_Russell&action=edit&redlink=1
Laurence McMahon,490,England,14/02/1931,12,https://en.wikipedia.org//w/index.php?title=Laurence_McMahon&action=edit&redlink=1
Victor Pike,491,England,14/02/1931,13,https://en.wikipedia.org//wiki/Victor_Pike
John Entrican,492,Scotland,28/02/1931,1,https://en.wikipedia.org//w/index.php?title=John_Entrican&action=edit&redlink=1
Dermot Morris,493,Wales,14/03/1931,6,https://en.wikipedia.org//w/index.php?title=Dermot_Morris&action=edit&redlink=1
Shaun Waide,494,England,13/02/1932,1,https://en.wikipedia.org//w/index.php?title=Shaun_Waide&action=edit&redlink=1
Michael Danaher Sheehan,495,England,13/02/1932,1,https://en.wikipedia.org//w/index.php?title=Michael_Danaher_Sheehan&action=edit&redlink=1
William McClintock Ross,496,England,13/02/1932,9,https://en.wikipedia.org//w/index.php?title=William_McClintock_Ross&action=edit&redlink=1
Ernest Ridgeway,497,Scotland,27/02/1932,5,https://en.wikipedia.org//w/index.php?title=Ernest_Ridgeway&action=edit&redlink=1
Robin Pratt,498,England,11/02/1933,5,https://en.wikipedia.org//w/index.php?title=Robin_Pratt&action=edit&redlink=1
Robert Barnes,499,Wales,11/03/1933,1,https://en.wikipedia.org//wiki/Robert_Barnes_(sportsman)
Charles Beamish,500,Wales,11/03/1933,12,https://en.wikipedia.org//wiki/Charles_Beamish
Paddy Coote,501,Scotland,01/04/1933,1,https://en.wikipedia.org//wiki/Patrick_Coote
JJ O'Connor,502,Scotland,01/04/1933,11,https://en.wikipedia.org//w/index.php?title=JJ_O%27Connor_(rugby_union)&action=edit&redlink=1
JV Rearden,503,England,10/02/1934,2,https://en.wikipedia.org//w/index.php?title=JV_Rearden&action=edit&redlink=1
Maurice Edgar Bardon,504,England,10/02/1934,1,https://en.wikipedia.org//w/index.php?title=Maurice_Edgar_Bardon&action=edit&redlink=1
Sam Walker,505,England,10/02/1934,15,https://en.wikipedia.org//wiki/Sam_Walker_(rugby_union)
George J. Morgan,506,England,10/02/1934,19,https://en.wikipedia.org//wiki/George_J._Morgan
Bob Graves,507,England,10/02/1934,15,https://en.wikipedia.org//wiki/Bob_Graves_(rugby_union)
David Lane,508,Scotland,24/02/1934,4,https://en.wikipedia.org//w/index.php?title=David_Lane_(rugby_union)&action=edit&redlink=1
Ham Lambert,509,Scotland,24/02/1934,2,https://en.wikipedia.org//wiki/Ham_Lambert
John Reid,510,Scotland,24/02/1934,2,https://en.wikipedia.org//w/index.php?title=John_Reid_(rugby_union)&action=edit&redlink=1
Daniel Langan,511,Wales,10/03/1934,1,https://en.wikipedia.org//w/index.php?title=Daniel_Langan&action=edit&redlink=1
Aidan Bailey,512,Wales,10/03/1934,13,https://en.wikipedia.org//w/index.php?title=Aidan_Bailey&action=edit&redlink=1
Noel McGrath,513,Wales,10/03/1934,1,https://en.wikipedia.org//wiki/Noel_McGrath_(rugby_union)
John Megaw,514,Wales,10/03/1934,2,https://en.wikipedia.org//wiki/John_Megaw
Philip Crowe,515,England,09/02/1935,2,https://en.wikipedia.org//w/index.php?title=Philip_Crowe_(Irish_rugby_union)&action=edit&redlink=1
Seamus Deering,516,England,09/02/1935,9,https://en.wikipedia.org//w/index.php?title=Seamus_Deering&action=edit&redlink=1
Mike Sayers,517,England,09/02/1935,10,https://en.wikipedia.org//w/index.php?title=Mike_Sayers&action=edit&redlink=1
Patrick Lawler,518,England,09/02/1935,6,https://en.wikipedia.org//w/index.php?title=Patrick_Lawler_(rugby_union)&action=edit&redlink=1
Victor Hewitt,519,Scotland,23/02/1935,6,https://en.wikipedia.org//w/index.php?title=Victor_Hewitt&action=edit&redlink=1
Jack Doyle,520,Wales,09/03/1935,1,https://en.wikipedia.org//w/index.php?title=Jack_Doyle_(rugby_union)&action=edit&redlink=1
Vesey Boyle,521,New Zealand,07/12/1935,9,https://en.wikipedia.org//wiki/Vesey_Boyle
George Malcolmson,522,New Zealand,07/12/1935,7,https://en.wikipedia.org//w/index.php?title=George_Malcolmson&action=edit&redlink=1
Thomas Dunn,523,New Zealand,07/12/1935,1,https://en.wikipedia.org//w/index.php?title=Thomas_Dunn_(rugby_union)&action=edit&redlink=1
Clive O'Neill Wallis,524,New Zealand,07/12/1935,1,https://en.wikipedia.org//w/index.php?title=Clive_O%27Neill_Wallis&action=edit&redlink=1
Fred Moran,525,England,08/02/1936,9,https://en.wikipedia.org//w/index.php?title=Fred_Moran_(rugby_union)&action=edit&redlink=1
Robert Alexander,526,England,08/02/1936,11,https://en.wikipedia.org//wiki/Robert_Alexander_(Irish_sportsman)
George Cromey,527,England,13/02/1937,9,https://en.wikipedia.org//wiki/George_Cromey
Thomas Corken,528,England,13/02/1937,3,https://en.wikipedia.org//w/index.php?title=Thomas_Corken&action=edit&redlink=1
Edmund Ryan,529,Wales,03/04/1937,3,https://en.wikipedia.org//w/index.php?title=Edmund_Ryan_(rugby_union)&action=edit&redlink=1
Charles Reidy,530,Wales,03/04/1937,1,https://en.wikipedia.org//w/index.php?title=Charles_Reidy&action=edit&redlink=1
Paddy Mayne,531,Wales,03/04/1937,6,https://en.wikipedia.org//wiki/Paddy_Mayne
Maurice Daly,532,England,12/02/1938,1,https://en.wikipedia.org//wiki/Maurice_Daly_(rugby_union)
Victor Lyttle,533,England,12/02/1938,3,https://en.wikipedia.org//w/index.php?title=Victor_Lyttle&action=edit&redlink=1
David O'Loughlin,534,England,12/02/1938,6,https://en.wikipedia.org//w/index.php?title=David_O%27Loughlin_(rugby_union)&action=edit&redlink=1
John Walter Sinclair Irwin,535,England,12/02/1938,5,https://en.wikipedia.org//w/index.php?title=John_Walter_Sinclair_Irwin&action=edit&redlink=1
Ronald Craig,536,Scotland,26/02/1938,2,https://en.wikipedia.org//w/index.php?title=Ronald_Craig&action=edit&redlink=1
Hector Kennedy,537,Scotland,26/02/1938,2,https://en.wikipedia.org//w/index.php?title=Hector_Kennedy&action=edit&redlink=1
Donough Tierney,538,Scotland,26/02/1938,3,https://en.wikipedia.org//w/index.php?title=Donough_Tierney&action=edit&redlink=1
Harry McKibbin,539,Wales,12/03/1938,4,https://en.wikipedia.org//wiki/Harry_McKibbin
Desmond Torrens,540,Wales,12/03/1938,4,https://en.wikipedia.org//w/index.php?title=Desmond_Torrens&action=edit&redlink=1
Con Murphy,541,England,11/02/1939,5,"https://en.wikipedia.org//wiki/Con_Murphy_(rugby_union,_born_1914)"
Charles Teehan,542,England,11/02/1939,3,https://en.wikipedia.org//w/index.php?title=Charles_Teehan&action=edit&redlink=1
James G Ryan,543,England,11/02/1939,3,https://en.wikipedia.org//w/index.php?title=James_G_Ryan_(rugby_union)&action=edit&redlink=1
Thomas Headon,544,Scotland,25/02/1939,2,https://en.wikipedia.org//w/index.php?title=Thomas_Headon_(rugby_union)&action=edit&redlink=1
Brendan Quinn,545,France,25/01/1947,1,https://en.wikipedia.org//w/index.php?title=Brendan_Quinn_(rugby_union)&action=edit&redlink=1
Kevin Quinn,546,France,25/01/1947,5,https://en.wikipedia.org//wiki/Kevin_Quinn_(sportsman)
John Harper,547,France,25/01/1947,3,https://en.wikipedia.org//w/index.php?title=John_Harper_(rugby_union)&action=edit&redlink=1
Barney Mullan,548,France,25/01/1947,8,https://en.wikipedia.org//wiki/Barney_Mullan
Jack Kyle,549,France,25/01/1947,46,https://en.wikipedia.org//wiki/Jack_Kyle
Ray Carroll,550,France,25/01/1947,3,https://en.wikipedia.org//w/index.php?title=Ray_Carroll_(rugby_union)&action=edit&redlink=1
Matthew Neely,551,France,25/01/1947,4,https://en.wikipedia.org//w/index.php?title=Matthew_Neely_(rugby_union)&action=edit&redlink=1
Karl Mullen,552,France,25/01/1947,25,https://en.wikipedia.org//wiki/Karl_Mullen
"John ""Jack"" Christopher Daly",553,France,25/01/1947,7,https://en.wikipedia.org//wiki/John_Daly_(rugby)
Colm Callan,554,France,25/01/1947,10,https://en.wikipedia.org//wiki/Colm_Callan
Ernie Keeffe,555,France,25/01/1947,6,https://en.wikipedia.org//w/index.php?title=Ernie_Keeffe&action=edit&redlink=1
Bill McKay,556,France,25/01/1947,23,https://en.wikipedia.org//wiki/Bill_McKay_(rugby_union)
Bob Agar,557,France,25/01/1947,10,https://en.wikipedia.org//wiki/Bob_Agar
Donal Hingerty,558,France,25/01/1947,4,https://en.wikipedia.org//w/index.php?title=Donal_Hingerty&action=edit&redlink=1
Bertie O'Hanlon,559,England,08/02/1947,12,https://en.wikipedia.org//w/index.php?title=Bertie_O%27Hanlon&action=edit&redlink=1
Deryck Monteith,560,England,08/02/1947,3,https://en.wikipedia.org//wiki/Deryck_Monteith
Ernest Strathdee,561,England,08/02/1947,9,https://en.wikipedia.org//wiki/Ernest_Strathdee
Dudley Higgins,562,Scotland,22/02/1947,6,https://en.wikipedia.org//wiki/Dudley_Higgins
Mick Lane,563,Wales,29/03/1947,17,https://en.wikipedia.org//wiki/Mick_Lane_(rugby_union)
William McKee,564,Australia,06/12/1947,12,https://en.wikipedia.org//w/index.php?title=William_McKee_(rugby_union)&action=edit&redlink=1
Paddy Reid,565,Australia,06/12/1947,4,https://en.wikipedia.org//wiki/Paddy_Reid
Kevin O'Flanagan,566,Australia,06/12/1947,1,https://en.wikipedia.org//wiki/Kevin_O%27Flanagan
Jimmy Corcoran,567,Australia,06/12/1947,2,https://en.wikipedia.org//w/index.php?title=Jimmy_Corcoran_(rugby_union)&action=edit&redlink=1
Albert McConnell,568,Australia,06/12/1947,7,https://en.wikipedia.org//w/index.php?title=Albert_McConnell_(rugby_union)&action=edit&redlink=1
Dick Wilkinson,569,Australia,06/12/1947,1,https://en.wikipedia.org//w/index.php?title=Dick_Wilkinson_(rugby_union)&action=edit&redlink=1
Jimmy Nelson,570,Australia,06/12/1947,16,https://en.wikipedia.org//wiki/Jimmy_Nelson_(rugby_union)
Des McCourt,571,Australia,06/12/1947,1,https://en.wikipedia.org//w/index.php?title=Des_McCourt&action=edit&redlink=1
Jim McCarthy,572,France,01/01/1948,28,https://en.wikipedia.org//wiki/Jim_McCarthy_(rugby_union)
Jack Mattson,573,England,14/02/1948,1,https://en.wikipedia.org//w/index.php?title=Jack_Mattson&action=edit&redlink=1
Hugh De Lacy,574,England,14/02/1948,2,https://en.wikipedia.org//w/index.php?title=Hugh_De_Lacy_(rugby_union)&action=edit&redlink=1
Des O'Brien,575,England,14/02/1948,20,https://en.wikipedia.org//wiki/Des_O%27Brien
Mick O'Flanagan,576,Scotland,28/02/1948,1,https://en.wikipedia.org//wiki/Mick_O%27Flanagan
George Norton,577,France,29/01/1949,11,https://en.wikipedia.org//wiki/George_Norton_(rugby_union)
Tom Gavin,578,France,29/01/1949,2,https://en.wikipedia.org//w/index.php?title=Tom_Gavin_(rugby_union)&action=edit&redlink=1
Tom Cullen,579,France,29/01/1949,1,https://en.wikipedia.org//w/index.php?title=Tom_Cullen_(rugby_union)&action=edit&redlink=1
Tom Clifford,580,France,29/01/1949,14,https://en.wikipedia.org//wiki/Tom_Clifford_(rugby_union)
Noel Henderson,581,Scotland,26/02/1949,40,https://en.wikipedia.org//wiki/Noel_Henderson
Leslie Griffin,582,Scotland,26/02/1949,2,https://en.wikipedia.org//w/index.php?title=Leslie_Griffin&action=edit&redlink=1
John Burgess,583,France,28/01/1950,2,https://en.wikipedia.org//wiki/John_Burgess_(rugby_union)
Des McKibbin,584,France,28/01/1950,8,https://en.wikipedia.org//wiki/Des_McKibbin
Arthur Curtis,585,France,28/01/1950,3,https://en.wikipedia.org//w/index.php?title=Arthur_Curtis_(rugby_union)&action=edit&redlink=1
George Phipps,586,England,11/02/1950,5,https://en.wikipedia.org//w/index.php?title=George_Phipps_(rugby_union)&action=edit&redlink=1
Louis Crowe,587,England,11/02/1950,3,https://en.wikipedia.org//w/index.php?title=Louis_Crowe&action=edit&redlink=1
Richard Uprichard,588,Scotland,25/02/1950,2,https://en.wikipedia.org//w/index.php?title=Richard_Uprichard&action=edit&redlink=1
John Blayney,589,Scotland,25/02/1950,1,https://en.wikipedia.org//wiki/John_Blayney
Jack Molony,590,Scotland,25/02/1950,1,https://en.wikipedia.org//w/index.php?title=Jack_Molony_(rugby_union)&action=edit&redlink=1
Cornelius Griffin,591,France,27/01/1951,2,https://en.wikipedia.org//w/index.php?title=Cornelius_Griffin_(rugby_union)&action=edit&redlink=1
Richard Chambers,592,France,27/01/1951,6,https://en.wikipedia.org//w/index.php?title=Richard_Chambers_(rugby_union)&action=edit&redlink=1
Johnny O'Meara,593,France,27/01/1951,22,https://en.wikipedia.org//wiki/Johnny_O%27Meara
John Smith,594,England,10/02/1951,12,"https://en.wikipedia.org//w/index.php?title=John_Smith_(rugby_union,_born_1926)&action=edit&redlink=1"
Harry Millar,595,England,10/02/1951,5,https://en.wikipedia.org//w/index.php?title=Harry_Millar_(rugby_union)&action=edit&redlink=1
Paddy Lawlor,596,Scotland,24/02/1951,12,https://en.wikipedia.org//w/index.php?title=Paddy_Lawlor&action=edit&redlink=1
James Brady,597,Scotland,24/02/1951,12,https://en.wikipedia.org//w/index.php?title=James_Brady_(rugby_union)&action=edit&redlink=1
Angus McMorrow,598,Wales,10/03/1951,1,https://en.wikipedia.org//w/index.php?title=Angus_McMorrow&action=edit&redlink=1
Gerry Murphy,599,South Africa,08/12/1951,6,"https://en.wikipedia.org//w/index.php?title=Gerry_Murphy_(rugby_union,_born_1926)&action=edit&redlink=1"
Tony Browne,600,South Africa,08/12/1951,1,https://en.wikipedia.org//w/index.php?title=Tony_Browne_(rugby_union)&action=edit&redlink=1
Robin Thompson,601,South Africa,08/12/1951,11,https://en.wikipedia.org//wiki/Robin_Thompson
John Notley,602,France,26/01/1952,2,https://en.wikipedia.org//w/index.php?title=John_Notley_(rugby_union)&action=edit&redlink=1
Archie O'Leary,603,Scotland,23/02/1953,3,https://en.wikipedia.org//wiki/Archie_O%27Leary
Michael Dargan,604,Scotland,23/02/1953,2,https://en.wikipedia.org//wiki/Michael_Dargan
Mick Hillary,605,England,29/03/1952,1,https://en.wikipedia.org//w/index.php?title=Mick_Hillary&action=edit&redlink=1
Niall Bailey,606,England,29/03/1952,1,https://en.wikipedia.org//w/index.php?title=Niall_Bailey&action=edit&redlink=1
William O'Neill,607,England,29/03/1952,6,https://en.wikipedia.org//w/index.php?title=William_O%27Neill_(rugby_union)&action=edit&redlink=1
Robin Roe,608,England,29/03/1952,21,https://en.wikipedia.org//wiki/Robin_Roe
Patrick Kavanagh,609,England,29/03/1952,2,https://en.wikipedia.org//w/index.php?title=Patrick_Kavanagh_(rugby_union)&action=edit&redlink=1
Robin Gregg,610,France,24/01/1953,7,https://en.wikipedia.org//w/index.php?title=Robin_Gregg&action=edit&redlink=1
Maurice Mortell,611,France,24/01/1953,9,https://en.wikipedia.org//w/index.php?title=Maurice_Mortell&action=edit&redlink=1
Fuzzy Anderson,612,France,24/01/1953,13,https://en.wikipedia.org//w/index.php?title=Fuzzy_Anderson&action=edit&redlink=1
Ewart Bell,613,France,24/01/1953,4,https://en.wikipedia.org//wiki/Ewart_Bell
Ronnie Kavanagh,614,France,24/01/1953,35,https://en.wikipedia.org//wiki/Ronnie_Kavanagh
"Thomas ""Tom"" Eymard Reid",615,England,14/02/1953,13,https://en.wikipedia.org//wiki/Tom_Reid_(rugby_union)
Seamus Byrne,616,Scotland,28/02/1953,3,https://en.wikipedia.org//w/index.php?title=Seamus_Byrne_(rugby_union)&action=edit&redlink=1
Alexander Cecil Pedlow,617,Wales,13/03/1954,30,https://en.wikipedia.org//wiki/Cecil_Pedlow
Gerard Reidy,618,Wales,13/03/1954,5,https://en.wikipedia.org//w/index.php?title=Gerard_Reidy_(rugby_union)&action=edit&redlink=1
Joseph Gaston,619,New Zealand,09/01/1954,8,https://en.wikipedia.org//w/index.php?title=Joseph_Gaston_(rugby_union)&action=edit&redlink=1
William Hewitt,620,England,13/02/1954,4,https://en.wikipedia.org//w/index.php?title=William_Hewitt_(rugby_union)&action=edit&redlink=1
Gordon Wood,621,England,13/02/1954,29,https://en.wikipedia.org//wiki/Gordon_Wood_(rugby_union)
Jim Murphy-O'Connor,622,England,13/02/1954,1,https://en.wikipedia.org//w/index.php?title=Jim_Murphy-O%27Connor&action=edit&redlink=1
Robin Godfrey,623,Scotland,27/02/1954,2,https://en.wikipedia.org//w/index.php?title=Robin_Godfrey&action=edit&redlink=1
Seamus Kelly,624,Scotland,27/02/1954,5,https://en.wikipedia.org//w/index.php?title=Seamus_Kelly(rugby_union)&action=edit&redlink=1
Paddy Berkery,625,Wales,13/03/1954,11,https://en.wikipedia.org//wiki/Paddy_Berkery
Herbie McCracken,626,Wales,13/03/1954,1,https://en.wikipedia.org//w/index.php?title=Herbie_McCracken&action=edit&redlink=1
William Tector,627,France,22/01/1955,3,https://en.wikipedia.org//w/index.php?title=William_Tector_(rugby_union)&action=edit&redlink=1
Tony O'Reilly,628,France,22/01/1955,29,https://en.wikipedia.org//wiki/Tony_O%27Reilly
Paddy O'Donoghue,629,France,22/01/1955,11,https://en.wikipedia.org//wiki/Paddy_O%27Donoghue_(rugby_union)
Bill O'Connell,630,France,22/01/1955,1,https://en.wikipedia.org//w/index.php?title=Bill_O%27Connell_(rugby_union)&action=edit&redlink=1
Marney Cunningham,631,France,22/01/1955,7,https://en.wikipedia.org//wiki/Marney_Cunningham
Dick Roche,632,England,12/02/1955,4,https://en.wikipedia.org//w/index.php?title=Dick_Roche_(rugby_union)&action=edit&redlink=1
Mick Madden,633,England,12/02/1955,3,https://en.wikipedia.org//w/index.php?title=Mick_Madden_(rugby_union)&action=edit&redlink=1
Sean McDermott,634,Scotland,26/02/1955,2,https://en.wikipedia.org//w/index.php?title=Sean_McDermott_(rugby_union)&action=edit&redlink=1
Dave MacSweeney,635,France,22/01/1955,1,https://en.wikipedia.org//w/index.php?title=Dave_MacSweeney&action=edit&redlink=1
George Ross,636,Wales,12/03/1955,1,https://en.wikipedia.org//w/index.php?title=George_Ross_(rugby_union)&action=edit&redlink=1
James McKelvey,637,France,28/01/1956,2,https://en.wikipedia.org//wiki/James_McKelvey
Sean Quinlan,638,France,28/01/1956,4,https://en.wikipedia.org//w/index.php?title=Sean_Quinlan_(rugby_union)&action=edit&redlink=1
Andy Mulligan,639,France,28/01/1956,22,https://en.wikipedia.org//wiki/Andy_Mulligan_(rugby_union)
Cecil Fagan,640,France,28/01/1956,3,https://en.wikipedia.org//w/index.php?title=Cecil_Fagan_(rugby_union)&action=edit&redlink=1
Adrian Kennedy,641,France,28/01/1956,1,https://en.wikipedia.org//w/index.php?title=Adrian_Kennedy_(rugby_union)&action=edit&redlink=1
Jim Ritchie,642,France,28/01/1956,2,https://en.wikipedia.org//wiki/Jim_Ritchie_(rugby_union)
Noel Feddis,643,England,11/02/1956,1,https://en.wikipedia.org//w/index.php?title=Noel_Feddis&action=edit&redlink=1
Brendan Guerin,644,Scotland,25/02/1956,1,https://en.wikipedia.org//w/index.php?title=Brendan_Guerin&action=edit&redlink=1
Leo Lynch,645,Scotland,25/02/1956,1,https://en.wikipedia.org//w/index.php?title=Leo_Lynch&action=edit&redlink=1
Charlie Lydon,646,Scotland,25/02/1956,1,https://en.wikipedia.org//w/index.php?title=Charlie_Lydon&action=edit&redlink=1
Timothy McGrath,647,Wales,10/03/1956,7,https://en.wikipedia.org//w/index.php?title=Timothy_McGrath&action=edit&redlink=1
Niall Brophy,648,France,26/01/1957,20,https://en.wikipedia.org//wiki/Niall_Brophy
Hubert O'Connor,649,France,26/01/1957,4,https://en.wikipedia.org//wiki/Hubie_O%27Connor
Tony O'Sullivan,650,France,26/01/1957,15,https://en.wikipedia.org//w/index.php?title=Tony_O%27Sullivan_(rugby_union)&action=edit&redlink=1
James Brennan,651,Scotland,23/02/1957,2,https://en.wikipedia.org//w/index.php?title=James_Brennan_(rugby_union)&action=edit&redlink=1
David Hewitt,652,Australia,18/01/1958,18,"https://en.wikipedia.org//wiki/David_Hewitt_(rugby_union,_born_1939)"
Ronnie Dawson,653,Australia,18/01/1958,27,https://en.wikipedia.org//wiki/Ronnie_Dawson_(rugby_union)
James B. Stevenson,654,Australia,18/01/1958,5,"https://en.wikipedia.org//w/index.php?title=James_Stevenson_(rugby_union,_born_1929)&action=edit&redlink=1"
Bill Mulcahy,655,Australia,18/01/1958,35,https://en.wikipedia.org//wiki/Bill_Mulcahy
James Donaldson,656,Australia,18/01/1958,4,https://en.wikipedia.org//w/index.php?title=James_Donaldson_(rugby_union)&action=edit&redlink=1
