name,number,opponent,date_of_debut,caps,url
Henry Walker Murray,42,Scotland,19/02/1877,3,https://en.wikipedia.org//w/index.php?title=Henry_Walker_Murray&action=edit&redlink=1
Robert Matier,43,England,11/03/1878,2,https://en.wikipedia.org//w/index.php?title=Robert_Matier&action=edit&redlink=1
George Lawtie St Leger Fagan,44,England,11/03/1878,1,https://en.wikipedia.org//w/index.php?title=George_Lawtie_St_Leger_Fagan&action=edit&redlink=1
Edward William Dunlo Croker,45,England,11/03/1878,1,https://en.wikipedia.org//w/index.php?title=Edward_William_Dunlo_Croker&action=edit&redlink=1
William David Moore,46,England,11/03/1878,1,https://en.wikipedia.org//w/index.php?title=William_David_Moore&action=edit&redlink=1
Frederick Schute,47,England,11/03/1878,2,https://en.wikipedia.org//w/index.php?title=Frederick_Schute&action=edit&redlink=1
Robert Wood Hughes,48,England,11/03/1878,12,https://en.wikipedia.org//w/index.php?title=Robert_Wood_Hughes&action=edit&redlink=1
W. Griffiths,49,England,11/03/1878,1,https://en.wikipedia.org//w/index.php?title=W._Griffiths&action=edit&redlink=1
Thomas Harrison,50,Scotland,17/02/1879,3,https://en.wikipedia.org//w/index.php?title=Thomas_Harrison_(rugby_union)&action=edit&redlink=1
John Christopher Bagot,51,Scotland,17/02/1879,5,https://en.wikipedia.org//w/index.php?title=John_Christopher_Bagot&action=edit&redlink=1
William Joshua Goulding,52,Scotland,17/02/1879,1,"https://en.wikipedia.org//wiki/Sir_William_Goulding,_1st_Baronet"
William Edward Ashley Cummins,53,Scotland,17/02/1879,3,https://en.wikipedia.org//w/index.php?title=William_Edward_Ashley_Cummins&action=edit&redlink=1
Arthur Archer,54,Scotland,17/02/1879,1,https://en.wikipedia.org//w/index.php?title=Arthur_Archer_(rugby_union)&action=edit&redlink=1
John Wilgar Taylor,55,Scotland,17/02/1879,8,https://en.wikipedia.org//w/index.php?title=John_Wilgar_Taylor&action=edit&redlink=1
William Cox Neville,56,Scotland,17/02/1879,2,https://en.wikipedia.org//w/index.php?title=William_Cox_Neville&action=edit&redlink=1
George Scriven,57,Scotland,17/02/1879,8,https://en.wikipedia.org//w/index.php?title=George_Scriven_(rugby_union)&action=edit&redlink=1
Harrison Purdon,58,Scotland,17/02/1879,5,https://en.wikipedia.org//w/index.php?title=Harrison_Purdon&action=edit&redlink=1
William Watson Pike,59,England,24/03/1879,5,https://en.wikipedia.org//w/index.php?title=William_Watson_Pike&action=edit&redlink=1
Jonathan Willington Walsh Willis,60,England,24/03/1879,1,https://en.wikipedia.org//w/index.php?title=Jonathan_Willington_Walsh_Willis&action=edit&redlink=1
James Rippingham Bristow,61,England,24/03/1879,1,https://en.wikipedia.org//w/index.php?title=James_Rippingham_Bristow&action=edit&redlink=1
John Joseph Keon,62,England,24/03/1879,1,https://en.wikipedia.org//w/index.php?title=John_Joseph_Keon&action=edit&redlink=1
John Loftus Cuppaidge,63,England,24/03/1879,3,https://en.wikipedia.org//w/index.php?title=John_Loftus_Cuppaidge&action=edit&redlink=1
William Heron,64,England,02/02/1880,2,https://en.wikipedia.org//w/index.php?title=William_Heron_(rugby_union)&action=edit&redlink=1
Meredith Johnston,65,England,02/02/1880,8,https://en.wikipedia.org//w/index.php?title=Meredith_Johnston&action=edit&redlink=1
Arthur James Forrest,66,England,02/02/1880,8,https://en.wikipedia.org//w/index.php?title=Arthur_James_Forrest&action=edit&redlink=1
Francis Kennedy,67,England,02/02/1880,3,https://en.wikipedia.org//w/index.php?title=Francis_Kennedy_(rugby_union)&action=edit&redlink=1
Alfred Millar,68,England,02/02/1880,3,https://en.wikipedia.org//w/index.php?title=Alfred_Millar&action=edit&redlink=1
William Armstrong Wallis,69,Scotland,14/02/1880,5,https://en.wikipedia.org//w/index.php?title=William_Armstrong_Wallis&action=edit&redlink=1
William Peirce,70,England,05/02/1881,1,https://en.wikipedia.org//w/index.php?title=William_Peirce_(rugby_union)&action=edit&redlink=1
Henry Francis Spunner,71,England,05/02/1881,3,https://en.wikipedia.org//w/index.php?title=Henry_Francis_Spunner&action=edit&redlink=1
David Roche Browning,72,England,05/02/1881,2,https://en.wikipedia.org//w/index.php?title=David_Roche_Browning&action=edit&redlink=1
John Colley Smyth Burkitt,73,England,05/02/1881,1,https://en.wikipedia.org//w/index.php?title=John_Colley_Smyth_Burkitt&action=edit&redlink=1
Henry Brown Morell,74,England,05/02/1881,4,https://en.wikipedia.org//w/index.php?title=Henry_Brown_Morell&action=edit&redlink=1
Alfred Robinson McMullen,75,England,05/02/1881,2,https://en.wikipedia.org//w/index.php?title=Alfred_Robinson_McMullen&action=edit&redlink=1
Robert Edward McLean,76,Scotland,19/02/1881,10,https://en.wikipedia.org//w/index.php?title=Robert_Edward_McLean&action=edit&redlink=1
John Johnston,77,Scotland,19/02/1881,9,https://en.wikipedia.org//w/index.php?title=John_Johnston_(rugby_union)&action=edit&redlink=1
Joseph Richard Atkinson,78,Wales,28/01/1882,2,https://en.wikipedia.org//w/index.php?title=Joseph_Richard_Atkinson&action=edit&redlink=1
Thomas St George McCarthy,79,Wales,28/01/1882,1,https://en.wikipedia.org//wiki/Thomas_St_George_McCarthy
William Wesley Pole Fletcher,80,Wales,28/01/1882,3,https://en.wikipedia.org//w/index.php?title=William_Wesley_Pole_Fletcher&action=edit&redlink=1
Ernest Henry Greene,81,Wales,28/01/1882,4,https://en.wikipedia.org//w/index.php?title=Ernest_Henry_Greene&action=edit&redlink=1
Gerrard Charles Bent,82,Wales,28/01/1882,2,https://en.wikipedia.org//w/index.php?title=Gerrard_Charles_Bent&action=edit&redlink=1
John Murray Prior Kennedy,83,Wales,28/01/1882,2,https://en.wikipedia.org//w/index.php?title=John_Murray_Prior_Kennedy&action=edit&redlink=1
Edward Adye McCarthy,84,Wales,28/01/1882,1,https://en.wikipedia.org//w/index.php?title=Edward_Adye_McCarthy&action=edit&redlink=1
Arthur Joseph Downing,85,Wales,28/01/1882,1,https://en.wikipedia.org//w/index.php?title=Arthur_Joseph_Downing&action=edit&redlink=1
Frederick Samuel Heuston,86,Wales,28/01/1882,3,https://en.wikipedia.org//w/index.php?title=Frederick_Samuel_Heuston&action=edit&redlink=1
Robert George Thompson,87,Wales,28/01/1882,1,https://en.wikipedia.org//w/index.php?title=Robert_George_Thompson&action=edit&redlink=1
Edward John Wolfe,88,England,06/02/1882,1,https://en.wikipedia.org//w/index.php?title=Edward_John_Wolfe&action=edit&redlink=1
Robert Nelson,89,England,06/02/1882,4,https://en.wikipedia.org//w/index.php?title=Robert_Nelson_(rugby_union)&action=edit&redlink=1
Thomas Johnson-Smyth,90,England,06/02/1882,1,https://en.wikipedia.org//w/index.php?title=Thomas_Johnson-Smyth&action=edit&redlink=1
Olivier Sawyer Stokes,91,England,06/02/1882,2,https://en.wikipedia.org//w/index.php?title=Olivier_Sawyer_Stokes&action=edit&redlink=1
Robert Whiteside Morrow,92,Scotland,18/02/1882,10,https://en.wikipedia.org//w/index.php?title=Robert_Whiteside_Morrow&action=edit&redlink=1
James Green Pedlow,93,Scotland,18/02/1882,2,https://en.wikipedia.org//w/index.php?title=James_Green_Pedlow&action=edit&redlink=1
Alexander Charles O'Sullivan,94,Scotland,18/02/1882,1,https://en.wikipedia.org//wiki/Alexander_Charles_O%27Sullivan
John Blacker Buchanan,95,Scotland,18/02/1882,3,https://en.wikipedia.org//w/index.php?title=John_Blacker_Buchanan&action=edit&redlink=1
Rowland Scovell,96,England,05/02/1883,2,https://en.wikipedia.org//w/index.php?title=Rowland_Scovell&action=edit&redlink=1
Isaac Peyton Warren,97,England,05/02/1883,1,https://en.wikipedia.org//w/index.php?title=Isaac_Peyton_Warren&action=edit&redlink=1
