name,dob,pob,career_stage,years,teams,apps,points
John Muldoon,1982-11-30,"portumna,county galway,ireland",international,2002–2003,ireland u21,0,0
John Muldoon,1982-11-30,"portumna,county galway,ireland",international,2000–2001,ireland u19,0,0
Ian Whitten,1987-06-05,"lisburn,northern ireland",amateur,2005-2006,queen's university,0,0
Ian Whitten,1987-06-05,"lisburn,northern ireland",senior_club,2012-,exeter chiefs,271,155
Ian Whitten,1987-06-05,"lisburn,northern ireland",senior_club,2008-2012,ulster,63,25
Ian Whitten,1987-06-05,"lisburn,northern ireland",international,2009,ireland,2,10
Ian Whitten,1987-06-05,"lisburn,northern ireland",international,2011,wolfhounds,1,0
Kevin McLaughlin,1984-09-20,"dublin,ireland",amateur,2005,ucd rfcst. mary's college rfc,0,0
Kevin McLaughlin,1984-09-20,"dublin,ireland",senior_club,2007-2015,leinster,115,20
Kevin McLaughlin,1984-09-20,"dublin,ireland",international,2010–2013,ireland,8,0
Kevin McLaughlin,1984-09-20,"dublin,ireland",international,2009–13,wolfhounds,4,5
Kevin McLaughlin,1984-09-20,"dublin,ireland",international,2005,ireland u21,5,0
Kevin McLaughlin,1984-09-20,"dublin,ireland",international,2003,ireland schools,7,0
Felix Jones,1987-08-05,"dublin,ireland",amateur,-,old belvedere,0,0
Felix Jones,1987-08-05,"dublin,ireland",amateur,-,shannon,0,0
Felix Jones,1987-08-05,"dublin,ireland",senior_club,2008-2009,leinster,1,0
Felix Jones,1987-08-05,"dublin,ireland",senior_club,2009-2015,munster,90,50
Felix Jones,1987-08-05,"dublin,ireland",international,2007,ireland u20,5,15
Felix Jones,1987-08-05,"dublin,ireland",international,2009-2015,ireland wolfhounds,5,10
Felix Jones,1987-08-05,"dublin,ireland",international,2011-2015,ireland,13,15
Conor Murray,1989-04-20,"limerick, ireland",amateur,2010-,garryowen,0,0
Conor Murray,1989-04-20,"limerick, ireland",senior_club,2010-,munster,193,195
Conor Murray,1989-04-20,"limerick, ireland",international,2009,ireland u20,8,24
Conor Murray,1989-04-20,"limerick, ireland",international,2011-,ireland,118,115
Conor Murray,1989-04-20,"limerick, ireland",international,2013-2021,british & irish lions,9,5
Simon Zebo,1990-03-16,"cork, ireland",amateur,2007-2012,cork constitution,0,0
Simon Zebo,1990-03-16,"cork, ireland",senior_club,2010-2018,munster,144,300
Simon Zebo,1990-03-16,"cork, ireland",senior_club,2018-2021,racing 92,60,125
Simon Zebo,1990-03-16,"cork, ireland",senior_club,2021-,munster,32,65
Simon Zebo,1990-03-16,"cork, ireland",international,2010,ireland u20,9,18
Simon Zebo,1990-03-16,"cork, ireland",international,2012-2014,ireland wolfhounds,2,5
Simon Zebo,1990-03-16,"cork, ireland",international,2012-2017,ireland,35,45
Jack McGrath,1989-10-11,"dublin,ireland",amateur,-,st mary's college,0,0
Jack McGrath,1989-10-11,"dublin,ireland",senior_club,2019–2022,ulster,25,0
Jack McGrath,1989-10-11,"dublin,ireland",senior_club,2010–2019,leinster,145,60
Jack McGrath,1989-10-11,"dublin,ireland",international,2017,british & irish lions,3,0
Jack McGrath,1989-10-11,"dublin,ireland",international,2013–2019,ireland,56,10
Jack McGrath,1989-10-11,"dublin,ireland",international,2014–2015,ireland wolfhounds,2,0
Jack McGrath,1989-10-11,"dublin,ireland",international,2013,emerging ireland,3,0
Jack McGrath,1989-10-11,"dublin,ireland",international,2009,ireland u20,13,0
Jared Payne,1985-10-13,"tauranga,new zealand",amateur,2003-2004,hamilton old boys rsc,0,0
Jared Payne,1985-10-13,"tauranga,new zealand",senior_club,2011-2018,ulster,78,105
Jared Payne,1985-10-13,"tauranga,new zealand",senior_club,2006-2007,waikato,7,5
Jared Payne,1985-10-13,"tauranga,new zealand",senior_club,2008-2011,northland,36,96
Jared Payne,1985-10-13,"tauranga,new zealand",international,2006,new zealand u21,3,5
Jared Payne,1985-10-13,"tauranga,new zealand",international,2014-2017,ireland,20,20
Jared Payne,1985-10-13,"tauranga,new zealand",international,2017,british & irish lions,0,0
Dave Foley,1988-05-16,"clonmel,ireland",amateur,2000-2017,ul bohemians,0,0
Dave Foley,1988-05-16,"clonmel,ireland",senior_club,2010-2017,munster,84,0
Dave Foley,1988-05-16,"clonmel,ireland",senior_club,2017-2019,pau,29,5
Dave Foley,1988-05-16,"clonmel,ireland",international,2013-2014,emerging ireland,6,0
Dave Foley,1988-05-16,"clonmel,ireland",international,2014,ireland,2,0
Robin Copeland,1987-10-23,"wexford,ireland",amateur,2000-2010,st mary's college,0,0
Robin Copeland,1987-10-23,"wexford,ireland",senior_club,2010-2011,plymouth albion,20,15
Robin Copeland,1987-10-23,"wexford,ireland",senior_club,2011-2012,rotherham titans,26,65
Robin Copeland,1987-10-23,"wexford,ireland",senior_club,2012-2014,cardiff blues,53,40
Robin Copeland,1987-10-23,"wexford,ireland",senior_club,2014-2018,munster,71,60
Robin Copeland,1987-10-23,"wexford,ireland",senior_club,2018-2020,connacht,18,5
Robin Copeland,1987-10-23,"wexford,ireland",senior_club,2020-,soyaux angoulême,28,5
Robin Copeland,1987-10-23,"wexford,ireland",international,2014,ireland wolfhounds,1,0
Robin Copeland,1987-10-23,"wexford,ireland",international,2014,emerging ireland,3,10
Robin Copeland,1987-10-23,"wexford,ireland",international,2014,ireland,1,0
CJ Stander,1990-04-05,"george, south africa",amateur,2012-2021,shannon,0,0
CJ Stander,1990-04-05,"george, south africa",senior_club,2010-2012,blue bulls,52,75
CJ Stander,1990-04-05,"george, south africa",senior_club,2012,bulls,16,20
CJ Stander,1990-04-05,"george, south africa",senior_club,2012-2021,munster,156,210
CJ Stander,1990-04-05,"george, south africa",international,2008,south africa u18,1,0
CJ Stander,1990-04-05,"george, south africa",international,2009-2010,south africa u20,10,15
CJ Stander,1990-04-05,"george, south africa",international,2016-2021,ireland,51,60
CJ Stander,1990-04-05,"george, south africa",international,2017,british & irish lions,1,0
Joey Carbery,1995-11-01,"auckland, new zealand",amateur,2014-2015,ucd,0,0
Joey Carbery,1995-11-01,"auckland, new zealand",amateur,2015-,clontarf,0,0
Joey Carbery,1995-11-01,"auckland, new zealand",senior_club,2016-2018,leinster,37,101
Joey Carbery,1995-11-01,"auckland, new zealand",senior_club,2018-2024,munster,68,517
Joey Carbery,1995-11-01,"auckland, new zealand",senior_club,2024-,bordeaux,0,0
Joey Carbery,1995-11-01,"auckland, new zealand",international,2015,ireland u20,9,33
Joey Carbery,1995-11-01,"auckland, new zealand",international,2016-,ireland,37,164
John Ryan,1988-08-02,"berrings, ireland",amateur,2007-2011,ucc,0,0
John Ryan,1988-08-02,"berrings, ireland",amateur,2011-2022,cork constitution,0,0
John Ryan,1988-08-02,"berrings, ireland",senior_club,2011-2022,munster,197,25
John Ryan,1988-08-02,"berrings, ireland",senior_club,2012,→london irish(loan),2,0
John Ryan,1988-08-02,"berrings, ireland",senior_club,2022,wasps,4,0
John Ryan,1988-08-02,"berrings, ireland",senior_club,2022-2023,munster,8,5
John Ryan,1988-08-02,"berrings, ireland",senior_club,2023,chiefs,17,0
John Ryan,1988-08-02,"berrings, ireland",senior_club,2023-2024,munster,19,0
John Ryan,1988-08-02,"berrings, ireland",international,2013-2014,emerging ireland,3,0
John Ryan,1988-08-02,"berrings, ireland",international,2016-2021,ireland,24,5
John Ryan,1988-08-02,"berrings, ireland",international,2022,barbarians,3,0
Dan Leavy,1994-05-23,"dublin,ireland",amateur,2012-,ucd,0,0
Dan Leavy,1994-05-23,"dublin,ireland",senior_club,2014-2022,leinster,79,85
Dan Leavy,1994-05-23,"dublin,ireland",international,2016–2018,ireland,11,15
Dan Leavy,1994-05-23,"dublin,ireland",international,2013–2014,ireland u20,7,10
Andrew Conway,1991-07-11,"dublin, ireland",amateur,2000-2013,blackrock college,0,0
Andrew Conway,1991-07-11,"dublin, ireland",amateur,2013-,garryowen,0,0
Andrew Conway,1991-07-11,"dublin, ireland",senior_club,2010-2013,leinster,42,40
Andrew Conway,1991-07-11,"dublin, ireland",senior_club,2013-2023,munster,150,250
Andrew Conway,1991-07-11,"dublin, ireland",international,2009,ireland schools,1,0
Andrew Conway,1991-07-11,"dublin, ireland",international,2010-2011,ireland u20,16,70
Andrew Conway,1991-07-11,"dublin, ireland",international,2014-2015,emerging ireland,6,30
Andrew Conway,1991-07-11,"dublin, ireland",international,2015,ireland wolfhounds,1,0
Andrew Conway,1991-07-11,"dublin, ireland",international,2017-2022,ireland,30,75
Rory Scannell,1993-12-22,"cork, ireland",amateur,2012-,dolphin,0,0
Rory Scannell,1993-12-22,"cork, ireland",senior_club,2014-,munster,190,179
Rory Scannell,1993-12-22,"cork, ireland",international,2013,ireland u20,9,38
Rory Scannell,1993-12-22,"cork, ireland",international,2015,emerging ireland,2,8
Rory Scannell,1993-12-22,"cork, ireland",international,2017,ireland,3,6
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",amateur,2004-2014,clogher valley rfc,0,0
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",amateur,2017-2023,young munster,0,0
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",senior_club,2011-2014,ulster,5,0
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",senior_club,2014-2017,grenoble,74,50
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",senior_club,2017-2023,munster,71,45
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",senior_club,2023-,oyonnax,7,5
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",international,2012,ireland u20,9,5
Chris Farrell,1993-03-16,"fivemiletown, northern ireland",international,2017-2021,ireland,15,5
Tadhg Beirne,1992-01-08,"eadestown, ireland",amateur,2000-2016,lansdowne,0,0
Tadhg Beirne,1992-01-08,"eadestown, ireland",amateur,2016-2018,llandovery,2,0
Tadhg Beirne,1992-01-08,"eadestown, ireland",amateur,2018-,lansdowne,0,0
Tadhg Beirne,1992-01-08,"eadestown, ireland",senior_club,2015-2016,leinster,4,0
Tadhg Beirne,1992-01-08,"eadestown, ireland",senior_club,2016-2018,scarlets,57,60
Tadhg Beirne,1992-01-08,"eadestown, ireland",senior_club,2018-,munster,76,45
Tadhg Beirne,1992-01-08,"eadestown, ireland",international,2012,ireland u20,9,0
Tadhg Beirne,1992-01-08,"eadestown, ireland",international,2018-,ireland,51,55
Tadhg Beirne,1992-01-08,"eadestown, ireland",international,2021,british & irish lions,3,5
Sammy Arnold,1996-04-08,"surrey,england",amateur,2015-2016,ballynahinch,0,0
Sammy Arnold,1996-04-08,"surrey,england",amateur,2016-,garryowen,0,0
Sammy Arnold,1996-04-08,"surrey,england",senior_club,2015-2016,ulster,14,0
Sammy Arnold,1996-04-08,"surrey,england",senior_club,2016-2020,munster,44,40
Sammy Arnold,1996-04-08,"surrey,england",senior_club,2020-2022,connacht,38,40
Sammy Arnold,1996-04-08,"surrey,england",senior_club,2022-2024,brive,27,25
Sammy Arnold,1996-04-08,"surrey,england",senior_club,2024-,newcastle falcons,0,0
Sammy Arnold,1996-04-08,"surrey,england",international,2015,ireland u20,10,0
Sammy Arnold,1996-04-08,"surrey,england",international,2018,ireland,1,0
Will Connors,1996-04-04,"donadea,kildare,ireland",amateur,2015-,ucd,0,0
Will Connors,1996-04-04,"donadea,kildare,ireland",senior_club,2018-,leinster,39,10
Will Connors,1996-04-04,"donadea,kildare,ireland",international,2016-2017,ireland u20,0,0
Will Connors,1996-04-04,"donadea,kildare,ireland",international,2020-,ireland,9,15
Shane Daly,1996-12-19,"cork, ireland",amateur,2015-,cork constitution,0,0
Shane Daly,1996-12-19,"cork, ireland",senior_club,2018-,munster,95,110
Shane Daly,1996-12-19,"cork, ireland",international,2016,ireland u20,10,20
Shane Daly,1996-12-19,"cork, ireland",international,2017-2019,ireland 7s,0,0
Shane Daly,1996-12-19,"cork, ireland",international,2020-,ireland,2,0
Shane Daly,1996-12-19,"cork, ireland",international,2022,emerging ireland,3,10
Shane Daly,1996-12-19,"cork, ireland",international,2022,ireland a,1,0
Eric O'Sullivan,1995-11-30,"dublin,ireland",amateur,2017–,banbridge,18,5
Eric O'Sullivan,1995-11-30,"dublin,ireland",amateur,20??–2017,dublin university,0,0
Eric O'Sullivan,1995-11-30,"dublin,ireland",senior_club,2018-,ulster,115,10
Eric O'Sullivan,1995-11-30,"dublin,ireland",international,2020-,ireland,1,0
Craig Casey,1999-04-19,"limerick, ireland",amateur,2018-,shannon,0,0
Craig Casey,1999-04-19,"limerick, ireland",senior_club,2019-,munster,87,90
Craig Casey,1999-04-19,"limerick, ireland",international,2019,ireland u20,7,15
Craig Casey,1999-04-19,"limerick, ireland",international,2021-,ireland,15,0
Craig Casey,1999-04-19,"limerick, ireland",international,2022,ireland a,1,0
Gavin Coombes,1997-12-11,"skibbereen, ireland",amateur,2016-,young munster,0,0
Gavin Coombes,1997-12-11,"skibbereen, ireland",senior_club,2018-,munster,99,220
Gavin Coombes,1997-12-11,"skibbereen, ireland",international,2017,ireland u20,9,5
Gavin Coombes,1997-12-11,"skibbereen, ireland",international,2021-,ireland,2,5
Gavin Coombes,1997-12-11,"skibbereen, ireland",international,2022,ireland a,1,0
Robert Baloucoune,1997-08-19,"enniskillen,northern ireland",amateur,2016,enniskillen rfc,0,0
Robert Baloucoune,1997-08-19,"enniskillen,northern ireland",senior_club,2018-,ulster,69,145
Robert Baloucoune,1997-08-19,"enniskillen,northern ireland",international,2021-,ireland,4,10
Robert Baloucoune,1997-08-19,"enniskillen,northern ireland",international,2022,emerging ireland,2,5
James Hume,1998-09-07,"belfast,northern ireland",amateur,2018-,banbridge,11,36
James Hume,1998-09-07,"belfast,northern ireland",senior_club,2018-,ulster,95,70
James Hume,1998-09-07,"belfast,northern ireland",international,2022,ireland wolfhounds,1,0
James Hume,1998-09-07,"belfast,northern ireland",international,2021–,ireland,3,0
James Hume,1998-09-07,"belfast,northern ireland",international,2018,ireland u20,7,5
Nick Timoney,1995-08-01,"dublin,ireland",amateur,2017–,banbridge,0,0
Nick Timoney,1995-08-01,"dublin,ireland",amateur,2015–2017,queen's university,0,0
Nick Timoney,1995-08-01,"dublin,ireland",amateur,2014–2015,st mary's college,0,0
Nick Timoney,1995-08-01,"dublin,ireland",senior_club,2017-,ulster,146,180
Nick Timoney,1995-08-01,"dublin,ireland",international,2022,ireland wolfhounds,1,0
Nick Timoney,1995-08-01,"dublin,ireland",international,2021–,ireland,3,15
Nick Timoney,1995-08-01,"dublin,ireland",international,2014–2015,ireland u20,8,0
Fineen Wycherley,1997-12-11,"bantry, ireland",amateur,2016-,young munster,0,0
Fineen Wycherley,1997-12-11,"bantry, ireland",senior_club,2017-,munster,107,40
Fineen Wycherley,1997-12-11,"bantry, ireland",international,2017,ireland u20,9,5
Fineen Wycherley,1997-12-11,"bantry, ireland",international,2021,ireland,1,0
Michael Lowry,1998-08-20,"belfast,northern ireland",amateur,2017-,banbridge,4,12
Michael Lowry,1998-08-20,"belfast,northern ireland",senior_club,2018-,ulster,103,120
Michael Lowry,1998-08-20,"belfast,northern ireland",international,2018,ireland u20,1,0
Michael Lowry,1998-08-20,"belfast,northern ireland",international,2022-,ireland,1,10
Michael Lowry,1998-08-20,"belfast,northern ireland",international,2022,ireland wolfhounds,1,0
Jeremy Loughman,1995-07-22,"reno, united states",amateur,2014-2018,ucd,0,0
Jeremy Loughman,1995-07-22,"reno, united states",amateur,2018-,garryowen,0,0
Jeremy Loughman,1995-07-22,"reno, united states",senior_club,2016,leinster,5,0
Jeremy Loughman,1995-07-22,"reno, united states",senior_club,2017-,munster,107,30
Jeremy Loughman,1995-07-22,"reno, united states",international,2015,ireland u20,5,0
Jeremy Loughman,1995-07-22,"reno, united states",international,2022,ireland a,1,0
Jeremy Loughman,1995-07-22,"reno, united states",international,2022-,ireland,5,0
Jack Crowley,2000-01-13,"innishannon, ireland",amateur,2000-2019,bandon,0,0
Jack Crowley,2000-01-13,"innishannon, ireland",amateur,2019-,cork constitution,0,0
Jack Crowley,2000-01-13,"innishannon, ireland",senior_club,2021-,munster,54,240
Jack Crowley,2000-01-13,"innishannon, ireland",international,2020,ireland u20,3,36
Jack Crowley,2000-01-13,"innishannon, ireland",international,2022,emerging ireland,3,18
Jack Crowley,2000-01-13,"innishannon, ireland",international,2022,ireland a,1,2
Jack Crowley,2000-01-13,"innishannon, ireland",international,2022-,ireland,15,87
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",amateur,2015-2016,skerries,8,42
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",amateur,2016-,ucd,15,82
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",senior_club,2018-,leinster,79,230
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",international,2017,ireland u20,10,8
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",international,2022,ireland wolfhounds,1,7
Ciarán Frawley,1997-12-04,"sydney,new south wales, australia",international,2023-,ireland,6,13
Calvin Nash,1997-08-08,"limerick, ireland",amateur,2016-,young munster,0,0
Calvin Nash,1997-08-08,"limerick, ireland",senior_club,2017-,munster,73,100
Calvin Nash,1997-08-08,"limerick, ireland",international,2017,ireland u20,7,20
Calvin Nash,1997-08-08,"limerick, ireland",international,2022,emerging ireland,2,5
Calvin Nash,1997-08-08,"limerick, ireland",international,2022,ireland a,2,5
Calvin Nash,1997-08-08,"limerick, ireland",international,2023-,ireland,8,10
Mark McCall,1967-11-29,"bangor, northern ireland",amateur,1986-1996,bangor rfc,0,0
Mark McCall,1967-11-29,"bangor, northern ireland",amateur,1996-97,dungannon rfc,0,0
Mark McCall,1967-11-29,"bangor, northern ireland",senior_club,1989-1997,ulster,0,0
Mark McCall,1967-11-29,"bangor, northern ireland",senior_club,1997-1998,london irish,0,0
Mark McCall,1967-11-29,"bangor, northern ireland",senior_club,1998,ulster,0,0
Mark McCall,1967-11-29,"bangor, northern ireland",international,1992-1998,ireland,13,0
Peter Clohessy,1966-03-22,"limerick,ireland",amateur,1987-1999,young munster,0,0
Peter Clohessy,1966-03-22,"limerick,ireland",senior_club,1998–2002,munster,73,10
Peter Clohessy,1966-03-22,"limerick,ireland",senior_club,1997,queensland reds,0,0
Peter Clohessy,1966-03-22,"limerick,ireland",senior_club,1987–1996,munster,0,0
Peter Clohessy,1966-03-22,"limerick,ireland",international,1993-2002,ireland,54,20
Eric Elwood,1969-02-26,"galway, ireland",amateur,-,lansdowne,0,0
Eric Elwood,1969-02-26,"galway, ireland",amateur,-,galwegians,0,0
Eric Elwood,1969-02-26,"galway, ireland",senior_club,1989-2005,connacht,168,1152
Eric Elwood,1969-02-26,"galway, ireland",international,1993-1999,ireland,35,296
Eric Elwood,1969-02-26,"galway, ireland",international,1993,barbarians,1,12
Conor O'Shea,1970-10-21,"limerick,republic of ireland",amateur,1992-1995,lansdowne,0,0
Conor O'Shea,1970-10-21,"limerick,republic of ireland",senior_club,1995-2000,leinster,0,0
Conor O'Shea,1970-10-21,"limerick,republic of ireland",senior_club,-,london irish,127,412
Conor O'Shea,1970-10-21,"limerick,republic of ireland",international,1993-2000,ireland,35,44
Keith Wood,1972-01-27,"killaloe, county clare, ireland",amateur,1991-1994,garryowen,0,0
Keith Wood,1972-01-27,"killaloe, county clare, ireland",senior_club,2000–2003,harlequins,65,48
Keith Wood,1972-01-27,"killaloe, county clare, ireland",senior_club,1999–2000,munster,23,30
Keith Wood,1972-01-27,"killaloe, county clare, ireland",senior_club,1995–1999,harlequins,0,0
Keith Wood,1972-01-27,"killaloe, county clare, ireland",international,1997-2001,british & irish lions,5,0
Keith Wood,1972-01-27,"killaloe, county clare, ireland",international,1994–2003,ireland,58,75
Paul Burke,1973-05-01,"paddington, london,england",amateur,1994–1996,cork constitution,0,0
Paul Burke,1973-05-01,"paddington, london,england",amateur,1991–1994,loughborough students,0,0
Paul Burke,1973-05-01,"paddington, london,england",senior_club,2006–2008,leicester tigers,21,122
Paul Burke,1973-05-01,"paddington, london,england",senior_club,2004–2006,munster rugby,38,245
Paul Burke,1973-05-01,"paddington, london,england",senior_club,2000–2004,harlequins,88,995
Paul Burke,1973-05-01,"paddington, london,england",senior_club,1998–2000,cardiff,32,50
Paul Burke,1973-05-01,"paddington, london,england",senior_club,1996–1998,bristol,50,500
Paul Burke,1973-05-01,"paddington, london,england",senior_club,1994–1996,munster rugby,21,63
Paul Burke,1973-05-01,"paddington, london,england",senior_club,1992–1994,london irish,0,0
Paul Burke,1973-05-01,"paddington, london,england",international,1995–2003,ireland,13,108
Paul Burke,1973-05-01,"paddington, london,england",international,1992,england u21,1,0
Anthony Foley,1973-10-30,"limerick,ireland",amateur,1992-2007,shannon,88,95
Anthony Foley,1973-10-30,"limerick,ireland",senior_club,1995-2008,munster,201,195
Anthony Foley,1973-10-30,"limerick,ireland",international,1995-2005,ireland,62,25
Paul Wallace,1971-12-30,"cork,ireland",amateur,1994–1996,blackrock college,0,0
Paul Wallace,1971-12-30,"cork,ireland",amateur,1991–1994,ucc,0,0
Paul Wallace,1971-12-30,"cork,ireland",senior_club,2001–2003,leinster,24,5
Paul Wallace,1971-12-30,"cork,ireland",senior_club,1996–2001,saracens,67,45
Paul Wallace,1971-12-30,"cork,ireland",international,1997,british & irish lions,3,0
Paul Wallace,1971-12-30,"cork,ireland",international,1995–2002,ireland,46,25
Allen Clarke,1967-07-29,"dungannon,northern ireland",amateur,1998-2001,dungannon,0,0
Allen Clarke,1967-07-29,"dungannon,northern ireland",senior_club,1989-1995,northampton saints,0,0
Allen Clarke,1967-07-29,"dungannon,northern ireland",senior_club,1995-1996,ulster,0,0
Allen Clarke,1967-07-29,"dungannon,northern ireland",senior_club,1996-1998,northampton saints,0,0
Allen Clarke,1967-07-29,"dungannon,northern ireland",senior_club,1998-2001,ulster,0,0
Allen Clarke,1967-07-29,"dungannon,northern ireland",international,1995-1998,ireland,8,0
Victor Costello,1970-10-23,,amateur,1992-1994,blackrock college,0,0
Victor Costello,1970-10-23,,amateur,1994-1996/1997-2005,st. mary's college,0,0
Victor Costello,1970-10-23,,senior_club,1996-1997,london irish,8,5
Victor Costello,1970-10-23,,senior_club,1993-1995,connacht,0,0
Victor Costello,1970-10-23,,senior_club,1995-1996/1997-2005,leinster,121,80
Victor Costello,1970-10-23,,international,1996-2004,ireland,39,20
David Humphreys,1971-09-10,"belfast,northern ireland",amateur,1990-1994,queen's university rfc,0,0
David Humphreys,1971-09-10,"belfast,northern ireland",amateur,1994,ballymena r.f.c.,0,0
David Humphreys,1971-09-10,"belfast,northern ireland",amateur,1994-95,oxford university rfc,0,0
David Humphreys,1971-09-10,"belfast,northern ireland",amateur,1998-,dungannon rfc,0,0
David Humphreys,1971-09-10,"belfast,northern ireland",senior_club,1996-1998,london irish,56,277
David Humphreys,1971-09-10,"belfast,northern ireland",senior_club,"1992-97, 1998-2008",ulster,163,1585
David Humphreys,1971-09-10,"belfast,northern ireland",international,1996-2006,ireland,72,560
Eric Miller,1975-09-23,"dublin,ireland",amateur,1998–2006,terenure college,0,0
Eric Miller,1975-09-23,"dublin,ireland",amateur,1996–1998,loughborough students,0,0
Eric Miller,1975-09-23,"dublin,ireland",amateur,1994–1996,old wesley,0,0
Eric Miller,1975-09-23,"dublin,ireland",senior_club,2000–2006,leinster,0,0
Eric Miller,1975-09-23,"dublin,ireland",senior_club,1998–2000,ulster,0,0
Eric Miller,1975-09-23,"dublin,ireland",senior_club,1996–1998,leicester tigers,0,0
Eric Miller,1975-09-23,"dublin,ireland",senior_club,1995–1996,leinster,0,0
Eric Miller,1975-09-23,"dublin,ireland",international,1998–2005,barbarians,3,5
Eric Miller,1975-09-23,"dublin,ireland",international,1997,british and irish lions,1,0
Eric Miller,1975-09-23,"dublin,ireland",international,1997–2005,ireland,48,30
Andy Ward,1970-09-08,"whangārei, new zealand",amateur,2005-2008,belfast harlequins,0,0
Andy Ward,1970-09-08,"whangārei, new zealand",amateur,1994-2005,ballynahinch rfc,0,0
Andy Ward,1970-09-08,"whangārei, new zealand",amateur,1991-1994,hautapu rfc,0,0
Andy Ward,1970-09-08,"whangārei, new zealand",amateur,?-1991,ōhaupō,0,0
Andy Ward,1970-09-08,"whangārei, new zealand",senior_club,1997-2005,ulster,119,95
Andy Ward,1970-09-08,"whangārei, new zealand",international,1998-2001,ireland,28,15
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",amateur,1998-2010,dungannon rfc,0,0
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",senior_club,1994-1998,london irish,0,0
Justin Fitzpatrick,1973-11-21,"chichester,west sussex",senior_club,1998-2003,ulster,73,0
