"name","tier","division","country","wikidataId","homonyms"
"Tindal Lions Rugby Union Football Club",5,"Katherine Rugby Union","Australia","",""
"Avoca Beach",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Gosford",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Kariong",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Northlakes United",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Ourimbah Razorbacks",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Terrigal",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"The Entrance",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Warnervale",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Woy Woy",5,"NSWCRU Central Coast Rugby Union","Australia","",""
"Barraba Rams & Gwydir River Rats",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Croppa Creek Crows",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Gunnedah Red Devils",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Inverell Highlanders",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Moree Weebolla Bulls",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Narrabri Blue Boars",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Quirindi Lions",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Scone Brumbies",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Tamworth Pirates",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Tamworth Rugby Union Sporting Club",5,"NSWCRU Central Northern Rugby Union","Australia","Q85805120",""
"Walcha Rams",5,"NSWCRU Central Northern Rugby Union","Australia","",""
"Bathurst Bulldogs",5,"NSWCRU Central West Rugby Union","Australia","",""
"Bathurst City",5,"NSWCRU Central West Rugby Union","Australia","",""
"Blackheath Wildfires",5,"NSWCRU Central West Rugby Union","Australia","",""
"Blayney",5,"NSWCRU Central West Rugby Union","Australia","",""
"Canowindra Pythons",5,"NSWCRU Central West Rugby Union","Australia","",""
"Coolah",5,"NSWCRU Central West Rugby Union","Australia","",""
"Coonabarabran Kookaburras",5,"NSWCRU Central West Rugby Union","Australia","",""
"Cowra Eagles",5,"NSWCRU Central West Rugby Union","Australia","",""
"CSU - Bathurst",5,"NSWCRU Central West Rugby Union","Australia","",""
"Cudal",5,"NSWCRU Central West Rugby Union","Australia","",""
"Cudal Cobras",5,"NSWCRU Central West Rugby Union","Australia","",""
"Dubbo Kangaroos",5,"NSWCRU Central West Rugby Union","Australia","",""
"Dubbo Rhinos",5,"NSWCRU Central West Rugby Union","Australia","",""
"Forbes Platypi",5,"NSWCRU Central West Rugby Union","Australia","",""
"Geurie Goats Rugby Club",5,"NSWCRU Central West Rugby Union","Australia","",""
"Lithgow Devils",5,"NSWCRU Central West Rugby Union","Australia","",""
"Molong Magpies",5,"NSWCRU Central West Rugby Union","Australia","",""
"Mudgee Wombats",5,"NSWCRU Central West Rugby Union","Australia","",""
"Narromine Gorillas",5,"NSWCRU Central West Rugby Union","Australia","",""
"Oberon",5,"NSWCRU Central West Rugby Union","Australia","",""
"Orange City",5,"NSWCRU Central West Rugby Union","Australia","",""
"Orange Emus",5,"NSWCRU Central West Rugby Union","Australia","",""
"Orange Waratahs",5,"NSWCRU Central West Rugby Union","Australia","",""
"Parkes Boars",5,"NSWCRU Central West Rugby Union","Australia","",""
"Rydal Razorbacks",5,"NSWCRU Central West Rugby Union","Australia","",""
"Trangie Tigers",5,"NSWCRU Central West Rugby Union","Australia","",""
"USO - Orange",5,"NSWCRU Central West Rugby Union","Australia","",""
"Wellington Redbacks",5,"NSWCRU Central West Rugby Union","Australia","",""
"Yeoval",5,"NSWCRU Central West Rugby Union","Australia","",""
"Ballina",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Bangalow",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Byron Bay",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Casino",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Casuarina",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Evans River",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Iluka",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Kyogle",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Lennox Head",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Lismore",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Mullumbimby",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Murwillumbah",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Richmond Range",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Southern Cross University",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Wollongbar/Alstonville",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Woolgoolga Whitepointers",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Yamba",5,"NSWCRU Far North Coast Rugby Union","Australia","",""
"Albion Park",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Avondale",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Bowral",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Bundanoon",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Camden Rams",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Kiama",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Lions Rugby",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Shamrocks",5,"NSWCRU Illawarra Rugby Union","Australia","","Q7232856"
"Shoalhaven",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Tech Waratahs",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"University RC",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Vikings",5,"NSWCRU Illawarra Rugby Union","Australia","","Q4121095; Q7988423"
"Wollondilly",5,"NSWCRU Illawarra Rugby Union","Australia","",""
"Bundaberg Barbarians",5,"Queensland Country Rugby Union - Bundaberg","Australia","",""
"Bundaberg Pythons",5,"Queensland Country Rugby Union - Bundaberg","Australia","",""
"Isis Crushers",5,"Queensland Country Rugby Union - Bundaberg","Australia","",""
"The Waves Falcons",5,"Queensland Country Rugby Union - Bundaberg","Australia","",""
"Turtles Brothers Rugby",5,"Queensland Country Rugby Union - Bundaberg","Australia","",""
"Biloela Rugby",5,"Queensland Country Rugby Union - Central","Australia","",""
"Blackwater Rugby",5,"Queensland Country Rugby Union - Central","Australia","",""
"Capricorn Coast Rugby",5,"Queensland Country Rugby Union - Central","Australia","",""
"Colts Rugby Club",5,"Queensland Country Rugby Union - Central","Australia","","Q7016267"
"Dawson Valley Rugby Club",5,"Queensland Country Rugby Union - Central","Australia","",""
"Frenchville Pioneers",5,"Queensland Country Rugby Union - Central","Australia","",""
"Gladstone Rugby Club",5,"Queensland Country Rugby Union - Central","Australia","",""
"Mount Morgan Rugby",5,"Queensland Country Rugby Union - Central","Australia","",""
"Rockhampton Boars",5,"Queensland Country Rugby Union - Central","Australia","",""
"Rockhampton Brothers Rugby Union",5,"Queensland Country Rugby Union - Central","Australia","",""
"University Central Queensland Rugby",5,"Queensland Country Rugby Union - Central","Australia","",""
"Capella Rugby Union",5,"Queensland Country Rugby Union - Central Highlands","Australia","",""
"Clermont Rugby Union",5,"Queensland Country Rugby Union - Central Highlands","Australia","",""
"Emerald Rugby",5,"Queensland Country Rugby Union - Central Highlands","Australia","",""
"Moranbah Bulls",5,"Queensland Country Rugby Union - Central Highlands","Australia","",""
"Rolleston Rugby Union",5,"Queensland Country Rugby Union - Central Highlands","Australia","",""
"Condamine Rugby Union",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Dalby and District Rugby Union Football Club",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Goondiwindi Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Highfields Redbacks Rugby Union",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Roma Rugby Union",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"South Burnett Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"St George & District Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Toowoomba Bears Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Toowoomba Rangers Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"University of Queensland - Gatton",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"University Of Southern Queensland Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Warwick & Districts Rugby",5,"Queensland Country Rugby Union - Darling Downs","Australia","",""
"Barron-Trinity Bulls",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Brothers Rugby Union",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Cairns Northern Beaches Mudcrabs",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Cairns Old Crocs Rugby Union",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Cairns Wanderers",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Innisfail Chargers Junior Rugby Union",5,"Queensland Country Rugby Union - Far North","Australia","",""
"JCU Mariners",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Port Douglas Rugby Union",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Southside Crusaders Sports & Culture",5,"Queensland Country Rugby Union - Far North","Australia","",""
"Beaudesert Rugby Football Club",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Bond Pirates Rugby Club",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q23640868",""
"Casuarina Beach Rugby Club",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Colleges Rugby Club",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Coolangatta Tweed Barbarians",5,"Queensland Country Rugby Union - Gold Coast","Australia","",""
"Coomera Crushers RU",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q130411345",""
"Gold Coast Eagles",5,"Queensland Country Rugby Union - Gold Coast","Australia","Q24185132",""
