"origWdId","origName","itName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","Senior","2018-2018","Yokohama Canon Eagles","Yokohama_Canon_Eagles","3","0","2018","2018"
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","Senior","2009-10","Highlanders","Highlanders","25","133","2009","2010"
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","Senior","2011-18","Crusaders","Crusaders","87","135","2011","2018"
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","International","2010-17","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","66","138","2010","2017"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","Regional","2002-03","Free State","Free_State_Cheetahs",NA,NA,"2002","2003"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","Regional","2004-10","Blue Bulls","Blue_Bulls","21","25","2004","2010"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","Senior","2011-17","Tolosa","Stade_Toulousain","103","0","2011","2017"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","Senior","2017-18","Stade français","Stade_fran%C3%A7ais_Paris_rugby","10","0","2017","2018"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","Senior","2002-04","Cats","Lions_(rugby_a_15)","9","5","2002","2004"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","Senior","2004-11","Bulls","Bulls_(rugby_a_15)","60","5","2004","2011"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","International","2004-14","Sudafrica","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","53","30","2004","2014"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Regional","2002-03","Counties Manukau","Counties_Manukau_Rugby_Football_Union",NA,NA,"2002","2003"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Regional","2004-11","Waikato","Waikato_Rugby_Union","50","468","2004","2011"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Regional","2015-16","Waikato","Waikato_Rugby_Union","3","5","2015","2016"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Regional","2017-2017","Counties Manukau","Counties_Manukau_Rugby_Football_Union","9","28","2017","2017"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2011-13","Bath","Bath_Rugby","22","115","2011","2013"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2016-17","Sungoliath",NA,"4","5","2016","2017"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2017-2017","Brave Lupus",NA,"5","5","2017","2017"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2018-","Green Rockets",NA,"9","22","2018",NA
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2005-11","Chiefs","Chiefs_(rugby_a_15)","84","858","2005","2011"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2015-17","Chiefs","Chiefs_(rugby_a_15)","16","12","2015","2017"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","Senior","2019-2019","Chiefs","Chiefs_(rugby_a_15)","2","3","2019","2019"
"Q138722","Stephen Donald","Stephen Donald","Stephen_Donald","International","2008-11","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","23","98","2008","2011"
"Q147338","Morris Kirksey","Morris Kirksey","Morris_Kirksey","Senior",NA,"SF Olympic Club",NA,NA,NA,NA,NA
"Q147338","Morris Kirksey","Morris Kirksey","Morris_Kirksey","International","1920-1920","Stati Uniti","Nazionale_maschile_di_rugby_a_15_degli_Stati_Uniti_d%27America","1","0","1920","1920"
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","Regional","2008-20","Canterbury","Canterbury_Rugby_Football_Union","22","15","2008","2020"
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","Senior","2019-20","Wild Knights","Saitama_Wild_Knights","5","0","2019","2020"
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","Senior","2023-","Pau","Section_Paloise","0","0","2023",NA
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","Senior","2010-23","Crusaders","Crusaders","180","45","2010","2023"
"Q151533","Sam Whitelock","Sam Whitelock","Sam_Whitelock","International","2010-","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","153","35","2010",NA
"Q151572","Victor Vito","Victor Vito","Victor_Vito","Regional","2006-16","Wellington","Wellington_Rugby_Football_Union","50","55","2006","2016"
"Q151572","Victor Vito","Victor Vito","Victor_Vito","Senior","2016-","La Rochelle","Stade_rochelais","71","60","2016",NA
"Q151572","Victor Vito","Victor Vito","Victor_Vito","Senior","2009-16","Hurricanes","Hurricanes_(rugby_a_15)","100","60","2009","2016"
"Q151572","Victor Vito","Victor Vito","Victor_Vito","International","2010-15","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","33","20","2010","2015"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Regional","2001-07","Auckland","Auckland_Rugby_Football_Union","32","0","2001","2007"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Regional","2007-09","Tasman","Tasman_Rugby_Union","31","15","2007","2009"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Regional","2009-12","Auckland","Auckland_Rugby_Football_Union","3","0","2009","2012"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Senior","2010-11","Nottingham","Nottingham_Rugby_Football_Club","3","0","2010","2011"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Senior","2013-15","Tolone","Rugby_Club_Toulonnais","30","5","2013","2015"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Senior","2016-17","Racing 92","Racing_92","7","0","2016","2017"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Senior","2002-07","Blues","Blues_(rugby_a_15)","52","5","2002","2007"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Senior","2008-2008","Crusaders","Crusaders","15","15","2008","2008"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","Senior","2009-13","Blues","Blues_(rugby_a_15)","51","5","2009","2013"
"Q165701","Ali Williams","Ali Williams","Ali_Williams","International","2002-2012","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","77","35","2002","2012"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Regional","2003-07","Griquas","Griqualand_West_Griquas","58","177","2003","2007"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Regional","2008-13","Blue Bulls","Blue_Bulls","43","34","2008","2013"
"Q166094","Zane Kirchner","Zane Kirchner","Zane_Kirchner","Senior","2018-2018","Bristol","Bristol_Rugby","3","0","2018","2018"
