"wikidataId","fullName","itName","height","weight","positions","positionsWP","birthCountry","sportCountry","currentTeamWP"
"Q16212765","Mark Bennett","Mark Bennett",183,89,"Centre",NA,"Great Britain","Scotland",NA
"Q16216839","Mark Wilkinson","Mark Wilkinson",191,108,"Centre",NA,"Great Britain","England",NA
"Q16221390","Gareth Krause","Gareth Krause",NA,NA,"3rd Row",NA,"South Africa",NA,NA
"Q16221683","Nathan White","Nathan White",188,118,"Prop",NA,"New Zealand","Ireland",NA
"Q16223479","Florin Surugiu","Florin Surugiu",NA,NA,"Scrum-Half",NA,"Romania",NA,"/wiki/Rugby_Club_Steaua_Bucure%C8%99ti"
"Q16223701","Davit Kacharava","Davit Kacharava",184,90,"Centre",NA,"Soviet Union","Georgia","/wiki/Enisej-STM"
"Q16230257","Alberto Chillon","Alberto Chillon",178,80,"Scrum-Half",NA,"Italy",NA,NA
"Q16231871","Hadleigh Parkes","Hadleigh Parkes",187,101,"Centre",NA,"New Zealand","Wales","/wiki/Saitama_Wild_Knights"
"Q16232141","Kane Hames","Kane Hames",179,114,"Prop",NA,"New Zealand",NA,"/wiki/Tasman_Rugby_Union"
"Q16233064","Liam Coltman","Liam Coltman",185,109,"Hooker",NA,"New Zealand",NA,"/wiki/Lyon_Olympique_Universitaire_Rugby"
"Q16233083","Gareth Davies","Gareth Davies",178,88,"Scrum-Half",NA,"Great Britain","Wales",NA
"Q16233138","Filippo Ferrarini","Filippo Ferrarini",183,100,"Flanker",NA,"Italy",NA,NA
"Q16233151","Piers Francis","Piers Francis",183,90,"Fly-Half",NA,"Great Britain","England","/wiki/Bath_Rugby"
"Q16233222","Rob Herring","Rob Herring",185,105,"Hooker",NA,"South Africa","Ireland",NA
"Q16233365","Andrea Manici","Andrea Manici",183,104,"Hooker",NA,"Italy",NA,NA
"Q16233367","Marco Fuser","Marco Fuser",198,115,"2nd Row",NA,"Italy",NA,NA
"Q16233630","Ruggero Trevisan","Ruggero Trevisan",180,83,"Fullback",NA,"Italy",NA,NA
"Q16233718","Adam Coleman","Adam Coleman",204,122,"2nd Row",NA,"Australia","Australia; Tonga","/wiki/Union_Bordeaux_B%C3%A8gles"
"Q16234139","Javier Rojas","Javier Rojas",172,85,"Utility Back",NA,"Argentina",NA,NA
"Q16234209","Liam Squire","Liam Squire",196,109,"Flanker",NA,"New Zealand","New Zealand",NA
"Q16234481","Elliot Daly","Elliot Daly",183,92,"Utility Back",NA,"Great Britain","England","/wiki/Saracens_Football_Club"
"Q16234630","Cory Hill","Cory Hill",195,111,"2nd Row",NA,"Great Britain","Wales",NA
"Q16234713","Marika Koroibete","Marika Koroibete",180,93,"Winger",NA,"Fiji","Australia",NA
"Q16234758","James Lowe","James Lowe",188,105,"Winger",NA,"New Zealand","Ireland",NA
"Q16234943","Semi Radradra","Semi Radradra",NA,NA,"Winger",NA,"Fiji","Fiji","/wiki/Lyon_Olympique_Universitaire_Rugby"
"Q16234958","Rob Evans","Rob Evans",185,118,"Prop",NA,"Great Britain","Wales",NA
"Q16235024","Will Skelton","Will Skelton",203,140,"2nd Row",NA,"New Zealand","Australia",NA
"Q16235302","Santiago Cordero","Santiago Cordero",177,83,"Utility Back",NA,"Argentina",NA,"/wiki/Union_Bordeaux_B%C3%A8gles"
"Q16235327","Matías Díaz","Matías Díaz",187,105,"Prop",NA,"Argentina",NA,NA
"Q16235510","Samu Kerevi","Samu Kerevi",186,108,"Centre",NA,"Fiji","Australia",NA
"Q16235526","Cheslin Kolbe","Cheslin Kolbe",171,74,"Winger",NA,"South Africa",NA,NA
"Q16235566","Tomás Lavanini","Tomás Lavanini",210,130,"2nd Row",NA,"Argentina",NA,"/wiki/Association_sportive_montferrandaise_Clermont_Auvergne"
