"wpName","fusName","rugbyscopeId","teamWP"
"association sportive mâconnaise","Association sportive mâconnaise; AS Macon Rugby; A.S. Mâcon; AS Macon; AS Mâcon; AS Maçon; AS Maçon Rugby; ASマコン; ASマロン; Mâcon","412",NA
"aston old edwardians","Aston Old Edwardians","4245",NA
"Athletic RFC NZ","Athletic RFC; Athletic Wellington; Athletic RFC NZ","5830",NA
"Athletic Wellington","Athletic RFC; Athletic Wellington; Athletic RFC NZ","5830",NA
"atlético san sebastián","Atletiko San Sebastian Rugby; Club Atlético San Sebastián; Atlético San Sebastián","7879",NA
"Auckland","Auckland RFU Team; Auckland B; Auckland; Auckland RFC; Auckland RFU; Auckland RU; Auckland Rugby; Auckland Rugby Union; オークランド; オークランドU21","928",NA
"auckland combined clubs","Auckland Combined Clubs","7939",NA
"auckland institute","University of Auckland; Auckland Institute; Auckland University; Auckland University RC; オークランド大学","6862",NA
"auckland marist","Marist Brothers Old Boys RFC; Auckland Marist Old Boys; Auckland Marist; Marist Bros. O.B.; Marist Brothers; Marist Brothers Old Boys; Marist Brothers Old Boys Rugby Club; Marist RFC; Mighty Marist; ブラザーズ; マリスト","1494",NA
"Auckland Marist","Marist Brothers Old Boys RFC; Auckland Marist Old Boys; Auckland Marist; Marist Bros. O.B.; Marist Brothers; Marist Brothers Old Boys; Marist Brothers Old Boys Rugby Club; Marist RFC; Mighty Marist; ブラザーズ; マリスト","1494",NA
"Auckland Marist Old Boys","Marist Brothers Old Boys RFC; Auckland Marist Old Boys; Auckland Marist; Marist Bros. O.B.; Marist Brothers; Marist Brothers Old Boys; Marist Brothers Old Boys Rugby Club; Marist RFC; Mighty Marist; ブラザーズ; マリスト","1494",NA
"Auckland Suburbs","Western Suburbs RFC; Auckland Suburbs","5714",NA
"auckland university","University of Auckland; Auckland Institute; Auckland University; Auckland University RC; オークランド大学","6862",NA
"Auckland University","University of Auckland; Auckland Institute; Auckland University; Auckland University RC; オークランド大学","6862",NA
"Auckland University Rugby Football Club","University of Auckland; Auckland Institute; Auckland University; Auckland University RC; オークランド大学","6862",NA
"Aurora Barbarians","Aurora Barbarians RFC; Aurora Barbarians","7000",NA
"austin blacks","Austin Blacks","7938",NA
"australia u18","Australia national under-18 rugby union team; Australia U18; Australia Under-18; Australie -18; Australie -18 ans; U18オーストラリア","6913",NA
"australia under-18","Australia national under-18 rugby union team; Australia U18; Australia Under-18; Australie -18; Australie -18 ans; U18オーストラリア","6913",NA
"australia under-19","Australia national under-19 rugby union team; Australia Under-19; Australie -19; Australie -19 ans","2437",NA
"australia under 20s","Argentina national under-20 rugby union team; Australia Under 20s; Argentina sub-20; Argentine -20; Los Pumitas; nazionale argentina u-20 di rugby; Pumitas; U-20アルゼンチン; U20アルゼンチン; U20アルゼンチン代表; アルゼンチンU20","862",NA
"australian schoolboys","Australian Schoolboys national rugby union team; Australian Schoolboys; Australian Schoolboys & U18; Australian Schoolboys rugby union team; Australie scolaire","934",NA
"australian univ. xv","Australia national university rugby union team; Australian Universities; Australian Univ. XV","7937",NA
"australian universities","Australia national university rugby union team; Australian Universities; Australian Univ. XV","7937",NA
"australian wallabies","Australia national rugby union team; Australian Wallabies; Australia; Australia national rugby team; Australia Rugby; Australia rugby team; Australia rugby union team; Australian national rugby union team; Australie; Australië nasionale rugbyspan; Australiese nasionale rugbyspan; Australisch rugbyteam; Australische Rugbynationalmannschaft; Echipa naţională de rugby a australiei; Equipe d'Australie de rugby a XV; Equipe d'Australie de rugby à XV; Équipe d’Australie de rugby à XV; Nazionale di rugby australiana; Nazionale di rugby XV dell’Australia; Reprezentacja Australii w rugby mężczyzn; RU AUS; Seleção Australiana de Râguebi; Selecção australiana de râguebi; Selecció de rugbi d'Austràlia; Selecció de rugbi XV d'Austràlia; Seleccion de rugby de Australia; Selección de rugby de Australia; Seleccion nacional de rugby de Australia; Selección nacional de rugby de Australia; seleición de rugbi d'Australia; Sgioba naiseanta rugbaidh Astrailia; Tim cenedlaethol rygbi'r undeb Awstralia; Wallabies; オーストラリア; ワラビーズ; וואלאביס; וואלביס; נבחרת איגוד הרוגבי הלאומי של אוסטרליה; منتخب أستراليا الوطني لإتحاد الرجبي; 월러비스; 호주 럭비 유니온 국가대표팀; 澳大利亚國家橄欖球隊; 澳大利亚橄榄球国家队; 澳洲橄欖球國家隊; 澳洲欖球國家隊","86",NA
"auxerre","Rugby Club auxerrois; Auxerre; RC Auxerre; Rugby club auxerrois","628",NA
"avalon","Avalon RFC","6071",NA
"avalon rfc","Avalon RFC","6071",NA
"Avenir Bizanos","Avenir de Bizanos; Bizanos; Avenir Bizanos; Avenir de Bizano","2926",NA
"avenir castanéen","Avenir castanéen rugby; Avenir castanéen; Castanet; Castanet Rugby; Castanet-Tolosan; カスタネット","419",NA
"avenir castanéen rugby","Avenir castanéen rugby; Avenir castanéen; Castanet; Castanet Rugby; Castanet-Tolosan; カスタネット","419",NA
"Avenir lescarien","Avenir lescarien","7004",NA
"Avenir Valencien","Avenir Valencien; Avenir valencien; Valence-d'Agen; Valence d'Agen; ヴァランス; ヴァランス＝ダジャン","394",NA
"avezzano rugby","Avezzano Rugby; Avezzano; Avezzano Rugby s.r.l. S.S.D; Avezzano Rugby Società Sportiva Dilettantistica; Avezzano Rugby SSD","857",NA
"aviator kyiv","RC Aviator; Aviator kyiv; Aviator Kiev; Aviator de Kiev; Aviator Kiev; Rugby Club Aviator; Авиатор регбийный клуб; РК Авиатор","1699",NA
"Aviron Bayonnais","Aviron Bayonnais; Aviron bayonnais; Aviron Bayonnais Rugby Pro; Baionako Arrauna; Bayonne; Bayonne Rugby - Aviron bayonnais rugby pro; Montagnards de Bayonne; Rugby Bayonne; SN Bayonne; アヴィロン・バイヨネ; バイヨンヌ; 巴约讷赛艇橄榄球职业俱乐部","88",NA
"avoca sharks","Avoca Beach Rugby Club; Avoca Beach RC; Avoca Beach; Avoca Sharks","7936",NA
"avonvale","Avonvale RFC; Avonvale","7935",NA
"awanui","Awanui Rugby Football Club","5878",NA
"awarua","Moutere Rugby Football Club; Awarua RFC; Awarua","1536",NA
"Aylesbury","Aylesbury RFC","4043",NA
"aylestonians","Aylestonians RFC; Aylestonians R.F.C.","7934",NA
"az-com maruwa momotaro’s","AZ-COM Maruwa MOMOTARO'S; 丸和運輸機関AZ-MOMOTAROS; MOMOTARO'S; 丸和運輸機関","6845",NA
"azs-awf warsaw","AZS-AWF Warsaw Rugby; AZS-AWF Warsaw; Akademicki Związek Sportowy Akademii Wychowania Fizycznego; AZS-AWF Varsovie; AZS-AWF Warszawa; AZS AWF Warszawa","7007",NA
"Backstreet RFC","Backstreet RFC; Backstreet Rugby","7928",NA
"bagrati kutaisi","Bagrati Kutaisi","7010",NA
"Bahrain RFC","Bahrain Rugby Football Club; Bahrain RFC","7933",NA
"Ballina-Killaloe RFC","Ballina-Killaloe Rugby Football Club; Ballina-Killaloe RFC","7932",NA
"Ballina RFC","Ballina R.F.C.; Ballina RFC; Ballina Rugby Football Club","2712",NA
"Ballymoney RFC","Ballymoney RFC","5482",NA
"balmain","Balmain RFC; Balmain; Glebe-Balmain; Glebe-Balmain RUFC; Balmain Rugby Club; Muzzled Wolves","2438",NA
"balmy beach","Balmy Beach RFC; Balmy Beach; Balmy Beach Rugby Club","7931",NA
"balmy beach rfc","Balmy Beach RFC; Balmy Beach; Balmy Beach Rugby Club","7931",NA
"Banbury RUFC","Banbury RUFC; Banbury RFC","3166",NA
"Banco Hipotecario","Club Banco Hipotecario; Banco Hipotecario; Club Banco Hipotecario Nacional; Club del personal del Banco Hipotecario de la Nación","1106",NA
"bandeirantes","Bandeirantes Rugby Club; Band Saracens; Bandeirantes","7011",NA
"Bangor","Bangor RFC; Bangor; Bangor Rugby Football Club","795",NA
"barbari del po","Barbari del Po; Puntopack Barbari del Po ","7930",NA
"Barbarian FC","Barbarian FC; Baa-Baas; Barbarian F.C.; Barbarian Football Club; Barbarian R.F.C.; Barbarian RFC; Barbarian Rugby Football Club; Barbarians; Barbarians F.C.; Barbarians FC; Barbarians Football Club; Barbarians R.F.C.; Barbarians RFC; Barbarians Rugby Football Club; Barbariqan FC; バーバリアンズ","136",NA
"barbarians f.c","Barbarian FC; Baa-Baas; Barbarian F.C.; Barbarian Football Club; Barbarian R.F.C.; Barbarian RFC; Barbarian Rugby Football Club; Barbarians; Barbarians F.C.; Barbarians FC; Barbarians Football Club; Barbarians R.F.C.; Barbarians RFC; Barbarians Rugby Football Club; Barbariqan FC; バーバリアンズ","136",NA
"barbarians rfc","Barbarian FC; Baa-Baas; Barbarian F.C.; Barbarian Football Club; Barbarian R.F.C.; Barbarian RFC; Barbarian Rugby Football Club; Barbarians; Barbarians F.C.; Barbarians FC; Barbarians Football Club; Barbarians R.F.C.; Barbarians RFC; Barbarians Rugby Football Club; Barbariqan FC; バーバリアンズ","136",NA
"barclays rfc","Barclays Bank RFC; Barclays RFC","7929",NA
"barker's butts","Barkers Butts RFC; Barker's Butts; Barkers Butts; Barkers Butts Rugby Football Club","2827",NA
"Barkers Butts","Barkers Butts RFC; Barker's Butts; Barkers Butts; Barkers Butts Rugby Football Club","2827",NA
"Barkers Butts RFC","Barkers Butts RFC; Barker's Butts; Barkers Butts; Barkers Butts Rugby Football Club","2827",NA
"Barnstaple RFC","Barnstaple RFC; Barnstaple Rugby; Barnstaple Rugby Club; Barnstaple Rugby Football Club; Barnstaple Rugby Football Team; Barnstaple Rugby Team","951",NA
"Barron Trinity Bulls","Barron-Trinity Bulls","3788",NA
"Bassa Bresciana Rugby","Bassa Bresciana Rugby; Rugby Bassa Bresciana","7927",NA
"bath academy","Bath Rugby; Bath United; Bath Academy; Bath; Bath Rugby Club; Bath Rugby Team; バース; バース・ラグビー","138",NA
"Bath Academy","Bath Rugby; Bath United; Bath Academy; Bath; Bath Rugby Club; Bath Rugby Team; バース; バース・ラグビー","138",NA
"Bath United","Bath Rugby; Bath United; Bath Academy; Bath; Bath Rugby Club; Bath Rugby Team; バース; バース・ラグビー","138",NA
"bathurst & lismore","Bathurst City; Bathurst & Lismore","3697",NA
"bathurst bulldogs rugby","Bathurst Bulldogs; Bathurst Bulldogs Rugby","3696",NA
"Bay of Plenty Academy","Bay of Plenty Steamers; Bay of Plenty Academy; Bay of Plenty; Bay of Plenty RU; Bay of Plenty Rugby; ベイ・オブ・プレイティ; ベイ・オブ・プレンティ; ベイ・オブ・プレンティー; ベイオブプレンティ","957",NA
