"rugbyscopeId","altNames","teamWP","fusionName"
728,"wakefield rfc; wakefield; Wakefield RFC; Wakefield","Wakefield_RFC","Wakefield RFC"
730,"wanganui","Whanganui_Rugby_Football_Union","Wanganui Rugby Football Union"
730,"wanganui; wanganui collegiate; whanganui","Wanganui_Rugby_Football_Union","Wanganui Rugby Football Union"
730,"Whanganui",NA,"Wanganui Rugby Football Union"
731,"warringah; warringah rugby club; warringah rats; Warringah Rugby Club; Warringah","Warringah_Rugby_Club","Warringah RC"
732,"washington rfc","Washington_Rugby_Football_Club","Washington Rugby Football Club"
733,"waterloo r.f.c.; waterloo; waterloo fc; waterloo rfc; Waterloo; Waterloo RFC; Waterloo FC","Waterloo_F.C.","Waterloo FC"
733,"Waterloo R.F.C.",NA,"Waterloo FC"
734,"watsonians; watsonian; watsonians rfc; watsonian fc; Watsonians RFC; Watsonians","Watsonian_FC","Watsonian FC"
735,"Waverley Rugby Club","Waverley_Rugby_Club","Waverley Rugby Club"
736,"west coast","West_Coast_Rugby_Football_Union","West Coast Rugby Football Union"
737,"west harbour; West Harbour RFC; west harbour rfc; West Harbour Juniors; West Harbour","West_Harbour_RFC","West Harbour RFC"
737,"west harbour rufc",NA,"West Harbour RFC"
737,"Pirates Sydney",NA,"West Harbour RFC"
738,"west hartlepool; w. hartlepool; west hartlepool r.f.c.; West Hartlepool R.F.C.","West_Hartlepool_R.F.C.","West Hartlepool RFC"
738,"west harlepool",NA,"West Hartlepool RFC"
739,"west of scotland; west of scotland f.c.; West of Scotland","West_of_Scotland_F.C.","West of Scotland FC"
739,"West of Scotland FC",NA,"West of Scotland FC"
740,"greater sydney rams; western sydney rams; Greater Sydney Rams","Greater_Sydney_Rams","Western Sydney Rams"
741,"wests bulldogs; wests, brisbane; wests brisbane; west brisbane bulldogs; wests; wests rugby; Wests Rugby; Wests","Wests_Rugby","Wests Rugby"
741,"Toowong",NA,"Wests Rugby"
742,"young munster; Young Munster","Young_Munster","Young Munster"
742,"young munster rfc",NA,"Young Munster"
743,"indonesia","Indonesia_national_rugby_union_team","Indonesia national rugby union team"
743,"indonesia xv",NA,"Indonesia national rugby union team"
745,"uganda",NA,"Uganda national rugby union team"
757,"zambia","Zambia_national_rugby_union_team","Zambia national rugby union team"
759,"philippines","Philippines_national_rugby_union_team","Philippines national rugby union team"
776,"senegal","Senegal_national_rugby_union_team","Senegal national rugby union team"
779,"és catalane",NA,"Étoile sportive catalane"
779,"es catalane","%C3%89toile_sportive_catalane","Étoile sportive catalane"
782,"paese","ASD_Rugby_Paese","Rugby Paese"
782,"rugby paese",NA,"Rugby Paese"
782,"paese rugby",NA,"Rugby Paese"
782,"Rugby Paese",NA,"Rugby Paese"
782,"A.S.D. Rugby Paese",NA,"Rugby Paese"
783,"rugby milano",NA,"A.S. Rugby Milano"
783,"ASR Milano",NA,"A.S. Rugby Milano"
783,"Rugby Milano",NA,"A.S. Rugby Milano"
783,"A.S. Rugby Milano",NA,"A.S. Rugby Milano"
785,"casale",NA,"Rugby Casale"
785,"rugby casale",NA,"Rugby Casale"
785,"Casale",NA,"Rugby Casale"
787,"udine",NA,"Rugby Udine"
787,"leonorso udine",NA,"Rugby Udine"
787,"Leonorso Udine",NA,"Rugby Udine"
787,"Rugby Udine FVG",NA,"Rugby Udine"
789,"Amatori Parma",NA,"Amatori Parma Rugby Club"
790,"amatori capoterra",NA,"Amatori Rugby Capoterra"
790,"capoterra",NA,"Amatori Rugby Capoterra"
791,"amatori alghero; alghero; novaco alghero; Amatori Alghero","Amatori_Alghero","Alghero Rugby Alghero"
792,"Arvalia Villa Pamphili Rugby Roma",NA,"Arvalia Villa Pamphili Rugby Roma A.S.D."
793,"ruggers tarvisium",NA,"Ruggers Tarvisium"
793,"tarvisium",NA,"Ruggers Tarvisium"
793,"Ruggers Tarvisium",NA,"Ruggers Tarvisium"
795,"bangor rfc; Bangor RFC","Bangor_RFC","Bangor RFC"
795,"Bangor",NA,"Bangor RFC"
797,"south africa under-20; south africa u20; south africa u-20; south africa under-20s; south africa u20s; s.a. under 20","South_Africa_national_under-20_rugby_union_team","South Africa national under-20 rugby union team"
797,"south africa national under-20",NA,"South Africa national under-20 rugby union team"
798,"CUS Catania",NA,"CUS Catania Rugby"
799,"ferrara",NA,"CUS Ferrara Rugby"
799,"CUS Ferrara",NA,"CUS Ferrara Rugby"
800,"cus genova",NA,"CUS Genova Rugby"
800,"CUS Genova Rugby",NA,"CUS Genova Rugby"
800,"CUS Genova",NA,"CUS Genova Rugby"
801,"cus milano",NA,"CUS Milano Rugby"
802,"cus padova",NA,"CUS Padova Rugby"
802,"cus padova rugby",NA,"CUS Padova Rugby"
802,"CUS Padova Rugby",NA,"CUS Padova Rugby"
803,"cus roma rugby",NA,"CUS Roma Rugby"
803,"cus roma","CUS_Roma_Rugby","CUS Roma Rugby"
805,"verona rugby",NA,"Verona Rugby"
805,"cus verona",NA,"Verona Rugby"
805,"verona",NA,"Verona Rugby"
805,"CUS Verona",NA,"Verona Rugby"
805,"Verona Rugby",NA,"Verona Rugby"
806,"italy a; emerging italy","Italy_A_national_rugby_union_team","Italy A national rugby union team"
807,"world xv","World_XV","World XV"
809,"cesena rugby club",NA,"Cesena Rugby Club"
811,"club atlético san isidro; casi; CASI; c.a. san isidro; Club Atlético San Isidro; C.A. San Isidro","Club_Atl%C3%A9tico_San_Isidro","Club Atlético San Isidro Rugby"
812,"colleferro",NA,"Colleferro Rugby 1965"
813,"england counties",NA,"England amateur national rugby union team"
813,"england counties xv; england counties u18s; england counties; england counties u20s","England_Counties_XV","England amateur national rugby union team"
813,"national division xv",NA,"England amateur national rugby union team"
814,"gladiatori sanniti",NA,"Gladiatori Sanniti"
819,"Jesolo Rugby",NA,"Jesolo Rugby"
820,"mirano",NA,"Mirano Rugby 1957"
820,"mirano rugby 1957",NA,"Mirano Rugby 1957"
821,"modena rugby club",NA,"Modena Rugby 1965"
821,"rugby modena",NA,"Modena Rugby 1965"
821,"Modena",NA,"Modena Rugby 1965"
821,"Modena Rugby 1965",NA,"Modena Rugby 1965"
822,"south africa xv",NA,"Emerging Springboks"
822,"springbok xv; south africa 'a'; emerging springboks; south africa a; south africa xv","South_Africa_A_national_rugby_union_team","Emerging Springboks"
822,"sa gazelles",NA,"Emerging Springboks"
822,"junior springboks",NA,"Emerging Springboks"
822,"S.A. A",NA,"Emerging Springboks"
822,"south africa a",NA,"Emerging Springboks"
823,"Argentina A",NA,"Argentina XV"
823,"argentina xv; argentina jaguars; argentina a; argentina jaguares; Argentina XV","Argentina_XV_national_rugby_union_team","Argentina XV"
823,"argentina a",NA,"Argentina XV"
824,"england saxons; england a; england xv; england A; England B; england 'a'/'b'; england 'a'; saxons; england b","England_A_national_rugby_union_team","England A national rugby union team"
824,"England B",NA,"England A national rugby union team"
828,"new zealand cavaliers","New_Zealand_Cavaliers","New Zealand Cavaliers"
829,"newbridge rfc; newbridge; Newbridge RFC; Newbridge","Newbridge_RFC","Newbridge RFC"
831,"Piacenza Rugby Club",NA,"Piacenza Rugby Club"
832,"poverty bay","Poverty_Bay_Rugby_Football_Union","Poverty Bay Rugby Football Union"
833,"pro recco italy",NA,"Pro Recco Rugby"
833,"pro recco",NA,"Pro Recco Rugby"
833,"Pro Recco Rugby",NA,"Pro Recco Rugby"
837,"rubano",NA,"Roccia Rugby"
837,"Rubano",NA,"Roccia Rugby"
838,"Romagna Rugby",NA,"Romagna Rugby Football Club"
839,"rugby badia","Rugby_Badia_1981","Rugby Badia"
839,"rugby badia asd",NA,"Rugby Badia"
840,"frascati","Rugby_Frascati_Union","Rugby Frascati Union"
840,"rugby frascati",NA,"Rugby Frascati Union"
840,"Frascati",NA,"Rugby Frascati Union"
840,"Rugby Frascati",NA,"Rugby Frascati Union"
840,"Frascati Rugby",NA,"Rugby Frascati Union"
840,"Frascati Rugby Union",NA,"Rugby Frascati Union"
842,"valpolicella","Rugby_Club_Valpolicella","Rugby Club Valpolicella"
842,"Valpolicella",NA,"Rugby Club Valpolicella"
843,"Rugby Grande Milano","Rugby_Grande_Milano","Rugby Grande Milano"
843,"rugby grande milano",NA,"Rugby Grande Milano"
843,"grande milano rugby",NA,"Rugby Grande Milano"
844,"colorno; rugby colorno; Colorno","Rugby_Colorno","Rugby Colorno"
844,"colorno rugby",NA,"Rugby Colorno"
846,"noceto",NA,"Rugby Noceto Football Club"
846,"Rugby Noceto",NA,"Rugby Noceto Football Club"
846,"Noceto",NA,"Rugby Noceto Football Club"
846,"Rugby Noceto Football Club",NA,"Rugby Noceto Football Club"
847,"pozzi livorno; livorno; rugby livorno 1931; rugby livorno; Livorno","Rugby_Livorno_1931","Rugby Livorno 1931"
847,"Livorno",NA,"Rugby Livorno 1931"
