,wiki_name,wpPage,stintType,timePeriod,teamName,matchesPlayed,pointsScored
81,Kazuaki Takahashi,https://en.wikipedia.org/wiki/Kazuaki_Takahashi,senior_club,1991-1999,toyota,0,0
82,Kazuaki Takahashi,https://en.wikipedia.org/wiki/Kazuaki_Takahashi,international,1990-1997,japan,0,5
83,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,amateur,2013,up tuks,0,0
84,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2012-2016,blue bulls,0,15
85,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2016,blue bulls,0,0
86,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2014-2016,bulls,0,0
87,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2017-2020,lions,0,15
88,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2017,golden lions xv,0,10
89,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2017-2021,golden lions,0,10
90,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2019,→ospreys,0,0
91,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2020-2023,stormers,0,0
92,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2021-2023,western province,0,5
93,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,senior_club,2023-,usa perpignan,0,0
94,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,international,2012,south africa under-20,0,0
95,Marvin Orie,https://en.wikipedia.org/wiki/Marvin_Orie,international,2018-present,south africa,0,0
96,Miguel McCormick,https://en.wikipedia.org/wiki/Miguel_McCormick,amateur,1923-1938,pacific rugby a.c.,0,0
97,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,amateur,2016-2017,up tuks,0,14
98,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,senior_club,2015-2018,blue bulls,0,22
99,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,senior_club,2016-2018,blue bulls xv,0,50
100,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,senior_club,2019-2021,griquas,0,84
101,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,senior_club,2022-2023,pumas,0,188
102,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,senior_club,2023-,cardiff rugby,0,163
103,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,international,2014,south africa schools,0,20
104,Tinus de Beer,https://en.wikipedia.org/wiki/Tinus_de_Beer,international,2015,south africa under-20,0,6
105,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,amateur,1937-47,london scottish,0,0
106,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,amateur,-,kelvinside-west,0,0
107,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,amateur,-,co-optimists,0,0
108,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,senior_club,1938,blues trial,0,0
109,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,senior_club,1939,scotland probables,0,0
110,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,senior_club,-1947,middlesexlondon counties,0,0
111,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,international,1939-47,scotland,0,0
112,Sammy Sampson,https://en.wikipedia.org/wiki/Sammy_Sampson,international,-,barbarians,0,0
113,Andrew Kellaway,https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union),amateur,2014-2018,randwick,0,145
