wikidataId,name,wikipediaEn,url,,,,,
Q406422,Julien Fritz,Julien_Fritz,https://en.wikipedia.org/wiki/Julien_Fritz,,,,,
Q406431,Armand Battle,Armand_Batlle,https://en.wikipedia.org/wiki/Armand_Batlle,,,,,
Q406610,Julien Audy,Julien_Audy,https://en.wikipedia.org/wiki/Julien_Audy,,,,,
Q406616,Rabah Slimani,Rabah_Slimani,https://en.wikipedia.org/wiki/Rabah_Slimani,,,,,
Q406637,Yohann Vivalda,Yohann_Vivalda,https://en.wikipedia.org/wiki/Yohann_Vivalda,,,,,
Q425547,Gonzalo Longo,Gonzalo_Longo,https://en.wikipedia.org/wiki/Gonzalo_Longo,,,,,
Q425576,Michael Lipman,Michael_Lipman,https://en.wikipedia.org/wiki/Michael_Lipman,,,,,
Q425580,Sitiveni Sivivatu,Sitiveni_Sivivatu,https://en.wikipedia.org/wiki/Sitiveni_Sivivatu,,,,,
Q427291,Gavin Hastings,Gavin_Hastings,https://en.wikipedia.org/wiki/Gavin_Hastings,,,,,
Q428564,Dan Drysdale,Dan_Drysdale,https://en.wikipedia.org/wiki/Dan_Drysdale,,,,,
Q429847,Mircea Paraschiv,Mircea_Paraschiv,https://en.wikipedia.org/wiki/Mircea_Paraschiv,,,,,
Q430712,Charles William Miller,Charles_William_Miller,https://en.wikipedia.org/wiki/Charles_William_Miller,,,,,
Q431135,Ron Cribb,Ron_Cribb,https://en.wikipedia.org/wiki/Ron_Cribb,,,,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)","https://en.wikipedia.org/wiki/Tom_Richards_(rugby_union,_born_1882)",,,,,
Q432329,Paul Sackey,Paul_Sackey,https://en.wikipedia.org/wiki/Paul_Sackey,,,,,
Q433258,Ian McGeechan,Ian_McGeechan,https://en.wikipedia.org/wiki/Ian_McGeechan,,,,,
Q433324,Lee Mears,Lee_Mears,https://en.wikipedia.org/wiki/Lee_Mears,,,,,
Q433334,Phil Vickery,Phil_Vickery_(rugby_union),https://en.wikipedia.org/wiki/Phil_Vickery_(rugby_union),,,,,
Q433339,Andrew Sheridan,Andrew_Sheridan,https://en.wikipedia.org/wiki/Andrew_Sheridan,,,,,
Q433539,Nick Easter,Nick_Easter,https://en.wikipedia.org/wiki/Nick_Easter,,,,,
Q433546,Steve Borthwick,Steve_Borthwick,https://en.wikipedia.org/wiki/Steve_Borthwick,,,,,
Q433551,Lewis Moody,Lewis_Moody,https://en.wikipedia.org/wiki/Lewis_Moody,,,,,
Q433555,Danny Care,Danny_Care,https://en.wikipedia.org/wiki/Danny_Care,,,,,
Q433643,Simon Shaw,Simon_Shaw,https://en.wikipedia.org/wiki/Simon_Shaw,,,,,
Q433670,Dumitru Arméü‘?el,Dumitru_Arm%C4%83%C8%99el,https://en.wikipedia.org/wiki/Dumitru_Arm%C4%83%C8%99el,,,,,
Q433780,Mathew Tait,Mathew_Tait,https://en.wikipedia.org/wiki/Mathew_Tait,,,,,
Q433791,Mark Cueto,Mark_Cueto,https://en.wikipedia.org/wiki/Mark_Cueto,,,,,
Q433797,Danny Cipriani,Danny_Cipriani,https://en.wikipedia.org/wiki/Danny_Cipriani,,,,,
Q434398,Jerry Flannery,Jerry_Flannery,https://en.wikipedia.org/wiki/Jerry_Flannery,,,,,
Q434427,David Wallace,David_Wallace_(rugby_union),https://en.wikipedia.org/wiki/David_Wallace_(rugby_union),,,,,
Q434652,Simon Webster,Simon_Webster_(rugby_union),https://en.wikipedia.org/wiki/Simon_Webster_(rugby_union),,,,,
Q438506,John Yapp,John_Yapp,https://en.wikipedia.org/wiki/John_Yapp,,,,,
Q438515,Dafydd Jones,Dafydd_Jones,https://en.wikipedia.org/wiki/Dafydd_Jones,,,,,
Q439015,Riki Flutey,Riki_Flutey,https://en.wikipedia.org/wiki/Riki_Flutey,,,,,
Q439025,Donncha O'Callaghan,Donncha_O%27Callaghan,https://en.wikipedia.org/wiki/Donncha_O%27Callaghan,,,,,
Q439402,Tommy Bowe,Tommy_Bowe,https://en.wikipedia.org/wiki/Tommy_Bowe,,,,,
Q439413,Harry Ellis,Harry_Ellis,https://en.wikipedia.org/wiki/Harry_Ellis,,,,,
Q439453,Keith Earls,Keith_Earls,https://en.wikipedia.org/wiki/Keith_Earls,,,,,
Q439487,Tom«≠s O'Leary,Tom%C3%A1s_O%27Leary,https://en.wikipedia.org/wiki/Tom%C3%A1s_O%27Leary,,,,,
Q439747,Theodor Haag,Theodor_Haag,https://en.wikipedia.org/wiki/Theodor_Haag,,,,,
Q439867,Mark Regan,Mark_Regan,https://en.wikipedia.org/wiki/Mark_Regan,,,,,
