name,url
RopatiFaʻaniniva Ropati,https://en.wikipedia.org/w/index.php?title=Fa%CA%BBaniniva_Ropati&action=edit&redlink=1
SuaFaʻafetai Sua,https://en.wikipedia.org/w/index.php?title=Fa%CA%BBafetai_Sua&action=edit&redlink=1
TupuolaSepe Tupuola,https://en.wikipedia.org/w/index.php?title=Sepe_Tupuola&action=edit&redlink=1
SkeltonSanele Skelton,https://en.wikipedia.org/w/index.php?title=Sanele_Skelton&action=edit&redlink=1
LametaFilitoga Lameta,https://en.wikipedia.org/w/index.php?title=Filitoga_Lameta&action=edit&redlink=1
MaligiPati Maligi,https://en.wikipedia.org/w/index.php?title=Pati_Maligi&action=edit&redlink=1
SasiLomitusi Sasi,https://en.wikipedia.org/w/index.php?title=Lomitusi_Sasi&action=edit&redlink=1
VaegaKini Vaega,https://en.wikipedia.org/w/index.php?title=Kini_Vaega&action=edit&redlink=1
AleniToma Aleni,https://en.wikipedia.org/w/index.php?title=Toma_Aleni&action=edit&redlink=1
SchusterDavid Schuster,https://en.wikipedia.org/w/index.php?title=David_Schuster_(rugby_union)&action=edit&redlink=1
AiolupoAndrew Aiolupo,https://en.wikipedia.org/wiki/Andrew_Aiolupo
FongTaʻi Fong,https://en.wikipedia.org/w/index.php?title=Ta%CA%BBi_Fong&action=edit&redlink=1
KokoLolani Koko,https://en.wikipedia.org/wiki/Lolani_Koko
KrauseMarcus Krause,https://en.wikipedia.org/w/index.php?title=Marcus_Krause&action=edit&redlink=1
McFallKeith McFall,https://en.wikipedia.org/w/index.php?title=Keith_McFall&action=edit&redlink=1
RyanWinston Ryan,https://en.wikipedia.org/w/index.php?title=Winston_Ryan&action=edit&redlink=1
KelemeteFaʻauʻuga Kelemete,https://en.wikipedia.org/w/index.php?title=Fa%CA%BBau%CA%BBuga_Kelemete&action=edit&redlink=1
SefoEtuale Sefo,https://en.wikipedia.org/w/index.php?title=Etuale_Sefo&action=edit&redlink=1
TavitaT. Tavita,
MotoiS. Motoi,
FesuiaiiI. Fesuiaii,
GreyIose Grey,https://en.wikipedia.org/w/index.php?title=Iose_Grey&action=edit&redlink=1
MoamanuSepulona Moamanu,https://en.wikipedia.org/w/index.php?title=Sepulona_Moamanu&action=edit&redlink=1
PeteloTovia Petelo,https://en.wikipedia.org/w/index.php?title=Tovia_Petelo&action=edit&redlink=1
SchusterJohn Schuster,https://en.wikipedia.org/w/index.php?title=John_Schuster_(rugby_union)&action=edit&redlink=1
TautuaIosefo Tautua,https://en.wikipedia.org/w/index.php?title=Iosefo_Tautua&action=edit&redlink=1
ToʻomalataiStan Toʻomalatai,https://en.wikipedia.org/wiki/Stan_To%CA%BBomalatai
UlugiaJohn Ulugia,https://en.wikipedia.org/w/index.php?title=John_Ulugia_(Samoan_rugby_union_player)&action=edit&redlink=1
LautauM. Lautau,
ApeluJ. Apelu,
MavaegaK. Mavaega,
SolomonaF. Solomona,
AlalafoaPalemia Alalafoa,https://en.wikipedia.org/w/index.php?title=Palemia_Alalafoa&action=edit&redlink=1
FataAlani Fata,https://en.wikipedia.org/w/index.php?title=Alani_Fata&action=edit&redlink=1
FeimanatufaFaalelei Feimanatufa,https://en.wikipedia.org/w/index.php?title=Faalelei_Feimanatufa&action=edit&redlink=1
TaylorKeneti Taylor,https://en.wikipedia.org/w/index.php?title=Keneti_Taylor&action=edit&redlink=1
Ah KuoiJohn Ah Kuoi,https://en.wikipedia.org/wiki/John_Ah_Kuoi
FaʻasuaVaivase Faʻasua,https://en.wikipedia.org/w/index.php?title=Vaivase_Fa%CA%BBasua&action=edit&redlink=1
LauaiufiEkeroma Luaiufi,https://en.wikipedia.org/wiki/Ekeroma_Luaiufi
LeuʻuAfa Leuʻu,https://en.wikipedia.org/w/index.php?title=Afa_Leu%CA%BBu&action=edit&redlink=1
Nee NeePetaia Nee Nee,https://en.wikipedia.org/w/index.php?title=Petaia_Nee_Nee&action=edit&redlink=1
VaiKitona Vai,https://en.wikipedia.org/w/index.php?title=Kitona_Vai&action=edit&redlink=1
JensenTiny Jensen,https://en.wikipedia.org/w/index.php?title=Tiny_Jensen&action=edit&redlink=1
SefoTuise Sefo,https://en.wikipedia.org/w/index.php?title=Tuise_Sefo&action=edit&redlink=1
TanukoS. Tanuko,
LeotaPeleiepu Fuatai Tafua,https://en.wikipedia.org/w/index.php?title=Peleiepu_Fuatai_Tafua&action=edit&redlink=1
Malaki Iupeli,https://en.wikipedia.org/wiki/Malaki_Iupeli
T. Magele,
Filipo Saena,https://en.wikipedia.org/wiki/Filipo_Saena
Keneti Sio,https://en.wikipedia.org/wiki/Loau_Keneti_Sio
Suliveta Uati,https://en.wikipedia.org/w/index.php?title=Suliveta_Uati&action=edit&redlink=1
Tauveve Ugapo,https://en.wikipedia.org/wiki/Tauveve_Ugapo
Lafaele Mano,https://en.wikipedia.org/w/index.php?title=Lafaele_Mano&action=edit&redlink=1
Taumaloto Tofilau,https://en.wikipedia.org/w/index.php?title=Taumaloto_Tofilau&action=edit&redlink=1
Vili Alaalatoa,https://en.wikipedia.org/wiki/Vili_Alaalatoa
Peter Fatialofa,https://en.wikipedia.org/wiki/Peter_Fatialofa
