"wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
NA,"Dundas Valley RFC","Club",NA,NA,"Dundas Valley",NA,"Australia",NA,NA,NA,NA,"Dundas Valley",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Edinburgh College of Art","Club",NA,NA,NA,NA,"Scotland",NA,NA,NA,NA,"Edinburgh",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Lake Forest College","Club",NA,NA,"Lind University",NA,"U.S.A.",NA,NA,NA,NA,"Lake Forest",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Yorkshire Rugby Football Union Team","Regional team",NA,NA,"Yorkshire Rugby Football Union; Yorkshire County",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Yorkshire_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Warwickshire Rugby Football Union Team","Regional team",NA,NA,"Warwickshire; Warwickshire Rugby Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Warwickshire_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Wairarapa Rugby Football Union Team","Regional team","1886-01-01","1971-01-01","Wairarapa; Wairarapa Rugby Football Union Team",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"Wairarapa_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Utah Utes","Club",NA,NA,"University of Utah",NA,"U.S.A.",NA,NA,NA,NA,"	Salt Lake City",NA,NA,NA,"Utah_Utes",NA,NA,NA,NA,""
NA,"UBC Thunderbirds","Club",NA,NA,"University of British Columbia",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,"UBC_Thunderbirds",NA,NA,NA,NA,""
NA,"Texas Rugby Union All-Stars","Regional team",NA,NA,"Texas Rugby Union",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,"Texas_Geographical_Union",NA,NA,NA,NA,""
NA,"Technikon Natal","Club",NA,NA,"Technikon Natal RC",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Technikon_Natal",NA,NA,NA,NA,""
NA,"Swinton Lions","Club",NA,NA,"Swinton and Pendlebury F.C.",NA,"England",NA,NA,NA,NA,"Swinton",NA,NA,NA,"Swinton_Lions",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Surrey Rugby Football Union Team","Regional team",NA,NA,"Surrey Rugby Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Surrey_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"State University of New York at New Paltz","Club",NA,NA,"SUNY New Paltz; New Paltz",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,"State_University_of_New_York_at_New_Paltz",NA,NA,NA,NA,""
NA,"Staffordshire Rugby Union Team","Regional team",NA,NA,"Staffordshire Rugby Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Staffordshire_Rugby_Union",NA,NA,NA,NA,""
NA,"South African Defence Force","Military team",NA,NA,"South African Defence RFC",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"South_African_Defence_Force",NA,NA,NA,NA,""
NA,"Scotland national under-23 rugby union team","National U23 team",NA,NA,"Scotland U23",NA,"Scotland",NA,NA,NA,NA,NA,NA,NA,NA,"Scotland_national_under-23_rugby_union_team",NA,NA,NA,NA,""
NA,"Samoa national under-19 rugby union team","National U19 team",NA,NA,"Samoa U19",NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,"Samoa_national_under-19_rugby_union_team",NA,NA,NA,NA,""
NA,"Samoa national under-18 rugby union team","National U18 team",NA,NA,"Samoa U18",NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,"Samoa_national_under-18_rugby_union_team",NA,NA,NA,NA,""
NA,"SAARB Leopards","Invitational team",NA,NA,"South African African Rugby Board Leopards",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"SAARB_Leopards_(rugby_union)",NA,NA,NA,NA,""
NA,"Runcorn RFC","Club",NA,NA,"Runcorn FC; Runcorn Football Club; Runcorn Rugby Football Club",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Runcorn_RFC",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"RugbyWA Team","Regional team",NA,NA,"Western Australia Rugby Union",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"RugbyWA",NA,NA,NA,NA,""
NA,"Rugby Victoria Team","Regional team","1888-01-01",NA,"Rugby Vic; Victorian Rugby Union",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"Rugby_Victoria",NA,NA,NA,NA,""
NA,"SCOTS British Army rugby",NA,"Royal Regiment of Scotland",NA,NA,NA,"Scotland",NA,NA,NA,NA,NA,NA,NA,NA,"Royal_Regiment_of_Scotland",NA,NA,NA,NA,""
NA,"Royal New Zealand Police College","Club",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"Royal_New_Zealand_Police_College",NA,NA,NA,NA,""
NA,"RFU Championship XV","Invitational team",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"RFU_Championship_XV",NA,NA,NA,NA,""
NA,"Republic of Fiji Navy","Military team",NA,NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,"Republic_of_Fiji_Navy",NA,NA,NA,NA,""
NA,"Republic of Fiji Military Forces","Military team",NA,NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,"Republic_of_Fiji_Military_Forces",NA,NA,NA,NA,""
NA,"Ranfurly RFC","Club",NA,NA,"Ranfurly Rugby Football Club",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"Ranfurly_RFC",NA,NA,NA,NA,""
NA,"Palmerston North Marist RC","Club",NA,NA,"Palmerston North Marist; Palmerston North Marist Rugby Club; Palmerston North Marist Sports Club",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Oldham RLFC","Club",NA,NA,"Oldham Rugby League FC; Oldham Rugby League Football Club",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Oldham_R.L.F.C.",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Old Boys Club Montevideo","Club",NA,NA,"OBC; Old Boys Club",NA,"Uruguay",NA,NA,NA,NA,"Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Occidental College","Club",NA,NA,"Oxy",NA,"U.S.A.",NA,NA,NA,NA,"Los Angeles",NA,NA,NA,"Occidental_College",NA,NA,NA,NA,""
NA,"New Zealand Expeditionary Force","Military team",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"New_Zealand_Expeditionary_Force",NA,NA,NA,NA,""
NA,"New Zealand Army Rugby Team","Military team",NA,NA,"New Zealand Army",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"New South Wales Country Rugby Union Team","Regional team",NA,NA,"Central North; New South Wales Country Rugby Union; NSWCRU",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"New_South_Wales_Country_Rugby_Union",NA,NA,NA,NA,""
NA,"Nelson Rugby Union Team","Regional team","1885-01-01","1967-01-01","Nelson Rugby Union",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"Nelson_Rugby_Union",NA,NA,NA,NA,""
NA,"Midland Counties Football Union Team","Regional team","1879-01-01","1920-01-01","Midland Counties Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Midland_Counties_Football_Union",NA,NA,NA,NA,""
NA,"Middlesex Rugby Football Union Team","Regional team",NA,NA,"Middlesex; Middlesex RFC; Middlesex County Rugby Club; Middlesex Rugby Football Union; Middlesex Rugby team; Middlesex Rugby",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Middlesex_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Manningham RFC","Club","1880-01-01","1903-01-01","Manningham F.C.",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Manningham_F.C.",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Los Angeles Athletic Club","Club",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"Los Angeles",NA,NA,NA,"Los_Angeles_Athletic_Club",NA,NA,NA,NA,""
NA,"London and South East Division Rugby Football Union team","Regional team",NA,NA,"London Counties; London and South East Division Rugby Football Union; South Eastern Counties",NA,"England",NA,NA,"London",NA,NA,NA,NA,NA,"London_and_South_East_Division_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Lindenwood University","Club",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"St. Charles",NA,NA,NA,"Lindenwood_University",NA,NA,NA,NA,""
NA,"Leicestershire Rugby Union Team","Regional team",NA,NA,"Leicestershire Rugby Union",NA,"England",NA,NA,NA,NA,"Leicester",NA,NA,NA,"Leicestershire_Rugby_Union",NA,NA,NA,NA,""
NA,"Leeds Rhinos","Club",NA,NA,"Leeds St John; Old Blue and Ambers; Leeds Rhinos Rugby League Football Club; The Rhinos; The Loiners",NA,"England",NA,NA,NA,NA,"Leeds",NA,NA,NA,"Leeds_Rhinos",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Lancashire County Rugby Football Union Team","Regional teams","1881-01-01",NA,"Lancashire County; Lancashire County Rugby Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Lancashire_County_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Kyadondo Rugby Club","Club",NA,NA,"Kyadondo RC",NA,"Uganda",NA,NA,NA,NA,NA,NA,NA,NA,"Kyadondo_Rugby_Club",NA,NA,NA,NA,""
NA,"Kutztown Golden Bears","Club",NA,NA," Kutztown University of Pennsylvania; Kutztown University",NA,"U.S.A.",NA,NA,NA,NA,"Kutztown",NA,NA,NA,"Kutztown_Golden_Bears",NA,NA,NA,NA,""
NA,"King's Own Scottish Borderers","Military team",NA,NA,"KOSB",NA,"Scotland",NA,NA,NA,NA,NA,NA,NA,NA,"King%27s_Own_Scottish_Borderers",NA,NA,NA,NA,""
NA,"Kent Rugby Football Union Team","Regional team","1880-01-01",NA,"Kent Rugby Football Union",NA,"English",NA,NA,NA,NA,NA,NA,NA,NA,"Kent_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Keighley Cougars","Club",NA,NA,"Keighley Cougars RLFC; Keighley Cougars Rugby League Football Club",NA,"England",NA,NA,NA,NA,"Keighley",NA,NA,NA,"Keighley_Cougars",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Ireland national university rugby union team","National university team",NA,NA,"Irish Universities",NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"Irish_Universities_Rugby_Union",NA,NA,NA,NA,""
NA,"Hull F.C.","Club","1865-01-01",NA,"Hull Football Club; Black & Whites; The Airlie Birds",NA,"England",NA,NA,NA,NA,"Hull",NA,NA,NA,"Hull_F.C.",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Huddersfield Giants","Club",NA,NA,"Huddersfield Giants Rugby League Football Club; Huddersfield Giants RLFC",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Huddersfield_Giants",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Hong Kong Cricket Club","Club","1851-01-01",NA,"HKCC",NA,"Hong Kong",NA,NA,NA,NA,"Hong Kong",NA,NA,NA,"Hong_Kong_Cricket_Club",NA,NA,NA,NA,""
NA,"Highveld XV","Invitational team","2009-01-01",NA,"Royal Bafokeng Nation Highveld XV",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Highveld_XV",NA,NA,NA,NA,""
NA,"Hampshire Rugby Football Union Team","Regional team","1883-01-01",NA,"Hampshire County; Hampshire Rugby Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Hampshire_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Halifax Panthers","Club",NA,NA," Halifax; Halifax Panthers Rugby League Football Club; Halifax Panthers RLFC",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Halifax_Panthers",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Gruppo Sportivo Fiamme Oro Rugby","Club","1954-01-01",NA,"Fiamme Oro Rugby; Gruppo Sportivo Fiamme Oro; Fiamme Oro",NA,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,"Gruppo_Sportivo_Fiamme_Oro",NA,NA,NA,NA,""
NA,"Golden Bay-Motueka Rugby Union Team","Regional team","1920-01-01","1967-01-01","Golden Bay-Motueka Rugby Union",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"Golden_Bay-Motueka_Rugby_Union",NA,NA,NA,NA,""
NA,"Gloucestershire Rugby Football Union Team","Regional team","1878-01-01",NA,"Gloucestershire; Gloucestershire Rugby Football Union; Gloucestershire RFU",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Gloucestershire_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"First Nations & Pasifika XV","Invitational team","2025-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"First_Nations_%26_Pasifika_XV",NA,NA,NA,NA,""
NA,"Emerging Scotland","National senior team","2024-01-01",NA,NA,NA,"Scotland",NA,3,NA,NA,NA,NA,NA,NA,"Emerging_Scotland",NA,NA,NA,NA,"Not Scotland A, neither Scotland U20"
NA,"East Midlands Rugby Football Union Team","Regional team","1887-01-01",NA,"East Midlands Rugby Football Union; EMRFU",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"East_Midlands_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Durham County Rugby Football Union Team","Regional team","1876-01-01",NA,"Durham County; Durham County Rugby Football Union",NA,"England",NA,NA,NA,NA,"Durham",NA,NA,NA,"Durham_County_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Devon Rugby Football Union Team","Regional team","1877-01-01",NA,"Devon Rugby Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Devon_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Dartmouth College","Club","1951-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"Hanover",NA,NA,NA,"Dartmouth_College",NA,NA,NA,NA,""
NA,"Combined Scottish Districts","Regional team","1911-01-01",NA,"Scottish Districts",NA,"Scotland",NA,NA,NA,NA,NA,NA,NA,NA,"Combined_Scottish_Districts",NA,NA,NA,NA,""
NA,"CN Montjuïc","Club",NA,NA,"Club Natació Montjuïc",NA,"Spain",NA,NA,NA,NA,"Barcelona",NA,NA,NA,"CN_Montju%C3%AFc",NA,NA,NA,NA,""
NA,"Cheshire Rugby Football Union Team","Regional team","1880-01-01",NA,"Cheshire Rugby Football Union",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Cheshire_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Carleton University","Club",NA,NA,"Carleton University RC",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,"Carleton_University",NA,NA,NA,NA,""
NA,"Cape Town Highlanders","Military team",NA,NA,NA,NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Cape_Town_Highlanders",NA,NA,NA,NA,""
NA,"Bush Rugby Football Union Team","Regional team","1890-01-01","1971-01-01","Bush Rugby Football Union",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,"Bush_Rugby_Football_Union",NA,NA,NA,NA,""
NA,"Britannia Royal Naval College Dartmouth","Club",NA,NA,"Britannia Royal Naval College",NA,"England",NA,NA,NA,NA,"Dartmouth",NA,NA,NA,"Britannia_Royal_Naval_College",NA,NA,NA,NA,""
NA,"Boston University","Club",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"Boston",NA,NA,NA,"Boston_University",NA,NA,NA,NA,""
NA,"Batley Bulldogs","Club","1880-01-01",NA,"Batley Bulldogs Rugby League Football Club; Batley Bulldogs RLFC; Batley Cricket Athletic and Football Club",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,"Batley_Bulldogs",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Barrow Raiders","Club","1875-01-01",NA,"Barrow Rugby League Football Club; Barrow RLFC",NA,"English",NA,NA,NA,NA,NA,NA,NA,NA,"Barrow_Raiders",NA,NA,NA,NA,"Originally a rugby union club before switching to rugby league"
NA,"Brothers Rugby Club Fiji","Club",NA,NA,"Brothers Rugby Club",NA,"Fiji",NA,NA,NA,NA,"Votualevu",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Yuri Gagarin Academy","Club",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Yorkshire Wanderers","Club",NA,NA,NA,NA,"England",NA,NA,NA,NA,"Leeds",NA,NA,NA,NA,NA,NA,NA,NA,"Amalgamation of Leeds Athletic Club and Potternewton RFC"
NA,"YMCA Brisbane","Club",NA,NA,"Y.M.C.A. Brisbane",NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Yeovil RFC","Club",NA,NA,"Yeovil",NA,"England",NA,NA,NA,NA,"Yeovil",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wilmington RFC","Club","1974-01-01",NA,"Wilmington Rugby",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wigston RFC","Club","1946-01-01",NA,"Wigston",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with Westleigh RFC to form Leicester Lions RFC"
NA,"Westleigh RFC","Club","1904-01-01",NA,"Westleigh",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merged with Westleigh RFC to form Leicester Lions RFC"
NA,"Widden Old Boys RFC","Club","1922-01-01",NA,"Widden Old Boys Rugby Football Club; Widden Old Boys",NA,"England",NA,NA,NA,NA,"Gloucester",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wibsey RFC","Club",NA,NA,"Wibsey",NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Whangārei Marist Club","Club",NA,NA,"Whangārei Marist; Whangarei Marist",NA,"New Zealand",NA,NA,NA,NA,"Whangārei",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Westminster Bank","Club",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Western United F.C.","Club",NA,NA,"Western United FC; Western United",NA,"Australian",NA,NA,NA,NA,"Melbourne",NA,NA,NA,"Western_United_FC",NA,NA,NA,NA,""
NA,"Western Province Country XV","Regional team",NA,NA,"Western Province Country",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Western Cowboys RC","Club",NA,NA,"Western Cowboys Rugby Club; Western Cowboys",NA,"Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"West Rand RC","Club",NA,NA,"West Rand",NA,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"West Omaha RC","Club",NA,NA,"West Omaha Rugby Club; West Omaha",NA,"U.S.A.",NA,NA,NA,NA,"Omaha",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"West Coast-Buller Rugby Football Union Team","Regional team",NA,NA,"West Coast-Buller Rugby Football Union; West Coast-Buller",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Welsh Police RFC","Club",NA,NA,"Welsh Police",NA,"WAles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wanganui High School Old Boys","Club",NA,NA,"Wanganui HSOB",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wanderers RFC Johannesburg","Club",NA,NA,"Wanderers Club",NA,"South Africa",NA,NA,NA,NA,"Johannesburg",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wallaroo Rugby Club","Club","1870-01-01",NA,"Wallaroo RC; Wallaroo Club",NA,"Australia",NA,NA,NA,NA,"Sydney",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wales B national rugby union team","National senior team",NA,NA,"Wales B",NA,"Wales",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wales national university rugby union team","National university team",NA,NA,"wales students",NA,"Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wairoa Pirates","Club",NA,"1939-01-01","Wairoa Pirates RFC",NA,"New Zealand",NA,NA,NA,NA,"Wairoa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wairoa Old Boys","Club",NA,"1939-01-01","Wairoa Old Boys RFC",NA,"New Zealand",NA,NA,NA,NA,"Wairoa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Wairoa Athletic Sports Club","Club",NA,NA,"Wairoa ASC; Wairoa City",NA,"New Zealand",NA,NA,NA,NA,"Wairoa",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Central Hawkes Bay Rugby Sports Club","Club",NA,NA,"Central Hawkes Bay RSC; Waipukurau",NA,"New Zealand",NA,NA,NA,NA,"Waipukurau",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Waipawa United","Club","1926-01-01",NA,"Waipawa",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Waimanu Rugby Club","Club",NA,NA,"Waimanu RC; Waimanu",NA,"w Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Waikato Rangers RC","Club",NA,NA,"Waikato Rangers Rugby Club; Waikato Rangers",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,""
NA,"Wahroonga Rugby Club","Club",NA,NA,"Wahroonga RC; Wahroonga Tigers",NA,"New Zealand",NA,NA,NA,NA,"Wahroonga",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vuda Rugby Club","Club",NA,NA,"Vuda RC; Vuda",NA,"Fiji",NA,NA,NA,NA,"Vuda",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Waipapa RC","Club",NA,NA,"Waipapa; Waipapa Rugby Club",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"VTJ Pardubice","Club","1948-01-01",NA,"Czechoslovak Army team",NA,"Czechoslovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Village Lions","Club",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Veterinaria Zaragoza RC","Club",NA,NA,"Veterinaria Zaragoza",NA,"Spain",NA,NA,NA,NA,"Zaragoza",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vatukoula Rugby Union Team","Regional team",NA,NA,"Vatukoula Rugby Union",NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vancouver RFC","Club","1889-01-01",NA,"Vancouver Rugy Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Valley Brisbane","Club",NA,NA,"Valley F.C.",NA,"Australia",NA,NA,NA,NA,"Brisbane",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vaimoso Rugby Club","Club",NA,NA,"Vaimoso RC; Vaimoso",NA,"Samoa",NA,NA,NA,NA,"Vaimoso",NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vaiala Ulalei Sports Club","Club",NA,NA,"Vaiala Ulalei SC; Vaiala Ulalei; Vaiala",NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vaheloto Rugby","Club",NA,NA,"Vaheloto",NA,"Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Vatukoula Rugby","Club",NA,NA,"Vatukoula",NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"USA Islanders","Invitational team",NA,NA,"USA Islanders Rugby",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
NA,"Uruguay national under-19 rugby union team","National U19 team",NA,NA,"Uruguay U19; Uruguay U-19",NA,"Uruguay",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
