origWdId,origName,esName,wpPage,startYear,endYear,teamName,teamWP,matchesPlayed,pointsScored
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,2004,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,51,35
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,2000,2002,Rugby Southland ,,,
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,2003,2012,Highlanders,/wiki/Highlanders_(rugby),,
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,2012,2014,Gloucester Rugby,/wiki/Gloucester_Rugby,,
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,2015,,Blues ,,,
Q200427,Dimitri Szarzewski,Dimitri Szarzewski,Dimitri_Szarzewski,,,Francia,/wiki/Selecci%C3%B3n_de_rugby_de_Francia,81,35
Q200427,Dimitri Szarzewski,Dimitri Szarzewski,Dimitri_Szarzewski,2012,2019,Béziers(2002-05)Stade Français(2005-12)Racing Metro 92,/wiki/AS_B%C3%A9ziers_H%C3%A9rault,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,58,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,1984,1997,Auckland RFU ,,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,1986,1992,SS Lazio Rugby,/wiki/SS_Lazio_Rugby,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,1992,1993,ASD Rugby Casale ,,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,1996,1997,Blues,/wiki/Blues_(rugby),,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,1998,2001,Harlequins FC,/wiki/Harlequins_FC,,
Q209365,Richie Gray,Richie Gray,Richie_Gray,,,Escocia,/wiki/Selecci%C3%B3n_de_rugby_de_Escocia,64,
Q209365,Richie Gray,Richie Gray,Richie_Gray,2008,2012,Glasgow Warriors ,,,
Q209365,Richie Gray,Richie Gray,Richie_Gray,2012,2013,Sale Sharks,/wiki/Sale_Sharks,,
Q209365,Richie Gray,Richie Gray,Richie_Gray,2013,2015,Castres Olympique,/wiki/Castres_Olympique,,
Q209365,Richie Gray,Richie Gray,Richie_Gray,2016,,Stade Toulousain ,,,
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,109,135
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),2001,2009,Western Province,/wiki/Western_Province,,
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),2005,2009,Stormers,/wiki/Stormers,,
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),2009,2010,Munster,/wiki/Munster_Rugby,,
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),2010,2015,Western Province,/wiki/Western_Province,,
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),2011,2015,Stormers,/wiki/Stormers,,
Q276102,Jean de Villiers,Jean de Villiers,Jean_de_Villiers_(rugbista),2015,2016,Leicester Tigers,/wiki/Leicester_Tigers,,
Q281871,Tom Kiernan,Tom Kiernan,Tom_Kiernan,1960,,Irlanda,/wiki/Selecci%C3%B3n_de_rugby_de_Irlanda,54,158
Q281871,Tom Kiernan,Tom Kiernan,Tom_Kiernan,1957,1973,Cork Constitution ,,,
Q281871,Tom Kiernan,Tom Kiernan,Tom_Kiernan,1958,1973,Munster Rugby ,,,
Q284846,Schalk Willem Petrus Burger,Schalk Burger,Schalk_Burger,,,Sudáfrica,/wiki/Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica,86,80
Q284846,Schalk Willem Petrus Burger,Schalk Burger,Schalk_Burger,2003,2016,Stormers,/wiki/Stormers,,
Q284846,Schalk Willem Petrus Burger,Schalk Burger,Schalk_Burger,2016,2019,Saracens,/wiki/Saracens,,
Q285739,Valentin Ursache,Valentin Ursache,Valentin_Ursache,,,Rumania,/wiki/Selecci%C3%B3n_de_rugby_de_Rumania,63,20
Q285739,Valentin Ursache,Valentin Ursache,Valentin_Ursache,2005,11,Steaua București,/w/index.php?title=CSA_Steaua_Bucure%C8%99ti_(rugby)&action=edit&redlink=1,,
Q285739,Valentin Ursache,Valentin Ursache,Valentin_Ursache,2010,12,Pays d'Aix,/w/index.php?title=Pays_d%27Aix_RC&action=edit&redlink=1,,
Q285739,Valentin Ursache,Valentin Ursache,Valentin_Ursache,2012,,Oyonnax,/wiki/Oyonnax_Rugby,,
Q286258,Yannick Jauzion,Yannick Jauzion,Yannick_Jauzion,,,Francia,/wiki/Selecci%C3%B3n_de_rugby_de_Francia,73,
Q286258,Yannick Jauzion,Yannick Jauzion,Yannick_Jauzion,1997,2000,SC graulhetois ,,,
Q286258,Yannick Jauzion,Yannick Jauzion,Yannick_Jauzion,2000,2002,US Colomiers,/wiki/Union_sportive_Colomiers_rugby,,
Q286258,Yannick Jauzion,Yannick Jauzion,Yannick_Jauzion,2002,2013,Stade Toulousain,/wiki/Stade_Toulousain,,
Q287936,Joe Launchbury,Joe Launchbury,Joe_Launchbury,,,Inglaterra,/wiki/Selecci%C3%B3n_de_rugby_de_Inglaterra,70,25
Q287936,Joe Launchbury,Joe Launchbury,Joe_Launchbury,2009,2010,Worthing RFC ,,,
Q287936,Joe Launchbury,Joe Launchbury,Joe_Launchbury,2010,2022,London Wasps,/wiki/London_Wasps,,
Q287936,Joe Launchbury,Joe Launchbury,Joe_Launchbury,2010,2011,→ Rosslyn Park F.C. ,,,
Q287936,Joe Launchbury,Joe Launchbury,Joe_Launchbury,2022,2023,Toyota Verblitz ,,,
Q287936,Joe Launchbury,Joe Launchbury,Joe_Launchbury,2023,Act.,Harlequins FC,/wiki/Harlequins_FC,,
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,,,Nueva Zelanda,/wiki/Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda,48,
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,1999,2007,Wellington RFU ,,,
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,2001,2008,Hurricanes,/wiki/Hurricanes_(rugby),,
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,2008,2009,RC Toulon,/wiki/Rugby-Club_Toulonnais,,
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,2009,2011,Ospreys Rugby,/wiki/Ospreys_Rugby,,
Q289223,Jerry Collins,Jerry Collins,Jerry_Collins,2011,2013,Yamaha Júbilo,/w/index.php?title=Yamaha_J%C3%BAbilo&action=edit&redlink=1,,
