origWdId,origName,itName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q176596,Clive Rowlands,Clive Rowlands,Clive_Rowlands,International,1963-1965,Galles,/wiki/Nazionale_maschile_di_rugby_a_15_del_Galles,14,3
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Regional,2006-15,Natal Sharks,/wiki/Natal_Sharks,20,70
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Regional,2020-,Free State,/wiki/Free_State_Cheetahs,6,76
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Senior,2009-12,Racing Métro 92,/wiki/Racing_92,50,118
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Senior,2014-16,Brave Lupus,,21,112
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Senior,2016-20,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby,68,151
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Senior,2007-15,Sharks,/wiki/Sharks_(rugby_a_15),75,283
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,Senior,2020,Cheetahs,/wiki/Central_Cheetahs,5,0
Q181263,François Steyn,François Steyn,Fran%C3%A7ois_Steyn,International,2006-,Sudafrica,/wiki/Nazionale_maschile_di_rugby_a_15_del_Sudafrica,71,141
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,Senior,2002-05,Benetton,/wiki/Benetton_Rugby_Treviso,47,65
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,Senior,2005-19,Stade français,/wiki/Stade_fran%C3%A7ais_Paris_rugby,265,238
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,Senior,2019-23,Tolone,/wiki/Rugby_Club_Toulonnais,65,45
Q188309,Sergio Parisse,Sergio Parisse,Sergio_Parisse,International,2002-19,Italia,/wiki/Nazionale_maschile_di_rugby_a_15_dell%27Italia,142,83
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,Regional,2008-17,Manawatu,/wiki/Manawatu_Rugby_Union,32,272
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,Senior,2017-19,Montpellier,/wiki/Montpellier_H%C3%A9rault_Rugby,41,140
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,Senior,2021-,Kōbe Steelers,,0,0
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,Senior,2010-11,Hurricanes,/wiki/Hurricanes_(rugby_a_15),25,148
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,Senior,2012-17,Chiefs,/wiki/Chiefs_(rugby_a_15),89,679
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,Senior,2020,Chiefs,/wiki/Chiefs_(rugby_a_15),11,39
Q193926,Aaron Cruden,Aaron Cruden,Aaron_Cruden,International,2010-17,Nuova Zelanda,/wiki/Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda,50,322
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,Regional,2000-12,Southland,/wiki/Southland_Rugby_Football_Union,101,45
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,Senior,2003-12,Highlanders,/wiki/Highlanders,108,50
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,Senior,2012-,Gloucester,/wiki/Gloucester_Rugby,4,0
Q194026,Jimmy Cowan,Jimmy Cowan,Jimmy_Cowan,International,2004-11,Nuova Zelanda,/wiki/Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda,51,35
Q200427,Dimitri Szarzewski,Dimitri Szarzewski,Dimitri_Szarzewski,Senior,2003-05,Béziers,/wiki/Association_sportive_de_B%C3%A9ziers_H%C3%A9rault,52,45
Q200427,Dimitri Szarzewski,Dimitri Szarzewski,Dimitri_Szarzewski,Senior,2005-12,Stade français,/wiki/Stade_fran%C3%A7ais_Paris_rugby,98,90
Q200427,Dimitri Szarzewski,Dimitri Szarzewski,Dimitri_Szarzewski,Senior,2012-19,Racing Métro 92,/wiki/Racing_92,117,60
Q200427,Dimitri Szarzewski,Dimitri Szarzewski,Dimitri_Szarzewski,International,2004-15,Francia,/wiki/Nazionale_maschile_di_rugby_a_15_della_Francia,83,35
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,Regional,1986-1997,Auckland,/wiki/Auckland_Rugby_Football_Union,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,Senior,1986-1992,S.S. Lazio,/wiki/Polisportiva_S.S._Lazio_Rugby_1927,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,Senior,1992-1993,Casale,/wiki/Rugby_Casale,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,Senior,1998-2000,Harlequins,/wiki/Harlequin_Football_Club,35,25
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,Senior,2001-2003,Coventry,,,
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,Senior,1996-1997,Auckland Blues,/wiki/Blues_(rugby_a_15),23,42
Q205288,Zinzan Brooke,Zinzan Brooke,Zinzan_Brooke,International,1987-1997,Nuova Zelanda,/wiki/Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda,58,89
Q209365,Richie Gray,Richie Gray,Richie_Gray,Senior,2012-13,Sale Sharks,/wiki/Sale_Sharks,11,5
Q209365,Richie Gray,Richie Gray,Richie_Gray,Senior,2013-16,Castres,/wiki/Castres_Olympique,53,5
