origWdId,origName,debugComment,itName,wpPage,height,weight,positions,positionsWP,birthCountry,sportCountry,currentTeam,currentTeamWP
Q374376,De Wet Barry,,De Wet Barry,De_Wet_Barry,185,89,Tre quarti centro,,Sudafrica,,,
Q374524,Sean Lynch,No IT WP page,,,,,,,,,,
Q375081,Pablo Canavosio,,Pablo Canavosio,Pablo_Canavosio,178,89,Utility back,,Argentina,Italia,,
Q375259,Alex Burdon,No IT WP page,,,,,,,,,,
Q375493,Jim Williams,,Jim Williams,Jim_Williams,193,112,Terza linea ala,,Australia,,,
Q375894,Andrea De Marchi,,Andrea De Marchi,Andrea_De_Marchi,187,114,Pilone,,Italia,,,
Q376270,Denis Fahey,No infobox found,,Denis_Fahey,,,,,,,,
Q376378,David Humphreys,,David Humphreys,David_Humphreys,178,86,Mediano d'apertura,,Regno Unito,Irlanda,,
Q376397,Japie Mulder,,Japie Mulder,Japie_Mulder,180,77,Tre quarti centro,,Sudafrica,,,
Q376430,Mike Blair,,Mike Blair,Mike_Blair,180,85,Mediano di mischia,,Regno Unito,Scozia,,
Q377052,William Téchoueyres,,William Téchoueyres,William_T%C3%A9choueyres,183,88,Tre quarti ala,,Francia,,,
Q377476,Peter Winterbottom,,Peter Winterbottom,Peter_Winterbottom,178,102,Terza linea,,Regno Unito,Inghilterra,,
Q377498,Thierry de Martel,No IT WP page,,,,,,,,,,
Q378444,Rod Kafer,,Rod Kafer,Rod_Kafer,175,98,Tre quarti centro,,Australia,,,
Q380388,Frik du Preez,No IT WP page,,,,,,,,,,
Q381641,Girvan Dempsey,,Girvan Dempsey,Girvan_Dempsey,183,92,Estremo,,Irlanda,Irlanda,,
Q381649,Gareth Cooper,,Gareth Cooper,Gareth_Cooper,170,84,Mediano di mischia,,Galles,,,
Q382731,John Warlow,No IT WP page,,,,,,,,,,
Q383727,Giovanbattista Venditti,,Giovanbattista Venditti,Giovanbattista_Venditti,188,108,Tre quarti ala,,Italia,,,
Q383886,Fourie du Preez,,Fourie du Preez,Fourie_du_Preez,183,90,Mediano di mischia,,Sudafrica,,,
Q384650,Paul Carozza,No IT WP page,,,,,,,,,,
Q385574,Jim Webb,No IT WP page,,,,,,,,,,
Q385611,Brodie Henderson,No IT WP page,,,,,,,,,,
Q385839,Clive Sullivan,No IT WP page,,,,,,,,,,
Q387450,Franck Montanella,No IT WP page,,,,,,,,,,
Q387525,"Wavell Wakefield, 1st Baron Wakefield of Kendal",,Wavell Wakefield,Wavell_Wakefield,,,Terza linea,,Regno Unito,Inghilterra,,
Q387669,John Robbie,,John Robbie,John_Robbie,175,75,Mediano di mischia,,Irlanda,Irlanda; Sudafrica,,
Q387758,John Rudd,No IT WP page,,,,,,,,,,
Q389714,Imanol Harinordoquy,,Imanol Harinordoquy,Imanol_Harinordoquy,192,110,Terza linea centro,,Francia,,,
Q390102,Darren Crompton,No IT WP page,,,,,,,,,,
Q399410,Agustín Pichot,,Agustín Pichot,Agust%C3%ADn_Pichot,175,78,Mediano di mischia,,Argentina,,,
Q405431,Aiman Abdallah,No IT WP page,,,,,,,,,,
Q406125,Benjamin Dambielle,No IT WP page,,,,,,,,,,
Q406132,Romain Cabannes,No IT WP page,,,,,,,,,,
