"player","fullNames","birthDates","birthPlaces","deathDates","deathPlaces","weights","heights","positions","wikidataId"
"http://dbpedia.org/resource/David_Rollo_(rugby_union)__David_Rollo__1","David Rollo",NA,NA,NA,NA,88.90410452,180.34,NA,NA
"http://dbpedia.org/resource/David_Sole__David_Sole__1","David Sole",NA,NA,NA,NA,103,180,NA,NA
"http://dbpedia.org/resource/Dean_Schofield__Dean_Schofield__1","Dean Schofield",NA,NA,NA,NA,127.0058636,198.12,NA,NA
"http://dbpedia.org/resource/Demba_Bamba__Demba_Bamba__1","Demba Bamba",NA,NA,NA,NA,124,185,NA,NA
"http://dbpedia.org/resource/Denan_Kemp__Denan_Kemp__1","Denan Kemp",NA,NA,NA,NA,92,180,NA,NA
"http://dbpedia.org/resource/Denis_Cussen__Denis_Cussen__1","Denis Cussen",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Deontological_ethics",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Deputy_Crown_prince",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Diamond_(ship)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dick_Greenwood__Dick_Greenwood__1","Dick Greenwood",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dixie_Station_(Vietnam_War)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Donald_Cameron_(rugby_union,_born_1887)__Donald_Cameron__1","Donald Cameron",NA,NA,NA,NA,63,NA,NA,NA
"http://dbpedia.org/resource/Donald_Cameron_(rugby_union,_born_1927)__Donald_Cameron__1","Donald Cameron",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dougie_McGregor__Dougie_McGregor__1","Alwin John McGregor; Dougie McGregor",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Douglas_Kendrew__Joe_Kendrew__1","Joe Kendrew",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Drew_Locke__Drew_Locke__1","Drew Locke",NA,NA,NA,NA,89,180,NA,NA
"http://dbpedia.org/resource/Dualism_(philosophy_of_mind)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dugald_McGregor__Doug_McGregor__1","Doug McGregor; Dugald McColl McGregor",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Duncan_Robertson_(rugby_union,_born_1851)__Duncan_Robertson__1","Duncan Robertson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Duncan_Robertson__Duncan_Robertson__1","Duncan Robertson",NA,NA,NA,NA,78,178,NA,NA
"http://dbpedia.org/resource/Dylan_Inserra__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dylan_Peterson__Dylan_Peterson__1","Dylan Peterson",NA,NA,NA,NA,104,191,NA,NA
"http://dbpedia.org/resource/Dylan_Pieterse__Dylan_Pieterse__1","Dylan John Pieterse; Dylan Pieterse",NA,NA,NA,NA,NA,200,NA,NA
"http://dbpedia.org/resource/Ed_Chamberlain__Ed_Chamberlain__1","Ed Chamberlain; Edward Chamberlain",NA,NA,NA,NA,82,180,NA,NA
"http://dbpedia.org/resource/Edward_Barrett_(English_sportsman)__Edward_Barrett__1","Edward Barrett",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Emma_Taylor_(rugby_union)",NA,"1992-07-09",NA,NA,NA,NA,NA,"Lock",NA
"http://dbpedia.org/resource/Emory_&_Henry_Wasps",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Entrepreneur_in_Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Etienne_Oosthuizen_(rugby_union,_born_1992)__Etienne_Oosthuizen__1","Etienne Oosthuizen",NA,NA,NA,NA,120,198,NA,NA
"http://dbpedia.org/resource/Etienne_Oosthuizen_(rugby_union,_born_1994)__Etienne_Oosthuizen__1","Etienne Oosthuizen; Johan Etienne Oosthuizen",NA,NA,NA,NA,NA,198,NA,NA
"http://dbpedia.org/resource/Fabiola_Forteza",NA,"1995-08-04",NA,NA,NA,NA,173,"3rd Row",NA
"http://dbpedia.org/resource/Fix_(position)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Fonserannes_Lock",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Francois_van_Wyk__Francois_van_Wyk__1","Francois Daniel van Wyk; Francois van Wyk",NA,NA,NA,NA,114,189,NA,NA
"http://dbpedia.org/resource/Frank_Bunce__Frank_Bunce__1","Frank Bunce",NA,NA,NA,NA,85,180,NA,NA
"http://dbpedia.org/resource/Frank_Collier__Frank_Collier__1","Frank Collier",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Frank_McMillan__Frank_McMillan__1","Frank McMillan; Franklin McMillan",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Frank_Pritchard__Frank_Pritchard__1","Frank Pritchard; Frank Semu Pritchard",NA,NA,NA,NA,112,187,NA,NA
"http://dbpedia.org/resource/Frank_Smyth__Frank_Smyth__1","Frank Smyth",NA,NA,NA,NA,78,152.4,NA,NA
"http://dbpedia.org/resource/Frank_Stoker__Frank_Owen_Stoker__1","Frank Owen Stoker",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Franna_du_Toit__Franna_du_Toit__1","Francois Cornelius du Toit; Franna du Toit",NA,NA,NA,NA,93,183,NA,NA
"http://dbpedia.org/resource/Frans_van_Wyk__Frans_van_Wyk__1","Frans Roelf Petrus van Wyk; Frans van Wyk",NA,NA,NA,NA,128,190,NA,NA
"http://dbpedia.org/resource/François_du_Toit__François_du_Toit__1","François du Toit",NA,NA,NA,NA,105,178,NA,NA
"http://dbpedia.org/resource/Freddy_Turner__Freddy_Turner__1","Freddy Turner",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Frederick_Harding_Turner__Frederick_Turner__1","Frederick Turner",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/G.A.M._Isherwood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Gary_Christie__Gary_Christie__1","Gary Christie",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Gary_Connolly__Gary_Connolly__1","Gary Connolly; Gary John Connolly",NA,NA,NA,NA,89,183,NA,NA
"http://dbpedia.org/resource/Geoffrey_Thomas_Alley",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/George_Hamilton_D'Oyly_Lyon__Fullback__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/George_Horne_(rugby)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/George_Smith_(rugby_union)__George_Smith__1","George Smith",NA,NA,NA,NA,103,180,NA,NA
"http://dbpedia.org/resource/George_Storey__George_Storey__1","George Storey",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/George_Travers_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Gerard_Crole__Gerard_Crole__1","Gerard Crole",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/German_Davydov__German_Davydov__1","German Davydov",NA,NA,NA,NA,99,186,NA,NA
"http://dbpedia.org/resource/Gerry_Helme__Gerry_Helme__1","Gerard J. Helme; Gerry Helme",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Giacomo_Ferrari_(rugby_union)","Giacomo Ferrari","2002-01-22","Italy; Rome",NA,NA,105,190,"Flanker",NA
"http://dbpedia.org/resource/Glen_Harrison__Glen_Harrison__1","Glen Harrison",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Glen_Turner__Glen_Turner__1","Glen Turner",NA,NA,NA,NA,100,184,NA,NA
"http://dbpedia.org/resource/Glyn_Davies_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Glyn_Meredith__Glyn_Meredith__1","Glyn Meredith",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Graeme_West__Graeme_West__1","Graeme Leonard West; Graeme West",NA,NA,NA,NA,NA,182.88,NA,NA
"http://dbpedia.org/resource/Grahame_Donald__Grahame_Donald__1","Grahame Donald",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Greig_Oliver__Greig_Oliver__1","Greig Oliver",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Hamish_Dawson_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Hamish_Stewart__Hamish_Stewart__1","Hamish Stewart",NA,NA,NA,NA,92,180,NA,NA
"http://dbpedia.org/resource/Hanco_Venter__Hanco_Venter__1","Hanco Charles Venter; Hanco Venter",NA,NA,NA,NA,82,176,NA,NA
"http://dbpedia.org/resource/Hasie_Versfeld__Hasie_Versfeld__1","Hasie Versfeld",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Hell's_Kitchen_(U.S._season_6)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Henco_Venter__Henco_Venter__1","Henco Venter; Hendrik Petrus Venter",NA,NA,NA,NA,97,194,NA,NA
"http://dbpedia.org/resource/Henry_Taylor_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/High_Sheriff_of_Nottinghamshire,_Derbyshire_and_the_Royal_Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Hohenzollern_Redoubt_(1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Howard_Davies_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Iain_Laughland__Iain_Laughland__1","Iain Laughland",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Iain_Thornley__Iain_Thornley__1","Iain Thornley",NA,NA,NA,NA,101,197,NA,NA
"http://dbpedia.org/resource/Ian_Hall_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Ian_McLauchlan__OBE__1","(OBE); Ian McLauchlan",NA,NA,NA,NA,92,176,NA,NA
